scenario_row,rollout_id,strategy_id,predicted_class,true_class,correct,confidence,gated
1,1,0,0,0,1,0.444,1
2,2,0,2,0,0,0.3217,1
3,3,0,0,0,1,0.3792,1
4,4,0,0,0,1,0.4549,1
5,5,0,0,0,1,0.3687,1
6,6,0,0,0,1,0.4484,1
7,7,0,0,0,1,0.4592,1
8,8,0,0,0,1,0.4493,1
9,9,0,2,0,0,0.3193,1
10,10,0,0,0,1,0.3339,1
11,11,0,0,0,1,0.3783,1
12,12,0,0,0,1,0.3393,1
13,13,0,0,0,1,0.3872,1
14,14,0,0,0,1,0.3499,1
15,15,0,0,0,1,0.4221,1
16,16,0,0,0,1,0.3616,1
17,17,0,0,0,1,0.4376,1
18,18,0,0,0,1,0.3288,1
19,19,0,0,0,1,0.391,1
20,20,0,0,0,1,0.357,1
21,21,0,0,0,1,0.4335,1
22,22,0,0,0,1,0.3951,1
23,23,0,0,0,1,0.3449,1
24,24,0,0,0,1,0.4394,1
25,25,0,0,0,1,0.2978,1
26,26,0,0,0,1,0.4257,1
27,27,0,0,0,1,0.4355,1
28,28,0,0,0,1,0.4147,1
29,29,0,0,0,1,0.4083,1
30,30,0,0,0,1,0.358,1
31,31,0,0,0,1,0.4172,1
32,32,0,0,0,1,0.4376,1
33,33,0,2,0,0,0.3201,1
34,34,0,0,0,1,0.3895,1
35,35,0,0,0,1,0.431,1
36,36,0,0,0,1,0.4345,1
37,37,0,0,0,1,0.4425,1
38,38,0,0,0,1,0.3776,1
39,39,0,0,0,1,0.3977,1
40,40,0,0,0,1,0.4429,1
41,41,0,0,0,1,0.3735,1
42,42,0,0,0,1,0.3921,1
43,43,0,0,0,1,0.395,1
44,44,0,0,0,1,0.3857,1
45,45,0,0,0,1,0.3844,1
46,46,0,0,0,1,0.44,1
47,47,0,0,0,1,0.3513,1
48,48,0,0,0,1,0.413,1
49,49,0,2,0,0,0.2957,1
50,50,0,0,0,1,0.4444,1
51,51,0,1,1,1,0.6395,1
52,52,0,1,1,1,0.4209,1
53,53,0,1,1,1,0.9087,0
54,54,0,1,1,1,0.8087,0
55,55,0,4,1,0,0.6855,1
56,56,0,0,1,0,0.394,1
57,57,2,4,1,0,0.8849,0
58,58,0,0,1,0,0.3673,1
59,59,2,4,1,0,0.9046,0
60,60,0,1,1,1,0.6091,1
61,61,0,1,1,1,0.502,1
62,62,0,1,1,1,0.6499,1
