scenario_row,rollout_id,strategy_id,predicted_class,true_class,correct,confidence,gated
1,1,0,0,0,1,0.9712,0
2,2,0,0,0,1,0.9602,0
3,3,0,0,0,1,0.9525,0
4,4,0,0,0,1,0.9752,0
5,5,0,0,0,1,0.944,0
6,6,0,0,0,1,0.9737,0
7,7,0,0,0,1,0.9737,0
8,8,0,0,0,1,0.9758,0
9,9,0,0,0,1,0.9515,0
10,10,0,0,0,1,0.9421,0
11,11,0,0,0,1,0.9528,0
12,12,0,0,0,1,0.9377,0
13,13,0,0,0,1,0.9691,0
14,14,0,0,0,1,0.9664,0
15,15,0,0,0,1,0.9711,0
16,16,0,0,0,1,0.9584,0
17,17,0,0,0,1,0.9723,0
18,18,0,0,0,1,0.9484,0
19,19,0,0,0,1,0.9599,0
20,20,0,0,0,1,0.9582,0
21,21,0,0,0,1,0.9722,0
22,22,0,0,0,1,0.9653,0
23,23,0,0,0,1,0.965,0
24,24,0,0,0,1,0.9745,0
25,25,0,0,0,1,0.9519,0
26,26,0,0,0,1,0.9704,0
27,27,0,0,0,1,0.9739,0
28,28,0,0,0,1,0.9715,0
29,29,0,0,0,1,0.9679,0
30,30,0,0,0,1,0.9587,0
31,31,0,0,0,1,0.9682,0
32,32,0,0,0,1,0.9742,0
33,33,0,0,0,1,0.9372,0
34,34,0,0,0,1,0.9621,0
35,35,0,0,0,1,0.9729,0
36,36,0,0,0,1,0.9736,0
37,37,0,0,0,1,0.9749,0
38,38,0,0,0,1,0.9604,0
39,39,0,0,0,1,0.9631,0
40,40,0,0,0,1,0.9742,0
41,41,0,0,0,1,0.9699,0
42,42,0,0,0,1,0.9596,0
43,43,0,0,0,1,0.9651,0
44,44,0,0,0,1,0.963,0
45,45,0,0,0,1,0.9689,0
46,46,0,0,0,1,0.9742,0
47,47,0,0,0,1,0.9666,0
48,48,0,0,0,1,0.9673,0
49,49,0,0,0,1,0.9308,0
50,50,0,0,0,1,0.9747,0
51,51,0,6,1,0,0.6212,1
52,52,0,6,1,0,0.4938,1
53,53,0,1,1,1,0.9466,0
54,54,0,1,1,1,0.7395,1
55,55,0,6,1,0,0.4211,1
56,56,0,0,1,0,0.5735,1
57,57,0,1,1,1,0.9049,0
58,58,0,1,1,1,0.9867,0
59,59,0,1,1,1,0.9644,0
60,60,0,1,1,1,0.887,0
61,61,0,6,1,0,0.5797,1
62,62,0,1,1,1,0.3596,1
63,63,0,6,1,0,0.4437,1
64,64,0,6,1,0,0.7234,1
65,65,0,6,1,0,0.4888,1
66,66,3,6,1,0,0.978,0
67,67,0,0,1,0,0.6122,1
68,68,0,6,1,0,0.5986,1
69,69,0,0,1,0,0.4849,1
70,70,0,2,1,0,0.524,1
71,71,0,2,1,0,0.6427,1
72,72,3,6,1,0,0.985,0
73,73,0,1,1,1,0.9992,0
74,74,0,1,1,1,0.3557,1
75,75,0,0,1,0,0.5863,1
76,76,0,0,1,0,0.5361,1
77,77,0,1,1,1,0.487,1
78,78,0,2,1,0,0.7249,1
79,79,0,1,1,1,0.9592,0
80,80,3,6,1,0,0.9875,0
81,81,0,1,1,1,0.9006,0
82,82,0,6,1,0,0.7789,1
83,83,0,0,1,0,0.6928,1
84,84,0,2,1,0,0.7556,1
85,85,0,0,1,0,0.343,1
86,86,0,6,1,0,0.8241,1
87,87,0,1,1,1,0.9399,0
88,88,0,6,1,0,0.3538,1
89,89,0,0,1,0,0.4505,1
90,90,0,1,1,1,0.7207,1
91,91,0,1,1,1,0.9995,0
92,92,0,6,1,0,0.4858,1
93,93,0,6,1,0,0.4158,1
94,94,0,2,1,0,0.6924,1
95,95,0,1,1,1,0.4576,1
96,96,0,5,1,0,0.7927,1
97,97,0,1,1,1,0.4781,1
98,98,0,0,1,0,0.4964,1
99,99,0,1,1,1,0.9672,0
100,100,3,6,1,0,0.892,0
101,101,0,6,2,0,0.4163,1
102,102,0,2,2,1,1.0,0
103,103,0,0,2,0,0.6438,1
104,104,0,2,2,1,0.8167,1
105,105,3,6,2,0,0.9331,0
106,106,0,2,2,1,0.6054,1
107,107,0,6,2,0,0.5841,1
108,108,3,6,2,0,0.9925,0
109,109,3,6,2,0,0.9981,0
110,110,0,1,2,0,0.6047,1
111,111,0,6,2,0,0.6358,1
112,112,0,2,2,1,1.0,0
113,113,0,2,2,1,0.9923,0
114,114,0,2,2,1,0.7408,1
115,115,3,6,2,0,0.9998,0
116,116,0,2,2,1,1.0,0
117,117,0,2,2,1,0.9921,0
118,118,0,2,2,1,0.9883,0
119,119,0,6,2,0,0.5061,1
120,120,0,1,2,0,0.6447,1
121,121,0,6,2,0,0.5249,1
122,122,0,0,2,0,0.4682,1
123,123,3,6,2,0,0.9981,0
124,124,3,6,2,0,0.9963,0
125,125,0,2,2,1,0.9892,0
126,126,0,2,2,1,0.9021,0
127,127,3,6,2,0,0.9455,0
128,128,0,2,2,1,0.9169,0
129,129,3,6,2,0,0.9751,0
130,130,3,6,2,0,0.9945,0
131,131,0,6,2,0,0.5025,1
132,132,0,2,2,1,0.9967,0
133,133,0,2,2,1,0.7798,1
134,134,0,2,2,1,0.7159,1
135,135,0,6,2,0,0.4571,1
136,136,0,2,2,1,0.8319,1
137,137,3,6,2,0,0.9973,0
138,138,3,6,2,0,0.909,0
139,139,0,2,2,1,0.9979,0
140,140,0,2,2,1,0.9919,0
141,141,3,6,2,0,0.9867,0
142,142,3,6,2,0,0.9286,0
143,143,0,2,2,1,0.8846,0
144,144,0,2,2,1,1.0,0
145,145,0,6,2,0,0.5649,1
146,146,3,6,2,0,0.9942,0
147,147,3,6,2,0,0.9997,0
148,148,0,2,2,1,0.9995,0
149,149,3,6,2,0,0.9842,0
150,150,0,2,2,1,0.9821,0
151,151,1,3,3,1,0.9874,0
152,152,1,3,3,1,0.9403,0
153,153,0,0,3,0,0.318,1
154,154,1,3,3,1,0.9992,0
155,155,0,1,3,0,0.9997,0
156,156,0,0,3,0,0.9828,0
157,157,0,3,3,1,0.8096,1
158,158,0,3,3,1,0.7312,1
159,159,0,0,3,0,0.9878,0
160,160,0,3,3,1,0.5072,1
161,161,0,5,3,0,0.7975,1
162,162,0,0,3,0,0.8912,0
163,163,0,3,3,1,0.6882,1
164,164,0,0,3,0,0.7239,1
165,165,0,3,3,1,0.734,1
166,166,1,3,3,1,0.9171,0
167,167,3,5,3,0,0.9193,0
168,168,1,3,3,1,1.0,0
169,169,1,3,3,1,0.8785,0
170,170,0,5,3,0,0.7528,1
171,171,0,5,3,0,0.6158,1
172,172,1,3,3,1,0.8896,0
173,173,0,3,3,1,0.836,1
174,174,0,3,3,1,0.611,1
175,175,0,5,3,0,0.5023,1
176,176,3,5,3,0,0.9672,0
177,177,1,3,3,1,0.9997,0
178,178,1,3,3,1,1.0,0
179,179,0,5,3,0,0.6682,1
180,180,1,3,3,1,0.9766,0
181,181,3,5,3,0,0.9233,0
182,182,1,3,3,1,0.9987,0
183,183,0,5,3,0,0.7523,1
184,184,0,2,3,0,0.7543,1
185,185,0,0,3,0,0.4962,1
186,186,1,3,3,1,1.0,0
187,187,1,3,3,1,0.995,0
188,188,1,3,3,1,0.9868,0
189,189,1,3,3,1,0.9755,0
190,190,1,3,3,1,0.9995,0
191,191,0,6,3,0,0.6947,1
192,192,3,5,3,0,0.8938,0
193,193,1,3,3,1,0.9813,0
194,194,1,3,3,1,0.8564,0
195,195,3,5,3,0,0.9623,0
196,196,1,3,3,1,0.9998,0
197,197,1,3,3,1,0.9824,0
198,198,0,1,3,0,0.9844,0
199,199,1,3,3,1,0.9977,0
200,200,0,3,3,1,0.5773,1
201,201,2,4,4,1,1.0,0
202,202,0,5,4,0,0.6694,1
203,203,2,4,4,1,0.9201,0
204,204,2,4,4,1,1.0,0
205,205,2,4,4,1,1.0,0
206,206,2,4,4,1,0.9781,0
207,207,3,5,4,0,0.9707,0
208,208,2,4,4,1,1.0,0
209,209,2,4,4,1,0.9702,0
210,210,2,4,4,1,1.0,0
211,211,2,4,4,1,0.9999,0
212,212,2,4,4,1,1.0,0
213,213,2,4,4,1,1.0,0
214,214,2,4,4,1,1.0,0
215,215,2,4,4,1,0.9994,0
216,216,2,4,4,1,0.9836,0
217,217,0,4,4,1,0.7027,1
218,218,2,4,4,1,1.0,0
219,219,2,4,4,1,0.9912,0
220,220,2,4,4,1,1.0,0
221,221,0,4,4,1,0.8401,1
222,222,2,4,4,1,1.0,0
223,223,2,4,4,1,1.0,0
224,224,2,4,4,1,1.0,0
225,225,2,4,4,1,0.9999,0
226,226,2,4,4,1,1.0,0
227,227,2,4,4,1,1.0,0
228,228,0,5,4,0,0.8375,1
229,229,2,4,4,1,1.0,0
230,230,2,4,4,1,1.0,0
231,231,2,4,4,1,1.0,0
232,232,2,4,4,1,0.9989,0
233,233,2,4,4,1,1.0,0
234,234,2,4,4,1,1.0,0
235,235,3,6,4,0,0.9026,0
236,236,0,4,4,1,0.6504,1
237,237,3,5,4,0,0.9813,0
238,238,2,4,4,1,0.9998,0
239,239,2,4,4,1,0.9997,0
240,240,2,4,4,1,1.0,0
241,241,2,4,4,1,1.0,0
242,242,2,4,4,1,1.0,0
243,243,2,4,4,1,1.0,0
244,244,2,4,4,1,1.0,0
245,245,0,4,4,1,0.8156,1
246,246,2,4,4,1,1.0,0
247,247,2,4,4,1,1.0,0
248,248,3,5,4,0,0.9062,0
249,249,0,1,4,0,0.6706,1
250,250,2,4,4,1,1.0,0
251,251,3,5,5,1,1.0,0
252,252,3,5,5,1,1.0,0
253,253,3,5,5,1,1.0,0
254,254,3,5,5,1,1.0,0
255,255,3,5,5,1,0.9842,0
256,256,3,5,5,1,1.0,0
257,257,3,5,5,1,1.0,0
258,258,3,5,5,1,1.0,0
259,259,3,5,5,1,1.0,0
260,260,3,5,5,1,1.0,0
261,261,3,5,5,1,0.9885,0
262,262,3,5,5,1,1.0,0
263,263,3,5,5,1,1.0,0
264,264,3,5,5,1,1.0,0
265,265,3,5,5,1,1.0,0
266,266,3,5,5,1,1.0,0
267,267,3,5,5,1,1.0,0
268,268,3,5,5,1,0.9998,0
269,269,3,5,5,1,1.0,0
270,270,3,5,5,1,1.0,0
271,271,3,5,5,1,1.0,0
272,272,3,5,5,1,1.0,0
273,273,0,5,5,1,0.7406,1
274,274,3,5,5,1,1.0,0
275,275,3,5,5,1,1.0,0
276,276,3,5,5,1,1.0,0
277,277,3,5,5,1,1.0,0
278,278,3,5,5,1,0.9993,0
279,279,3,5,5,1,1.0,0
280,280,3,5,5,1,0.9999,0
281,281,3,5,5,1,0.9999,0
282,282,3,5,5,1,1.0,0
283,283,3,5,5,1,1.0,0
284,284,3,5,5,1,0.9999,0
285,285,3,5,5,1,1.0,0
286,286,3,5,5,1,1.0,0
287,287,3,5,5,1,1.0,0
288,288,3,5,5,1,1.0,0
289,289,3,5,5,1,1.0,0
290,290,3,5,5,1,1.0,0
291,291,3,5,5,1,1.0,0
292,292,3,5,5,1,1.0,0
293,293,3,5,5,1,1.0,0
294,294,3,5,5,1,1.0,0
295,295,3,5,5,1,1.0,0
296,296,3,5,5,1,1.0,0
297,297,3,5,5,1,1.0,0
298,298,3,5,5,1,1.0,0
299,299,3,5,5,1,1.0,0
300,300,3,5,5,1,1.0,0
301,301,3,6,6,1,0.9998,0
302,302,3,6,6,1,0.9754,0
303,303,3,6,6,1,0.936,0
304,304,3,6,6,1,0.9999,0
305,305,3,6,6,1,0.9998,0
306,306,0,6,6,1,0.6776,1
