scenario_id,sc_id,sc_label,run_idx,T_sim,P_load,Q_load,power_factor,t_fault,fault_variant,fault_mag,fault_resistance,ground_resistance,random_seed
1,0,normal,1,0.05,280380.27402,106245.00715,0.935115,0.02901895,1,0.928303,0.01,0.01,20260525
2,0,normal,2,0.05,348822.33437,133459.448706,0.933975,0.01820409,1,0.98013,0.01,0.01,20260525
3,0,normal,3,0.05,331526.343111,182162.01997,0.876414,0.02898384,1,0.83613,0.01,0.01,20260525
4,0,normal,4,0.05,289364.595447,130199.916816,0.911938,0.02652373,1,0.911576,0.01,0.01,20260525
5,0,normal,5,0.05,335447.571607,186379.988266,0.874135,0.0166694,1,0.872594,0.01,0.01,20260525
6,0,normal,6,0.05,285047.666702,139464.38574,0.89825,0.02913351,1,0.889853,0.01,0.01,20260525
7,0,normal,7,0.05,280661.657657,118178.816673,0.921629,0.0237733,1,0.999596,0.01,0.01,20260525
8,0,normal,8,0.05,296278.974273,130658.072544,0.914979,0.02102352,1,0.810081,0.01,0.01,20260525
9,0,normal,9,0.05,357086.285254,126372.168172,0.942707,0.02200604,1,0.856592,0.01,0.01,20260525
10,0,normal,10,0.05,354660.791068,185545.420479,0.886067,0.0121456,1,0.941337,0.01,0.01,20260525
11,0,normal,11,0.05,333000.88668,180963.479042,0.878641,0.02064494,1,0.939588,0.01,0.01,20260525
12,0,normal,12,0.05,354907.585604,204669.933583,0.866275,0.01963732,1,0.902324,0.01,0.01,20260525
13,0,normal,13,0.05,323389.327804,126084.922506,0.931691,0.02535338,1,0.96081,0.01,0.01,20260525
14,0,normal,14,0.05,338961.417282,137328.063475,0.926824,0.01644826,1,0.950888,0.01,0.01,20260525
15,0,normal,15,0.05,301607.62362,162654.349457,0.880166,0.01489971,1,0.999521,0.01,0.01,20260525
16,0,normal,16,0.05,306027.428434,182642.294716,0.858697,0.0246667,1,0.958816,0.01,0.01,20260525
17,0,normal,17,0.05,286245.084052,148372.849516,0.887819,0.012435,1,0.957325,0.01,0.01,20260525
18,0,normal,18,0.05,291220.599383,177729.794223,0.853593,0.02175827,1,0.843672,0.01,0.01,20260525
19,0,normal,19,0.05,324571.057105,164334.135962,0.892163,0.01505708,1,0.842724,0.01,0.01,20260525
20,0,normal,20,0.05,350008.053795,177551.464512,0.891816,0.01326156,1,0.984548,0.01,0.01,20260525
21,0,normal,21,0.05,280487.931839,99978.193649,0.94195,0.01610065,1,0.938666,0.01,0.01,20260525
22,0,normal,22,0.05,314883.743187,179335.956984,0.868953,0.02923516,1,0.973259,0.01,0.01,20260525
23,0,normal,23,0.05,333006.764129,122234.423756,0.938756,0.02642122,1,0.940502,0.01,0.01,20260525
24,0,normal,24,0.05,302633.465769,146364.725752,0.900242,0.02744346,1,0.98727,0.01,0.01,20260525
25,0,normal,25,0.05,336174.276561,114740.96108,0.946393,0.0270181,1,0.970313,0.01,0.01,20260525
26,0,normal,26,0.05,297293.44581,160290.979441,0.880212,0.02811818,1,0.928134,0.01,0.01,20260525
27,0,normal,27,0.05,304652.617945,149336.196557,0.897925,0.01709642,1,0.947937,0.01,0.01,20260525
28,0,normal,28,0.05,295448.90086,109206.477529,0.937975,0.01634081,1,0.829266,0.01,0.01,20260525
29,0,normal,29,0.05,307731.770564,170661.760708,0.874519,0.02035593,1,0.896118,0.01,0.01,20260525
30,0,normal,30,0.05,350738.357181,176749.667531,0.893017,0.02605955,1,0.971492,0.01,0.01,20260525
31,0,normal,31,0.05,286725.724206,152909.943632,0.882366,0.01499112,1,0.827237,0.01,0.01,20260525
32,0,normal,32,0.05,303025.353644,148283.296081,0.898223,0.0235434,1,0.808775,0.01,0.01,20260525
33,0,normal,33,0.05,357813.27435,120246.270528,0.947905,0.027136,1,0.886961,0.01,0.01,20260525
34,0,normal,34,0.05,291179.719638,166770.497121,0.867752,0.01825946,1,0.967831,0.01,0.01,20260525
35,0,normal,35,0.05,299431.269833,156768.690591,0.885924,0.01517185,1,0.879905,0.01,0.01,20260525
36,0,normal,36,0.05,302502.553084,152467.976642,0.892986,0.02127667,1,0.893496,0.01,0.01,20260525
37,0,normal,37,0.05,300499.512564,144313.21255,0.901437,0.01500081,1,0.932725,0.01,0.01,20260525
38,0,normal,38,0.05,328801.681281,150817.471553,0.908943,0.01841207,1,0.803495,0.01,0.01,20260525
39,0,normal,39,0.05,322002.014264,154590.588564,0.901491,0.02084432,1,0.90654,0.01,0.01,20260525
40,0,normal,40,0.05,294172.479282,142823.465931,0.899581,0.02626713,1,0.933039,0.01,0.01,20260525
41,0,normal,41,0.05,329344.723111,128021.279244,0.932059,0.01452075,1,0.885483,0.01,0.01,20260525
42,0,normal,42,0.05,323605.010769,165814.901671,0.88997,0.02850656,1,0.869091,0.01,0.01,20260525
43,0,normal,43,0.05,315788.912155,179641.013886,0.869202,0.02830883,1,0.921945,0.01,0.01,20260525
44,0,normal,44,0.05,312264.969523,114227.906626,0.939138,0.02164964,1,0.806212,0.01,0.01,20260525
45,0,normal,45,0.05,324237.484502,126314.434528,0.931789,0.0190015,1,0.993565,0.01,0.01,20260525
46,0,normal,46,0.05,306924.942246,141144.253559,0.908537,0.02361346,1,0.973916,0.01,0.01,20260525
47,0,normal,47,0.05,328712.03347,117166.577686,0.941951,0.02938616,1,0.894759,0.01,0.01,20260525
48,0,normal,48,0.05,287685.807551,155678.730724,0.879485,0.01995051,1,0.884275,0.01,0.01,20260525
49,0,normal,49,0.05,339099.786603,112086.194153,0.949476,0.02878909,1,0.964936,0.01,0.01,20260525
50,0,normal,50,0.05,304766.335143,132259.189202,0.917343,0.02389907,1,0.985064,0.01,0.01,20260525
51,3,igbt_oc_sh,1,0.05,314509.255041,119544.829655,0.934753,0.02613656,1,0.813441,0.01,0.01,20260525
52,3,igbt_oc_sh,2,0.05,338427.506108,164373.647257,0.899514,0.01373047,4,0.964467,0.01,0.01,20260525
53,3,igbt_oc_sh,3,0.05,281649.204819,143907.165356,0.890495,0.01586781,4,0.983112,0.01,0.01,20260525
54,3,igbt_oc_sh,4,0.05,312814.088046,103303.086637,0.949561,0.01890023,3,0.893634,0.01,0.01,20260525
55,3,igbt_oc_sh,5,0.05,319862.57413,137712.918164,0.91849,0.02744564,3,0.828377,0.01,0.01,20260525
56,3,igbt_oc_sh,6,0.05,343391.46678,178472.509376,0.887313,0.01437307,5,0.834536,0.01,0.01,20260525
57,3,igbt_oc_sh,7,0.05,296768.014569,109011.644799,0.938675,0.02754748,5,0.900178,0.01,0.01,20260525
58,3,igbt_oc_sh,8,0.05,330996.322886,199158.140835,0.856852,0.01566808,1,0.821679,0.01,0.01,20260525
59,3,igbt_oc_sh,9,0.05,352540.157815,156777.278646,0.913722,0.02853161,5,0.965783,0.01,0.01,20260525
60,3,igbt_oc_sh,10,0.05,302329.082192,122455.37557,0.926857,0.02925813,1,0.9358,0.01,0.01,20260525
61,3,igbt_oc_sh,11,0.05,323052.272333,163457.969344,0.892283,0.0137567,6,0.904958,0.01,0.01,20260525
62,3,igbt_oc_sh,12,0.05,353582.015401,118492.83388,0.948174,0.02499862,2,0.845093,0.01,0.01,20260525
63,3,igbt_oc_sh,13,0.05,332293.187948,142448.717882,0.919108,0.01293827,1,0.769946,0.01,0.01,20260525
64,3,igbt_oc_sh,14,0.05,349051.81315,189401.386243,0.878942,0.02177408,3,0.831142,0.01,0.01,20260525
65,3,igbt_oc_sh,15,0.05,312736.056771,152311.176938,0.899044,0.02437453,3,0.808511,0.01,0.01,20260525
66,3,igbt_oc_sh,16,0.05,319905.981312,195978.706075,0.852711,0.02304993,2,0.838384,0.01,0.01,20260525
67,3,igbt_oc_sh,17,0.05,312720.759417,135836.246589,0.917209,0.02791411,2,0.756855,0.01,0.01,20260525
68,3,igbt_oc_sh,18,0.05,287430.286687,105971.171319,0.938263,0.0121076,6,0.837714,0.01,0.01,20260525
69,3,igbt_oc_sh,19,0.05,293617.030005,146137.2023,0.895244,0.01619416,2,0.972315,0.01,0.01,20260525
70,3,igbt_oc_sh,20,0.05,286755.90476,96861.466612,0.947411,0.02598075,5,0.813581,0.01,0.01,20260525
71,3,igbt_oc_sh,21,0.05,356878.763946,122641.356762,0.945716,0.0231057,5,0.840715,0.01,0.01,20260525
72,3,igbt_oc_sh,22,0.05,326028.838619,135489.270492,0.923435,0.0217599,4,0.764594,0.01,0.01,20260525
73,3,igbt_oc_sh,23,0.05,334424.531364,118061.398066,0.942964,0.01595101,1,0.84748,0.01,0.01,20260525
74,3,igbt_oc_sh,24,0.05,287693.018405,138179.936022,0.901416,0.02440088,2,0.792169,0.01,0.01,20260525
