scenario_id,fault_type,target_V_pu,scr,Rg_ohm,Lg_H,t_fault,fault_dur,T_sim,sac_iq_A,sac_mse_d,sac_mse_q
1,sym3ph,0.2,10.0,7.9057,0.075494,0.01272,0.5692,2.0819,34.463,0.0913,0.1217
11,sym3ph,0.2,3.0,26.3523,0.251646,0.014604,0.4018,1.9164,30.939,0.0553,0.1071
21,sym3ph,0.5,10.0,7.9057,0.075494,0.028575,0.4467,1.9752,26.335,0.0634,0.0679
31,sym3ph,0.5,3.0,26.3523,0.251646,0.029352,0.5085,2.0378,26.516,0.0661,0.0704
41,sym3ph,0.75,10.0,7.9057,0.075494,0.024597,0.2547,1.7793,24.129,0.0225,0.0186
51,sym3ph,0.75,3.0,26.3523,0.251646,0.02251,0.4872,2.0097,29.101,0.0146,0.0088
61,1ph_g,0.2,10.0,7.9057,0.075494,0.021198,0.6205,2.1417,17.232,0.0339,0.0287
71,1ph_g,0.2,3.0,26.3523,0.251646,0.024776,0.491,2.0158,15.773,0.0387,0.0343
81,1ph_g,0.5,10.0,7.9057,0.075494,0.028536,0.5291,2.0577,16.651,0.0386,0.0637
91,1ph_g,0.5,3.0,26.3523,0.251646,0.016226,0.2885,1.8047,13.468,0.0451,0.0943
101,1ph_g,0.75,10.0,7.9057,0.075494,0.027369,0.5525,2.0798,14.067,0.0279,0.1098
111,1ph_g,0.75,3.0,26.3523,0.251646,0.024326,0.4024,1.9267,13.328,0.0395,0.1026
121,2ph,0.2,10.0,7.9057,0.075494,0.028358,0.2543,1.7827,37.982,0.0007,-0.0174
131,2ph,0.2,3.0,26.3523,0.251646,0.02302,0.5596,2.0827,35.36,0.0061,-0.0348
141,2ph,0.5,10.0,7.9057,0.075494,0.020688,0.6153,2.136,32.1,-0.0196,0.0504
151,2ph,0.5,3.0,26.3523,0.251646,0.019279,0.4819,2.0011,34.972,-0.0486,0.0324
161,2ph,0.75,10.0,7.9057,0.075494,0.029373,0.4044,1.9338,12.652,0.0557,0.1225
171,2ph,0.75,3.0,26.3523,0.251646,0.027435,0.5778,2.1052,9.223,0.0607,0.1351
181,2ph_g,0.2,10.0,7.9057,0.075494,0.021518,0.2828,1.8043,11.081,0.0683,0.0661
191,2ph_g,0.2,3.0,26.3523,0.251646,0.025228,0.3006,1.8258,10.171,0.0722,0.057
201,2ph_g,0.5,10.0,7.9057,0.075494,0.022988,0.2786,1.8016,12.845,0.0638,0.0881
211,2ph_g,0.5,3.0,26.3523,0.251646,0.028916,0.4768,2.0057,14.82,0.0603,0.0852
221,2ph_g,0.75,10.0,7.9057,0.075494,0.022179,0.2208,1.743,9.847,0.0566,0.1032
231,2ph_g,0.75,3.0,26.3523,0.251646,0.027517,0.3071,1.8346,8.823,0.0594,0.1107
