scenario_id,family_id,category,fault_type,target_V_pu,grid,scr,Rg_ohm,Lg_H,P_load,Q_load,power_factor,t_fault,fault_dur,recover_to_0p9_s,T_sim,trans_resistance,random_seed
1,1,LVRT,sym3ph,0.2,strong,10.0,7.9057,0.075494,359742.3,142466.0,0.9297,0.01272,0.5692,2.0,2.0819,0.6869,20260609
2,1,LVRT,sym3ph,0.2,strong,10.0,7.9057,0.075494,293689.3,139753.1,0.903,0.021845,0.3161,2.0,1.8379,0.3999,20260609
3,1,LVRT,sym3ph,0.2,strong,10.0,7.9057,0.075494,346698.5,210499.5,0.8548,0.024,0.3058,2.0,1.8298,0.4381,20260609
4,1,LVRT,sym3ph,0.2,strong,10.0,7.9057,0.075494,355527.9,208819.9,0.8623,0.025307,0.1528,2.0,1.6781,0.765,20260609
5,1,LVRT,sym3ph,0.2,strong,10.0,7.9057,0.075494,328606.6,130153.1,0.9297,0.014013,0.2429,2.0,1.7569,0.5182,20260609
6,1,LVRT,sym3ph,0.2,strong,10.0,7.9057,0.075494,359226.5,159117.0,0.9143,0.02394,0.5852,2.0,2.1092,0.2493,20260609
7,1,LVRT,sym3ph,0.2,strong,10.0,7.9057,0.075494,342678.6,115100.9,0.948,0.017807,0.2058,2.0,1.7236,0.5495,20260609
8,1,LVRT,sym3ph,0.2,strong,10.0,7.9057,0.075494,322959.0,183990.2,0.8689,0.019391,0.622,2.0,2.1414,0.3553,20260609
9,1,LVRT,sym3ph,0.2,strong,10.0,7.9057,0.075494,335146.6,149439.3,0.9133,0.022526,0.2727,2.0,1.7952,0.3085,20260609
10,1,LVRT,sym3ph,0.2,strong,10.0,7.9057,0.075494,303122.8,109480.5,0.9405,0.028258,0.3548,2.0,1.8831,0.3539,20260609
11,2,LVRT,sym3ph,0.2,weak,3.0,26.3523,0.251646,352152.9,164639.5,0.9059,0.014604,0.4018,2.0,1.9164,0.6567,20260609
12,2,LVRT,sym3ph,0.2,weak,3.0,26.3523,0.251646,350797.8,126715.3,0.9405,0.013187,0.3647,2.0,1.8779,0.7725,20260609
13,2,LVRT,sym3ph,0.2,weak,3.0,26.3523,0.251646,286730.7,157535.6,0.8764,0.021827,0.4188,2.0,1.9406,0.0886,20260609
14,2,LVRT,sym3ph,0.2,weak,3.0,26.3523,0.251646,340094.4,115326.9,0.947,0.018889,0.3007,2.0,1.8196,0.2023,20260609
15,2,LVRT,sym3ph,0.2,weak,3.0,26.3523,0.251646,304543.8,126031.5,0.924,0.01766,0.5617,2.0,2.0793,0.6969,20260609
16,2,LVRT,sym3ph,0.2,weak,3.0,26.3523,0.251646,320663.5,183555.1,0.8679,0.019495,0.5684,2.0,2.0879,0.6789,20260609
17,2,LVRT,sym3ph,0.2,weak,3.0,26.3523,0.251646,348767.9,117095.9,0.948,0.013695,0.1626,2.0,1.6763,0.6394,20260609
18,2,LVRT,sym3ph,0.2,weak,3.0,26.3523,0.251646,327999.4,180683.5,0.8759,0.017006,0.1832,2.0,1.7002,0.3862,20260609
19,2,LVRT,sym3ph,0.2,weak,3.0,26.3523,0.251646,295391.7,169984.9,0.8667,0.016301,0.5388,2.0,2.0551,0.6424,20260609
20,2,LVRT,sym3ph,0.2,weak,3.0,26.3523,0.251646,344080.0,184454.7,0.8813,0.019102,0.5242,2.0,2.0433,0.6251,20260609
21,3,LVRT,sym3ph,0.5,strong,10.0,7.9057,0.075494,315681.9,162441.8,0.8892,0.028575,0.4467,2.0,1.9752,0.5001,20260609
22,3,LVRT,sym3ph,0.5,strong,10.0,7.9057,0.075494,335949.6,115200.8,0.9459,0.017568,0.1519,2.0,1.6695,0.3531,20260609
23,3,LVRT,sym3ph,0.5,strong,10.0,7.9057,0.075494,340013.5,205734.3,0.8556,0.020144,0.3525,2.0,1.8726,0.6717,20260609
24,3,LVRT,sym3ph,0.5,strong,10.0,7.9057,0.075494,351355.4,179154.2,0.8909,0.023425,0.3031,2.0,1.8266,0.1342,20260609
25,3,LVRT,sym3ph,0.5,strong,10.0,7.9057,0.075494,356125.8,184956.1,0.8875,0.012491,0.4171,2.0,1.9296,0.1998,20260609
26,3,LVRT,sym3ph,0.5,strong,10.0,7.9057,0.075494,344954.1,194321.0,0.8713,0.027722,0.6005,2.0,2.1282,0.3105,20260609
27,3,LVRT,sym3ph,0.5,strong,10.0,7.9057,0.075494,293822.8,103586.9,0.9431,0.019258,0.5168,2.0,2.036,0.0691,20260609
28,3,LVRT,sym3ph,0.5,strong,10.0,7.9057,0.075494,332736.2,153269.8,0.9083,0.024507,0.2211,2.0,1.7456,0.271,20260609
29,3,LVRT,sym3ph,0.5,strong,10.0,7.9057,0.075494,342309.9,145360.0,0.9204,0.014185,0.6199,2.0,2.1341,0.419,20260609
30,3,LVRT,sym3ph,0.5,strong,10.0,7.9057,0.075494,307772.8,115322.1,0.9364,0.02638,0.33,2.0,1.8564,0.5888,20260609
31,4,LVRT,sym3ph,0.5,weak,3.0,26.3523,0.251646,287674.9,107801.5,0.9364,0.029352,0.5085,2.0,2.0378,0.6225,20260609
32,4,LVRT,sym3ph,0.5,weak,3.0,26.3523,0.251646,339556.2,194218.0,0.868,0.023937,0.3786,2.0,1.9025,0.5808,20260609
33,4,LVRT,sym3ph,0.5,weak,3.0,26.3523,0.251646,335822.5,199866.8,0.8593,0.023322,0.5379,2.0,2.0613,0.5664,20260609
34,4,LVRT,sym3ph,0.5,weak,3.0,26.3523,0.251646,318947.8,190586.7,0.8584,0.0182,0.491,2.0,2.0092,0.273,20260609
35,4,LVRT,sym3ph,0.5,weak,3.0,26.3523,0.251646,349493.8,146484.0,0.9223,0.02835,0.1555,2.0,1.6838,0.1305,20260609
36,4,LVRT,sym3ph,0.5,weak,3.0,26.3523,0.251646,331133.3,173595.3,0.8857,0.023222,0.3546,2.0,1.8779,0.4908,20260609
37,4,LVRT,sym3ph,0.5,weak,3.0,26.3523,0.251646,357809.1,195574.0,0.8775,0.026176,0.5937,2.0,2.1199,0.1793,20260609
38,4,LVRT,sym3ph,0.5,weak,3.0,26.3523,0.251646,291455.3,126760.5,0.917,0.015056,0.5364,2.0,2.0514,0.6712,20260609
39,4,LVRT,sym3ph,0.5,weak,3.0,26.3523,0.251646,331116.1,144273.2,0.9168,0.01644,0.5496,2.0,2.066,0.2305,20260609
40,4,LVRT,sym3ph,0.5,weak,3.0,26.3523,0.251646,286595.7,162270.5,0.8702,0.025083,0.5293,2.0,2.0544,0.4728,20260609
41,5,LVRT,sym3ph,0.75,strong,10.0,7.9057,0.075494,284977.1,145102.0,0.8911,0.024597,0.2547,2.0,1.7793,0.5572,20260609
42,5,LVRT,sym3ph,0.75,strong,10.0,7.9057,0.075494,301137.4,131762.6,0.9161,0.019586,0.3902,2.0,1.9098,0.4479,20260609
