scenario_id,family_id,category,fault_type,target_V_pu,grid,scr,Rg_ohm,Lg_H,P_load,Q_load,power_factor,t_fault,fault_dur,recover_to_0p9_s,T_sim,trans_resistance,random_seed,xr_ratio,duration_bin_s,scenario_profile
1,1,LVRT,sym3ph,0.1,very_weak,2.0,69.3375,0.331062,359742.3,142466.0,0.9297,0.01272,0.1753,2.0,1.688,0.6869,20260609,1.5,0.16,expanded
2,1,LVRT,sym3ph,0.1,very_weak,2.0,69.3375,0.331062,293689.3,139753.1,0.903,0.021845,0.154,2.0,1.6758,0.3999,20260609,1.5,0.16,expanded
3,2,LVRT,sym3ph,0.1,very_weak,2.0,69.3375,0.331062,346698.5,210499.5,0.8548,0.024,0.4828,2.0,2.0068,0.4381,20260609,1.5,0.5,expanded
4,2,LVRT,sym3ph,0.1,very_weak,2.0,69.3375,0.331062,355527.9,208819.9,0.8623,0.025307,0.4506,2.0,1.9759,0.765,20260609,1.5,0.5,expanded
5,3,LVRT,sym3ph,0.1,very_weak,2.0,39.5285,0.377469,328606.6,130153.1,0.9297,0.014013,0.1478,2.0,1.6618,0.5182,20260609,3.0,0.16,expanded
6,3,LVRT,sym3ph,0.1,very_weak,2.0,39.5285,0.377469,359226.5,159117.0,0.9143,0.02394,0.1767,2.0,1.7006,0.2493,20260609,3.0,0.16,expanded
7,4,LVRT,sym3ph,0.1,very_weak,2.0,39.5285,0.377469,342678.6,115100.9,0.948,0.017807,0.4618,2.0,1.9796,0.5495,20260609,3.0,0.5,expanded
8,4,LVRT,sym3ph,0.1,very_weak,2.0,39.5285,0.377469,322959.0,183990.2,0.8689,0.019391,0.5494,2.0,2.0688,0.3553,20260609,3.0,0.5,expanded
9,5,LVRT,sym3ph,0.1,very_weak,2.0,20.5499,0.392474,335146.6,149439.3,0.9133,0.022526,0.1503,2.0,1.6729,0.3085,20260609,6.0,0.16,expanded
10,5,LVRT,sym3ph,0.1,very_weak,2.0,20.5499,0.392474,303122.8,109480.5,0.9405,0.028258,0.1572,2.0,1.6855,0.3539,20260609,6.0,0.16,expanded
11,6,LVRT,sym3ph,0.1,very_weak,2.0,20.5499,0.392474,352152.9,164639.5,0.9059,0.014604,0.503,2.0,2.0176,0.6567,20260609,6.0,0.5,expanded
12,6,LVRT,sym3ph,0.1,very_weak,2.0,20.5499,0.392474,350797.8,126715.3,0.9405,0.013187,0.4952,2.0,2.0084,0.7725,20260609,6.0,0.5,expanded
