scenario_id,family_id,category,fault_type,target_V_pu,grid,scr,Rg_ohm,Lg_H,P_load,Q_load,power_factor,t_fault,fault_dur,recover_to_0p9_s,T_sim,trans_resistance,random_seed
1,1,LVRT,sym3ph,0.2,strong,10,7.9057,0.075494,359742.3,142466,0.9297,0.01272,0.5692,2,2.0819,0.6869,20260609
11,2,LVRT,sym3ph,0.2,weak,3,26.3523,0.251646,352152.9,164639.5,0.9059,0.014604,0.4018,2,1.9164,0.6567,20260609
21,3,LVRT,sym3ph,0.5,strong,10,7.9057,0.075494,315681.9,162441.8,0.8892,0.028575,0.4467,2,1.9752,0.5001,20260609
31,4,LVRT,sym3ph,0.5,weak,3,26.3523,0.251646,287674.9,107801.5,0.9364,0.029352,0.5085,2,2.0378,0.6225,20260609
41,5,LVRT,sym3ph,0.75,strong,10,7.9057,0.075494,284977.1,145102,0.8911,0.024597,0.2547,2,1.7793,0.5572,20260609
51,6,LVRT,sym3ph,0.75,weak,3,26.3523,0.251646,347101.6,149978.8,0.918,0.02251,0.4872,2,2.0097,0.4243,20260609
61,7,LVRT,1ph_g,0.2,strong,10,7.9057,0.075494,319410.2,126022.8,0.9302,0.021198,0.6205,2,2.1417,0.5093,20260609
71,8,LVRT,1ph_g,0.2,weak,3,26.3523,0.251646,326024.7,176628.8,0.8793,0.024776,0.491,2,2.0158,0.7679,20260609
81,9,LVRT,1ph_g,0.5,strong,10,7.9057,0.075494,289491.1,117817.8,0.9262,0.028536,0.5291,2,2.0577,0.0948,20260609
91,10,LVRT,1ph_g,0.5,weak,3,26.3523,0.251646,287535,149907.6,0.8867,0.016226,0.2885,2,1.8047,0.0683,20260609
101,11,LVRT,1ph_g,0.75,strong,10,7.9057,0.075494,298903.1,137821.3,0.9081,0.027369,0.5525,2,2.0798,0.7504,20260609
111,12,LVRT,1ph_g,0.75,weak,3,26.3523,0.251646,355598.2,164872.3,0.9072,0.024326,0.4024,2,1.9267,0.2746,20260609
121,13,LVRT,2ph,0.2,strong,10,7.9057,0.075494,316459.8,182293.7,0.8665,0.028358,0.2543,2,1.7827,0.7604,20260609
131,14,LVRT,2ph,0.2,weak,3,26.3523,0.251646,296468.2,169883.5,0.8676,0.02302,0.5596,2,2.0827,0.2566,20260609
141,15,LVRT,2ph,0.5,strong,10,7.9057,0.075494,308461.2,108385.3,0.9435,0.020688,0.6153,2,2.136,0.6838,20260609
151,16,LVRT,2ph,0.5,weak,3,26.3523,0.251646,283127.4,130114.4,0.9086,0.019279,0.4819,2,2.0011,0.1729,20260609
161,17,LVRT,2ph,0.75,strong,10,7.9057,0.075494,316113.9,178028.7,0.8713,0.029373,0.4044,2,1.9338,0.485,20260609
171,18,LVRT,2ph,0.75,weak,3,26.3523,0.251646,291919.5,130440.3,0.913,0.027435,0.5778,2,2.1052,0.1386,20260609
181,19,LVRT,2ph_g,0.2,strong,10,7.9057,0.075494,346076.7,143863.3,0.9234,0.021518,0.2828,2,1.8043,0.4773,20260609
191,20,LVRT,2ph_g,0.2,weak,3,26.3523,0.251646,309055,114683.8,0.9375,0.025228,0.3006,2,1.8258,0.4491,20260609
201,21,LVRT,2ph_g,0.5,strong,10,7.9057,0.075494,354642.5,214895.4,0.8552,0.022988,0.2786,2,1.8016,0.2951,20260609
211,22,LVRT,2ph_g,0.5,weak,3,26.3523,0.251646,320764.2,163345.6,0.8911,0.028916,0.4768,2,2.0057,0.7722,20260609
221,23,LVRT,2ph_g,0.75,strong,10,7.9057,0.075494,344609.6,126250.8,0.939,0.022179,0.2208,2,1.743,0.2763,20260609
231,24,LVRT,2ph_g,0.75,weak,3,26.3523,0.251646,307444.9,174092.1,0.8702,0.027517,0.3071,2,1.8346,0.2311,20260609
241,25,HVRT,swell_3ph,1.2,strong,10,7.9057,0.075494,335117.5,171362.8,0.8903,0.023984,1,2,2.524,0.5001,20260609
251,26,HVRT,swell_3ph,1.2,weak,3,26.3523,0.251646,349061.3,209937.5,0.857,0.02337,1,2,2.5234,0.4732,20260609
261,27,HVRT,swell_3ph,1.3,strong,10,7.9057,0.075494,343743.3,173524.8,0.8927,0.015044,0.5,2,2.015,0.3976,20260609
271,28,HVRT,swell_3ph,1.3,weak,3,26.3523,0.251646,348257.2,151222.5,0.9173,0.028753,0.5,2,2.0288,0.5787,20260609
281,29,HVRT,swell_1ph,1.2,strong,10,7.9057,0.075494,352897.4,121149.1,0.9458,0.013403,1,2,2.5134,0.1132,20260609
291,30,HVRT,swell_1ph,1.2,weak,3,26.3523,0.251646,322512,198914.2,0.8511,0.012409,1,2,2.5124,0.2997,20260609
301,31,HVRT,swell_1ph,1.3,strong,10,7.9057,0.075494,314488.3,129565.1,0.9246,0.021419,0.5,2,2.0214,0.5681,20260609
311,32,HVRT,swell_1ph,1.3,weak,3,26.3523,0.251646,287765.6,112997.3,0.9308,0.013824,0.5,2,2.0138,0.1883,20260609
