sid,category,fault_type,scr,target_V_pu,iq,mse_d,mse_q,iq_post,mse_d_post,mse_q_post,post_delay,frt,connect,reactive,limit,recover,survive,recover_worst,Vdc_min,Vdc_max,V1_final_mean,V1_final_worst_signed
1441,HVRT,swell_3ph,2,1.1000,0.1,0.1,0.2,0.27,0.2,0.2,0,False,PASS,FAIL,PASS,FAIL,PASS,0.079794551,0.81744325,1.0574077,0.92091201,-0.079794551
1441,HVRT,swell_3ph,2,1.1000,0.1,0.1,0.2,0.27,0.2,0.2,0.08,False,PASS,FAIL,PASS,FAIL,PASS,0.079754763,0.79890632,1.0640928,0.92104881,-0.079754763
1441,HVRT,swell_3ph,2,1.1000,0.1,0.1,0.2,0.27,0.2,0.2,0.18,False,PASS,FAIL,PASS,FAIL,PASS,0.079288364,0.81744325,1.0845493,0.92166423,-0.079288364
1441,HVRT,swell_3ph,2,1.1000,0.1,0.1,0.2,0.27,0.2,0.2,0.25,False,PASS,FAIL,PASS,FAIL,PASS,0.079064909,0.81744325,1.1107583,0.92168645,-0.079064909
1441,HVRT,swell_3ph,2,1.1000,0.1,0.1,0.2,0.27,0.2,0.2,0.35,False,PASS,FAIL,PASS,FAIL,PASS,0.078854954,0.81744325,1.1066561,0.92202994,-0.078854954
1441,HVRT,swell_3ph,2,1.1000,0.1,0.1,0.2,0.3,0.2,0.2,0,False,PASS,FAIL,PASS,FAIL,PASS,0.072431328,0.81744325,1.1153232,0.92844822,-0.072431328
1441,HVRT,swell_3ph,2,1.1000,0.1,0.1,0.2,0.3,0.2,0.2,0.08,False,PASS,FAIL,PASS,FAIL,PASS,0.073025743,0.78703412,1.1102841,0.92818557,-0.073025743
1441,HVRT,swell_3ph,2,1.1000,0.1,0.1,0.2,0.3,0.2,0.2,0.18,False,PASS,FAIL,PASS,FAIL,PASS,0.072486561,0.81744325,1.1071582,0.92843971,-0.072486561
1441,HVRT,swell_3ph,2,1.1000,0.1,0.1,0.2,0.3,0.2,0.2,0.25,False,PASS,FAIL,PASS,FAIL,PASS,0.072521777,0.81744325,1.1063837,0.92835865,-0.072521777
1441,HVRT,swell_3ph,2,1.1000,0.1,0.1,0.2,0.3,0.2,0.2,0.35,False,PASS,FAIL,PASS,FAIL,PASS,0.072779564,0.81744325,1.1050316,0.92835427,-0.072779564
1441,HVRT,swell_3ph,2,1.1000,0.1,0.1,0.2,0.35,0.2,0.2,0,False,PASS,FAIL,PASS,FAIL,PASS,0.072393369,0.81744325,1.1158311,0.92845068,-0.072393369
1441,HVRT,swell_3ph,2,1.1000,0.1,0.1,0.2,0.35,0.2,0.2,0.08,False,PASS,FAIL,PASS,FAIL,PASS,0.073025611,0.78703412,1.1106968,0.9281859,-0.073025611
