sid,category,fault_type,scr,target_V_pu,iq,mse_d,mse_q,iq_post,mse_d_post,mse_q_post,post_delay,frt,connect,reactive,limit,recover,survive,recover_worst,Vdc_min,Vdc_max,V1_final_mean,V1_final_worst_signed
1441,HVRT,swell_3ph,2,1.1000,0,0,0,0.27,0.2,0.2,-0.12,False,PASS,FAIL,PASS,FAIL,PASS,0.0807751,0.85034573,1.2012343,0.92002273,-0.0807751
1441,HVRT,swell_3ph,2,1.1000,0,0,0,0.27,0.2,0.2,-0.08,False,PASS,FAIL,PASS,FAIL,PASS,0.080624152,0.84644886,1.2009541,0.92012472,-0.080624152
1441,HVRT,swell_3ph,2,1.1000,0,0,0,0.27,0.2,0.2,-0.04,False,PASS,FAIL,PASS,FAIL,PASS,0.080320987,0.85451805,1.2008895,0.92025622,-0.080320987
1441,HVRT,swell_3ph,2,1.1000,0,0,0,0.27,0.2,0.2,0,False,PASS,FAIL,PASS,FAIL,PASS,0.080436189,0.81130082,1.0454128,0.9203947,-0.080436189
1441,HVRT,swell_3ph,2,1.1000,0,0,0,0.27,0.2,0.2,0.02,False,PASS,FAIL,PASS,FAIL,PASS,0.080121158,0.78774631,1.0467213,0.92048466,-0.080121158
1441,HVRT,swell_3ph,2,1.1000,0,0,0,0.27,0.2,0.2,0.05,False,PASS,FAIL,PASS,FAIL,PASS,0.08036266,0.80768904,1.0496837,0.9203526,-0.08036266
1441,HVRT,swell_3ph,2,1.1000,0,0,0,0.27,0.2,0.2,0.08,False,PASS,FAIL,PASS,FAIL,PASS,0.080164716,0.80906039,1.0506803,0.92048511,-0.080164716
1441,HVRT,swell_3ph,2,1.1000,0,0,0,0.27,0.2,0.2,0.12,False,PASS,FAIL,PASS,FAIL,PASS,0.080281401,0.80412528,1.0508915,0.9204966,-0.080281401
1441,HVRT,swell_3ph,2,1.1000,0,0,0,0.27,0.2,0.2,0.18,False,PASS,FAIL,PASS,FAIL,PASS,0.08031738,0.80466244,1.0487076,0.92044581,-0.08031738
1441,HVRT,swell_3ph,2,1.1000,0,0,0,0.27,0.2,0.2,0.25,False,PASS,FAIL,PASS,FAIL,PASS,0.080238937,0.82362788,1.0584027,0.92055375,-0.080238937
1441,HVRT,swell_3ph,2,1.1000,0,0,0,0.27,0.15,0.2,-0.12,False,PASS,FAIL,PASS,FAIL,PASS,0.083321516,0.87779925,1.2018879,0.91750267,-0.083321516
1441,HVRT,swell_3ph,2,1.1000,0,0,0,0.27,0.15,0.2,-0.08,False,PASS,FAIL,PASS,FAIL,PASS,0.083356377,0.87245971,1.2013158,0.91772015,-0.083356377
1441,HVRT,swell_3ph,2,1.1000,0,0,0,0.27,0.15,0.2,-0.04,False,PASS,FAIL,PASS,FAIL,PASS,0.083028946,0.88163589,1.2017534,0.91786893,-0.083028946
1441,HVRT,swell_3ph,2,1.1000,0,0,0,0.27,0.15,0.2,0,False,PASS,FAIL,PASS,FAIL,PASS,0.082752918,0.84221676,1.0629585,0.91795878,-0.082752918
1441,HVRT,swell_3ph,2,1.1000,0,0,0,0.27,0.15,0.2,0.02,False,PASS,FAIL,PASS,FAIL,PASS,0.082968788,0.81110802,1.0659341,0.91801575,-0.082968788
1441,HVRT,swell_3ph,2,1.1000,0,0,0,0.27,0.15,0.2,0.05,False,PASS,FAIL,PASS,FAIL,PASS,0.083000643,0.83722781,1.0668844,0.91809564,-0.083000643
1441,HVRT,swell_3ph,2,1.1000,0,0,0,0.27,0.15,0.2,0.08,False,PASS,FAIL,PASS,FAIL,PASS,0.082796319,0.84115763,1.0667911,0.9181131,-0.082796319
1441,HVRT,swell_3ph,2,1.1000,0,0,0,0.27,0.15,0.2,0.12,False,PASS,FAIL,PASS,FAIL,PASS,0.082552584,0.83641656,1.0697903,0.91822441,-0.082552584
1441,HVRT,swell_3ph,2,1.1000,0,0,0,0.27,0.15,0.2,0.18,False,PASS,FAIL,PASS,FAIL,PASS,0.082570515,0.83929585,1.0745398,0.91822212,-0.082570515
1441,HVRT,swell_3ph,2,1.1000,0,0,0,0.27,0.15,0.2,0.25,False,PASS,FAIL,PASS,FAIL,PASS,0.082770986,0.85549267,1.0874997,0.91829118,-0.082770986
1441,HVRT,swell_3ph,2,1.1000,0,0,0,0.27,0.2,0.15,-0.12,False,PASS,FAIL,PASS,FAIL,PASS,0.082467846,0.83673756,1.2003551,0.91828573,-0.082467846
1441,HVRT,swell_3ph,2,1.1000,0,0,0,0.27,0.2,0.15,-0.08,False,PASS,FAIL,PASS,FAIL,PASS,0.082167283,0.83362953,1.2003197,0.91842788,-0.082167283
1441,HVRT,swell_3ph,2,1.1000,0,0,0,0.27,0.2,0.15,-0.04,False,PASS,FAIL,PASS,FAIL,PASS,0.082363035,0.83912343,1.1928291,0.91832794,-0.082363035
1441,HVRT,swell_3ph,2,1.1000,0,0,0,0.27,0.2,0.15,0,False,PASS,FAIL,PASS,FAIL,PASS,0.082153738,0.79669102,1.038171,0.91848057,-0.082153738
1441,HVRT,swell_3ph,2,1.1000,0,0,0,0.27,0.2,0.15,0.02,False,PASS,FAIL,PASS,FAIL,PASS,0.081991454,0.77515675,1.0413561,0.91852178,-0.081991454
