sid,fault_type,category,scr,target_V_pu,Vg_p,failed_criteria,n_failed,connect,reactive,limit,recover,survive,primary_reason,worst,t_worst,has_not_evaluated,not_evaluated,dq_frt,dq_also_fail,ode_visibility,ode_visible,ode_blind,ode_matched_criteria,ode_failed_criteria,ode_vdc_survive_proxy,ode_vdc_min,ode_reason
161,2ph,LVRT,10,0.75,0.875,reactive,1,PASS,FAIL,PASS,PASS,PASS,reactive:wrong sign (sourcing under-volt / absorbing over-volt),,reactive@0.080,False,,False,True,VISIBLE,True,False,reactive,reactive,PASS,0.8067147940429479,matched switching failed criterion
162,2ph,LVRT,10,0.75,0.875,reactive,1,PASS,FAIL,PASS,PASS,PASS,reactive:wrong sign (sourcing under-volt / absorbing over-volt),,reactive@0.080,False,,False,True,VISIBLE,True,False,reactive,reactive,PASS,0.8067140620335139,matched switching failed criterion
163,2ph,LVRT,10,0.75,0.875,reactive,1,PASS,FAIL,PASS,PASS,PASS,reactive:wrong sign (sourcing under-volt / absorbing over-volt),,reactive@0.080,False,,False,True,VISIBLE,True,False,reactive,reactive,PASS,0.8067198149628163,matched switching failed criterion
166,2ph,LVRT,10,0.75,0.875,reactive,1,PASS,FAIL,PASS,PASS,PASS,reactive:wrong sign (sourcing under-volt / absorbing over-volt),,reactive@0.080,False,,False,True,VISIBLE,True,False,reactive,reactive,PASS,0.8067130799471461,matched switching failed criterion
169,2ph,LVRT,10,0.75,0.875,reactive,1,PASS,FAIL,PASS,PASS,PASS,reactive:wrong sign (sourcing under-volt / absorbing over-volt),,reactive@0.080,False,,False,True,VISIBLE,True,False,reactive,reactive,PASS,0.8067175199562623,matched switching failed criterion
170,2ph,LVRT,10,0.75,0.875,reactive,1,PASS,FAIL,PASS,PASS,PASS,reactive:wrong sign (sourcing under-volt / absorbing over-volt),,reactive@0.080,False,,False,True,VISIBLE,True,False,reactive,reactive,PASS,0.8067147940429479,matched switching failed criterion
171,2ph,LVRT,3,0.75,0.875,reactive,1,PASS,FAIL,PASS,PASS,PASS,reactive:wrong sign (sourcing under-volt / absorbing over-volt),,reactive@0.080,False,,None,False,VISIBLE,True,False,reactive,reactive,PASS,0.8122610256262487,matched switching failed criterion
174,2ph,LVRT,3,0.75,0.875,reactive,1,PASS,FAIL,PASS,PASS,PASS,reactive:wrong sign (sourcing under-volt / absorbing over-volt),,reactive@0.080,False,,None,False,VISIBLE,True,False,reactive,reactive,PASS,0.8122612134351276,matched switching failed criterion
176,2ph,LVRT,3,0.75,0.875,reactive,1,PASS,FAIL,PASS,PASS,PASS,reactive:wrong sign (sourcing under-volt / absorbing over-volt),,reactive@0.080,False,,None,False,VISIBLE,True,False,reactive,reactive,PASS,0.8122613342010864,matched switching failed criterion
178,2ph,LVRT,3,0.75,0.875,reactive,1,PASS,FAIL,PASS,PASS,PASS,reactive:wrong sign (sourcing under-volt / absorbing over-volt),,reactive@0.080,False,,None,False,VISIBLE,True,False,reactive,reactive,PASS,0.8122610256262487,matched switching failed criterion
179,2ph,LVRT,3,0.75,0.875,reactive,1,PASS,FAIL,PASS,PASS,PASS,reactive:wrong sign (sourcing under-volt / absorbing over-volt),,reactive@0.080,False,,None,False,VISIBLE,True,False,reactive,reactive,PASS,0.812261529470762,matched switching failed criterion
180,2ph,LVRT,3,0.75,0.875,reactive,1,PASS,FAIL,PASS,PASS,PASS,reactive:wrong sign (sourcing under-volt / absorbing over-volt),,reactive@0.080,False,,None,False,VISIBLE,True,False,reactive,reactive,PASS,0.812261863797026,matched switching failed criterion
224,2ph_g,LVRT,10,0.75,0.8333,reactive,1,PASS,FAIL,PASS,PASS,PASS,reactive:wrong sign (sourcing under-volt / absorbing over-volt),,reactive@0.080,False,,False,True,VISIBLE,True,False,reactive,reactive,PASS,0.7838651456353601,matched switching failed criterion
227,2ph_g,LVRT,10,0.75,0.8333,reactive,1,PASS,FAIL,PASS,PASS,PASS,reactive:wrong sign (sourcing under-volt / absorbing over-volt),,reactive@0.080,False,,False,True,VISIBLE,True,False,reactive,reactive,PASS,0.7839053048223004,matched switching failed criterion
271,swell_3ph,HVRT,3,1.3,1.3,survive,1,PASS,PASS,PASS,PASS,FAIL,survive:Vdc<0.75,survive=0.031677830534734386,survive@0.605,False,,True,False,VISIBLE,True,False,survive,connect+recover,FAIL,0.657154219871472,matched switching failed criterion
272,swell_3ph,HVRT,3,1.3,1.3,survive,1,PASS,PASS,PASS,PASS,FAIL,survive:Vdc<0.75,survive=0.031677830534734386,survive@0.605,False,,True,False,VISIBLE,True,False,survive,connect+recover,FAIL,0.6571632611396518,matched switching failed criterion
