expert,seed,step,ode_selection_proxy_pct,best_proxy_pct,metric_note
ablation_single,42,25000,82.0,82.0,"ODE selection proxy, not certified frt-v2 pass rate"
ablation_single,42,50000,63.0,82.0,"ODE selection proxy, not certified frt-v2 pass rate"
ablation_single,42,75000,38.0,82.0,"ODE selection proxy, not certified frt-v2 pass rate"
ablation_single,42,100000,50.0,82.0,"ODE selection proxy, not certified frt-v2 pass rate"
ablation_single,42,125000,52.0,82.0,"ODE selection proxy, not certified frt-v2 pass rate"
ablation_single,42,150000,67.0,82.0,"ODE selection proxy, not certified frt-v2 pass rate"
ablation_single,42,175000,70.0,82.0,"ODE selection proxy, not certified frt-v2 pass rate"
ablation_single,42,200000,72.0,82.0,"ODE selection proxy, not certified frt-v2 pass rate"
ablation_single,42,225000,50.0,82.0,"ODE selection proxy, not certified frt-v2 pass rate"
ablation_single,42,250000,83.0,83.0,"ODE selection proxy, not certified frt-v2 pass rate"
ablation_single,42,275000,67.0,83.0,"ODE selection proxy, not certified frt-v2 pass rate"
ablation_single,42,300000,52.0,83.0,"ODE selection proxy, not certified frt-v2 pass rate"
asym,7,25000,50.0,50.0,"ODE selection proxy, not certified frt-v2 pass rate"
asym,7,50000,100.0,100.0,"ODE selection proxy, not certified frt-v2 pass rate"
asym,7,75000,100.0,100.0,"ODE selection proxy, not certified frt-v2 pass rate"
asym,7,100000,25.0,100.0,"ODE selection proxy, not certified frt-v2 pass rate"
asym,7,125000,75.0,100.0,"ODE selection proxy, not certified frt-v2 pass rate"
asym,7,150000,25.0,100.0,"ODE selection proxy, not certified frt-v2 pass rate"
asym,7,175000,0.0,100.0,"ODE selection proxy, not certified frt-v2 pass rate"
asym,7,200000,42.0,100.0,"ODE selection proxy, not certified frt-v2 pass rate"
asym,7,225000,22.0,100.0,"ODE selection proxy, not certified frt-v2 pass rate"
asym,7,250000,25.0,100.0,"ODE selection proxy, not certified frt-v2 pass rate"
asym,7,275000,25.0,100.0,"ODE selection proxy, not certified frt-v2 pass rate"
asym,7,300000,25.0,100.0,"ODE selection proxy, not certified frt-v2 pass rate"
asym,31,25000,100.0,100.0,"ODE selection proxy, not certified frt-v2 pass rate"
asym,31,50000,100.0,100.0,"ODE selection proxy, not certified frt-v2 pass rate"
asym,31,75000,25.0,100.0,"ODE selection proxy, not certified frt-v2 pass rate"
asym,31,100000,100.0,100.0,"ODE selection proxy, not certified frt-v2 pass rate"
asym,31,125000,65.0,100.0,"ODE selection proxy, not certified frt-v2 pass rate"
asym,31,150000,98.0,100.0,"ODE selection proxy, not certified frt-v2 pass rate"
asym,31,175000,92.0,100.0,"ODE selection proxy, not certified frt-v2 pass rate"
asym,31,200000,68.0,100.0,"ODE selection proxy, not certified frt-v2 pass rate"
asym,31,225000,78.0,100.0,"ODE selection proxy, not certified frt-v2 pass rate"
asym,31,250000,62.0,100.0,"ODE selection proxy, not certified frt-v2 pass rate"
asym,31,275000,62.0,100.0,"ODE selection proxy, not certified frt-v2 pass rate"
asym,31,300000,52.0,100.0,"ODE selection proxy, not certified frt-v2 pass rate"
asym,42,25000,100.0,100.0,"ODE selection proxy, not certified frt-v2 pass rate"
asym,42,50000,100.0,100.0,"ODE selection proxy, not certified frt-v2 pass rate"
asym,42,75000,80.0,100.0,"ODE selection proxy, not certified frt-v2 pass rate"
asym,42,100000,50.0,100.0,"ODE selection proxy, not certified frt-v2 pass rate"
asym,42,125000,82.0,100.0,"ODE selection proxy, not certified frt-v2 pass rate"
asym,42,150000,85.0,100.0,"ODE selection proxy, not certified frt-v2 pass rate"
asym,42,175000,75.0,100.0,"ODE selection proxy, not certified frt-v2 pass rate"
asym,42,200000,100.0,100.0,"ODE selection proxy, not certified frt-v2 pass rate"
asym,42,225000,100.0,100.0,"ODE selection proxy, not certified frt-v2 pass rate"
asym,42,250000,75.0,100.0,"ODE selection proxy, not certified frt-v2 pass rate"
asym,42,275000,25.0,100.0,"ODE selection proxy, not certified frt-v2 pass rate"
