baseline,scenario_id,bucket,sac_pass,baseline_pass,category,fault_type,scr,target_V_pu,duration_bin_s,xr_ratio,sac_failed_criteria,baseline_failed_criteria,sac_not_eval_criteria,baseline_not_eval_criteria,sac_vdc_min,baseline_vdc_min
dq_droop_iq030_no_series,1,both_pass,True,True,LVRT,sym3ph,2.0,0.1,0.16,1.5,,,limit+survive,limit+survive,0.9217473825862886,0.9200101794451363
dq_droop_iq030_no_series,2,both_pass,True,True,LVRT,sym3ph,2.0,0.1,0.16,1.5,,,limit+survive,limit+survive,0.9217194528804162,0.920018271319156
dq_droop_iq030_no_series,3,both_pass,True,True,LVRT,sym3ph,2.0,0.1,0.5,1.5,,,limit+survive,limit+survive,0.9063106097195782,0.9200000000000755
dq_droop_iq030_no_series,4,both_pass,True,True,LVRT,sym3ph,2.0,0.1,0.5,1.5,,,limit+survive,limit+survive,0.9088767389514544,0.9200000000007843
dq_droop_iq030_no_series,5,both_pass,True,True,LVRT,sym3ph,2.0,0.1,0.16,3.0,,,limit+survive,limit+survive,0.9212818177447876,0.9200588655897288
dq_droop_iq030_no_series,6,both_pass,True,True,LVRT,sym3ph,2.0,0.1,0.16,3.0,,,limit+survive,limit+survive,0.9214187863889486,0.9200056712436797
dq_droop_iq030_no_series,7,both_pass,True,True,LVRT,sym3ph,2.0,0.1,0.5,3.0,,,limit+survive,limit+survive,0.9076673756341689,0.9200000000002434
dq_droop_iq030_no_series,8,both_pass,True,True,LVRT,sym3ph,2.0,0.1,0.5,3.0,,,limit+survive,limit+survive,0.9055593905059263,0.9200000000000421
dq_droop_iq030_no_series,9,both_pass,True,True,LVRT,sym3ph,2.0,0.1,0.16,6.0,,,limit+survive,limit+survive,0.9214187863889486,0.9200327956091152
dq_droop_iq030_no_series,10,both_pass,True,True,LVRT,sym3ph,2.0,0.1,0.16,6.0,,,limit+survive,limit+survive,0.921664049313967,0.9200327956091152
dq_droop_iq030_no_series,11,both_pass,True,True,LVRT,sym3ph,2.0,0.1,0.5,6.0,,,limit+survive,limit+survive,0.9055593982741732,0.9200000000000421
dq_droop_iq030_no_series,12,both_pass,True,True,LVRT,sym3ph,2.0,0.1,0.5,6.0,,,limit+survive,limit+survive,0.9055594201959628,0.9200000000000421
dq_droop_iq030_no_series,13,both_pass,True,True,LVRT,sym3ph,3.0,0.1,0.16,1.5,,,limit+survive,limit+survive,0.9219379028594007,0.9200101794451363
dq_droop_iq030_no_series,14,both_pass,True,True,LVRT,sym3ph,3.0,0.1,0.16,1.5,,,limit+survive,limit+survive,0.921565984243329,0.9200327956091152
dq_droop_iq030_no_series,15,both_pass,True,True,LVRT,sym3ph,3.0,0.1,0.5,1.5,,,limit+survive,limit+survive,0.9061351296313135,0.9200000000000421
dq_droop_iq030_no_series,16,both_pass,True,True,LVRT,sym3ph,3.0,0.1,0.5,1.5,,,limit+survive,limit+survive,0.9061351298170999,0.9200000000000421
dq_droop_iq030_no_series,17,both_pass,True,True,LVRT,sym3ph,3.0,0.1,0.16,3.0,,,limit+survive,limit+survive,0.9220586202996478,0.9200588655897288
dq_droop_iq030_no_series,18,both_pass,True,True,LVRT,sym3ph,3.0,0.1,0.16,3.0,,,limit+survive,limit+survive,0.9220046218985211,0.9200588655897288
dq_droop_iq030_no_series,19,both_pass,True,True,LVRT,sym3ph,3.0,0.1,0.5,3.0,,,limit+survive,limit+survive,0.9061351296313135,0.9200000000000421
dq_droop_iq030_no_series,20,both_pass,True,True,LVRT,sym3ph,3.0,0.1,0.5,3.0,,,limit+survive,limit+survive,0.9061351298170999,0.9200000000000421
dq_droop_iq030_no_series,21,both_pass,True,True,LVRT,sym3ph,3.0,0.1,0.16,6.0,,,limit+survive,limit+survive,0.9218565878205339,0.920018271319156
dq_droop_iq030_no_series,22,both_pass,True,True,LVRT,sym3ph,3.0,0.1,0.16,6.0,,,limit+survive,limit+survive,0.9220046218985211,0.9200588655897288
dq_droop_iq030_no_series,23,both_pass,True,True,LVRT,sym3ph,3.0,0.1,0.5,6.0,,,limit+survive,limit+survive,0.9068320600452813,0.9200000000000755
dq_droop_iq030_no_series,24,both_pass,True,True,LVRT,sym3ph,3.0,0.1,0.5,6.0,,,limit+survive,limit+survive,0.9074878527853768,0.9200000000001355
dq_droop_iq030_no_series,25,both_pass,True,True,LVRT,sym3ph,5.0,0.1,0.16,1.5,,,limit+survive,limit+survive,0.9225612205510332,0.920018271319156
dq_droop_iq030_no_series,26,both_pass,True,True,LVRT,sym3ph,5.0,0.1,0.16,1.5,,,limit+survive,limit+survive,0.9224322552674351,0.9200056712436797
dq_droop_iq030_no_series,27,both_pass,True,True,LVRT,sym3ph,5.0,0.1,0.5,1.5,,,limit+survive,limit+survive,0.9066073395471496,0.9200000000000421
dq_droop_iq030_no_series,28,both_pass,True,True,LVRT,sym3ph,5.0,0.1,0.5,1.5,,,limit+survive,limit+survive,0.9092168255229737,0.9200000000004369
dq_droop_iq030_no_series,29,both_pass,True,True,LVRT,sym3ph,5.0,0.1,0.16,3.0,,,limit+survive,limit+survive,0.9223928201837219,0.9200056712436797
dq_droop_iq030_no_series,30,both_pass,True,True,LVRT,sym3ph,5.0,0.1,0.16,3.0,,,limit+survive,limit+survive,0.9224322552674351,0.9200327956091152
dq_droop_iq030_no_series,31,both_pass,True,True,LVRT,sym3ph,5.0,0.1,0.5,3.0,,,limit+survive,limit+survive,0.9066073395372864,0.9200000000000421
dq_droop_iq030_no_series,32,both_pass,True,True,LVRT,sym3ph,5.0,0.1,0.5,3.0,,,limit+survive,limit+survive,0.9066073371182896,0.9200000000000421
dq_droop_iq030_no_series,33,both_pass,True,True,LVRT,sym3ph,5.0,0.1,0.16,6.0,,,limit+survive,limit+survive,0.922423424356561,0.9200101794451363
dq_droop_iq030_no_series,34,both_pass,True,True,LVRT,sym3ph,5.0,0.1,0.16,6.0,,,limit+survive,limit+survive,0.9224115309158157,0.920018271319156
dq_droop_iq030_no_series,35,both_pass,True,True,LVRT,sym3ph,5.0,0.1,0.5,6.0,,,limit+survive,limit+survive,0.909543607934204,0.9200000000007843
dq_droop_iq030_no_series,36,both_pass,True,True,LVRT,sym3ph,5.0,0.1,0.5,6.0,,,limit+survive,limit+survive,0.9071925239267491,0.9200000000000755
dq_droop_iq030_no_series,37,both_fail,False,False,LVRT,sym3ph,10.0,0.1,0.16,1.5,connect+vdc_survive_proxy,vdc_survive_proxy,limit+recover+survive,limit+survive,0.5391155819156315,0.542885424334153
dq_droop_iq030_no_series,38,both_fail,False,False,LVRT,sym3ph,10.0,0.1,0.16,1.5,connect+vdc_survive_proxy,vdc_survive_proxy,limit+recover+survive,limit+survive,0.5391164080950551,0.542885424334153
dq_droop_iq030_no_series,39,both_fail,False,False,LVRT,sym3ph,10.0,0.1,0.5,1.5,connect+vdc_survive_proxy,vdc_survive_proxy,limit+recover+survive,limit+survive,0.5391198205616032,0.5428571428572598
dq_droop_iq030_no_series,40,both_fail,False,False,LVRT,sym3ph,10.0,0.1,0.5,1.5,connect+vdc_survive_proxy,vdc_survive_proxy,limit+recover+survive,limit+survive,0.5391178413577945,0.5428571428572598
dq_droop_iq030_no_series,41,both_fail,False,False,LVRT,sym3ph,10.0,0.1,0.16,3.0,recover+vdc_survive_proxy,recover+vdc_survive_proxy,limit+survive,limit+survive,0.4994421818271775,0.5036481275673583
dq_droop_iq030_no_series,42,both_fail,False,False,LVRT,sym3ph,10.0,0.1,0.16,3.0,recover+vdc_survive_proxy,recover+vdc_survive_proxy,limit+survive,limit+survive,0.4988120671663506,0.5036050829743631
dq_droop_iq030_no_series,43,both_fail,False,False,LVRT,sym3ph,10.0,0.1,0.5,3.0,connect+vdc_survive_proxy,recover+vdc_survive_proxy,limit+recover+survive,limit+survive,0.4981295664498543,0.5035509335806958
dq_droop_iq030_no_series,44,both_fail,False,False,LVRT,sym3ph,10.0,0.1,0.5,3.0,connect+vdc_survive_proxy,recover+vdc_survive_proxy,limit+recover+survive,limit+survive,0.4981286352129113,0.5035509335809732
dq_droop_iq030_no_series,45,both_fail,False,False,LVRT,sym3ph,10.0,0.1,0.16,6.0,recover+vdc_survive_proxy,recover+vdc_survive_proxy,limit+survive,limit+survive,0.47342310844688307,0.4786269078737553
dq_droop_iq030_no_series,46,both_fail,False,False,LVRT,sym3ph,10.0,0.1,0.16,6.0,connect+vdc_survive_proxy,recover+vdc_survive_proxy,limit+recover+survive,limit+survive,0.4720812469191413,0.4785572133241866
dq_droop_iq030_no_series,47,both_fail,False,False,LVRT,sym3ph,10.0,0.1,0.5,6.0,connect+vdc_survive_proxy,recover+vdc_survive_proxy,limit+recover+survive,limit+survive,0.47208359714925724,0.47852584408573573
dq_droop_iq030_no_series,48,both_fail,False,False,LVRT,sym3ph,10.0,0.1,0.5,6.0,connect+vdc_survive_proxy,recover+vdc_survive_proxy,limit+recover+survive,limit+survive,0.47208205412599336,0.4785258440863562
dq_droop_iq030_no_series,49,both_fail,False,False,LVRT,sym3ph,15.0,0.1,0.16,1.5,connect+vdc_survive_proxy,vdc_survive_proxy,limit+recover+survive,limit+survive,0.5392621282112633,0.542885424334153
dq_droop_iq030_no_series,50,both_fail,False,False,LVRT,sym3ph,15.0,0.1,0.16,1.5,connect+vdc_survive_proxy,vdc_survive_proxy,limit+recover+survive,limit+survive,0.5392659467131055,0.5428728992314439
dq_droop_iq030_no_series,51,both_fail,False,False,LVRT,sym3ph,15.0,0.1,0.5,1.5,connect+vdc_survive_proxy,vdc_survive_proxy,limit+recover+survive,limit+survive,0.5392619558281719,0.5428571428572598
dq_droop_iq030_no_series,52,both_fail,False,False,LVRT,sym3ph,15.0,0.1,0.5,1.5,connect+vdc_survive_proxy,vdc_survive_proxy,limit+recover+survive,limit+survive,0.5392621282112633,0.5428571428583568
dq_droop_iq030_no_series,53,both_fail,False,False,LVRT,sym3ph,15.0,0.1,0.16,3.0,connect+vdc_survive_proxy,recover+vdc_survive_proxy,limit+recover+survive,limit+survive,0.49822297519023695,0.5035814313043127
dq_droop_iq030_no_series,54,both_fail,False,False,LVRT,sym3ph,15.0,0.1,0.16,3.0,recover+vdc_survive_proxy,recover+vdc_survive_proxy,limit+survive,limit+survive,0.4989006258275875,0.5036054125964817
dq_droop_iq030_no_series,55,both_fail,False,False,LVRT,sym3ph,15.0,0.1,0.5,3.0,connect+vdc_survive_proxy,recover+vdc_survive_proxy,limit+recover+survive,limit+survive,0.49822591451637754,0.5035512632312147
dq_droop_iq030_no_series,56,both_fail,False,False,LVRT,sym3ph,15.0,0.1,0.5,3.0,connect+vdc_survive_proxy,recover+vdc_survive_proxy,limit+recover+survive,limit+survive,0.49822307187009496,0.5035512632312147
dq_droop_iq030_no_series,57,both_fail,False,False,LVRT,sym3ph,15.0,0.1,0.16,6.0,recover+vdc_survive_proxy,recover+vdc_survive_proxy,limit+survive,limit+survive,0.472861967381602,0.4785821494502022
dq_droop_iq030_no_series,58,both_fail,False,False,LVRT,sym3ph,15.0,0.1,0.16,6.0,connect+vdc_survive_proxy,recover+vdc_survive_proxy,limit+recover+survive,limit+survive,0.47216476298660703,0.47854332073523226
dq_droop_iq030_no_series,59,both_fail,False,False,LVRT,sym3ph,15.0,0.1,0.5,6.0,connect+vdc_survive_proxy,recover+vdc_survive_proxy,limit+recover+survive,limit+survive,0.47216476298660703,0.47852584408573573
dq_droop_iq030_no_series,60,both_fail,False,False,LVRT,sym3ph,15.0,0.1,0.5,6.0,connect+vdc_survive_proxy,recover+vdc_survive_proxy,limit+recover+survive,limit+survive,0.47216474621677756,0.4785258440863562
dq_droop_iq030_no_series,61,both_pass,True,True,LVRT,sym3ph,2.0,0.2,0.16,1.5,,,limit+survive,limit+survive,0.9179708753970113,0.9200063594457804
dq_droop_iq030_no_series,62,both_pass,True,True,LVRT,sym3ph,2.0,0.2,0.16,1.5,,,limit+survive,limit+survive,0.9190042948676684,0.920036775337083
dq_droop_iq030_no_series,63,both_pass,True,True,LVRT,sym3ph,2.0,0.2,0.5,1.5,,,limit+survive,limit+survive,0.8986806791660745,0.9200000000000472
dq_droop_iq030_no_series,64,both_pass,True,True,LVRT,sym3ph,2.0,0.2,0.5,1.5,,,limit+survive,limit+survive,0.8986806764026662,0.9200000000000472
dq_droop_iq030_no_series,65,both_pass,True,True,LVRT,sym3ph,2.0,0.2,0.16,3.0,,,limit+survive,limit+survive,0.9192946890548414,0.9200660088945828
dq_droop_iq030_no_series,66,both_pass,True,True,LVRT,sym3ph,2.0,0.2,0.16,3.0,,,limit+survive,limit+survive,0.9183898640536543,0.9200114147148446
dq_droop_iq030_no_series,67,both_pass,True,True,LVRT,sym3ph,2.0,0.2,0.5,3.0,,,limit+survive,limit+survive,0.8994697163484151,0.9200000000001521
dq_droop_iq030_no_series,68,both_pass,True,True,LVRT,sym3ph,2.0,0.2,0.5,3.0,,,limit+survive,limit+survive,0.9004614568175227,0.9200000000004899
dq_droop_iq030_no_series,69,both_pass,True,True,LVRT,sym3ph,2.0,0.2,0.16,6.0,,,limit+survive,limit+survive,0.919009582653166,0.920036775337083
dq_droop_iq030_no_series,70,both_pass,True,True,LVRT,sym3ph,2.0,0.2,0.16,6.0,,,limit+survive,limit+survive,0.9190055266704211,0.920036775337083
dq_droop_iq030_no_series,71,both_pass,True,True,LVRT,sym3ph,2.0,0.2,0.5,6.0,,,limit+survive,limit+survive,0.8986806834951571,0.9200000000000472
dq_droop_iq030_no_series,72,both_pass,True,True,LVRT,sym3ph,2.0,0.2,0.5,6.0,,,limit+survive,limit+survive,0.8986806840707271,0.9200000000000472
dq_droop_iq030_no_series,73,both_pass,True,True,LVRT,sym3ph,3.0,0.2,0.16,1.5,,,limit+survive,limit+survive,0.9194797424278098,0.9200204302839378
dq_droop_iq030_no_series,74,both_pass,True,True,LVRT,sym3ph,3.0,0.2,0.16,1.5,,,limit+survive,limit+survive,0.9194788711577676,0.9200204302839378
dq_droop_iq030_no_series,75,both_pass,True,True,LVRT,sym3ph,3.0,0.2,0.5,1.5,,,limit+survive,limit+survive,0.8990528821202092,0.9200000000000844
dq_droop_iq030_no_series,76,both_pass,True,True,LVRT,sym3ph,3.0,0.2,0.5,1.5,,,limit+survive,limit+survive,0.8990528828980611,0.9200000000000844
dq_droop_iq030_no_series,77,both_pass,True,True,LVRT,sym3ph,3.0,0.2,0.16,3.0,,,limit+survive,limit+survive,0.9194783762730623,0.9200204302839378
dq_droop_iq030_no_series,78,both_pass,True,True,LVRT,sym3ph,3.0,0.2,0.16,3.0,,,limit+survive,limit+survive,0.9191759343754806,0.9200113822626974
dq_droop_iq030_no_series,79,both_pass,True,True,LVRT,sym3ph,3.0,0.2,0.5,3.0,,,limit+survive,limit+survive,0.8985892156898089,0.9200000000000471
dq_droop_iq030_no_series,80,both_pass,True,True,LVRT,sym3ph,3.0,0.2,0.5,3.0,,,limit+survive,limit+survive,0.89858921685998,0.9200000000000471
dq_droop_iq030_no_series,81,both_pass,True,True,LVRT,sym3ph,3.0,0.2,0.16,6.0,,,limit+survive,limit+survive,0.9191761557514136,0.9200113822626974
dq_droop_iq030_no_series,82,both_pass,True,True,LVRT,sym3ph,3.0,0.2,0.16,6.0,,,limit+survive,limit+survive,0.9194879029184816,0.9200204302839378
dq_droop_iq030_no_series,83,both_pass,True,True,LVRT,sym3ph,3.0,0.2,0.5,6.0,,,limit+survive,limit+survive,0.8996104385410212,0.9200000000001517
dq_droop_iq030_no_series,84,both_pass,True,True,LVRT,sym3ph,3.0,0.2,0.5,6.0,,,limit+survive,limit+survive,0.8985892049240847,0.9200000000000471
dq_droop_iq030_no_series,85,both_pass,True,True,LVRT,sym3ph,5.0,0.2,0.16,1.5,,,limit+survive,limit+survive,0.9194897920683769,0.9200063269008597
dq_droop_iq030_no_series,86,both_pass,True,True,LVRT,sym3ph,5.0,0.2,0.16,1.5,,,limit+survive,limit+survive,0.9202702750507603,0.9200365871366536
dq_droop_iq030_no_series,87,both_pass,True,True,LVRT,sym3ph,5.0,0.2,0.5,1.5,,,limit+survive,limit+survive,0.898716962004341,0.9200000000000471
dq_droop_iq030_no_series,88,both_pass,True,True,LVRT,sym3ph,5.0,0.2,0.5,1.5,,,limit+survive,limit+survive,0.9011978773555933,0.9200000000002718
