sid,fault_type,category,scr,Vg_p,region,V1_tested,example_wrong_iq,projected_iq,wrong_sign_before,wrong_sign_after,sweep_invariant_ok,would_be_intercepted,projection_reason
161,2ph,LVRT,10,0.875,undervolt,0.875,-0.05,0.0,True,False,True,True,undervolt_wrong_sign(iq<0)->+0.000
162,2ph,LVRT,10,0.875,undervolt,0.875,-0.05,0.0,True,False,True,True,undervolt_wrong_sign(iq<0)->+0.000
163,2ph,LVRT,10,0.875,undervolt,0.875,-0.05,0.0,True,False,True,True,undervolt_wrong_sign(iq<0)->+0.000
166,2ph,LVRT,10,0.875,undervolt,0.875,-0.05,0.0,True,False,True,True,undervolt_wrong_sign(iq<0)->+0.000
169,2ph,LVRT,10,0.875,undervolt,0.875,-0.05,0.0,True,False,True,True,undervolt_wrong_sign(iq<0)->+0.000
170,2ph,LVRT,10,0.875,undervolt,0.875,-0.05,0.0,True,False,True,True,undervolt_wrong_sign(iq<0)->+0.000
171,2ph,LVRT,3,0.875,undervolt,0.875,-0.05,0.0,True,False,True,True,undervolt_wrong_sign(iq<0)->+0.000
174,2ph,LVRT,3,0.875,undervolt,0.875,-0.05,0.0,True,False,True,True,undervolt_wrong_sign(iq<0)->+0.000
176,2ph,LVRT,3,0.875,undervolt,0.875,-0.05,0.0,True,False,True,True,undervolt_wrong_sign(iq<0)->+0.000
178,2ph,LVRT,3,0.875,undervolt,0.875,-0.05,0.0,True,False,True,True,undervolt_wrong_sign(iq<0)->+0.000
179,2ph,LVRT,3,0.875,undervolt,0.875,-0.05,0.0,True,False,True,True,undervolt_wrong_sign(iq<0)->+0.000
180,2ph,LVRT,3,0.875,undervolt,0.875,-0.05,0.0,True,False,True,True,undervolt_wrong_sign(iq<0)->+0.000
224,2ph_g,LVRT,10,0.8333,undervolt,0.8333,-0.05,0.0,True,False,True,True,undervolt_wrong_sign(iq<0)->+0.000
227,2ph_g,LVRT,10,0.8333,undervolt,0.8333,-0.05,0.0,True,False,True,True,undervolt_wrong_sign(iq<0)->+0.000
311,swell_1ph,HVRT,3,1.1,overvolt(boundary-crossing),1.105,0.05,0.0,True,False,True,True,overvolt_wrong_sign(iq>0)->+0.000
312,swell_1ph,HVRT,3,1.1,overvolt(boundary-crossing),1.105,0.05,0.0,True,False,True,True,overvolt_wrong_sign(iq>0)->+0.000
313,swell_1ph,HVRT,3,1.1,overvolt(boundary-crossing),1.105,0.05,0.0,True,False,True,True,overvolt_wrong_sign(iq>0)->+0.000
314,swell_1ph,HVRT,3,1.1,overvolt(boundary-crossing),1.105,0.05,0.0,True,False,True,True,overvolt_wrong_sign(iq>0)->+0.000
315,swell_1ph,HVRT,3,1.1,overvolt(boundary-crossing),1.105,0.05,0.0,True,False,True,True,overvolt_wrong_sign(iq>0)->+0.000
316,swell_1ph,HVRT,3,1.1,overvolt(boundary-crossing),1.105,0.05,0.0,True,False,True,True,overvolt_wrong_sign(iq>0)->+0.000
317,swell_1ph,HVRT,3,1.1,overvolt(boundary-crossing),1.105,0.05,0.0,True,False,True,True,overvolt_wrong_sign(iq>0)->+0.000
318,swell_1ph,HVRT,3,1.1,overvolt(boundary-crossing),1.105,0.05,0.0,True,False,True,True,overvolt_wrong_sign(iq>0)->+0.000
319,swell_1ph,HVRT,3,1.1,overvolt(boundary-crossing),1.105,0.05,0.0,True,False,True,True,overvolt_wrong_sign(iq>0)->+0.000
320,swell_1ph,HVRT,3,1.1,overvolt(boundary-crossing),1.105,0.05,0.0,True,False,True,True,overvolt_wrong_sign(iq>0)->+0.000
