#{"t_start": 1782322144.7774675, "env_id": "None"}
r,l,t
-103.49472,209,13.029342
-103.68426,209,13.030367
-106.38344,209,13.030367
-97.61904,209,13.030367
-8.69326,184,23.618338
-13.191263,184,23.618338
-10.49852,184,23.618338
-8.646088,184,23.618338
-8.483525,183,35.831182
-4.869523,183,35.831182
-9.940795,183,35.831182
-9.173007,183,35.831182
51.744648,168,46.811609
49.86919,168,46.812595
49.90983,168,46.812595
45.533707,168,46.812595
20.58293,176,57.796206
17.677448,176,57.796749
22.696188,176,57.796749
23.201454,176,57.796749
-91.736626,211,71.046541
-88.27606,211,71.046541
-88.297386,211,71.046541
-88.58722,211,71.046541
30.536377,173,81.848405
33.278847,173,81.848405
39.039745,173,81.848405
39.10033,173,81.858319
-100.358315,215,95.229103
-103.50885,215,95.229103
-93.78699,215,95.229103
-94.236374,215,95.229103
19.745472,180,106.629452
10.492716,180,106.629452
13.284758,180,106.629452
16.088282,180,106.629452
-6.1882615,189,118.558896
-10.122804,189,118.558896
-9.10724,189,118.558896
-6.221641,189,118.558896
-19.772045,192,131.549868
-16.325867,192,131.549868
-23.029541,192,131.549868
-23.807545,192,131.549868
-12.243693,188,144.044397
-14.087673,188,144.044397
-12.628037,188,144.044397
-11.999996,188,144.044397
-28.827425,195,157.469239
-28.58967,195,157.469239
-25.65209,195,157.469239
-26.920477,195,157.469239
7.29866,182,176.518917
9.785004,182,176.518917
16.65075,182,176.518917
12.378443,182,176.518917
-71.71255,208,190.229141
-68.50345,208,190.229141
-69.7155,208,190.229141
-65.457054,208,190.229141
-72.47835,209,203.918402
-74.28833,209,203.918402
-68.17032,209,203.918402
-70.19246,209,203.918402
53.48061,168,215.313186
52.981487,168,215.313186
48.077457,168,215.313186
47.382336,168,215.313186
55.17091,171,227.039554
46.19116,171,227.039554
55.943687,171,227.039554
50.406242,171,227.039554
-56.84424,206,240.401975
-55.22132,206,240.401975
-53.187794,206,240.401975
-55.767536,206,240.401975
-54.23954,205,253.784492
-48.903564,205,253.784492
-52.306545,205,253.784492
-49.72689,205,253.784492
40.93357,198,266.628224
34.43189,198,266.628224
43.360004,198,266.628763
40.635128,198,266.628763
85.36032,167,277.413199
86.46504,167,277.413199
83.34325,167,277.413199
85.70635,167,277.413199
58.211887,188,289.942783
59.800713,188,289.942783
54.90496,188,289.942783
56.523262,188,289.942783
64.31555,183,301.933828
63.47227,183,301.933828
68.34995,183,301.933828
60.99064,183,301.933828
51.801327,193,317.448652
51.078403,193,317.448652
48.84049,193,317.448652
51.04043,193,317.448652
17.458708,213,336.859974
21.831114,213,336.859974
15.520535,213,336.859974
17.877459,213,336.859974
32.39065,204,363.629961
28.707932,204,363.629961
34.83134,204,363.629961
31.188786,204,363.629961
80.21047,175,375.500496
84.91885,175,375.500496
79.09562,175,375.500496
77.2775,175,375.500496
12.794612,214,390.266353
12.07411,214,390.266353
12.636363,214,390.266353
11.859585,214,390.266353
64.59053,186,403.447388
68.428825,186,403.447388
64.525375,186,403.4484
64.41128,186,403.4484
108.96439,178,416.668105
103.52411,178,416.668105
107.1234,178,416.668105
104.10011,178,416.668105
98.01603,191,430.635583
99.2096,191,430.635583
100.69261,191,430.635583
101.434586,191,430.635583
86.986565,206,446.295658
93.495735,206,446.295658
91.64485,206,446.295658
93.1286,206,446.295658
106.281456,183,466.168391
107.1795,183,466.16981
102.37868,183,466.16981
104.81598,183,466.16981
99.72314,188,483.054891
101.28769,188,483.054891
100.65413,188,483.054891
102.560135,188,483.054891
90.0494,206,501.122318
93.76564,206,501.122318
90.90576,206,501.122318
93.18871,206,501.122318
86.33335,213,520.206906
84.67054,213,520.206906
86.93728,213,520.206906
86.858925,213,520.206906
110.459076,175,536.271351
105.83516,175,536.271351
108.04181,175,536.271351
110.58987,175,536.271351
87.33215,210,555.358469
89.73896,210,555.358469
87.62947,210,555.358469
86.076546,210,555.358469
90.002045,210,586.685349
85.025986,210,586.685873
85.999725,210,586.685873
86.68837,210,586.685873
95.34576,201,605.304508
96.50267,201,605.304508
93.135124,201,605.304508
96.932495,201,605.304508
108.571396,172,621.776758
110.57318,172,621.776758
108.58794,172,621.776758
108.890594,172,621.776758
100.97816,199,642.110669
95.885925,199,642.110669
99.014244,199,642.110669
98.76314,199,642.110669
104.69127,196,662.365108
100.23625,196,662.365108
103.57405,196,662.365108
99.824585,196,662.365108
94.058266,205,683.512821
93.20334,205,683.512821
94.167145,205,683.512821
91.696495,205,683.512821
94.28752,199,703.635872
96.43697,199,703.635872
101.991714,199,703.635872
101.62051,199,703.635872
103.18102,190,722.545168
101.863266,190,722.545709
100.84027,190,722.545709
105.46508,190,722.545709
91.84254,214,745.740354
93.73891,214,745.740354
89.313324,214,745.740354
93.060776,214,745.740354
100.69242,193,771.804105
99.328064,193,771.804105
102.645424,193,771.804105
100.21202,193,771.804105
105.511116,178,793.806671
108.55855,178,793.806671
104.46927,178,793.806671
105.98807,178,793.806671
40.22158,215,821.657101
40.010906,215,821.657101
37.434208,215,821.657101
38.101883,215,821.657101
94.37584,170,855.73774
95.37044,170,855.73774
95.497536,170,855.73774
94.69779,170,855.73774
67.00083,192,880.171013
