sid,category,fault_type,scr,target_V_pu,fault_param,fault_param_source,frt,connect,reactive,limit,recover,survive,Vdc_min,Vdc_max,V1_final_mean,V1_final_worst_signed,actor_iq_fault_mean,actor_iq_fault_min,actor_iq_fault_max,actor_md_fault_mean,actor_md_fault_min,actor_md_fault_max,actor_mq_fault_mean,actor_mq_fault_min,actor_mq_fault_max
217,LVRT,sym3ph,10,0.5000,16.485166,calib_scr10,True,PASS,PASS,PASS,PASS,PASS,0.841541,1.2015,1.0002,0.000272825,0.261906,0,0.269922,0.000835686,-0.00893144,0.101922,-0.0165622,-0.0857252,0.0061148
218,LVRT,sym3ph,10,0.5000,16.485166,calib_scr10,True,PASS,PASS,PASS,PASS,PASS,0.841541,1.20187,1.00019,0.000258524,0.261783,0,0.269922,0.000997699,-0.00893144,0.101922,-0.0165281,-0.0857252,0.0061148
219,LVRT,sym3ph,10,0.5000,16.485166,calib_scr10,True,PASS,PASS,PASS,PASS,PASS,0.841541,1.20126,1.00019,0.000249689,0.263231,0,0.269922,-0.00130063,-0.00893144,0.101922,-0.0186134,-0.0857252,0.0061148
220,LVRT,sym3ph,10,0.5000,16.485166,calib_scr10,True,PASS,PASS,PASS,PASS,PASS,0.841541,1.20055,1.00019,0.000298102,0.26303,0,0.269922,-0.0010637,-0.00893144,0.101922,-0.0187897,-0.0857252,0.0061148
221,LVRT,sym3ph,10,0.5000,16.485166,calib_scr10,True,PASS,PASS,PASS,PASS,PASS,0.807769,1.20181,1.00017,0.000279399,0.261481,0,0.269914,0.00149538,-0.00888769,0.102461,-0.014017,-0.0851552,0.00587925
222,LVRT,sym3ph,10,0.5000,16.485166,calib_scr10,True,PASS,PASS,PASS,PASS,PASS,0.807769,1.20169,1.00016,0.000214692,0.261729,0,0.269914,0.00113628,-0.00888769,0.102461,-0.0140631,-0.0851552,0.00587925
223,LVRT,sym3ph,10,0.5000,16.485166,calib_scr10,True,PASS,PASS,PASS,PASS,PASS,0.807769,1.20073,1.00016,0.000223098,0.262716,0,0.269914,-0.00172313,-0.00888769,0.102461,-0.0153135,-0.0851552,0.00587925
224,LVRT,sym3ph,10,0.5000,16.485166,calib_scr10,True,PASS,PASS,PASS,PASS,PASS,0.807769,1.20108,1.00017,0.000289574,0.262571,0,0.269914,-0.0016366,-0.00888769,0.102461,-0.0153446,-0.0851552,0.00587925
225,LVRT,sym3ph,10,0.5000,16.485166,calib_scr10,True,PASS,PASS,PASS,PASS,PASS,0.780568,1.2018,1.01049,0.0105617,0.26079,0,0.269896,0.00158039,-0.0166741,0.105708,-0.0113932,-0.0658709,0.00605899
226,LVRT,sym3ph,10,0.5000,16.485166,calib_scr10,True,PASS,PASS,PASS,PASS,PASS,0.780568,1.20269,1.01049,0.0105523,0.261008,0,0.269896,0.00127605,-0.0166741,0.105708,-0.0114192,-0.0658709,0.00605899
