dataset,case_id,topology,fault_family,phase_mode,fault_pu,duration_s,conventional_pass,specialist_pass,conventional_score,specialist_score,score_delta_specialist_minus_conventional,feasibility_improvement,quality_improvement,comparison_label,specialist_grid_current_peak_pu,specialist_grid_current_margin_pu,specialist_vdc_lower_margin_v,specialist_vdc_upper_margin_v,specialist_full_frt_pass,specialist_full_frt_reason
stage2_8row,topology1_lvrt090_60ms_gridobs_clock,topology1,LVRT,,0.9,0.06,False,True,122.356015435717,104.012339705228,-18.343675730488997,True,False,feasibility_improvement,1.52789585000824,-0.02789585000824002,116.29934545715298,123.42692599600798,False,gbt_recover;grid_current_limit;not_evaluated_no_sustained_reactive_demand_after_delay
stage2_8row,topology1_hvrt110_60ms_current_iface_const249,topology1,HVRT,,1.1,0.06,False,True,116.834427948679,105.383177829792,-11.451250118886989,True,False,feasibility_improvement,1.56595954879972,-0.06595954879971999,115.00207606493996,121.93844408083396,False,gbt_recover;grid_current_limit;not_evaluated_no_sustained_reactive_demand_after_delay
stage2_8row,topology2_lvrt090_60ms_phase_nonoise_retrain,topology2,LVRT,,0.9,0.06,False,True,264.25965703311,113.664808049493,-150.594848983617,True,False,feasibility_improvement,1.66763107431074,-0.1676310743107401,111.399544354245,21.55220283906897,False,grid_current_limit;not_evaluated_no_sustained_reactive_demand_after_delay
stage2_8row,topology2_hvrt110_60ms_balanced_retrain,topology2,HVRT,,1.1,0.06,False,True,188.704553320719,114.075781714011,-74.62877160670799,True,False,feasibility_improvement,1.66528833222966,-0.1652883322296601,112.39340218038296,0.0154570522360018,False,gbt_recover;grid_current_limit;not_evaluated_no_sustained_reactive_demand_after_delay
stage2_8row,topology1_a_lvrt090_60ms_unbalanced,topology1,LVRT,a,0.9,0.06,True,True,102.46532840039,106.027966140736,3.5626377403459912,False,False,no_improvement_or_unresolved,1.57768467697524,-0.07768467697523995,119.80089508392996,123.42023238985405,False,grid_current_limit
stage2_8row,topology1_ab_lvrt090_60ms_unbalanced,topology1,LVRT,ab,0.9,0.06,True,True,102.888321369442,106.015360281519,3.1270389120769977,False,False,no_improvement_or_unresolved,1.57130262780684,-0.07130262780684005,122.59153664786595,119.50530543781304,False,grid_current_limit
stage2_8row,topology2_a_lvrt090_60ms_unbalanced,topology2,LVRT,a,0.9,0.06,False,True,159.385394077737,126.577723426817,-32.80767065092,True,False,feasibility_improvement,1.92601260271281,-0.42601260271280994,77.96189730860794,149.11941239363296,False,gbt_recover;grid_current_limit
stage2_8row,topology2_ab_lvrt090_60ms_unbalanced,topology2,LVRT,ab,0.9,0.06,False,True,163.332057856424,132.148198218001,-31.183859638423,True,False,feasibility_improvement,1.94937082081212,-0.4493708208121201,44.940374539386994,99.72130974687298,False,gbt_recover;grid_current_limit
reduced_boundary_6row,balanced_lvrt_080ms_0p850pu,topology1,LVRT,balanced,0.85,0.080,False,True,167.579478385122,160.747033854882,-6.8324445302399965,True,False,feasibility_improvement,1.55985328642796,-0.05985328642795995,112.98350447392704,98.46864307651902,False,gbt_recover;grid_current_limit;reactive_wrong_sign
reduced_boundary_6row,balanced_lvrt_080ms_0p900pu,topology1,LVRT,balanced,0.9,0.080,False,True,169.172709887737,158.749627537243,-10.423082350494013,True,False,feasibility_improvement,1.53747539405485,-0.03747539405485001,112.98350447392704,98.46864307651902,False,gbt_recover;grid_current_limit;reactive_wrong_sign
reduced_boundary_6row,balanced_lvrt_120ms_0p850pu,topology1,LVRT,balanced,0.85,0.120,False,True,168.743716596406,156.814438127164,-11.929278469241979,True,False,feasibility_improvement,1.49107946120135,0.008920538798649957,112.98350447392704,98.46864307651902,False,gbt_recover;reactive_wrong_sign
reduced_boundary_6row,balanced_lvrt_120ms_0p900pu,topology1,LVRT,balanced,0.9,0.120,False,True,169.927386535521,156.722719557682,-13.204666977838997,True,False,feasibility_improvement,1.49203543065849,0.00796456934151002,112.98350447392704,98.46864307651902,False,gbt_recover;reactive_wrong_sign
reduced_boundary_6row,a_hvrt_060ms_1p050pu,topology2,HVRT,a,1.05,0.060,False,True,145.477757133109,125.626423218636,-19.851333914473003,True,False,feasibility_improvement,1.92326794253554,-0.4232679425355399,111.16431658180898,168.97712716060596,False,gbt_recover;grid_current_limit
reduced_boundary_6row,a_hvrt_060ms_1p100pu,topology2,HVRT,a,1.1,0.060,False,True,146.036952661117,127.411843522884,-18.625109138233,True,False,feasibility_improvement,1.96990974108311,-0.4699097410831099,111.138543032332,168.97712716060596,False,gbt_recover;grid_current_limit
