case_id,topology,fault_family,phase_mode,fault_pu,fault_duration_s,conventional_pass,sac_pass,sac_beats_conventional,conventional_score,sac_score,score_delta_sac_minus_conventional,conventional_reason,sac_reason,sac_envelope_violation_max_pu,sac_recovery_violation_max_pu,sac_vdc_min,sac_vdc_max,evidence_label
topology1:a_lvrt090_60ms,topology1,LVRT,a,0.9,0.06,True,True,False,102.46532840039,105.126612795124,2.661284394733997,,,0.0,0.0,768.630221330101,874.341513307419,survival_only_not_quality_win
topology1:ab_lvrt090_60ms,topology1,LVRT,ab,0.9,0.06,True,True,False,102.888321369442,106.015360281519,3.1270389120769977,,,0.0,0.0,772.591536647866,880.494694562187,survival_only_not_quality_win
topology1:balanced_hvrt110_60ms,topology1,HVRT,balanced,1.1,0.06,False,True,True,116.834427948679,105.383177829792,-11.451250118886989,timestep_fault_lv_band;timestep_recovery_envelope,,0.0,0.0,765.00207606494,878.061555919166,traditional_fail_sac_pass
topology1:balanced_lvrt090_60ms,topology1,LVRT,balanced,0.9,0.06,False,True,True,122.356015435717,104.012339705228,-18.343675730488997,timestep_voltage_envelope;timestep_recovery_envelope,,0.0,0.000809663837893659,766.299345457153,876.573074003992,traditional_fail_sac_pass
topology2:a_hvrt105_60ms,topology2,HVRT,a,1.05,0.06,False,True,True,145.477757133109,125.808359717392,-19.669397415717015,timestep_fault_lv_band;timestep_recovery_envelope,,0.0,0.0,761.425496075426,831.278539399549,traditional_fail_sac_pass
topology2:a_hvrt110_60ms,topology2,HVRT,a,1.1,0.06,False,True,True,146.036952661117,127.411843522884,-18.625109138233,timestep_fault_lv_band;timestep_recovery_envelope,,0.0,0.0,761.138543032332,831.022872839394,traditional_fail_sac_pass
topology2:a_lvrt090_60ms,topology2,LVRT,a,0.9,0.06,False,True,True,159.385394077737,126.261797445833,-33.12359663190401,timestep_fault_lv_band;timestep_voltage_envelope;timestep_recovery_envelope,,0.0,0.0,730.199352549984,850.880587606367,traditional_fail_sac_pass
topology2:ab_hvrt105_60ms,topology2,HVRT,ab,1.05,0.06,False,True,True,144.792524517307,125.283136901034,-19.50938761627299,timestep_fault_lv_band;timestep_recovery_envelope,,0.0,0.0,761.799113380299,831.022872839394,traditional_fail_sac_pass
topology2:ab_lvrt090_60ms,topology2,LVRT,ab,0.9,0.06,False,True,True,163.332057856424,132.148198218001,-31.183859638423,timestep_fault_lv_band;timestep_voltage_envelope;timestep_recovery_envelope,,0.0,0.0,694.940374539387,900.278690253127,traditional_fail_sac_pass
topology2:balanced_hvrt110_60ms,topology2,HVRT,balanced,1.1,0.06,False,True,True,188.704553320719,114.067011689805,-74.63754163091399,timestep_fault_lv_band;timestep_recovery_envelope,,0.0,0.0,762.393402180383,999.984542947764,traditional_fail_sac_pass
topology2:balanced_lvrt090_60ms,topology2,LVRT,balanced,0.9,0.06,False,True,True,264.25965703311,113.664808049493,-150.594848983617,timestep_fault_lv_band;timestep_voltage_envelope;timestep_recovery_envelope,,0.0,0.0,761.399544354245,978.447797160931,traditional_fail_sac_pass
