"topology","case_name","fault_pu","fault_duration_s","phase_mode","fault_family","conventional_voltage_survival_pass","conventional_score","conventional_reason","sac_voltage_survival_pass","sac_score","sac_reason","sac_beats_conventional","sac_minus_conventional_score","conventional_vdc_min","conventional_vdc_max","sac_vdc_min","sac_vdc_max","conventional_envelope_violation_max_pu","sac_envelope_violation_max_pu","conventional_recovery_violation_max_pu","sac_recovery_violation_max_pu"
"topology1","balanced_hvrt_040ms_1p050pu","1.05","0.04","balanced","HVRT","False","116.065513750999","timestep_fault_lv_band;timestep_recovery_envelope","True","102.465575077889","","True","-13.599938673110003","757.768656158744","892.660498890977","765.00207606494","875.901046452821","0.0","0.0","0.0992077425096135","0.0"
"topology1","balanced_hvrt_040ms_1p100pu","1.1","0.04","balanced","HVRT","False","117.157477543389","timestep_fault_lv_band;timestep_recovery_envelope","True","105.272700861341","","True","-11.884776682048013","757.768656158744","967.481161865881","765.00207606494","877.64432786269","0.0","0.0","0.0999086187201966","0.0"
"topology1","balanced_hvrt_040ms_1p150pu","1.15","0.04","balanced","HVRT","False","120.472750735321","dc_link_bounds;timestep_recovery_envelope","True","109.987432795164","","True","-10.485317940157003","757.768656158744","1011.6577450359","765.00207606494","883.952395635163","0.0","0.0","0.0951855652034191","0.0"
"topology1","balanced_hvrt_060ms_1p050pu","1.05","0.06","balanced","HVRT","False","115.517222852387","timestep_fault_lv_band;timestep_recovery_envelope","True","102.101385842198","","True","-13.415837010188994","757.768656158744","892.660498890977","765.00207606494","875.901046452821","0.0","0.0","0.0978545428699851","0.0"
"topology1","balanced_hvrt_060ms_1p100pu","1.1","0.06","balanced","HVRT","False","116.834427948679","timestep_fault_lv_band;timestep_recovery_envelope","True","105.383177829792","","True","-11.451250118886989","757.768656158744","974.216565499864","765.00207606494","878.061555919166","0.0","0.0","0.0974447993763309","0.0"
"topology1","balanced_hvrt_060ms_1p150pu","1.15","0.06","balanced","HVRT","False","120.643115149602","dc_link_bounds;timestep_recovery_envelope","True","110.117617202746","","True","-10.525497946855992","757.768656158744","1016.34622380092","765.00207606494","883.952395635163","0.0","0.0","0.099764562148513","0.0"
"topology1","balanced_hvrt_080ms_1p050pu","1.05","0.08","balanced","HVRT","False","160.113021481622","timestep_fault_lv_band;timestep_recovery_envelope","True","141.190676789476","","True","-18.922344692146027","757.768656158744","892.660498890977","765.00207606494","875.901046452821","0.0","0.0","0.100456270075929","0.0"
"topology1","balanced_hvrt_080ms_1p100pu","1.1","0.08","balanced","HVRT","False","117.416193694583","timestep_fault_lv_band;timestep_recovery_envelope","True","142.897213968846","","True","25.48102027426299","757.768656158744","975.263887173991","765.00207606494","878.061555919166","0.0","0.0","0.0936170282369993","0.0"
"topology1","balanced_hvrt_080ms_1p150pu","1.15","0.08","balanced","HVRT","False","119.797940282527","dc_link_bounds;timestep_recovery_envelope","True","145.18776505442","","True","25.389824771893004","757.768656158744","1016.85813466922","765.00207606494","883.952395635163","0.0","0.0","0.0986844669857896","0.0"
"topology1","balanced_hvrt_120ms_1p050pu","1.05","0.12","balanced","HVRT","False","159.750240213777","timestep_fault_lv_band;timestep_recovery_envelope","True","141.188899730938","","True","-18.561340482839","757.768656158744","896.785708669795","765.00207606494","875.901046452821","0.0","0.0","0.101541279803272","0.0"
"topology1","balanced_hvrt_120ms_1p100pu","1.1","0.12","balanced","HVRT","False","117.009212130707","timestep_fault_lv_band;timestep_recovery_envelope","True","143.388117414342","","True","26.378905283634992","757.768656158744","979.704013798821","765.00207606494","879.48781353616","0.0","0.0","0.0990811004518197","0.0"
"topology1","balanced_hvrt_120ms_1p150pu","1.15","0.12","balanced","HVRT","False","118.631238305116","dc_link_bounds;timestep_recovery_envelope","True","146.057037338222","","True","27.42579903310599","757.768656158744","1023.48841654284","765.00207606494","883.952395635163","0.0","0.0","0.0896894820489044","0.0"
"topology1","balanced_lvrt_040ms_0p900pu","0.9","0.04","balanced","LVRT","False","121.519546185535","timestep_voltage_envelope;timestep_recovery_envelope","True","104.664754015112","","True","-16.85479217042301","757.768656158744","879.627357390698","766.299345457153","876.573074003992","0.0647661814595332","0.0","0.0935145562895113","0.000385043448869526"
"topology1","balanced_lvrt_060ms_0p900pu","0.9","0.06","balanced","LVRT","False","122.356015435717","timestep_voltage_envelope;timestep_recovery_envelope","True","104.012339705228","","True","-18.343675730488997","757.768656158744","878.483688749582","766.299345457153","876.573074003992","0.0645838322287285","0.0","0.0945838322287285","0.000809663837893659"
