"topology","case_name","fault_pu","fault_duration_s","phase_mode","fault_family","conventional_voltage_survival_pass","conventional_score","conventional_reason","sac_voltage_survival_pass","sac_score","sac_reason","sac_beats_conventional","sac_minus_conventional_score","conventional_vdc_min","conventional_vdc_max","sac_vdc_min","sac_vdc_max","conventional_envelope_violation_max_pu","sac_envelope_violation_max_pu","conventional_recovery_violation_max_pu","sac_recovery_violation_max_pu"
"topology1","balanced_lvrt_040ms_0p850pu","0.85","0.04","balanced","LVRT","False","120.920173258341","timestep_voltage_envelope;timestep_recovery_envelope","False","109.330329643408","timestep_fault_lv_band;timestep_voltage_envelope","False","-11.589843614932988","757.768656158744","875.775422525383","766.299345457153","876.573074003992","0.015889003895762","0.00715982496026935","0.0945665155441489","0.0"
"topology1","balanced_lvrt_040ms_0p950pu","0.95","0.04","balanced","LVRT","False","126.97965910785","timestep_fault_lv_band;timestep_voltage_envelope;timestep_recovery_envelope","False","102.558983439691","timestep_voltage_envelope","False","-24.420675668158992","757.768656158744","878.728770482364","766.299345457153","876.573074003992","0.113831450060563","0.0176440313180457","0.0938314500605626","0.0"
"topology1","balanced_lvrt_060ms_0p850pu","0.85","0.06","balanced","LVRT","False","121.357463532622","timestep_voltage_envelope;timestep_recovery_envelope","False","109.614330747054","timestep_fault_lv_band;timestep_voltage_envelope","False","-11.743132785568008","757.768656158744","880.213438376943","766.299345457153","876.573074003992","0.0223123360301839","0.00878626460783993","0.0911342843629858","0.0"
"topology1","balanced_lvrt_060ms_0p950pu","0.95","0.06","balanced","LVRT","False","128.997315628077","timestep_fault_lv_band;timestep_voltage_envelope;timestep_recovery_envelope","False","102.228943647404","timestep_voltage_envelope","False","-26.768371980672995","757.768656158744","877.758454052777","766.299345457153","876.573074003992","0.119524480122285","0.0176440313180457","0.0913792266570492","0.0"
"topology1","balanced_lvrt_080ms_0p850pu","0.85","0.08","balanced","LVRT","False","167.579478385122","timestep_voltage_envelope;timestep_recovery_envelope","False","154.444488631746","timestep_fault_lv_band;timestep_voltage_envelope","False","-13.134989753376004","757.768656158744","892.146032087084","766.299345457153","876.573074003992","0.0162133758656946","0.00878626460783993","0.0868540836902844","0.0"
"topology1","balanced_lvrt_080ms_0p900pu","0.9","0.08","balanced","LVRT","False","169.172709887737","timestep_fault_lv_band;timestep_voltage_envelope;timestep_recovery_envelope","False","147.018883209551","timestep_recovery_envelope","False","-22.153826678185993","757.768656158744","880.067048316975","766.299345457153","876.573074003992","0.0648472260106662","0.0","0.0948472260106661","0.00163302545140503"
"topology1","balanced_lvrt_080ms_0p950pu","0.95","0.08","balanced","LVRT","False","174.286364014855","timestep_fault_lv_band;timestep_voltage_envelope;timestep_recovery_envelope","False","144.078091459158","timestep_voltage_envelope","False","-30.208272555696993","757.768656158744","881.583346048448","766.299345457153","876.573074003992","0.109589474685904","0.0176440313180457","0.0895894746859039","0.0"
"topology1","balanced_lvrt_120ms_0p850pu","0.85","0.12","balanced","LVRT","False","168.743716596406","timestep_fault_lv_band;timestep_voltage_envelope;timestep_recovery_envelope","False","152.092953142796","timestep_fault_lv_band;timestep_voltage_envelope;timestep_recovery_envelope","False","-16.650763453609983","757.768656158744","877.721994470196","766.299345457153","876.573074003992","0.00819796172875287","0.00878626460783993","0.0872699008792794","0.00102558191823016"
"topology1","balanced_lvrt_120ms_0p900pu","0.9","0.12","balanced","LVRT","False","169.927386535521","timestep_fault_lv_band;timestep_voltage_envelope;timestep_recovery_envelope","False","146.119794246949","timestep_recovery_envelope","False","-23.80759228857201","757.768656158744","878.991246617198","766.299345457153","876.573074003992","0.0610413997215025","0.0","0.087753544308775","0.00545748585646139"
"topology1","balanced_lvrt_120ms_0p950pu","0.95","0.12","balanced","LVRT","False","177.494491536137","timestep_fault_lv_band;timestep_voltage_envelope;timestep_recovery_envelope","False","143.946568361902","timestep_voltage_envelope","False","-33.547923174234995","757.768656158744","878.714296791495","766.299345457153","876.573074003992","0.112140138020369","0.0176440313180457","0.092140138020369","0.0"
"topology2","a_hvrt_040ms_1p050pu","1.05","0.04","a","HVRT","False","144.95161707076","timestep_fault_lv_band;timestep_recovery_envelope","False","139.183503583348","timestep_fault_lv_band;timestep_recovery_envelope","False","-5.768113487411995","735.226478219565","834.600710073987","765.470921271856","987.333942251436","0.0","0.0","0.0989893801396928","0.0731396941282358"
"topology2","a_hvrt_040ms_1p100pu","1.1","0.04","a","HVRT","False","146.161728896555","timestep_fault_lv_band;timestep_recovery_envelope","False","140.620482340768","timestep_fault_lv_band;dc_link_bounds;timestep_recovery_envelope","False","-5.541246555786984","732.665449861311","834.600710073987","765.470921271856","1004.8200090247","0.0","0.0","0.0977027956950094","0.0670691072989563"
"topology2","a_hvrt_040ms_1p150pu","1.15","0.04","a","HVRT","False","148.01480423237","timestep_fault_lv_band;timestep_recovery_envelope","False","142.246616062467","timestep_fault_lv_band;dc_link_bounds;timestep_recovery_envelope","False","-5.768188169902999","740.718379062264","837.165986285288","765.470921271856","1023.70950988681","0.0","0.0","0.098339763858567","0.0536373283940864"
"topology2","a_hvrt_060ms_1p150pu","1.15","0.06","a","HVRT","False","147.868255326965","timestep_fault_lv_band;timestep_recovery_envelope","False","138.396748842301","timestep_fault_lv_band;dc_link_bounds;timestep_recovery_envelope","False","-9.47150648466399","740.718379062264","837.165986285288","765.470921271856","1023.70950988681","0.0","0.0","0.0947167036933972","0.0375836706636735"
"topology2","a_hvrt_080ms_1p050pu","1.05","0.08","a","HVRT","False","229.012099512464","timestep_fault_lv_band;timestep_recovery_envelope","False","138.934241861666","timestep_fault_lv_band;timestep_recovery_envelope","False","-90.077857650798","735.226478219565","834.600710073987","765.470921271856","987.333942251436","0.0","0.0","0.0814967484894112","0.0459356599132762"
"topology2","a_hvrt_080ms_1p100pu","1.1","0.08","a","HVRT","False","229.408937565669","timestep_fault_lv_band;timestep_recovery_envelope","False","139.17883470977","timestep_fault_lv_band;dc_link_bounds;timestep_recovery_envelope","False","-90.23010285589899","732.665449861311","834.600710073987","765.470921271856","1004.8200090247","0.0","0.0","0.0804747010845563","0.0444760249486071"
"topology2","a_hvrt_080ms_1p150pu","1.15","0.08","a","HVRT","False","232.107631405675","timestep_fault_lv_band;timestep_recovery_envelope","False","137.697885578784","timestep_fault_lv_band;dc_link_bounds;timestep_recovery_envelope","False","-94.409745826891","740.718379062264","837.165986285288","765.470921271856","1023.70950988681","0.0","0.0","0.082367993928342","0.0266743913323034"
"topology2","a_hvrt_120ms_1p050pu","1.05","0.12","a","HVRT","False","228.726455144629","timestep_fault_lv_band;timestep_recovery_envelope","False","134.615432446773","timestep_fault_lv_band;timestep_recovery_envelope","False","-94.11102269785599","735.226478219565","834.600710073987","765.470921271856","987.333942251436","0.0","0.0","0.0770709743615226","0.0266474858171957"
"topology2","a_hvrt_120ms_1p100pu","1.1","0.12","a","HVRT","False","229.289148924826","timestep_fault_lv_band;timestep_recovery_envelope","False","135.202598641085","timestep_fault_lv_band;dc_link_bounds;timestep_recovery_envelope","False","-94.08655028374102","732.665449861311","834.600710073987","765.470921271856","1004.8200090247","0.0","0.0","0.0800360818528209","0.0319321494191298"
"topology2","a_hvrt_120ms_1p150pu","1.15","0.12","a","HVRT","False","231.675283586319","timestep_fault_lv_band;timestep_recovery_envelope","False","134.565484927586","timestep_fault_lv_band;dc_link_bounds","False","-97.10979865873301","740.718379062264","837.165986285288","765.470921271856","1023.70950988681","0.0","0.0","0.0753068580342094","0.0"
"topology2","a_lvrt_040ms_0p950pu","0.95","0.04","a","LVRT","False","156.724421846433","timestep_fault_lv_band;timestep_voltage_envelope;timestep_recovery_envelope","False","126.776420748462","timestep_voltage_envelope","False","-29.948001097970987","742.50132319974","834.600710073987","741.275455583461","850.880587606367","0.135085780736275","0.00561619545173542","0.103272626782949","0.0"
"topology2","a_lvrt_060ms_0p950pu","0.95","0.06","a","LVRT","False","159.983887059612","timestep_fault_lv_band;timestep_voltage_envelope;timestep_recovery_envelope","False","128.276688336494","timestep_voltage_envelope","False","-31.707198723117983","742.50132319974","834.600710073987","741.275455583461","850.880587606367","0.141842784929299","0.00740127900985688","0.0876660266182387","0.0"
"topology2","a_lvrt_080ms_0p950pu","0.95","0.08","a","LVRT","False","243.837379663967","timestep_fault_lv_band;timestep_voltage_envelope;timestep_recovery_envelope","False","140.652759087355","timestep_voltage_envelope","False","-103.18462057661199","742.50132319974","834.600710073987","741.275455583461","850.880587606367","0.141842784929299","0.00816410076717033","0.0831588727367821","0.0"
"topology2","a_lvrt_120ms_0p950pu","0.95","0.12","a","LVRT","False","246.869779833524","timestep_fault_lv_band;timestep_voltage_envelope;timestep_recovery_envelope","False","138.973890348698","timestep_voltage_envelope","False","-107.895889484826","742.50132319974","834.600710073987","741.275455583461","850.880587606367","0.141842784929299","0.0221521690994954","0.080772244992962","0.0"
"topology2","ab_hvrt_040ms_1p050pu","1.05","0.04","ab","HVRT","False","144.759005005793","timestep_fault_lv_band;timestep_recovery_envelope","False","136.261511941965","timestep_fault_lv_band;timestep_recovery_envelope","False","-8.497493063827989","734.930539758582","834.600710073987","765.470921271856","999.366538709531","0.0","0.0","0.0992372187549589","0.0570230727601844"
"topology2","ab_hvrt_040ms_1p100pu","1.1","0.04","ab","HVRT","False","146.040244621783","timestep_recovery_envelope","False","138.907366590479","timestep_fault_lv_band;dc_link_bounds;timestep_recovery_envelope","False","-7.132878031303989","744.730005073961","840.184285236833","765.470921271856","1034.47055696584","0.0","0.0","0.097498605361747","0.051646434977468"
"topology2","ab_hvrt_040ms_1p150pu","1.15","0.04","ab","HVRT","False","148.130026769304","timestep_recovery_envelope","False","143.238569582729","timestep_fault_lv_band;dc_link_bounds;timestep_recovery_envelope","False","-4.891457186574996","745.864343460162","847.262272269968","765.470921271856","1072.80716540503","0.0","0.0","0.102780925185692","0.0483249835938599"
"topology2","ab_hvrt_060ms_1p150pu","1.15","0.06","ab","HVRT","False","147.320213016366","timestep_recovery_envelope","False","138.871260221876","timestep_fault_lv_band;dc_link_bounds;timestep_recovery_envelope","False","-8.448952794489998","745.864343460162","847.262272269968","765.470921271856","1072.80716540503","0.0","0.0","0.0941271343757751","0.0335530483661194"
"topology2","ab_hvrt_080ms_1p050pu","1.05","0.08","ab","HVRT","False","226.982074673591","timestep_fault_lv_band;timestep_recovery_envelope","False","132.314881192478","timestep_fault_lv_band;timestep_recovery_envelope","False","-94.667193481113","734.930539758582","834.600710073987","765.470921271856","999.366538709531","0.0","0.0","0.0805968764426796","0.0320754061193884"
"topology2","ab_hvrt_080ms_1p100pu","1.1","0.08","ab","HVRT","False","228.986969335496","timestep_recovery_envelope","False","133.820730906877","timestep_fault_lv_band;dc_link_bounds;timestep_recovery_envelope","False","-95.16623842861901","744.730005073961","840.184285236833","765.470921271856","1034.47055696584","0.0","0.0","0.0809274343236158","0.0254113444080007"
