model,topology,scenario_type,condition_class,case_name,t,window_zone,window_ok,window_reason,grid_V,fault_pu,grid_pu,lv_rms_inst,vdc_inst,obs_01,obs_02,obs_03,obs_04,obs_05,obs_06,obs_07,obs_08,obs_09,obs_10,obs_11,obs_12,obs_13,obs_14,obs_15,obs_16,obs_17,obs_18,obs_19,obs_20,obs_21,obs_22,obs_23,obs_24,action_01,actor_action_01,action_02,actor_action_02,action_03,actor_action_03,action_04,actor_action_04
"hpt_v2_topology2_paper","topology2","fault","shallow_hvrt","swell_1p10",0,"prefault",1,"",NaN,1.1,1.1,8.85598932114332,800.015618224785,0.0427825571069726,1,1,1.00001952278098,-1.95227809818288e-05,0.957217442893027,-8.59997504120194e-08,-8.09958153775944e-06,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0.0195227809818288,0.6,0.00124061161752201,0,5.03557673987931e-05,0,1.85576924226649e-05,0,-0.000201387025758528
"hpt_v2_topology2_paper","topology2","fault","shallow_hvrt","swell_1p10",0.002,"prefault",1,"",NaN,1.1,1.1,141.316730818662,792.424649043492,0.161266029350531,0.911646990368243,0.911646990368243,0.990530811304365,0.00946918869563529,0.838733970649469,-0.0430899743916485,-0.279161900611559,0.0645495668637508,0.00242029103192819,0.00234288806406631,0.00595202160829508,1,0,0,1,0,0,0,0,1,1,5,-0.00055551806077414,0.6,0.0649357708367137,0,0.00257867213219464,0,0.00244864193264297,0,0.00581272874089352
"hpt_v2_topology2_paper","topology2","fault","shallow_hvrt","swell_1p10",0.004,"prefault",1,"",NaN,1.1,1.1,157.694129444384,827.204342329353,0.328749864278919,0.70202769297056,0.70202769297056,1.03400542791169,-0.0340054279116908,0.671250135721081,-0.120066697567442,-0.529247316295025,0.151600756138452,0.000119530111536504,0.000293473954849174,0.00799328514081456,1,0,0,1,0,0,0,0,1,1,5,-0.000582906662716098,0.6,0.149206799470483,0,0.000301814762449001,0,0.000386982681223803,0,0.00787607373783546
"hpt_v2_topology2_paper","topology2","fault","shallow_hvrt","swell_1p10",0.006,"prefault",1,"",NaN,1.1,1.1,162.866049794381,869.779454422393,0.472045014029441,1.95440094000033,0.260312925064562,1.08722431802799,-0.0872243180279917,0.527954985970559,-0.155505017981543,-0.612036937224241,0.223506897622105,0.00131446814099325,-0.00157276693685477,0.00309577355089674,0,1,0,1,0,0,0,0,1,1,5,-0.56489884576183,0,0.220245763036483,0,0.00150660795732362,0,-0.0014258269336152,0,0.003053843172264
"hpt_v2_topology2_paper","topology2","fault","shallow_hvrt","swell_1p10",0.008,"prefault",1,"",NaN,1.1,1.1,173.224139056123,916.954299805205,0.582740169605197,1.4613531800432,0.140242002749977,1.14619287475651,-0.146192874756506,0.417259830394803,-0.0999418667217279,-0.570268821356653,0.293472159625838,-0.00224817426191298,-0.00213742075474161,-0.000897037375268971,0,1,0,1,0,0,0,0,1,1,5,-1.95344616798976,0,0.293698276625358,0,-0.00211658883572936,0,-0.00223297631039552,0,-0.00104498237417267
"hpt_v2_topology2_paper","topology2","fault","shallow_hvrt","swell_1p10",0.01,"prefault",1,"",NaN,1.1,1.1,179.706935197652,946.292136413996,0.670524149921477,1.28004652334052,0.276865448822975,1.18286517051749,-0.182865170517495,0.329475850078523,0.04473678576073,-0.459523618959945,0.302811002752298,-0.00491400013076077,-0.00196271944355673,-0.00255173998824064,0,1,0,1,0,0,0,0,1,1,-2.68470178898816,-1.02646336727452,0,0.300274531302114,0,-0.00497748166528461,0,-0.00195254033026764,0,-0.00251247027622076
"hpt_v2_topology2_paper","topology2","fault","shallow_hvrt","swell_1p10",0.012,"prefault",1,"",NaN,1.1,1.1,186.955852716224,922.010096478181,0.740871590035077,1.3311900421349,0.191496637313941,1.15251262059773,-0.152512620597727,0.259128409964923,0.214815216314989,-0.3397409566532,0.224148783557227,-0.00437297408686373,-0.00104018004648755,-0.00409004885019814,0,1,0,1,0,0,0,0,1,1,5,1.19710562780573,0,0.224730985941861,0,-0.004246084089203,0,-0.00107382596566231,0,-0.00407943798592559
"hpt_v2_topology2_paper","topology2","fault","shallow_hvrt","swell_1p10",0.014,"prefault",1,"",NaN,1.1,1.1,189.449633084542,867.880491812054,0.797586705807123,1.25821914775548,0.0484680652853051,1.08485061476507,-0.0848506147650674,0.202413294192877,0.378190718320407,-0.237286056593576,0.25644590614696,-0.00380181314459159,-0.00100074872917307,-0.00555064510117249,0,1,0,1,0,0,0,0,1,1,5,-1.48475988636032,0,0.257643638647536,0,-0.00366141411230968,0,-0.00108885237395121,0,-0.00565859854511577
"hpt_v2_topology2_paper","topology2","fault","shallow_hvrt","swell_1p10",0.016,"prefault",1,"",NaN,1.1,1.1,196.480628685976,848.724224111429,0.844896349301231,1.20052720881881,0.0149760335382051,1.06090528013929,-0.060905280139286,0.155103650698769,0.50046332743328,-0.146455839259663,0.252076965753567,-0.00433552688532523,0.000323672689776828,-0.00897522426753738,0,1,0,1,0,0,0,0,1,1,-5,-1.80716599762576,0,0.253720075449622,0,-0.00448780849602922,0,0.000347960896315677,0,-0.00892369290392648
"hpt_v2_topology2_paper","topology2","fault","shallow_hvrt","swell_1p10",0.018,"prefault",1,"",NaN,1.1,1.1,204.360459466472,857.983171510949,0.884620118026233,1.17690090596447,0.0553378978314085,1.07247896438869,-0.0724789643886863,0.115379881973767,0.585017981734486,-0.0818289278513694,0.275966744475689,-0.00644810481620781,-0.000174617654437605,-0.00902505694138887,0,1,0,1,0,0,0,0,1,1,-5,2.01332060508985,0,0.278335508141828,0,-0.00662694278732763,0,-0.000129170405677319,0,-0.00898000431435472
"hpt_v2_topology2_paper","topology2","fault","shallow_hvrt","swell_1p10",0.02,"prefault",1,"",NaN,1.1,1.1,211.287482702749,852.10511267906,0.922950905825498,1.11595066073288,0.0522993282671419,1.06513139084882,-0.0651313908488249,0.077049094174502,0.622717500744475,-0.0363243487268297,0.310143496317687,-0.00598329377809035,4.55829138673395e-05,-0.00922107841140689,0,1,0,1,0,0,0,0,1,1,-3.74424809393936,-0.764747354295769,0,0.310872027302103,0,-0.00607059966869579,0,0.000103216350950504,0,-0.00924869595235158
"hpt_v2_topology2_paper","topology2","fault","shallow_hvrt","swell_1p10",0.022,"prefault",1,"",NaN,1.1,1.1,217.586632910835,856.553976929949,0.960287268191548,1.08507581469015,0.0355611230754551,1.07069247116244,-0.0706924711624364,0.0397127318084519,0.637273346648257,0.0215729618329015,0.30127518449674,-0.00790680141776271,-0.000525991206318631,-0.0100629090088831,0,1,0,1,0,0,0,0,1,1,-5,-0.988685397165678,0,0.303038985654177,0,-0.00790895068821608,0,-0.000465868415624255,0,-0.0100091693466793
"hpt_v2_topology2_paper","topology2","fault","shallow_hvrt","swell_1p10",0.024,"prefault",1,"",NaN,1.1,1.1,217.351792939703,862.301348649751,0.988191684791786,1.0821258692218,0.00410314865707023,1.07787668581219,-0.0778766858121884,0.0118083152082136,0.671222373284729,0.0840400252368102,0.319580919536905,-0.00660554388173884,-0.000974360635160837,-0.00956970463643179,0,1,0,1,0,0,0,0,1,1,-0.616401338988215,3.58677865583212,0,0.319552854782414,0,-0.00687892661664144,0,-0.000961613159321292,0,-0.00988504173543618
"hpt_v2_topology2_paper","topology2","fault","shallow_hvrt","swell_1p10",0.026,"prefault",1,"",NaN,1.1,1.1,217.488245432686,852.773969436186,1.00786025621445,1.01156207028765,0.0330038217472159,1.06596746179523,-0.0659674617952328,-0.00786025621445385,0.709124103730011,0.123290156772195,0.321170804636922,-0.00765232007442605,-0.000941061337095932,-0.00765583650970729,0,0,0,1,0,0,0,0,1,1,-5,1.10367187570892,-0.157205124289077,0.322025021445903,0,-0.00774749753909816,0,-0.00090601840533922,0,-0.00758113988247747
"hpt_v2_topology2_paper","topology2","fault","shallow_hvrt","swell_1p10",0.028,"prefault",1,"",NaN,1.1,1.1,216.238844519631,858.289943414832,1.02015682032515,0.971269705450727,0.0533579675875708,1.07286242926854,-0.0728624292685403,-0.0201568203251463,0.745339631924066,0.166658171406162,0.315805146615958,-0.00920304847565574,-0.00136379661846735,-0.00751742036816175,0,0,0,1,0,0,0,0,1,1,-5,-2.83407391027257,-0.403136406502926,0.315853214317337,0,-0.00926286002893521,0,-0.0014457849065931,0,-0.00743609840154947
"hpt_v2_topology2_paper","topology2","fault","shallow_hvrt","swell_1p10",0.03,"prefault",1,"",NaN,1.1,1.1,214.503057853823,853.538665747606,1.02658744824486,0.979176047586963,0.0377591374781333,1.06692333218451,-0.0669233321845077,-0.0265874482448571,0.776509932114357,0.211248706541295,0.302144536061257,-0.0084368058269974,-0.00139405184409874,-0.00699938686136919,0,0,0,1,0,0,0,0,1,1,-0.912776121842373,-0.00978562301523489,-0.531748964897143,0.300607706196672,0,-0.00838402524610831,0,-0.00131201708608819,0,-0.00714778711474183
"hpt_v2_topology2_paper","topology2","fault","shallow_hvrt","swell_1p10",0.032,"prefault",1,"",NaN,1.1,1.1,195.084623145006,877.440709428507,1.0136851001466,0.993224318960819,0.0313140362310013,1.09680088678563,-0.096800886785634,-0.0136851001466045,0.836780674261877,0.267930586842154,0.0833666944298106,-0.00139613947001365,-0.000247561314255434,-0.00124769977264647,0,0,0,1,0,1,0,0.000679999999999972,1.08073966785162,1.08087103848053,-1.87899399358915,3.70980763160844,-0.27370200293209,0.0817758404670045,0,-0.00136678928561245,0,-0.000244512931951535,0,-0.00122251290835837
"hpt_v2_topology2_paper","topology2","fault","shallow_hvrt","swell_1p10",0.034,"prefault",1,"",NaN,1.1,1.1,172.855845362929,932.109149797746,0.968549367854793,0.945459281422491,0.0162469776891762,1.16513643724718,-0.165136437247182,0.0314506321452073,0.896549041745244,0.287133002833689,0.0141281544113049,-0.000218685656325927,-5.9188860949847e-06,-0.000146190298222778,0,0,0,1,0,1,0,0.00115999999999995,1.08081760122121,1.08081760122121,-3.02378711134954,-0.298365099612452,0.6,0.0138265140389707,0,-0.000214351119664887,0,-5.21756161195098e-06,0,-0.000142689927211452
"hpt_v2_topology2_paper","topology2","fault","shallow_hvrt","swell_1p10",0.036,"fault",0,"gbt_vdc_survive_inst",NaN,1.1,1.1,175.900621967301,1008.05246693478,0.9249073893484,1.00009163663194,0.0189543304281917,1.26006558366847,-0.260065583668472,0.0750926106516003,0.887168718263419,0.352623386529199,0.00175103998183013,-0.000205716897059549,6.45840457033305e-05,-1.26836995939609e-05,0,0,0,1,0,1,0,0.00111999999999995,1.08741648947417,1.08741648947417,0.118505054706897,-3.08183471834811,0.6,0.00172178159593497,0,-0.000201672057138755,0,6.3798008348556e-05,0,-1.2180000674167e-05
"hpt_v2_topology2_paper","topology2","fault","shallow_hvrt","swell_1p10",0.038,"fault",0,"gbt_vdc_survive_inst",NaN,1.1,1.1,181.75727136003,1064.06479047547,0.906830512942307,0.997211477451576,0.0214628648745708,1.33008098809434,-0.330080988094337,0.0931694870576931,0.89016134951606,0.410062734364818,-6.32742818844701e-05,1.66966410638359e-08,3.72029399329594e-05,2.48467610533228e-06,0,0,0,1,0,1,0,0.000759999999999969,1.09565325491779,1.10135057651625,-5,-0.325900890527864,0.6,-6.28090519194912e-05,0,1.13833061164739e-07,0,3.70454459563273e-05,0,2.70531642820617e-06
"hpt_v2_topology2_paper","topology2","fault","shallow_hvrt","swell_1p10",0.04,"fault",0,"gbt_vdc_survive_inst",NaN,1.1,1.1,187.648075240802,1136.12946023882,0.90259225899685,1.02925261756424,0.0733666845717545,1.42016182529853,-0.420161825298529,0.0974077410031504,0.853304841425816,0.440278169751637,-0.000379019611637167,3.15309033207256e-05,6.14197073765038e-05,5.39337211541762e-05,0,0,0,1,1,0,0.0194399999999992,0,1.0196694848423,1.03041506030955,5,1.07217230033729,0.6,-0.000386280328654813,0,3.26891428306259e-05,0,4.60168987091885e-05,0,7.15595038368909e-05
"hpt_v2_topology2_paper","topology2","fault","shallow_hvrt","swell_1p10",0.042,"fault",0,"gbt_vdc_survive_inst",NaN,1.1,1.1,195.506497190192,1209.01091652938,0.908864464900548,1.05714162704527,0.0475351659265024,1.51126364566173,-0.511263645661729,0.0911355350994523,0.762136748842461,0.454457383589167,-0.000534070074931989,0.000121973923469318,0.00016564739821051,5.41436186469055e-05,0,0,0,1,0,1,0,0,1.05893861652919,1.13817441862097,-5,-3.08923265139471,0.6,-0.000528294568678456,0,0.000119893454733928,0,0.00016305955499415,0,5.34085516342953e-05
"hpt_v2_topology2_paper","topology2","fault","shallow_hvrt","swell_1p10",0.044,"fault",0,"gbt_vdc_survive_inst",NaN,1.1,1.1,199.749002778139,1240.11887449839,0.922103274694556,1.09989794754853,0.0153780888498432,1.55014859312299,-0.550148593122988,0.0778967253054437,0.655734108785297,0.493468529324866,-0.000607736109500952,0.000125531233118776,0.000147291885735106,7.18385943309523e-05,0,1,0,1,1,0,0.0274399999999989,0,1.08026337303419,1.17238249403381,-5,-0.913208085536077,0,-0.000606614595917188,0,0.000123138435795828,0,0.000145118105010088,0,7.07626684048231e-05
"hpt_v2_topology2_paper","topology2","fault","shallow_hvrt","swell_1p10",0.046,"fault",0,"gbt_vdc_survive_inst",NaN,1.1,1.1,204.379550876428,1243.5937149039,0.940148599576315,1.12222165458048,0.0483955171172844,1.55449214362988,-0.554492143629876,0.0598514004236846,0.536721813422222,0.53123519663559,-0.000668724437464496,0.000102720309605622,0.000122301442420251,7.9369149524419e-05,0,1,0,1,1,0,0.0314399999999987,0,1.07106000017585,1.18780271269973,-5,0.156395473592807,0,-0.00065806677604792,0,0.000100647995353608,0,0.000120619684192901,0,7.8071079910482e-05
"hpt_v2_topology2_paper","topology2","fault","shallow_hvrt","swell_1p10",0.048,"fault",0,"gbt_vdc_survive_inst",NaN,1.1,1.1,210.981822540519,1229.00308449211,0.960800224250816,1.1386648194113,0.0524908431349937,1.53625385561514,-0.536253855615135,0.039199775749184,0.415669858122898,0.557162938336338,-0.000789125212367159,0.000132731968735681,0.000158953978390488,9.63820107525656e-05,0,1,0,1,1,0,0.0354399999999986,0,1.07106000017585,1.23477211684016,-5,-3.17497021312274,0,-0.000798609498487326,0,0.000130326274441162,0,0.000156430734542366,0,9.49817520573846e-05
"hpt_v2_topology2_paper","topology2","fault","shallow_hvrt","swell_1p10",0.05,"fault",0,"gbt_vdc_survive_inst",NaN,1.1,1.1,214.910485588382,1186.92478393657,0.982915286161877,1.18743150927295,0.0391156060482818,1.48365597992071,-0.483655979920712,0.0170847138381228,0.328948665687355,0.590706438567359,-0.000699469818872501,0.000103405907195204,0.00012943810552338,5.41369282579137e-05,0,1,0,1,1,0,0.0394399999999984,0,1.07106000017585,1.23522704412736,-5,-1.21414111867746,0,-0.000699978043753725,0,0.000101378094010391,0,0.000127486772563071,0,5.34496184213633e-05
"hpt_v2_topology2_paper","topology2","fault","shallow_hvrt","swell_1p10",0.052,"fault",0,"gbt_vdc_survive_inst",NaN,1.1,1.1,218.070743415793,1142.94014939427,1.00324662865487,1.20191148140221,0.0595670904191159,1.42867518674284,-0.428675186742843,-0.00324662865486647,0.267473620864625,0.613889090051762,-0.000707419997101313,4.43374637046347e-05,6.29277949048441e-05,3.32249905845085e-05,0,1,0,1,1,0,0.0434399999999982,0,1.07106000017585,1.27223196732627,-5,-0.67722473352827,-0.0649325730973294,-0.000698990384146452,0,4.33391713405286e-05,0,6.22240444555186e-05,0,3.28405915231611e-05
"hpt_v2_topology2_paper","topology2","fault","shallow_hvrt","swell_1p10",0.054,"fault",0,"gbt_vdc_survive_inst",NaN,1.1,1.1,223.166240446527,1116.53278795266,1.02386787751945,1.21354804173394,0.0374008177316541,1.39566598494083,-0.395665984940826,-0.0238678775194527,0.209519910057651,0.595852720632135,-0.000801667590973193,3.72157097168319e-05,4.91141833530788e-05,2.88439109299272e-05,0,1,0,1,1,0,0.0474399999999981,0,1.07106000017585,1.29892816630885,-5,-2.96631490908705,-0.477357550389055,-0.000813136535368774,0,3.65089689084689e-05,0,4.86388283010311e-05,0,2.88028258356896e-05
"hpt_v2_topology2_paper","topology2","fault","shallow_hvrt","swell_1p10",0.056,"fault",0,"gbt_vdc_survive_inst",NaN,1.1,1.1,225.402757938105,1072.92989164074,1.04358437091785,1.25889349847349,0.0361931289714504,1.34116236455093,-0.341162364550929,-0.0435843709178501,0.160449803115696,0.606832551621342,-0.000692966452553935,2.50698160171151e-05,1.82767266005477e-05,1.62228806262199e-05,0,1,0,1,1,0,0.0514399999999979,0,1.07106000017585,1.29892816630885,-5,-1.08814587546235,-0.6,-0.000696395424509927,0,2.44745877180836e-05,0,1.84479209731067e-05,0,1.63207741062527e-05
