scenario,eval_window_ok_percent_after_20ms,lv_min_v_after_20ms,lv_max_v_after_20ms,lv_176_238_ok_percent_after_20ms,vdc_min_v_after_20ms,vdc_max_v_after_20ms,vdc_650_1000_ok_percent_after_20ms,max_abs_energy_action
a_hvrt_1p10pu_60ms,89.1,173.5,226.9,96.0,653.8,1192.8,89.1,0.0107
a_lvrt_0p90pu_60ms,73.3,159.7,225.4,96.0,490.6,1165.0,70.3,0.0107
ab_hvrt_1p10pu_60ms,87.1,173.6,226.7,96.0,672.4,1226.6,87.1,0.0107
ab_lvrt_0p90pu_60ms,64.4,160.2,223.7,93.1,417.6,1147.8,65.3,0.0107
b_hvrt_1p10pu_60ms,87.1,166.9,225.8,96.0,596.8,1205.4,75.2,0.0107
b_lvrt_0p90pu_60ms,72.3,167.5,225.0,94.1,490.5,1161.2,69.3,0.0107
balanced_hvrt_1p10pu_60ms,87.1,172.9,228.1,98.0,656.4,1243.6,87.1,0.01
balanced_lvrt_0p90pu_60ms,49.5,158.8,224.9,93.1,401.1,1104.3,69.3,0.01
bc_hvrt_1p10pu_60ms,88.1,169.9,226.9,97.0,669.1,1244.2,88.1,0.0107
bc_lvrt_0p90pu_60ms,72.3,160.2,223.8,94.1,449.6,1136.3,73.3,0.0107
c_hvrt_1p10pu_60ms,89.1,168.5,226.9,97.0,650.1,1218.1,89.1,0.0107
c_lvrt_0p90pu_60ms,70.3,161.4,225.1,95.0,486.4,1135.8,67.3,0.0107
ca_hvrt_1p10pu_60ms,87.1,172.9,226.8,98.0,649.9,1233.8,86.1,0.0107
ca_lvrt_0p90pu_60ms,69.3,154.6,224.8,95.0,431.5,1128.2,71.3,0.0107
