scenario_idx,sc_id,m_sh,m_se_d,m_se_q
1,0,0.82,0.0,0.0
2,0,0.82,0.0,0.0
3,0,0.82,0.0,0.0
4,0,0.82,0.0,0.0
5,0,0.82,0.0,0.0
6,0,0.82,0.0,0.0
7,0,0.82,0.0,0.0
8,0,0.82,0.0,0.0
9,0,0.82,0.0,0.0
10,0,0.82,0.0,0.0
11,0,0.82,0.0,0.0
12,0,0.82,0.0,0.0
13,0,0.82,0.0,0.0
14,0,0.82,0.0,0.0
15,0,0.82,0.0,0.0
16,0,0.82,0.0,0.0
17,0,0.82,0.0,0.0
18,0,0.82,0.0,0.0
19,0,0.82,0.0,0.0
20,0,0.82,0.0,0.0
21,0,0.82,0.0,0.0
22,0,0.82,0.0,0.0
23,0,0.82,0.0,0.0
24,0,0.82,0.0,0.0
25,0,0.82,0.0,0.0
26,0,0.82,0.0,0.0
27,0,0.82,0.0,0.0
28,0,0.82,0.0,0.0
29,0,0.82,0.0,0.0
30,0,0.82,0.0,0.0
31,0,0.82,0.0,0.0
32,0,0.82,0.0,0.0
33,0,0.82,0.0,0.0
34,0,0.82,0.0,0.0
35,0,0.82,0.0,0.0
36,0,0.82,0.0,0.0
37,0,0.82,0.0,0.0
38,0,0.82,0.0,0.0
39,0,0.82,0.0,0.0
40,0,0.82,0.0,0.0
41,0,0.82,0.0,0.0
42,0,0.82,0.0,0.0
43,0,0.82,0.0,0.0
44,0,0.82,0.0,0.0
45,0,0.82,0.0,0.0
46,0,0.82,0.0,0.0
47,0,0.82,0.0,0.0
48,0,0.82,0.0,0.0
49,0,0.82,0.0,0.0
50,0,0.82,0.0,0.0
51,3,0.82,0.0,0.0
52,3,0.82,0.0,0.0
53,3,0.82,0.0,0.0
54,3,0.82,0.0,0.0
55,3,0.82,0.0,0.0
56,3,0.82,0.0,0.0
57,3,0.82,0.0,0.0
58,3,0.82,0.0,0.0
59,3,0.82,0.0,0.0
60,3,0.82,0.0,0.0
61,3,0.82,0.0,0.0
62,3,0.82,0.0,0.0
63,3,0.82,0.0,0.0
64,3,0.82,0.0,0.0
65,3,0.82,0.0,0.0
66,3,0.82,0.0,0.0
67,3,0.82,0.0,0.0
68,3,0.82,0.0,0.0
69,3,0.82,0.0,0.0
70,3,0.82,0.0,0.0
71,3,0.82,0.0,0.0
72,3,0.82,0.0,0.0
73,3,0.82,0.0,0.0
74,3,0.82,0.0,0.0
75,3,0.82,0.0,0.0
76,3,0.82,0.0,0.0
77,3,0.82,0.0,0.0
78,3,0.82,0.0,0.0
79,3,0.82,0.0,0.0
80,3,0.82,0.0,0.0
81,3,0.82,0.0,0.0
82,3,0.82,0.0,0.0
83,3,0.82,0.0,0.0
84,3,0.82,0.0,0.0
85,3,0.82,0.0,0.0
86,3,0.82,0.0,0.0
87,3,0.82,0.0,0.0
88,3,0.82,0.0,0.0
89,3,0.82,0.0,0.0
90,3,0.82,0.0,0.0
91,3,0.82,0.0,0.0
92,3,0.82,0.0,0.0
93,3,0.82,0.0,0.0
94,3,0.82,0.0,0.0
95,3,0.82,0.0,0.0
96,3,0.82,0.0,0.0
97,3,0.82,0.0,0.0
98,3,0.82,0.0,0.0
99,3,0.82,0.0,0.0
100,3,0.82,0.0,0.0
101,4,0.82,0.0,0.0
102,4,0.82,0.0,0.0
103,4,0.82,0.0,0.0
104,4,0.82,0.0,0.0
105,4,0.82,0.0,0.0
106,4,0.82,0.0,0.0
107,4,0.82,0.0,0.0
108,4,0.82,0.0,0.0
109,4,0.82,0.0,0.0
110,4,0.82,0.0,0.0
111,4,0.82,0.0,0.0
112,4,0.82,0.0,0.0
113,4,0.82,0.0,0.0
114,4,0.82,0.0,0.0
115,4,0.82,0.0,0.0
116,4,0.82,0.0,0.0
117,4,0.82,0.0,0.0
118,4,0.82,0.0,0.0
119,4,0.82,0.0,0.0
120,4,0.82,0.0,0.0
121,4,0.82,0.0,0.0
122,4,0.82,0.0,0.0
123,4,0.82,0.0,0.0
124,4,0.82,0.0,0.0
125,4,0.82,0.0,0.0
126,4,0.82,0.0,0.0
127,4,0.82,0.0,0.0
128,4,0.82,0.0,0.0
129,4,0.82,0.0,0.0
130,4,0.82,0.0,0.0
131,4,0.82,0.0,0.0
132,4,0.82,0.0,0.0
133,4,0.82,0.0,0.0
134,4,0.82,0.0,0.0
135,4,0.82,0.0,0.0
136,4,0.82,0.0,0.0
137,4,0.82,0.0,0.0
138,4,0.82,0.0,0.0
139,4,0.82,0.0,0.0
140,4,0.82,0.0,0.0
141,4,0.82,0.0,0.0
142,4,0.82,0.0,0.0
143,4,0.82,0.0,0.0
144,4,0.82,0.0,0.0
145,4,0.82,0.0,0.0
146,4,0.82,0.0,0.0
147,4,0.82,0.0,0.0
148,4,0.82,0.0,0.0
149,4,0.82,0.0,0.0
150,4,0.82,0.0,0.0
151,5,0.82,0.0,0.0
152,5,0.82,0.0,0.0
153,5,0.82,0.0,0.0
154,5,0.82,0.0,0.0
155,5,0.82,0.0,0.0
156,5,0.82,0.0,0.0
157,5,0.82,0.0,0.0
158,5,0.82,0.0,0.0
159,5,0.82,0.0,0.0
160,5,0.82,0.0,0.0
161,5,0.82,0.0,0.0
162,5,0.82,0.0,0.0
163,5,0.82,0.0,0.0
164,5,0.82,0.0,0.0
165,5,0.82,0.0,0.0
166,5,0.82,0.0,0.0
167,5,0.82,0.0,0.0
168,5,0.82,0.0,0.0
169,5,0.82,0.0,0.0
170,5,0.82,0.0,0.0
171,5,0.82,0.0,0.0
172,5,0.82,0.0,0.0
173,5,0.82,0.0,0.0
174,5,0.82,0.0,0.0
175,5,0.82,0.0,0.0
176,5,0.82,0.0,0.0
177,5,0.82,0.0,0.0
178,5,0.82,0.0,0.0
179,5,0.82,0.0,0.0
180,5,0.82,0.0,0.0
181,5,0.82,0.0,0.0
182,5,0.82,0.0,0.0
183,5,0.82,0.0,0.0
184,5,0.82,0.0,0.0
185,5,0.82,0.0,0.0
186,5,0.82,0.0,0.0
187,5,0.82,0.0,0.0
188,5,0.82,0.0,0.0
189,5,0.82,0.0,0.0
190,5,0.82,0.0,0.0
191,5,0.82,0.0,0.0
192,5,0.82,0.0,0.0
193,5,0.82,0.0,0.0
194,5,0.82,0.0,0.0
195,5,0.82,0.0,0.0
196,5,0.82,0.0,0.0
197,5,0.82,0.0,0.0
198,5,0.82,0.0,0.0
199,5,0.82,0.0,0.0
200,5,0.82,0.0,0.0
201,6,0.82,0.0,0.0
202,6,0.82,0.0,0.0
203,6,0.82,0.0,0.0
204,6,0.82,0.0,0.0
205,6,0.82,0.0,0.0
206,6,0.82,0.0,0.0
207,6,0.82,0.0,0.0
208,6,0.82,0.0,0.0
209,6,0.82,0.0,0.0
210,6,0.82,0.0,0.0
211,6,0.82,0.0,0.0
212,6,0.82,0.0,0.0
213,6,0.82,0.0,0.0
214,6,0.82,0.0,0.0
215,6,0.82,0.0,0.0
216,6,0.82,0.0,0.0
217,6,0.82,0.0,0.0
218,6,0.82,0.0,0.0
219,6,0.82,0.0,0.0
220,6,0.82,0.0,0.0
221,6,0.82,0.0,0.0
222,6,0.82,0.0,0.0
223,6,0.82,0.0,0.0
224,6,0.82,0.0,0.0
225,6,0.82,0.0,0.0
226,6,0.82,0.0,0.0
227,6,0.82,0.0,0.0
228,6,0.82,0.0,0.0
229,6,0.82,0.0,0.0
230,6,0.82,0.0,0.0
231,6,0.82,0.0,0.0
232,6,0.82,0.0,0.0
233,6,0.82,0.0,0.0
234,6,0.82,0.0,0.0
235,6,0.82,0.0,0.0
236,6,0.82,0.0,0.0
237,6,0.82,0.0,0.0
238,6,0.82,0.0,0.0
239,6,0.82,0.0,0.0
240,6,0.82,0.0,0.0
241,6,0.82,0.0,0.0
242,6,0.82,0.0,0.0
243,6,0.82,0.0,0.0
244,6,0.82,0.0,0.0
245,6,0.82,0.0,0.0
246,6,0.82,0.0,0.0
247,6,0.82,0.0,0.0
248,6,0.82,0.0,0.0
249,6,0.82,0.0,0.0
250,6,0.82,0.0,0.0
251,7,0.82,0.0,0.0
252,7,0.82,0.0,0.0
253,7,0.82,0.0,0.0
254,7,0.82,0.0,0.0
255,7,0.82,0.0,0.0
256,7,0.82,0.0,0.0
257,7,0.82,0.0,0.0
258,7,0.82,0.0,0.0
259,7,0.82,0.0,0.0
260,7,0.82,0.0,0.0
261,7,0.82,0.0,0.0
262,7,0.82,0.0,0.0
263,7,0.82,0.0,0.0
264,7,0.82,0.0,0.0
265,7,0.82,0.0,0.0
266,7,0.82,0.0,0.0
267,7,0.82,0.0,0.0
268,7,0.82,0.0,0.0
269,7,0.82,0.0,0.0
270,7,0.82,0.0,0.0
271,7,0.82,0.0,0.0
272,7,0.82,0.0,0.0
273,7,0.82,0.0,0.0
274,7,0.82,0.0,0.0
275,7,0.82,0.0,0.0
276,7,0.82,0.0,0.0
277,7,0.82,0.0,0.0
278,7,0.82,0.0,0.0
279,7,0.82,0.0,0.0
280,7,0.82,0.0,0.0
281,7,0.82,0.0,0.0
282,7,0.82,0.0,0.0
283,7,0.82,0.0,0.0
284,7,0.82,0.0,0.0
285,7,0.82,0.0,0.0
286,7,0.82,0.0,0.0
287,7,0.82,0.0,0.0
288,7,0.82,0.0,0.0
289,7,0.82,0.0,0.0
