scenario_idx,sc_id,m_sh,m_se_d,m_se_q,vdc_min,vdc_max,i2_max,lvrt_pass
1,0,0.9000,0.0000,0.0000,0.9102,1.1245,1.2024,1
2,0,0.9000,0.0000,0.0000,0.8443,1.1504,1.4534,1
3,0,0.9000,0.0000,0.0000,0.9174,1.1222,1.4834,1
4,0,0.9000,0.0000,0.0000,0.9410,1.1071,1.2562,1
5,0,0.9000,0.0000,0.0000,0.8238,1.1519,1.5790,1
6,0,0.9000,0.0000,0.0000,0.9108,1.1219,1.2872,1
7,0,0.9000,0.0000,0.0000,0.9065,1.0947,1.1687,1
8,0,0.9000,0.0000,0.0000,0.8956,1.1200,1.2584,1
9,0,0.9000,0.0000,0.0000,0.9150,1.1155,1.3644,1
10,0,0.9000,0.0000,0.0000,0.8529,1.1524,1.6061,1
11,0,0.9000,0.0000,0.0000,0.8880,1.1262,1.4753,1
12,0,0.9000,0.0000,0.0000,0.8728,1.1387,1.6049,1
13,0,0.9000,0.0000,0.0000,0.9238,1.0987,1.2934,1
14,0,0.9000,0.0000,0.0000,0.8233,1.1531,1.4708,1
15,0,0.9000,0.0000,0.0000,0.8178,1.1526,1.4528,1
16,0,0.9000,0.0000,0.0000,0.9159,1.0849,1.3863,1
17,0,0.9000,0.0000,0.0000,0.8479,1.1520,1.3632,1
18,0,0.9000,0.0000,0.0000,0.9021,1.1062,1.3564,1
19,0,0.9000,0.0000,0.0000,0.8177,1.1532,1.5074,1
20,0,0.9000,0.0000,0.0000,0.8392,1.1519,1.5700,1
21,0,0.9000,0.0000,0.0000,0.8175,1.1526,1.2593,1
22,0,0.9000,0.0000,0.0000,0.9075,1.1219,1.4475,1
23,0,0.9000,0.0000,0.0000,0.9453,1.1120,1.3313,1
24,0,0.9000,0.0000,0.0000,0.9443,1.1128,1.3429,1
25,0,0.9000,0.0000,0.0000,0.9597,1.1171,1.3299,1
26,0,0.9000,0.0000,0.0000,0.9336,1.1147,1.3799,1
27,0,0.9000,0.0000,0.0000,0.8277,1.1510,1.4150,1
28,0,0.9000,0.0000,0.0000,0.8226,1.1530,1.3103,1
29,0,0.9000,0.0000,0.0000,0.8806,1.1285,1.4034,1
30,0,0.9000,0.0000,0.0000,0.9406,1.1039,1.4868,1
31,0,0.9000,0.0000,0.0000,0.8166,1.1520,1.3980,1
32,0,0.9000,0.0000,0.0000,0.9084,1.0946,1.2898,1
33,0,0.9000,0.0000,0.0000,0.9591,1.1192,1.3923,1
