scenario_idx,sc_id,m_sh,m_se_d,m_se_q
1,0,0.8333,0.0406,0.0507
2,0,0.7733,0.0267,0.037
3,0,0.7693,0.0247,0.0361
4,0,0.822,0.0414,0.0475
5,0,0.7644,0.0224,0.0351
6,0,0.822,0.0414,0.0475
7,0,0.8308,0.0407,0.0499
8,0,0.8168,0.0418,0.0458
9,0,0.7688,0.0245,0.036
10,0,0.7529,0.0149,0.0315
11,0,0.7687,0.0244,0.0359
12,0,0.7453,0.0104,0.0294
13,0,0.7974,0.037,0.0417
14,0,0.7804,0.03,0.0383
15,0,0.8013,0.0382,0.0425
16,0,0.7891,0.0337,0.04
17,0,0.8179,0.0418,0.0462
18,0,0.8026,0.0386,0.0428
19,0,0.782,0.0308,0.0387
20,0,0.7583,0.0187,0.0333
21,0,0.8343,0.0406,0.0511
22,0,0.7834,0.0314,0.0389
23,0,0.7907,0.0343,0.0403
24,0,0.8068,0.04,0.0436
25,0,0.7902,0.0341,0.0402
26,0,0.8055,0.0396,0.0433
27,0,0.8042,0.0391,0.0431
28,0,0.8239,0.0412,0.0481
29,0,0.7932,0.0354,0.0408
30,0,0.7581,0.0186,0.0332
31,0,0.8159,0.0419,0.0455
32,0,0.8058,0.0397,0.0434
33,0,0.7699,0.025,0.0362
34,0,0.8073,0.0401,0.0437
35,0,0.8053,0.0395,0.0433
36,0,0.8047,0.0393,0.0432
37,0,0.8091,0.0407,0.0441
38,0,0.784,0.0316,0.039
39,0,0.7883,0.0334,0.0399
40,0,0.8142,0.0418,0.0451
41,0,0.792,0.0349,0.0406
42,0,0.7822,0.0309,0.0387
43,0,0.7825,0.031,0.0388
44,0,0.8098,0.0409,0.0442
45,0,0.7967,0.0367,0.0416
46,0,0.8054,0.0395,0.0433
47,0,0.7958,0.0364,0.0414
48,0,0.8141,0.0418,0.0451
49,0,0.7884,0.0334,0.0399
50,0,0.81,0.041,0.0442
51,3,0.8486,0.0667,-0.0076
52,3,0.8399,0.0535,-0.0121
53,3,0.8542,0.0727,-0.0047
54,3,0.8506,0.0688,-0.0066
55,3,0.8459,0.0629,-0.0088
56,3,0.8377,0.0505,-0.0129
57,3,0.8542,0.0727,-0.0047
58,3,0.8379,0.0507,-0.0129
59,3,0.838,0.0509,-0.0128
60,3,0.8516,0.0698,-0.0061
61,3,0.8428,0.0583,-0.0105
62,3,0.8405,0.0546,-0.0117
63,3,0.8429,0.0585,-0.0104
64,3,0.8357,0.0476,-0.0136
65,3,0.846,0.063,-0.0088
66,3,0.8401,0.0538,-0.012
67,3,0.8476,0.0653,-0.008
68,3,0.8562,0.0756,-0.0033
69,3,0.8511,0.0693,-0.0064
70,3,0.8569,0.0766,-0.0028
71,3,0.8397,0.0532,-0.0121
72,3,0.8448,0.0613,-0.0094
73,3,0.8445,0.0608,-0.0096
74,3,0.8535,0.0718,-0.0051
75,3,0.8435,0.0593,-0.0101
76,3,0.8468,0.0641,-0.0084
77,3,0.8436,0.0595,-0.0101
78,3,0.8343,0.0456,-0.0141
