scenario_idx,sc_id,m_sh,m_se_d,m_se_q
1,0,0.8333,0.0406,0.0507
2,0,0.7733,0.0267,0.037
3,0,0.7693,0.0247,0.0361
4,0,0.822,0.0414,0.0475
5,0,0.7644,0.0224,0.0351
6,0,0.822,0.0414,0.0475
7,0,0.8308,0.0407,0.0499
8,0,0.8168,0.0418,0.0458
9,0,0.7688,0.0245,0.036
10,0,0.7529,0.0149,0.0315
11,0,0.7687,0.0244,0.0359
12,0,0.7453,0.0104,0.0294
13,0,0.7974,0.037,0.0417
14,0,0.7804,0.03,0.0383
15,0,0.8013,0.0382,0.0425
16,0,0.7891,0.0337,0.04
17,0,0.8179,0.0418,0.0462
18,0,0.8026,0.0386,0.0428
19,0,0.782,0.0308,0.0387
20,0,0.7583,0.0187,0.0333
21,0,0.8343,0.0406,0.0511
22,0,0.7834,0.0314,0.0389
23,0,0.7907,0.0343,0.0403
24,0,0.8068,0.04,0.0436
25,0,0.7902,0.0341,0.0402
26,0,0.8055,0.0396,0.0433
27,0,0.8042,0.0391,0.0431
28,0,0.8239,0.0412,0.0481
29,0,0.7932,0.0354,0.0408
30,0,0.7581,0.0186,0.0332
31,0,0.8159,0.0419,0.0455
32,0,0.8058,0.0397,0.0434
33,0,0.7699,0.025,0.0362
34,0,0.8073,0.0401,0.0437
35,0,0.8053,0.0395,0.0433
36,0,0.8047,0.0393,0.0432
37,0,0.8091,0.0407,0.0441
38,0,0.784,0.0316,0.039
39,0,0.7883,0.0334,0.0399
40,0,0.8142,0.0418,0.0451
41,0,0.792,0.0349,0.0406
42,0,0.7822,0.0309,0.0387
43,0,0.7825,0.031,0.0388
44,0,0.8098,0.0409,0.0442
45,0,0.7967,0.0367,0.0416
46,0,0.8054,0.0395,0.0433
47,0,0.7958,0.0364,0.0414
48,0,0.8141,0.0418,0.0451
49,0,0.7884,0.0334,0.0399
50,0,0.81,0.041,0.0442
51,3,0.8,0.0,0.0
52,3,0.8,0.0,0.0
53,3,0.8,0.0,0.0
54,3,0.8,0.0,0.0
55,3,0.8,0.0,0.0
56,3,0.8,0.0,0.0
57,3,0.8,0.0,0.0
58,3,0.8,0.0,0.0
59,3,0.8,0.0,0.0
60,3,0.8,0.0,0.0
61,3,0.8,0.0,0.0
62,3,0.8,0.0,0.0
63,3,0.8,0.0,0.0
64,3,0.8,0.0,0.0
65,3,0.8,0.0,0.0
66,3,0.8,0.0,0.0
67,3,0.8,0.0,0.0
68,3,0.8,0.0,0.0
69,3,0.8,0.0,0.0
70,3,0.8,0.0,0.0
71,3,0.8,0.0,0.0
72,3,0.8,0.0,0.0
73,3,0.8,0.0,0.0
74,3,0.8,0.0,0.0
75,3,0.8,0.0,0.0
76,3,0.8,0.0,0.0
77,3,0.8,0.0,0.0
78,3,0.8,0.0,0.0
79,3,0.8,0.0,0.0
80,3,0.8,0.0,0.0
81,3,0.8,0.0,0.0
82,3,0.8,0.0,0.0
83,3,0.8,0.0,0.0
84,3,0.8,0.0,0.0
85,3,0.8,0.0,0.0
