file,sc_id,scenario,fault_start_s,fault_end_s,v2_min_pu_fault,v2_mean_pu_fault,v2_recovery_ms_to_0p90,vdc_peak_pu_post_fault,vdc_min_pu_post_fault,i2_peak_pu_post_fault,q2_abs_peak_kvar_fault,lvrt_pass_basic
scenario_0001_switching_0_normal_run001.mat,0,normal,0.029019,0.05,0.9372,0.9481,0.031,1.0469,0.9257,1.1572,239.842,True
scenario_0002_switching_0_normal_run002.mat,0,normal,0.018204,0.05,0.9328,0.9426,0.046,1.0463,0.9103,1.4121,282.12,True
scenario_0003_switching_0_normal_run003.mat,0,normal,0.028984,0.05,0.9274,0.9384,0.016,1.0464,0.9314,1.4733,360.885,True
scenario_0004_switching_0_normal_run004.mat,0,normal,0.026524,0.05,0.9343,0.9451,0.026,1.0463,0.9262,1.2801,278.65,True
scenario_0005_switching_0_normal_run005.mat,0,normal,0.016669,0.05,0.9269,0.9377,0.031,1.0614,0.9061,1.5258,367.695,True
scenario_0006_switching_0_normal_run006.mat,0,normal,0.029134,0.05,0.9333,0.9445,0.016,1.0474,0.9251,1.2505,295.043,True
scenario_0007_switching_0_normal_run007.mat,0,normal,0.023773,0.05,0.9359,0.9466,0.027,1.0457,0.9011,1.2302,259.424,True
scenario_0008_switching_0_normal_run008.mat,0,normal,0.021024,0.05,0.9342,0.9448,0.026,1.0473,0.902,1.2959,279.059,True
scenario_0009_switching_0_normal_run009.mat,0,normal,0.022006,0.05,0.9334,0.9429,0.044,1.0504,0.9122,1.4144,270.817,True
scenario_0010_switching_0_normal_run010.mat,0,normal,0.012146,0.05,0.9267,0.9373,0.004,1.1016,0.9088,1.5603,365.508,True
scenario_0011_switching_0_normal_run011.mat,0,normal,0.020645,0.05,0.9276,0.9382,0.005,1.0462,0.906,1.5062,359.26,True
scenario_0012_switching_0_normal_run012.mat,0,normal,0.019637,0.05,0.9245,0.9351,0.013,1.0459,0.9069,1.6135,395.117,True
scenario_0013_switching_0_normal_run013.mat,0,normal,0.025353,0.05,0.9342,0.9442,0.047,1.0474,0.918,1.3415,271.629,True
scenario_0014_switching_0_normal_run014.mat,0,normal,0.016448,0.05,0.9325,0.9426,0.002,1.0719,0.9085,1.4001,288.349,True
scenario_0015_switching_0_normal_run015.mat,0,normal,0.0149,0.05,0.9303,0.9414,0.0,1.09,0.9031,1.3924,331.058,True
scenario_0016_switching_0_normal_run016.mat,0,normal,0.024667,0.05,0.9279,0.939,0.033,1.0454,0.906,1.4577,362.616,True
scenario_0017_switching_0_normal_run017.mat,0,normal,0.012435,0.05,0.9323,0.9435,0.015,1.0956,0.9008,1.3253,309.429,True
scenario_0018_switching_0_normal_run018.mat,0,normal,0.021758,0.05,0.9288,0.9402,0.042,1.044,0.9009,1.4149,355.606,True
scenario_0019_switching_0_normal_run019.mat,0,normal,0.015057,0.05,0.9297,0.9404,0.043,1.0927,0.904,1.4439,332.515,True
scenario_0020_switching_0_normal_run020.mat,0,normal,0.013262,0.05,0.9276,0.9382,0.038,1.1014,0.9076,1.5317,353.611,True
scenario_0021_switching_0_normal_run021.mat,0,normal,0.016101,0.05,0.938,0.9487,0.049,1.0755,0.9005,1.1835,229.435,True
