file,sc_id,scenario,fault_start_s,fault_end_s,v2_min_pu_fault,v2_mean_pu_fault,v2_recovery_ms_to_0p90,vdc_peak_pu_post_fault,vdc_min_pu_post_fault,i2_peak_pu_post_fault,q2_abs_peak_kvar_fault,lvrt_pass_basic
switching_0_normal_run001.mat,0,normal,0.014286,0.05,0.9336,0.9437,0.014,1.1049,0.9144,1.3899,267.701,True
switching_0_normal_run002.mat,0,normal,0.017013,0.05,0.9256,0.9369,0.037,1.0543,0.908,1.547,382.402,True
switching_0_normal_run003.mat,0,normal,0.014837,0.05,0.9337,0.9435,0.013,1.1039,0.916,1.4072,262.216,True
switching_0_normal_run004.mat,0,normal,0.026405,0.05,0.9276,0.9381,0.045,1.0573,0.9358,1.5388,347.088,True
switching_0_normal_run005.mat,0,normal,0.02626,0.05,0.9356,0.946,0.04,1.0565,0.9317,1.2921,248.256,True
switching_0_normal_run006.mat,0,normal,0.027284,0.05,0.9248,0.9361,0.016,1.0521,0.9327,1.5688,392.553,True
switching_0_normal_run007.mat,0,normal,0.025376,0.05,0.9323,0.9426,0.024,1.0567,0.9263,1.3954,286.669,True
switching_0_normal_run008.mat,0,normal,0.024709,0.05,0.9262,0.9372,0.041,1.0531,0.9154,1.5359,374.545,True
switching_0_normal_run009.mat,0,normal,0.013748,0.05,0.9277,0.9394,0.002,1.1003,0.9065,1.4551,363.395,True
switching_0_normal_run010.mat,0,normal,0.029104,0.05,0.9274,0.9386,0.046,1.0545,0.9322,1.4647,356.382,True
switching_0_normal_run011.mat,0,normal,0.025779,0.05,0.9297,0.9407,0.021,1.0531,0.9302,1.4247,330.701,True
switching_0_normal_run012.mat,0,normal,0.020021,0.05,0.9324,0.9435,0.029,1.0529,0.9069,1.3325,299.82,True
switching_0_normal_run013.mat,0,normal,0.016968,0.05,0.9322,0.9426,0.032,1.0599,0.9122,1.404,288.691,True
switching_0_normal_run014.mat,0,normal,0.014142,0.05,0.9261,0.9374,0.008,1.1006,0.9084,1.5379,375.717,True
switching_0_normal_run015.mat,0,normal,0.022535,0.05,0.9259,0.9365,0.015,1.0562,0.9148,1.5772,369.198,True
switching_0_normal_run016.mat,0,normal,0.021107,0.05,0.9264,0.9372,0.043,1.0531,0.9097,1.541,368.615,True
switching_0_normal_run017.mat,0,normal,0.02185,0.05,0.9339,0.9437,0.0,1.0606,0.9153,1.3929,260.6,True
switching_0_normal_run018.mat,0,normal,0.027133,0.05,0.9305,0.9419,0.017,1.0509,0.9283,1.3725,327.78,True
switching_0_normal_run019.mat,0,normal,0.028727,0.05,0.9258,0.937,0.023,1.0535,0.9336,1.5505,374.432,True
switching_0_normal_run020.mat,0,normal,0.023089,0.05,0.9301,0.9414,0.011,1.0513,0.9064,1.3873,331.755,True
switching_3_igbt_oc_sh_run001.mat,3,igbt_oc_sh,0.02255,0.05,0.9325,0.9486,0.0,1.0857,0.7427,1.2938,273.574,False
switching_3_igbt_oc_sh_run002.mat,3,igbt_oc_sh,0.02555,0.05,0.9348,0.9476,0.0,1.0536,0.7762,1.3287,266.493,True
