file,sc_id,scenario,fault_start_s,fault_end_s,v2_min_pu_fault,v2_mean_pu_fault,v2_recovery_ms_to_0p90,vdc_peak_pu_post_fault,vdc_min_pu_post_fault,i2_peak_pu_post_fault,q2_abs_peak_kvar_fault,lvrt_pass_basic
switching_0_normal_run001.mat,0,normal,0.014286,0.05,0.9336,0.9654,0.014,0.9798,0.5204,1.4715,315.083,False
switching_0_normal_run002.mat,0,normal,0.017013,0.05,0.936,0.9574,0.037,0.979,0.5236,1.6391,421.985,False
switching_0_normal_run003.mat,0,normal,0.014837,0.05,0.9435,0.9656,0.013,0.9796,0.5152,1.4995,306.969,False
switching_0_normal_run004.mat,0,normal,0.026405,0.05,0.9377,0.9588,0.045,0.9808,0.5555,1.6597,397.614,False
switching_0_normal_run005.mat,0,normal,0.02626,0.05,0.9456,0.9667,0.04,0.9803,0.5433,1.3876,297.271,False
switching_0_normal_run006.mat,0,normal,0.027284,0.05,0.9349,0.9569,0.016,0.9801,0.5599,1.6859,440.312,False
switching_0_normal_run007.mat,0,normal,0.025376,0.05,0.9424,0.963,0.024,0.9805,0.5274,1.5013,335.656,False
switching_0_normal_run008.mat,0,normal,0.024709,0.05,0.9363,0.9566,0.041,0.981,0.5236,1.6498,420.94,False
switching_0_normal_run009.mat,0,normal,0.013748,0.05,0.938,0.9604,0.002,0.9789,0.5404,1.5204,391.189,False
switching_0_normal_run010.mat,0,normal,0.029104,0.05,0.938,0.9602,0.046,0.9811,0.5518,1.5826,402.357,False
switching_0_normal_run011.mat,0,normal,0.025779,0.05,0.9398,0.9607,0.021,0.9804,0.5405,1.5301,375.974,False
switching_0_normal_run012.mat,0,normal,0.020021,0.05,0.9423,0.9632,0.029,0.9792,0.5313,1.4302,344.256,False
switching_0_normal_run013.mat,0,normal,0.016968,0.05,0.9405,0.9637,0.032,0.9785,0.5184,1.4941,330.478,False
switching_0_normal_run014.mat,0,normal,0.014142,0.05,0.9366,0.9585,0.008,0.9788,0.5299,1.6101,406.899,False
switching_0_normal_run015.mat,0,normal,0.022535,0.05,0.9361,0.9551,0.015,0.9804,0.5192,1.695,417.834,False
switching_0_normal_run016.mat,0,normal,0.021107,0.05,0.9366,0.9563,0.043,0.9805,0.5163,1.6596,417.477,False
switching_0_normal_run017.mat,0,normal,0.02185,0.05,0.9439,0.963,0.0,0.9807,0.5174,1.5012,312.521,False
switching_0_normal_run018.mat,0,normal,0.027133,0.05,0.9405,0.9625,0.017,0.9801,0.5491,1.4694,370.345,False
switching_0_normal_run019.mat,0,normal,0.028727,0.05,0.9363,0.9588,0.023,0.9809,0.562,1.6739,423.318,False
switching_0_normal_run020.mat,0,normal,0.023089,0.05,0.94,0.9599,0.011,0.9805,0.5335,1.4893,375.927,False
switching_3_igbt_oc_sh_run001.mat,3,igbt_oc_sh,0.02255,0.05,0.9285,0.9498,0.0,0.9793,0.6262,1.2911,317.406,False
switching_3_igbt_oc_sh_run002.mat,3,igbt_oc_sh,0.02555,0.05,0.9307,0.9484,0.0,0.9937,0.52,1.3935,307.818,False
switching_3_igbt_oc_sh_run003.mat,3,igbt_oc_sh,0.02155,0.05,0.9267,0.9448,0.0,0.9802,0.4898,1.3132,315.606,False
switching_3_igbt_oc_sh_run004.mat,3,igbt_oc_sh,0.02045,0.05,0.9262,0.9488,0.0,0.9951,0.5253,1.4346,379.766,False
switching_3_igbt_oc_sh_run005.mat,3,igbt_oc_sh,0.0176,0.05,0.9155,0.9479,0.0,0.9894,0.6544,1.2604,292.559,False
switching_3_igbt_oc_sh_run006.mat,3,igbt_oc_sh,0.02375,0.05,0.9235,0.9413,0.0,1.003,0.4756,1.5015,333.705,False
switching_3_igbt_oc_sh_run007.mat,3,igbt_oc_sh,0.0161,0.05,0.9236,0.9426,0.0,0.9953,0.4893,1.6433,414.122,False
switching_3_igbt_oc_sh_run008.mat,3,igbt_oc_sh,0.02995,0.05,0.922,0.9448,0.0,0.999,0.5531,1.6237,421.355,False
switching_3_igbt_oc_sh_run009.mat,3,igbt_oc_sh,0.0121,0.05,0.9248,0.9489,0.0,1.0507,0.4803,1.1448,283.518,False
switching_3_igbt_oc_sh_run010.mat,3,igbt_oc_sh,0.0192,0.05,0.9224,0.9389,0.0,0.9974,0.5048,1.713,427.327,False
switching_3_igbt_oc_sh_run011.mat,3,igbt_oc_sh,0.01525,0.05,0.9309,0.9497,0.0,1.0051,0.4841,1.3869,298.326,False
switching_3_igbt_oc_sh_run012.mat,3,igbt_oc_sh,0.02245,0.05,0.9305,0.9515,0.0,0.9791,0.6324,1.2238,295.461,False
switching_3_igbt_oc_sh_run013.mat,3,igbt_oc_sh,0.0183,0.05,0.9141,0.9419,0.0,0.9885,0.6846,1.5231,371.659,False
switching_3_igbt_oc_sh_run014.mat,3,igbt_oc_sh,0.0142,0.05,0.9277,0.9455,0.0,0.9979,0.5028,1.4394,353.015,False
switching_3_igbt_oc_sh_run015.mat,3,igbt_oc_sh,0.02825,0.05,0.925,0.9419,0.0,0.9926,0.4922,1.6415,404.353,False
switching_3_igbt_oc_sh_run016.mat,3,igbt_oc_sh,0.0282,0.05,0.9266,0.9429,0.0,0.9922,0.5245,1.5541,373.127,False
switching_3_igbt_oc_sh_run017.mat,3,igbt_oc_sh,0.01635,0.05,0.9255,0.9423,0.0,0.9942,0.5227,1.6247,383.64,False
switching_3_igbt_oc_sh_run018.mat,3,igbt_oc_sh,0.0292,0.05,0.9268,0.9442,0.0,1.0907,0.7628,1.2284,259.84,True
switching_3_igbt_oc_sh_run019.mat,3,igbt_oc_sh,0.0268,0.05,0.9236,0.9467,0.0,0.9951,0.5748,1.5072,409.427,False
switching_3_igbt_oc_sh_run020.mat,3,igbt_oc_sh,0.02515,0.05,0.9256,0.9479,0.0,0.9959,0.5252,1.3917,394.107,False
switching_4_igbt_oc_se_run001.mat,4,igbt_oc_se,0.0254,0.05,0.8235,0.9261,0.0,0.9974,0.5227,1.6257,384.306,False
switching_4_igbt_oc_se_run002.mat,4,igbt_oc_se,0.02325,0.05,0.8238,0.9308,0.0,0.9958,0.5185,1.5047,353.481,False
switching_4_igbt_oc_se_run003.mat,4,igbt_oc_se,0.02075,0.05,0.8865,0.9252,0.0,1.0495,0.4856,1.4459,317.263,False
switching_4_igbt_oc_se_run004.mat,4,igbt_oc_se,0.0212,0.05,0.8246,0.9322,0.0,0.9982,0.5163,1.5018,344.819,False
switching_4_igbt_oc_se_run005.mat,4,igbt_oc_se,0.0266,0.05,0.8876,0.929,1.6,1.0387,0.5078,1.5522,399.614,False
switching_4_igbt_oc_se_run006.mat,4,igbt_oc_se,0.0219,0.05,0.8876,0.9261,6.3,1.0483,0.4829,1.4362,310.865,False
switching_4_igbt_oc_se_run007.mat,4,igbt_oc_se,0.0205,0.05,0.8235,0.9319,0.0,0.9956,0.5224,1.5211,360.623,False
switching_4_igbt_oc_se_run008.mat,4,igbt_oc_se,0.01505,0.05,0.8225,0.9269,3.45,1.0005,0.526,1.6043,395.393,False
switching_4_igbt_oc_se_run009.mat,4,igbt_oc_se,0.01975,0.05,0.8267,0.9359,0.0,1.0042,0.5254,1.3775,289.25,False
switching_4_igbt_oc_se_run010.mat,4,igbt_oc_se,0.014,0.05,0.8818,0.9249,0.0,1.0579,0.487,1.533,378.168,False
switching_4_igbt_oc_se_run011.mat,4,igbt_oc_se,0.02285,0.05,0.8813,0.9236,5.55,1.0524,0.4848,1.4987,390.006,False
switching_4_igbt_oc_se_run012.mat,4,igbt_oc_se,0.01775,0.05,0.8841,0.9291,0.0,1.0407,0.4708,1.3421,338.19,False
switching_4_igbt_oc_se_run013.mat,4,igbt_oc_se,0.0264,0.05,0.8231,0.9284,0.0,0.9949,0.5548,1.4963,357.258,False
switching_4_igbt_oc_se_run014.mat,4,igbt_oc_se,0.0224,0.05,0.8248,0.9283,0.0,1.0002,0.5122,1.6232,371.599,False
switching_4_igbt_oc_se_run015.mat,4,igbt_oc_se,0.0214,0.05,0.8248,0.9279,0.0,1.0031,0.5057,1.6709,378.66,False
switching_4_igbt_oc_se_run016.mat,4,igbt_oc_se,0.0191,0.05,0.8858,0.9273,0.0,1.0445,0.478,1.3883,313.302,False
switching_4_igbt_oc_se_run017.mat,4,igbt_oc_se,0.02845,0.05,0.8261,0.9301,0.0,1.0003,0.5559,1.3272,282.783,False
switching_4_igbt_oc_se_run018.mat,4,igbt_oc_se,0.02425,0.05,0.8239,0.9294,0.0,0.9948,0.5144,1.5416,363.456,False
switching_4_igbt_oc_se_run019.mat,4,igbt_oc_se,0.0209,0.05,0.8252,0.9346,0.0,0.9977,0.5206,1.4081,315.162,False
switching_4_igbt_oc_se_run020.mat,4,igbt_oc_se,0.018,0.05,0.8881,0.9283,0.0,1.0455,0.4861,1.4111,302.606,False
switching_5_cap_fault_run001.mat,5,cap_fault,0.021,0.05,0.9291,0.9492,0.0,0.9805,0.2521,1.2688,303.456,False
switching_5_cap_fault_run002.mat,5,cap_fault,0.023,0.05,0.9286,0.9474,0.0,0.9819,0.2932,1.3423,305.011,False
switching_5_cap_fault_run003.mat,5,cap_fault,0.0265,0.05,0.9271,0.9455,0.0,0.9813,0.4429,1.4003,322.788,False
switching_5_cap_fault_run004.mat,5,cap_fault,0.0163,0.05,0.9207,0.9416,0.0,0.9814,0.2348,1.5745,424.075,False
switching_5_cap_fault_run005.mat,5,cap_fault,0.0208,0.05,0.9176,0.9368,0.0,0.9809,0.2735,1.6783,453.571,False
switching_5_cap_fault_run006.mat,5,cap_fault,0.02485,0.05,0.9308,0.9495,0.0,0.9811,0.4313,1.2462,277.164,False
switching_5_cap_fault_run007.mat,5,cap_fault,0.01305,0.05,0.9238,0.9442,0.0,0.9818,0.2436,1.4938,397.286,False
switching_5_cap_fault_run008.mat,5,cap_fault,0.0133,0.05,0.9187,0.9392,0.0,0.9827,0.2469,1.6556,456.49,False
switching_5_cap_fault_run009.mat,5,cap_fault,0.02675,0.05,0.9203,0.9389,0.0,0.9813,0.4657,1.5765,427.619,False
switching_5_cap_fault_run010.mat,5,cap_fault,0.0147,0.05,0.9247,0.945,0.0,0.9827,0.2558,1.4978,364.278,False
switching_5_cap_fault_run011.mat,5,cap_fault,0.0295,0.05,0.924,0.9425,0.0,0.9777,0.5412,1.4736,358.831,False
switching_5_cap_fault_run012.mat,5,cap_fault,0.02015,0.05,0.9266,0.9463,0.0,0.982,0.2492,1.4126,327.258,False
switching_5_cap_fault_run013.mat,5,cap_fault,0.0135,0.05,0.9276,0.9482,0.0,0.981,0.227,1.3755,343.621,False
switching_5_cap_fault_run014.mat,5,cap_fault,0.01905,0.05,0.9236,0.9444,0.0,0.981,0.2406,1.4376,387.507,False
