file,sc_id,scenario,fault_start_s,fault_end_s,v2_min_pu_fault,v2_mean_pu_fault,v2_recovery_ms_to_0p90,vdc_peak_pu_post_fault,vdc_min_pu_post_fault,i2_peak_pu_post_fault,q2_abs_peak_kvar_fault,lvrt_pass_basic
scenario_0001_switching_0_normal_run001.mat,0,normal,0.029019,0.05,0.9476,0.9699,0.031,0.9809,0.5442,1.2451,288.361,False
scenario_0002_switching_0_normal_run002.mat,0,normal,0.018204,0.05,0.9425,0.9633,0.046,0.9798,0.5145,1.5225,329.384,False
scenario_0003_switching_0_normal_run003.mat,0,normal,0.028984,0.05,0.9369,0.96,0.016,0.9811,0.5522,1.5929,406.084,False
scenario_0004_switching_0_normal_run004.mat,0,normal,0.026524,0.05,0.9438,0.9659,0.026,0.9805,0.5537,1.3843,325.041,False
scenario_0005_switching_0_normal_run005.mat,0,normal,0.016669,0.05,0.9337,0.9582,0.031,0.9793,0.5255,1.6141,402.956,False
scenario_0006_switching_0_normal_run006.mat,0,normal,0.029134,0.05,0.9438,0.9661,0.016,0.9802,0.5495,1.3552,336.907,False
scenario_0007_switching_0_normal_run007.mat,0,normal,0.023773,0.05,0.9454,0.966,0.027,0.981,0.5348,1.3304,306.769,False
scenario_0008_switching_0_normal_run008.mat,0,normal,0.021024,0.05,0.9437,0.9644,0.026,0.9801,0.53,1.4008,325.228,False
scenario_0009_switching_0_normal_run009.mat,0,normal,0.022006,0.05,0.943,0.9621,0.044,0.981,0.5167,1.5316,322.485,False
scenario_0010_switching_0_normal_run010.mat,0,normal,0.012146,0.05,0.9357,0.9589,0.004,0.9813,0.5298,1.6435,424.987,False
scenario_0011_switching_0_normal_run011.mat,0,normal,0.020645,0.05,0.9375,0.9574,0.005,0.9799,0.521,1.618,403.935,False
scenario_0012_switching_0_normal_run012.mat,0,normal,0.019637,0.05,0.9343,0.9546,0.013,0.9797,0.5165,1.7365,443.865,False
scenario_0013_switching_0_normal_run013.mat,0,normal,0.025353,0.05,0.9439,0.9642,0.047,0.9804,0.5274,1.4458,318.143,False
scenario_0014_switching_0_normal_run014.mat,0,normal,0.016448,0.05,0.9424,0.9639,0.002,0.9792,0.5204,1.4909,326.903,False
scenario_0015_switching_0_normal_run015.mat,0,normal,0.0149,0.05,0.9303,0.9625,0.0,0.979,0.5378,1.4668,361.526,False
scenario_0016_switching_0_normal_run016.mat,0,normal,0.024667,0.05,0.9376,0.9582,0.033,0.9806,0.537,1.5673,405.793,False
scenario_0017_switching_0_normal_run017.mat,0,normal,0.012435,0.05,0.9421,0.9651,0.015,0.9809,0.5494,1.3812,363.462,False
scenario_0018_switching_0_normal_run018.mat,0,normal,0.021758,0.05,0.9385,0.9587,0.042,0.9803,0.5377,1.5184,396.707,False
scenario_0019_switching_0_normal_run019.mat,0,normal,0.015057,0.05,0.9296,0.9616,0.043,0.9787,0.525,1.5272,367.182,False
scenario_0020_switching_0_normal_run020.mat,0,normal,0.013262,0.05,0.9275,0.9598,0.038,0.9793,0.526,1.6165,394.384,False
scenario_0021_switching_0_normal_run021.mat,0,normal,0.016101,0.05,0.9477,0.9702,0.049,0.9788,0.5322,1.2623,268.909,False
scenario_0022_switching_0_normal_run022.mat,0,normal,0.029235,0.05,0.9386,0.9608,0.015,0.9809,0.5504,1.5352,401.125,False
scenario_0023_switching_0_normal_run023.mat,0,normal,0.026421,0.05,0.944,0.9651,0.029,0.9805,0.5516,1.4657,315.247,False
scenario_0024_switching_0_normal_run024.mat,0,normal,0.027443,0.05,0.9419,0.9641,0.007,0.9802,0.5518,1.4561,349.351,False
scenario_0025_switching_0_normal_run025.mat,0,normal,0.027018,0.05,0.9449,0.9662,0.032,0.9808,0.5474,1.4473,303.003,False
scenario_0026_switching_0_normal_run026.mat,0,normal,0.028118,0.05,0.9408,0.9631,0.032,0.9809,0.5511,1.4809,370.186,False
scenario_0027_switching_0_normal_run027.mat,0,normal,0.017096,0.05,0.9399,0.9634,0.004,0.9793,0.5332,1.4493,345.494,False
scenario_0028_switching_0_normal_run028.mat,0,normal,0.016341,0.05,0.9464,0.9686,0.009,0.978,0.5323,1.3187,282.436,False
scenario_0029_switching_0_normal_run029.mat,0,normal,0.020356,0.05,0.9388,0.9596,0.044,0.9795,0.5305,1.5402,388.448,False
scenario_0030_switching_0_normal_run030.mat,0,normal,0.02606,0.05,0.9375,0.9585,0.04,0.9808,0.5486,1.6529,400.603,False
scenario_0031_switching_0_normal_run031.mat,0,normal,0.014991,0.05,0.9319,0.9642,0.009,0.9789,0.5379,1.4174,348.805,False
scenario_0032_switching_0_normal_run032.mat,0,normal,0.023543,0.05,0.9416,0.9615,0.007,0.9802,0.5322,1.4634,352.794,False
scenario_0033_switching_0_normal_run033.mat,0,normal,0.027136,0.05,0.9437,0.965,0.014,0.9809,0.5521,1.5214,315.123,False
scenario_0034_switching_0_normal_run034.mat,0,normal,0.018259,0.05,0.9375,0.9614,0.041,0.9788,0.5354,1.4768,375.903,False
scenario_0035_switching_0_normal_run035.mat,0,normal,0.015172,0.05,0.931,0.9632,0.028,0.9788,0.534,1.4483,352.308,False
scenario_0036_switching_0_normal_run036.mat,0,normal,0.021277,0.05,0.9413,0.9614,0.023,0.9798,0.5288,1.4718,358.468,False
scenario_0037_switching_0_normal_run037.mat,0,normal,0.015001,0.05,0.9423,0.9646,0.049,0.9794,0.5302,1.4216,335.582,False
scenario_0038_switching_0_normal_run038.mat,0,normal,0.018412,0.05,0.941,0.962,0.038,0.9793,0.5272,1.5156,352.482,False
scenario_0039_switching_0_normal_run039.mat,0,normal,0.020844,0.05,0.9405,0.9607,0.006,0.9805,0.5241,1.5271,364.086,False
scenario_0040_switching_0_normal_run040.mat,0,normal,0.026267,0.05,0.9425,0.9638,0.033,0.9807,0.5496,1.4261,343.097,False
scenario_0041_switching_0_normal_run041.mat,0,normal,0.014521,0.05,0.9434,0.9657,0.029,0.9796,0.5271,1.4494,314.331,False
scenario_0042_switching_0_normal_run042.mat,0,normal,0.028507,0.05,0.9396,0.9621,0.043,0.9807,0.5552,1.5551,381.592,False
scenario_0043_switching_0_normal_run043.mat,0,normal,0.028309,0.05,0.9383,0.9606,0.041,0.9806,0.5516,1.5817,402.682,False
scenario_0044_switching_0_normal_run044.mat,0,normal,0.02165,0.05,0.9453,0.9654,0.0,0.9804,0.5261,1.3919,300.967,False
scenario_0045_switching_0_normal_run045.mat,0,normal,0.019002,0.05,0.9439,0.9647,0.048,0.9797,0.5245,1.44,314.022,False
scenario_0046_switching_0_normal_run046.mat,0,normal,0.023613,0.05,0.9425,0.9624,0.037,0.9803,0.5289,1.4507,341.062,False
scenario_0047_switching_0_normal_run047.mat,0,normal,0.029386,0.05,0.945,0.9669,0.014,0.9808,0.5379,1.3714,304.537,False
