file,sc_id,scenario,fault_start_s,fault_end_s,v2_min_pu_fault,v2_mean_pu_fault,v2_recovery_ms_to_0p90,vdc_peak_pu_post_fault,vdc_min_pu_post_fault,i2_peak_pu_post_fault,q2_abs_peak_kvar_fault,lvrt_pass_basic
scenario_0001_switching_0_normal_run001.mat,0,normal,0.029019,0.05,0.937,0.9481,0.031,1.0543,0.9283,1.1557,239.185,True
scenario_0002_switching_0_normal_run002.mat,0,normal,0.018204,0.05,0.9325,0.9426,0.046,1.0591,0.9146,1.4195,281.948,True
scenario_0003_switching_0_normal_run003.mat,0,normal,0.028984,0.05,0.9272,0.9385,0.016,1.0537,0.9314,1.4762,360.699,True
scenario_0004_switching_0_normal_run004.mat,0,normal,0.026524,0.05,0.934,0.9451,0.026,1.0531,0.9291,1.2855,278.11,True
scenario_0005_switching_0_normal_run005.mat,0,normal,0.016669,0.05,0.9266,0.9378,0.031,1.0655,0.9089,1.5295,367.162,True
scenario_0006_switching_0_normal_run006.mat,0,normal,0.029134,0.05,0.9331,0.9446,0.016,1.0516,0.928,1.2503,293.429,True
scenario_0007_switching_0_normal_run007.mat,0,normal,0.023773,0.05,0.9356,0.9466,0.027,1.0533,0.9056,1.2364,258.839,True
scenario_0008_switching_0_normal_run008.mat,0,normal,0.021024,0.05,0.9339,0.9448,0.026,1.0527,0.9077,1.2998,278.114,True
scenario_0009_switching_0_normal_run009.mat,0,normal,0.022006,0.05,0.9331,0.9429,0.044,1.061,0.9159,1.42,270.006,True
scenario_0010_switching_0_normal_run010.mat,0,normal,0.012146,0.05,0.9264,0.9372,0.004,1.1034,0.9132,1.566,364.794,True
scenario_0011_switching_0_normal_run011.mat,0,normal,0.020645,0.05,0.9273,0.9382,0.005,1.054,0.9088,1.51,358.725,True
scenario_0012_switching_0_normal_run012.mat,0,normal,0.019637,0.05,0.9242,0.9351,0.013,1.0539,0.9111,1.6164,394.455,True
scenario_0013_switching_0_normal_run013.mat,0,normal,0.025353,0.05,0.9338,0.9441,0.047,1.0561,0.9237,1.3458,270.012,True
scenario_0014_switching_0_normal_run014.mat,0,normal,0.016448,0.05,0.9322,0.9426,0.002,1.0766,0.9128,1.4089,288.291,True
scenario_0015_switching_0_normal_run015.mat,0,normal,0.0149,0.05,0.9301,0.9415,0.0,1.0963,0.907,1.3966,330.059,True
scenario_0016_switching_0_normal_run016.mat,0,normal,0.024667,0.05,0.9277,0.939,0.033,1.0506,0.9127,1.4601,361.694,True
scenario_0017_switching_0_normal_run017.mat,0,normal,0.012435,0.05,0.932,0.9436,0.015,1.1017,0.9056,1.3267,307.819,True
scenario_0018_switching_0_normal_run018.mat,0,normal,0.021758,0.05,0.9286,0.9401,0.042,1.0494,0.9053,1.4176,354.662,True
scenario_0019_switching_0_normal_run019.mat,0,normal,0.015057,0.05,0.9294,0.9405,0.043,1.0948,0.908,1.4488,332.739,True
scenario_0020_switching_0_normal_run020.mat,0,normal,0.013262,0.05,0.9273,0.9382,0.038,1.1033,0.9113,1.5341,352.051,True
scenario_0021_switching_0_normal_run021.mat,0,normal,0.016101,0.05,0.9377,0.9488,0.049,1.0812,0.9079,1.1871,227.944,True
scenario_0022_switching_0_normal_run022.mat,0,normal,0.029235,0.05,0.9279,0.9394,0.015,1.0517,0.9318,1.4187,355.942,True
