scenario_idx,sc_id,sc_label,m_sh,m_se_d,m_se_q
1,0,normal,0.7927,0.0701,-0.0281
2,0,normal,0.7573,0.0698,-0.0212
3,0,normal,0.7552,0.0696,-0.0206
4,0,normal,0.7844,0.0697,-0.0264
5,0,normal,0.7527,0.0693,-0.0199
6,0,normal,0.7844,0.0697,-0.0264
7,0,normal,0.7905,0.07,-0.0277
8,0,normal,0.7814,0.0695,-0.0258
9,0,normal,0.7549,0.0696,-0.0205
10,0,normal,0.7447,0.0681,-0.0162
11,0,normal,0.7548,0.0695,-0.0205
12,0,normal,0.74,0.0673,-0.0139
13,0,normal,0.7701,0.07,-0.024
14,0,normal,0.7608,0.0701,-0.0221
15,0,normal,0.7722,0.0699,-0.0242
16,0,normal,0.7655,0.07,-0.0231
17,0,normal,0.782,0.0696,-0.0259
18,0,normal,0.7729,0.0698,-0.0243
19,0,normal,0.7618,0.0701,-0.0223
20,0,normal,0.7485,0.0688,-0.0182
21,0,normal,0.7937,0.0701,-0.0284
22,0,normal,0.7625,0.0701,-0.0224
23,0,normal,0.7664,0.07,-0.0233
24,0,normal,0.7754,0.0697,-0.0247
25,0,normal,0.7661,0.07,-0.0232
26,0,normal,0.7746,0.0698,-0.0246
27,0,normal,0.7739,0.0698,-0.0245
28,0,normal,0.7855,0.0697,-0.0266
29,0,normal,0.7678,0.07,-0.0236
30,0,normal,0.7484,0.0687,-0.0182
31,0,normal,0.7808,0.0695,-0.0257
32,0,normal,0.7748,0.0697,-0.0246
33,0,normal,0.7555,0.0696,-0.0207
34,0,normal,0.7757,0.0697,-0.0247
35,0,normal,0.7745,0.0698,-0.0245
36,0,normal,0.7741,0.0698,-0.0245
37,0,normal,0.7768,0.0697,-0.0249
38,0,normal,0.7628,0.0701,-0.0225
39,0,normal,0.7651,0.07,-0.023
40,0,normal,0.7799,0.0695,-0.0255
41,0,normal,0.767,0.07,-0.0234
42,0,normal,0.7619,0.0701,-0.0223
43,0,normal,0.762,0.0701,-0.0223
44,0,normal,0.7772,0.0696,-0.025
45,0,normal,0.7697,0.07,-0.0239
46,0,normal,0.7746,0.0698,-0.0245
47,0,normal,0.7692,0.07,-0.0238
48,0,normal,0.7799,0.0695,-0.0255
49,0,normal,0.7651,0.07,-0.023
50,0,normal,0.7773,0.0696,-0.025
51,3,igbt_oc_sh,0.75,0.0,0.0
52,3,igbt_oc_sh,0.75,0.0,0.0
53,3,igbt_oc_sh,0.75,0.0,0.0
54,3,igbt_oc_sh,0.75,0.0,0.0
55,3,igbt_oc_sh,0.75,0.0,0.0
56,3,igbt_oc_sh,0.75,0.0,0.0
57,3,igbt_oc_sh,0.75,0.0,0.0
58,3,igbt_oc_sh,0.75,0.0,0.0
59,3,igbt_oc_sh,0.75,0.0,0.0
60,3,igbt_oc_sh,0.75,0.0,0.0
61,3,igbt_oc_sh,0.75,0.0,0.0
62,3,igbt_oc_sh,0.75,0.0,0.0
63,3,igbt_oc_sh,0.75,0.0,0.0
64,3,igbt_oc_sh,0.75,0.0,0.0
65,3,igbt_oc_sh,0.75,0.0,0.0
66,3,igbt_oc_sh,0.75,0.0,0.0
67,3,igbt_oc_sh,0.75,0.0,0.0
68,3,igbt_oc_sh,0.75,0.0,0.0
69,3,igbt_oc_sh,0.75,0.0,0.0
70,3,igbt_oc_sh,0.75,0.0,0.0
71,3,igbt_oc_sh,0.75,0.0,0.0
72,3,igbt_oc_sh,0.75,0.0,0.0
73,3,igbt_oc_sh,0.75,0.0,0.0
74,3,igbt_oc_sh,0.75,0.0,0.0
75,3,igbt_oc_sh,0.75,0.0,0.0
76,3,igbt_oc_sh,0.75,0.0,0.0
77,3,igbt_oc_sh,0.75,0.0,0.0
78,3,igbt_oc_sh,0.75,0.0,0.0
79,3,igbt_oc_sh,0.75,0.0,0.0
80,3,igbt_oc_sh,0.75,0.0,0.0
81,3,igbt_oc_sh,0.75,0.0,0.0
82,3,igbt_oc_sh,0.75,0.0,0.0
83,3,igbt_oc_sh,0.75,0.0,0.0
84,3,igbt_oc_sh,0.75,0.0,0.0
85,3,igbt_oc_sh,0.75,0.0,0.0
86,3,igbt_oc_sh,0.75,0.0,0.0
87,3,igbt_oc_sh,0.75,0.0,0.0
88,3,igbt_oc_sh,0.75,0.0,0.0
89,3,igbt_oc_sh,0.75,0.0,0.0
90,3,igbt_oc_sh,0.75,0.0,0.0
91,3,igbt_oc_sh,0.75,0.0,0.0
92,3,igbt_oc_sh,0.75,0.0,0.0
93,3,igbt_oc_sh,0.75,0.0,0.0
94,3,igbt_oc_sh,0.75,0.0,0.0
95,3,igbt_oc_sh,0.75,0.0,0.0
96,3,igbt_oc_sh,0.75,0.0,0.0
97,3,igbt_oc_sh,0.75,0.0,0.0
98,3,igbt_oc_sh,0.75,0.0,0.0
99,3,igbt_oc_sh,0.75,0.0,0.0
100,3,igbt_oc_sh,0.75,0.0,0.0
101,4,igbt_oc_se,0.8,0.0,0.0
102,4,igbt_oc_se,0.8,0.0,0.0
103,4,igbt_oc_se,0.8,0.0,0.0
104,4,igbt_oc_se,0.8,0.0,0.0
