hpt_bus,fault_bus,fault_type,r_fault,Vp,Vn,gate,iq,iq_ref,se_d,se_q,vdc_eq,vdc_min,v_load,clipped,dur,connect,reactive,limit,recover,survive,frt_pass,flags
7,2,sym3ph,0.3,0.6957,0.0,sym,0.27,0.3,-0.0244,-0.1996,0.8691,0.8691,0.6957,1,0.625,1,1,1,1,1,1,
7,2,sym3ph,0.6,0.8103,0.0,sym,0.27,0.1345,-0.0223,-0.1974,0.8746,0.8746,0.8103,1,0.625,1,0,1,1,1,0,
7,2,sym3ph,1.0,0.8636,0.0,sym,0.249,0.0546,0.0059,-0.1903,0.8706,0.8706,0.8663,0,0.625,1,0,1,1,1,0,
7,2,sym3ph,1.8,0.9007,0.0,normal,0.0135,0.0,0.0292,-0.0242,0.9312,0.9312,0.9007,0,0.625,1,1,1,1,1,1,
7,2,sym3ph,3.0,0.9209,0.0,normal,0.0129,0.0,0.0292,-0.0232,0.9318,0.9318,0.9209,0,0.625,1,1,1,1,1,1,
7,2,sym3ph,6.0,0.9364,0.0,normal,0.0128,0.0,0.0283,-0.0201,0.9351,0.9351,0.9364,0,0.625,1,1,1,1,1,1,
7,2,sym3ph,12.0,0.9444,0.0,normal,0.0127,0.0,0.0277,-0.018,0.9373,0.9373,0.9444,0,0.625,1,1,1,1,1,1,
7,2,sym3ph,30.0,0.9492,0.0,normal,0.0126,0.0,0.0273,-0.0167,0.9388,0.9388,0.9492,0,0.625,1,1,1,1,1,1,
7,3,sym3ph,0.3,0.3252,0.0,sym,0.27,0.3,0.0184,-0.1999,0.7988,0.7988,0.3339,1,0.3,1,1,1,1,1,1,
7,3,sym3ph,0.6,0.4831,0.0,sym,0.27,0.3,-0.005,-0.1999,0.8553,0.8553,0.4831,1,0.3,1,1,1,1,1,1,
7,3,sym3ph,1.8,0.6895,0.0,sym,0.27,0.3,-0.0238,-0.1997,0.8688,0.8688,0.6895,1,0.625,1,1,1,1,1,1,
7,3,sym3ph,3.0,0.7802,0.0,sym,0.27,0.1797,-0.0302,-0.1987,0.8729,0.8729,0.7802,1,0.625,1,1,1,1,1,1,
7,3,sym3ph,6.0,0.8603,0.0,sym,0.2511,0.0595,0.0041,-0.191,0.8734,0.8734,0.8622,0,0.625,1,0,1,1,1,0,
7,3,sym3ph,12.0,0.9038,0.0,normal,0.0134,0.0,0.0292,-0.0245,0.931,0.931,0.9038,0,0.625,1,1,1,1,1,1,
7,3,sym3ph,30.0,0.9325,0.0,normal,0.0128,0.0,0.0286,-0.0209,0.9341,0.9341,0.9325,0,0.625,1,1,1,1,1,1,
7,4,sym3ph,0.3,0.2342,0.0,sym,0.27,0.3,0.0256,-0.1999,0.7795,0.7795,0.2463,1,0.3,1,1,1,1,1,1,
7,4,sym3ph,0.6,0.3678,0.0,sym,0.27,0.3,0.0152,-0.1999,0.8125,0.8125,0.3749,1,0.3,1,1,1,1,1,1,
7,4,sym3ph,1.0,0.4876,0.0,sym,0.27,0.3,-0.0057,-0.1999,0.8557,0.8557,0.4876,1,0.3,1,1,1,1,1,1,
7,4,sym3ph,3.0,0.6978,0.0,sym,0.27,0.3,-0.0245,-0.1996,0.8692,0.8692,0.6978,1,0.625,1,1,1,1,1,1,
7,4,sym3ph,6.0,0.8104,0.0,sym,0.27,0.1344,-0.0223,-0.1974,0.8746,0.8746,0.8104,1,0.625,1,0,1,1,1,0,
