scn,fault_bus,fault_type,r_fault,recovery,gate,minV,dur,worst_vdc,max_iq,max_diq,end_iq,chatter_hpts,total_switches,vdc_ok,limit_ok,smooth_exit,recov_osc,nonconv
1,2,sym3ph,0.3,linear,raw,0.643,0.625,0.759,0.27,0.0184,0.0148,0,20,1,1,1,0,2
2,6,sym3ph,0.4,linear,raw,0.141,0.15,0.673,0.27,0.0399,0.0148,0,20,0,1,1,0,7
3,10,1ph_g,0.3,linear,raw,0.632,0.625,0.759,0.269,0.0411,0.0148,0,27,1,1,1,0,34
4,25,1ph_g,0.4,linear,raw,0.682,0.625,0.761,0.27,0.0407,0.0148,0,28,1,1,1,0,0
5,30,2ph,0.4,linear,raw,0.619,0.625,0.759,0.27,0.0414,0.0148,0,29,1,1,1,0,4
6,14,2ph_g,0.4,linear,raw,0.332,0.3,0.759,0.27,0.0387,0.0148,0,27,1,1,1,0,8
7,6,2ph,0.3,linear,raw,0.624,0.625,0.759,0.27,0.0412,0.0148,0,29,1,1,1,0,4
8,18,sym3ph,0.5,linear,raw,0.03,0.15,0.662,0.27,0.0399,0.0148,0,20,0,1,1,0,7
1,2,sym3ph,0.3,linear,hyst,0.643,0.625,0.759,0.27,0.0184,0.0148,0,20,1,1,1,0,2
2,6,sym3ph,0.4,linear,hyst,0.141,0.15,0.759,0.27,0.0399,0.0148,0,20,1,1,1,0,7
3,10,1ph_g,0.3,linear,hyst,0.632,0.625,0.76,0.27,0.1386,0.0148,0,27,1,1,0,1,33
4,25,1ph_g,0.4,linear,hyst,0.682,0.625,0.76,0.27,0.1477,0.0148,0,23,1,1,0,1,0
5,30,2ph,0.4,linear,hyst,0.619,0.625,0.76,0.27,0.128,0.0148,0,29,1,1,0,1,4
6,14,2ph_g,0.4,linear,hyst,0.332,0.3,0.759,0.27,0.055,0.0148,0,27,1,1,1,0,8
7,6,2ph,0.3,linear,hyst,0.624,0.625,0.76,0.259,0.174,0.0148,0,29,1,1,0,1,4
8,18,sym3ph,0.5,linear,hyst,0.03,0.15,0.757,0.27,0.0399,0.0148,0,20,1,1,1,0,7
1,2,sym3ph,0.3,exp,raw,0.643,0.625,0.76,0.27,0.0299,0.0165,0,19,1,1,1,0,0
2,6,sym3ph,0.4,exp,raw,0.141,0.15,0.673,0.27,0.0405,0.0219,0,14,0,1,1,0,4
3,10,1ph_g,0.3,exp,raw,0.632,0.625,0.766,0.266,0.0484,0.0166,0,26,1,1,1,0,32
4,25,1ph_g,0.4,exp,raw,0.682,0.625,0.776,0.27,0.057,0.0163,0,28,1,1,1,0,0
5,30,2ph,0.4,exp,raw,0.619,0.625,0.762,0.269,0.0477,0.0167,0,28,1,1,1,0,1
6,14,2ph_g,0.4,exp,raw,0.332,0.3,0.759,0.27,0.0452,0.0195,0,22,1,1,1,0,4
7,6,2ph,0.3,exp,raw,0.624,0.625,0.763,0.27,0.0476,0.0167,0,28,1,1,1,0,1
8,18,sym3ph,0.5,exp,raw,0.03,0.15,0.662,0.27,0.0405,0.0219,0,14,0,1,1,0,4
1,2,sym3ph,0.3,exp,hyst,0.643,0.625,0.759,0.27,0.0299,0.0165,0,19,1,1,1,0,0
2,6,sym3ph,0.4,exp,hyst,0.141,0.15,0.759,0.27,0.0405,0.0219,0,14,1,1,1,0,4
3,10,1ph_g,0.3,exp,hyst,0.632,0.625,0.771,0.266,0.137,0.0166,0,26,1,1,0,1,31
4,25,1ph_g,0.4,exp,hyst,0.682,0.625,0.765,0.268,0.1466,0.0163,0,23,1,1,0,1,0
5,30,2ph,0.4,exp,hyst,0.619,0.625,0.769,0.269,0.1233,0.0167,0,28,1,1,0,1,1
6,14,2ph_g,0.4,exp,hyst,0.332,0.3,0.759,0.27,0.055,0.0195,0,22,1,1,1,0,4
7,6,2ph,0.3,exp,hyst,0.624,0.625,0.77,0.259,0.1688,0.0167,0,28,1,1,0,1,1
8,18,sym3ph,0.5,exp,hyst,0.03,0.15,0.757,0.27,0.0405,0.0219,0,14,1,1,1,0,4
