scheme,scn_id,fault_bus,fault_type,r_fault,load_lvl,pv_pen,hpt_bus,failure,survive,iq,reactive,Vn,limit,gate,recover,frt_pass,vdc_min,se_d,connect,Vp,iq_ref,wrong_sign
B4,1,22,sym3ph,0.3,1.0,0.3,14,REACTIVE,True,0.22802752256393433,False,5.846151680657795e-11,True,sym,True,False,0.8436630974117897,0.023910313844680786,True,0.8987051784601595,0.0019422323097607608,
B4,1,22,sym3ph,0.3,1.0,0.3,,OSC,,,,,,,,,,,,,,0
B4,2,6,sym3ph,30.0,1.0,0.0,7,REACTIVE,True,0.23791533708572388,False,5.735677456545475e-11,True,sym,True,False,0.8561320287688395,0.015523746609687805,True,0.8817203756609903,0.02741943650851464,
B4,2,6,sym3ph,30.0,1.0,0.0,14,REACTIVE,True,0.25908130407333374,False,5.502312623650516e-11,True,sym,True,False,0.8787555593845182,-0.00464940071105957,True,0.8458424060281173,0.08123639095782403,
B4,2,6,sym3ph,30.0,1.0,0.0,30,REACTIVE,True,0.2535068392753601,False,5.570946372917568e-11,True,sym,True,False,0.8770951726127225,0.001765221357345581,True,0.856396677456276,0.06540498381558602,
B4,3,6,sym3ph,30.0,0.7,0.0,7,REACTIVE,True,0.2280709147453308,False,5.84566518808467e-11,True,sym,True,False,0.843675060356003,0.023876279592514038,True,0.8986310025639782,0.002053496154032719,
B4,3,6,sym3ph,30.0,0.7,0.0,14,REACTIVE,True,0.24197375774383545,False,5.6929929675558835e-11,True,sym,True,False,0.8610430826938623,0.012156203389167786,True,0.8751607893236791,0.03725881601448133,
B4,3,6,sym3ph,30.0,0.7,0.0,30,REACTIVE,True,0.23800933361053467,False,5.7346864562145514e-11,True,sym,True,False,0.8562547608161585,0.015442520380020142,True,0.8815682039232628,0.02764769411510576,
B4,5,30,sym3ph,0.3,0.7,0.3,25,REACTIVE,True,0.2367396354675293,False,5.748043970696347e-11,True,sym,True,False,0.8546278734328956,0.01654013991355896,True,0.8836257921929618,0.024561311710557365,
B4,5,30,sym3ph,0.3,0.7,0.3,30,CONNECT,True,0.27,True,3.3183213790780496e-12,True,sym,True,False,0.7505626812378888,0.04081304371356964,False,0.0510112778193727,0.3,
