vp_noise,vn_noise,delay_steps,delay_ms,variant,switches,chatter,iq_jump,mse_jump,vdc_min,survive_pct,limit_pct,oscillation_pct
0.0,0.0,0,0.0,raw,23.0,0.0,0.2574,0.1182,0.766,100,100,100
0.0,0.0,0,0.0,hyst,21.8,0.0,0.2586,0.129,0.765,100,100,100
0.0,0.0,0,0.0,raw_slew,23.0,0.0,0.075,0.05,0.767,100,100,0
0.0,0.0,0,0.0,hyst_slew,21.8,0.0,0.075,0.05,0.765,100,100,0
0.0,0.0,1,5.0,raw,23.0,0.0,0.2611,0.1275,0.766,100,100,100
0.0,0.0,1,5.0,hyst,21.8,0.0,0.2568,0.1207,0.766,100,100,100
0.0,0.0,1,5.0,raw_slew,23.0,0.0,0.075,0.05,0.767,100,100,0
0.0,0.0,1,5.0,hyst_slew,21.8,0.0,0.075,0.05,0.766,100,100,0
0.0,0.0,2,10.0,raw,23.0,0.0,0.26,0.1274,0.766,100,100,100
0.0,0.0,2,10.0,hyst,21.8,0.0,0.2572,0.1207,0.766,100,100,100
0.0,0.0,2,10.0,raw_slew,23.0,0.0,0.075,0.05,0.768,100,100,0
0.0,0.0,2,10.0,hyst_slew,21.8,0.0,0.075,0.05,0.767,100,100,0
0.002,0.002,0,0.0,raw,81.0,4.75,0.2574,0.1229,0.766,100,100,100
0.002,0.002,0,0.0,hyst,36.5,1.25,0.2598,0.1293,0.765,100,100,100
0.002,0.002,0,0.0,raw_slew,80.5,4.75,0.075,0.05,0.767,100,100,0
0.002,0.002,0,0.0,hyst_slew,36.5,1.25,0.075,0.05,0.765,100,100,0
0.002,0.002,1,5.0,raw,80.2,4.75,0.2641,0.1304,0.766,100,100,100
0.002,0.002,1,5.0,hyst,36.2,1.25,0.2571,0.1206,0.766,100,100,100
0.002,0.002,1,5.0,raw_slew,80.2,4.75,0.075,0.05,0.768,100,100,0
0.002,0.002,1,5.0,hyst_slew,36.2,1.25,0.075,0.05,0.766,100,100,0
0.002,0.002,2,10.0,raw,79.8,4.75,0.2614,0.1308,0.766,100,100,100
0.002,0.002,2,10.0,hyst,36.0,1.25,0.2577,0.121,0.766,100,100,100
0.002,0.002,2,10.0,raw_slew,79.8,4.75,0.075,0.05,0.768,100,100,0
0.002,0.002,2,10.0,hyst_slew,36.0,1.25,0.075,0.05,0.767,100,100,0
0.005,0.005,0,0.0,raw,167.8,7.0,0.2571,0.1245,0.766,100,100,100
0.005,0.005,0,0.0,hyst,48.5,2.5,0.2598,0.1303,0.765,100,100,100
0.005,0.005,0,0.0,raw_slew,167.8,7.0,0.075,0.05,0.767,100,100,0
0.005,0.005,0,0.0,hyst_slew,48.5,2.5,0.075,0.05,0.766,100,100,0
0.005,0.005,1,5.0,raw,164.8,7.0,0.2638,0.131,0.766,100,100,100
0.005,0.005,1,5.0,hyst,48.2,2.5,0.2564,0.1206,0.766,100,100,100
0.005,0.005,1,5.0,raw_slew,164.8,7.0,0.075,0.05,0.767,100,100,0
0.005,0.005,1,5.0,hyst_slew,48.2,2.5,0.075,0.05,0.766,100,100,0
0.005,0.005,2,10.0,raw,164.8,7.0,0.2611,0.1317,0.767,100,100,100
0.005,0.005,2,10.0,hyst,48.2,2.5,0.2579,0.1214,0.766,100,100,100
0.005,0.005,2,10.0,raw_slew,164.8,7.0,0.075,0.05,0.768,100,100,0
0.005,0.005,2,10.0,hyst_slew,48.2,2.5,0.075,0.05,0.767,100,100,0
0.01,0.005,0,0.0,raw,276.5,9.5,0.2573,0.1275,0.767,100,100,100
0.01,0.005,0,0.0,hyst,69.0,4.5,0.2573,0.1319,0.765,100,100,100
0.01,0.005,0,0.0,raw_slew,276.5,9.5,0.075,0.05,0.767,100,100,0
0.01,0.005,0,0.0,hyst_slew,70.0,4.5,0.075,0.05,0.766,100,100,0
0.01,0.005,1,5.0,raw,273.8,9.5,0.2633,0.1328,0.767,100,100,100
0.01,0.005,1,5.0,hyst,70.0,4.5,0.2569,0.1209,0.766,100,100,100
0.01,0.005,1,5.0,raw_slew,273.8,9.5,0.075,0.05,0.768,100,100,0
0.01,0.005,1,5.0,hyst_slew,70.5,4.5,0.075,0.05,0.766,100,100,0
0.01,0.005,2,10.0,raw,272.2,9.5,0.2606,0.1339,0.767,100,100,100
0.01,0.005,2,10.0,hyst,70.0,4.5,0.2581,0.1221,0.767,100,100,100
0.01,0.005,2,10.0,raw_slew,271.2,9.5,0.075,0.05,0.768,100,100,0
0.01,0.005,2,10.0,hyst_slew,69.5,4.5,0.075,0.05,0.767,100,100,0
