t,Vp,Vn,iq,iq_ref,se_d,se_q,Vdc,v_load,gate,in_fault
0.0,0.9933,0.0,0.0112,0.0,0.0379,-0.0502,0.9298,0.9933,normal,0
0.02,0.9934,0.0,0.0094,0.0,0.027,-0.0061,0.9406,0.9934,normal,0
0.04,0.9934,0.0,0.0084,0.0,0.0276,-0.0248,0.9362,0.9934,normal,0
0.06,0.9934,0.0,0.0091,0.0,0.0277,-0.0191,0.9369,0.9934,normal,0
0.08,0.9934,0.0,0.0088,0.0,0.0276,-0.0206,0.9367,0.9934,normal,0
0.1,0.958,0.0,0.01,0.0,0.0343,-0.0337,0.9226,0.958,normal,1
0.12,0.9578,0.0,0.0113,0.0,0.0297,-0.0225,0.9289,0.9578,normal,1
0.14,0.9578,0.0,0.01,0.0,0.0325,-0.0303,0.9241,0.9578,normal,1
0.16,0.9578,0.0,0.0109,0.0,0.0307,-0.0246,0.9273,0.9578,normal,1
0.18,0.9578,0.0,0.0102,0.0,0.0319,-0.0286,0.9251,0.9578,normal,1
0.2,0.9578,0.0,0.0106,0.0,0.0311,-0.0256,0.9266,0.9578,normal,1
0.22,0.9578,0.0,0.0103,0.0,0.0317,-0.0277,0.9255,0.9578,normal,1
0.24,0.9578,0.0,0.0105,0.0,0.0312,-0.0262,0.9263,0.9578,normal,1
0.26,0.9937,0.0,0.0087,0.0,0.0268,-0.0154,0.9366,0.9937,normal,0
0.28,0.9934,0.0,0.0088,0.0,0.0276,-0.0221,0.936,0.9934,normal,0
0.3,0.9934,0.0,0.009,0.0,0.0276,-0.0198,0.9367,0.9934,normal,0
0.32,0.9934,0.0,0.0089,0.0,0.0276,-0.0205,0.9366,0.9934,normal,0
0.34,0.9934,0.0,0.0089,0.0,0.0276,-0.0203,0.9367,0.9934,normal,0
0.36,0.9934,0.0,0.0089,0.0,0.0276,-0.0203,0.9367,0.9934,normal,0
0.38,0.9934,0.0,0.0089,0.0,0.0276,-0.0203,0.9367,0.9934,normal,0
0.4,0.9934,0.0,0.0089,0.0,0.0276,-0.0203,0.9367,0.9934,normal,0
0.42,0.9934,0.0,0.0089,0.0,0.0276,-0.0203,0.9367,0.9934,normal,0
0.44,0.9934,0.0,0.0089,0.0,0.0276,-0.0203,0.9367,0.9934,normal,0
0.46,0.9934,0.0,0.0089,0.0,0.0276,-0.0203,0.9367,0.9934,normal,0
0.48,0.9934,0.0,0.0089,0.0,0.0276,-0.0203,0.9367,0.9934,normal,0
0.5,0.9934,0.0,0.0089,0.0,0.0276,-0.0203,0.9367,0.9934,normal,0
0.52,0.9934,0.0,0.0089,0.0,0.0276,-0.0203,0.9367,0.9934,normal,0
0.54,0.9934,0.0,0.0089,0.0,0.0276,-0.0203,0.9367,0.9934,normal,0
0.56,0.9934,0.0,0.0089,0.0,0.0276,-0.0203,0.9367,0.9934,normal,0
0.58,0.9934,0.0,0.0089,0.0,0.0276,-0.0203,0.9367,0.9934,normal,0
0.6,0.9934,0.0,0.0089,0.0,0.0276,-0.0203,0.9367,0.9934,normal,0
0.62,0.9934,0.0,0.0089,0.0,0.0276,-0.0203,0.9367,0.9934,normal,0
0.64,0.9934,0.0,0.0089,0.0,0.0276,-0.0203,0.9367,0.9934,normal,0
