t,Vp,Vn,iq,iq_ref,se_d,se_q,Vdc,v_load,gate,in_fault
0.0,0.9332,0.0,0.0185,0.0,0.043,-0.0577,0.9197,0.9332,normal,0
0.02,0.9344,0.0,0.0131,0.0,0.0331,0.0008,0.931,0.9344,normal,0
0.04,0.9341,0.0,0.0128,0.0,0.0341,-0.023,0.925,0.9341,normal,0
0.06,0.9341,0.0,0.0134,0.0,0.0337,-0.0146,0.9268,0.9341,normal,0
0.08,0.9341,0.0,0.0131,0.0,0.0339,-0.0175,0.926,0.9341,normal,0
0.1,0.8751,0.0592,0.0133,0.0374,0.0318,-0.0285,0.9247,0.89,normal,1
0.12,0.8751,0.0592,0.1962,0.0374,0.0502,-0.1939,0.828,0.8987,sym,1
0.14,0.8876,0.0582,0.2456,0.0186,0.0184,-0.1937,0.8409,0.8962,sym,1
0.16,0.8907,0.0579,0.2284,0.0139,0.0228,-0.1771,0.8458,0.9014,sym,1
0.18,0.8896,0.058,0.2277,0.0155,0.0229,-0.183,0.8449,0.9004,sym,1
0.2,0.8896,0.058,0.2307,0.0157,0.0229,-0.1839,0.8441,0.9003,sym,1
0.22,0.8898,0.058,0.2297,0.0153,0.0229,-0.1829,0.8443,0.9005,sym,1
0.24,0.8897,0.058,0.2297,0.0154,0.0229,-0.1831,0.8443,0.9005,sym,1
0.26,0.8897,0.058,0.2298,0.0154,0.0229,-0.1832,0.8443,0.9005,sym,1
0.28,0.8897,0.058,0.2298,0.0154,0.0229,-0.1831,0.8443,0.9005,sym,1
0.3,0.8897,0.058,0.2298,0.0154,0.0229,-0.1831,0.8443,0.9005,sym,1
0.32,0.8897,0.058,0.2298,0.0154,0.0229,-0.1831,0.8443,0.9005,sym,1
0.34,0.8897,0.058,0.2298,0.0154,0.0229,-0.1831,0.8443,0.9005,sym,1
0.36,0.8897,0.058,0.2298,0.0154,0.0229,-0.1831,0.8443,0.9005,sym,1
0.38,0.8897,0.058,0.2298,0.0154,0.0229,-0.1831,0.8443,0.9005,sym,1
0.4,0.8897,0.058,0.2298,0.0154,0.0229,-0.1831,0.8443,0.9005,sym,1
0.42,0.8897,0.058,0.2298,0.0154,0.0229,-0.1831,0.8443,0.9005,sym,1
0.44,0.8897,0.058,0.2298,0.0154,0.0229,-0.1831,0.8443,0.9005,sym,1
0.46,0.8897,0.058,0.2298,0.0154,0.0229,-0.1831,0.8443,0.9005,sym,1
0.48,0.8897,0.058,0.2298,0.0154,0.0229,-0.1831,0.8443,0.9005,sym,1
0.5,0.8897,0.058,0.2298,0.0154,0.0229,-0.1831,0.8443,0.9005,sym,1
0.52,0.8897,0.058,0.2298,0.0154,0.0229,-0.1831,0.8443,0.9005,sym,1
0.54,0.8897,0.058,0.2298,0.0154,0.0229,-0.1831,0.8443,0.9005,sym,1
0.56,0.8897,0.058,0.2298,0.0154,0.0229,-0.1831,0.8443,0.9005,sym,1
0.58,0.8897,0.058,0.2298,0.0154,0.0229,-0.1831,0.8443,0.9005,sym,1
0.6,0.8897,0.058,0.2298,0.0154,0.0229,-0.1831,0.8443,0.9005,sym,1
0.62,0.8897,0.058,0.2298,0.0154,0.0229,-0.1831,0.8443,0.9005,sym,1
0.64,0.8897,0.058,0.2298,0.0154,0.0229,-0.1831,0.8443,0.9005,sym,1
0.66,0.8897,0.058,0.2298,0.0154,0.0229,-0.1831,0.8443,0.9005,sym,1
0.68,0.8897,0.058,0.2298,0.0154,0.0229,-0.1831,0.8443,0.9005,sym,1
0.7,0.8897,0.058,0.2298,0.0154,0.0229,-0.1831,0.8443,0.9005,sym,1
0.72,0.8897,0.058,0.2298,0.0154,0.0229,-0.1831,0.8443,0.9005,sym,1
0.74,0.9477,0.0,0.0097,0.0,0.035,-0.0082,0.9047,0.9477,sym,0
0.76,0.9338,0.0,0.0128,0.0,0.0309,-0.0155,0.9246,0.9338,normal,0
0.78,0.9341,0.0,0.0133,0.0,0.0344,-0.0187,0.9243,0.9341,normal,0
0.8,0.9341,0.0,0.0132,0.0,0.0336,-0.0155,0.9264,0.9341,normal,0
0.82,0.9341,0.0,0.0132,0.0,0.0339,-0.0172,0.926,0.9341,normal,0
0.84,0.9341,0.0,0.0132,0.0,0.0338,-0.0165,0.9263,0.9341,normal,0
0.86,0.9341,0.0,0.0132,0.0,0.0339,-0.0168,0.9262,0.9341,normal,0
0.88,0.9341,0.0,0.0132,0.0,0.0338,-0.0167,0.9262,0.9341,normal,0
0.9,0.9341,0.0,0.0132,0.0,0.0339,-0.0167,0.9262,0.9341,normal,0
0.92,0.9341,0.0,0.0132,0.0,0.0338,-0.0167,0.9262,0.9341,normal,0
0.94,0.9341,0.0,0.0132,0.0,0.0338,-0.0167,0.9262,0.9341,normal,0
0.96,0.9341,0.0,0.0132,0.0,0.0338,-0.0167,0.9262,0.9341,normal,0
0.98,0.9341,0.0,0.0132,0.0,0.0338,-0.0167,0.9262,0.9341,normal,0
1.0,0.9341,0.0,0.0132,0.0,0.0338,-0.0167,0.9262,0.9341,normal,0
1.02,0.9341,0.0,0.0132,0.0,0.0338,-0.0167,0.9262,0.9341,normal,0
1.04,0.9341,0.0,0.0132,0.0,0.0338,-0.0167,0.9262,0.9341,normal,0
1.06,0.9341,0.0,0.0132,0.0,0.0338,-0.0167,0.9262,0.9341,normal,0
1.08,0.9341,0.0,0.0132,0.0,0.0338,-0.0167,0.9262,0.9341,normal,0
1.1,0.9341,0.0,0.0132,0.0,0.0338,-0.0167,0.9262,0.9341,normal,0
1.12,0.9341,0.0,0.0132,0.0,0.0338,-0.0167,0.9262,0.9341,normal,0
