t,Vp,Vn,iq,iq_ref,se_d,se_q,Vdc,v_load,gate,in_fault
0.0,0.9555,0.0,0.0152,0.0,0.0413,-0.0485,0.9255,0.9555,normal,0
0.02,0.9564,0.0,0.012,0.0,0.0307,-0.0029,0.9354,0.9564,normal,0
0.04,0.9562,0.0,0.0109,0.0,0.0312,-0.0223,0.9306,0.9562,normal,0
0.06,0.9561,0.0,0.0116,0.0,0.0313,-0.0165,0.9312,0.9561,normal,0
0.08,0.9562,0.0,0.0113,0.0,0.0311,-0.018,0.931,0.9562,normal,0
0.1,0.7576,0.1916,0.0326,0.2136,0.0326,0.0347,0.9211,0.7729,normal,1
0.12,0.7609,0.1937,0.24,0.2086,-0.0723,-0.0296,0.949,0.7609,asym,1
0.14,0.7711,0.1951,0.1882,0.1934,-0.0548,-0.0633,0.9489,0.7711,asym,1
0.16,0.7687,0.1947,0.2151,0.1969,-0.0622,-0.0572,0.949,0.7687,asym,1
0.18,0.7699,0.1949,0.1998,0.1951,-0.0588,-0.0611,0.9488,0.7699,asym,1
0.2,0.7692,0.1948,0.2079,0.1961,-0.0606,-0.0592,0.9488,0.7692,asym,1
0.22,0.7696,0.1949,0.2036,0.1956,-0.06,-0.0607,0.9486,0.7696,asym,1
0.24,0.7694,0.1949,0.2058,0.1959,-0.0603,-0.0599,0.9486,0.7694,asym,1
0.26,0.7695,0.1949,0.2047,0.1957,-0.0601,-0.0603,0.9486,0.7695,asym,1
0.28,0.7695,0.1949,0.2052,0.1958,-0.0602,-0.0601,0.9486,0.7695,asym,1
0.3,0.7695,0.1949,0.205,0.1958,-0.0602,-0.0602,0.9486,0.7695,asym,1
0.32,0.7695,0.1949,0.2051,0.1958,-0.0602,-0.0602,0.9486,0.7695,asym,1
0.34,0.7695,0.1949,0.205,0.1958,-0.0602,-0.0602,0.9486,0.7695,asym,1
0.36,0.7695,0.1949,0.2051,0.1958,-0.0602,-0.0602,0.9486,0.7695,asym,1
0.38,0.7695,0.1949,0.2051,0.1958,-0.0602,-0.0602,0.9486,0.7695,asym,1
0.4,0.7695,0.1949,0.2051,0.1958,-0.0602,-0.0602,0.9486,0.7695,asym,1
0.42,0.7695,0.1949,0.2051,0.1958,-0.0602,-0.0602,0.9486,0.7695,asym,1
0.44,0.7695,0.1949,0.2051,0.1958,-0.0602,-0.0602,0.9486,0.7695,asym,1
0.46,0.7695,0.1949,0.2051,0.1958,-0.0602,-0.0602,0.9486,0.7695,asym,1
0.48,0.7695,0.1949,0.2051,0.1958,-0.0602,-0.0602,0.9486,0.7695,asym,1
0.5,0.7695,0.1949,0.2051,0.1958,-0.0602,-0.0602,0.9486,0.7695,asym,1
0.52,0.7695,0.1949,0.2051,0.1958,-0.0602,-0.0602,0.9486,0.7695,asym,1
0.54,0.7695,0.1949,0.2051,0.1958,-0.0602,-0.0602,0.9486,0.7695,asym,1
0.56,0.7695,0.1949,0.2051,0.1958,-0.0602,-0.0602,0.9486,0.7695,asym,1
0.58,0.7695,0.1949,0.2051,0.1958,-0.0602,-0.0602,0.9486,0.7695,asym,1
0.6,0.7695,0.1949,0.2051,0.1958,-0.0602,-0.0602,0.9486,0.7695,asym,1
0.62,0.7695,0.1949,0.2051,0.1958,-0.0602,-0.0602,0.9486,0.7695,asym,1
0.64,0.7695,0.1949,0.2051,0.1958,-0.0602,-0.0602,0.9486,0.7695,asym,1
0.66,0.7695,0.1949,0.2051,0.1958,-0.0602,-0.0602,0.9486,0.7695,asym,1
0.68,0.7695,0.1949,0.2051,0.1958,-0.0602,-0.0602,0.9486,0.7695,asym,1
0.7,0.7695,0.1949,0.2051,0.1958,-0.0602,-0.0602,0.9486,0.7695,asym,1
0.72,0.7695,0.1949,0.2051,0.1958,-0.0602,-0.0602,0.9486,0.7695,asym,1
0.74,0.9671,0.0,-0.0062,0.0,0.0039,0.0104,0.976,0.9671,asym,0
0.76,0.9552,0.0,0.0135,0.0,0.0365,-0.042,0.9277,0.9552,normal,0
0.78,0.9563,0.0,0.012,0.0,0.031,-0.0077,0.9338,0.9563,normal,0
0.8,0.9562,0.0,0.011,0.0,0.0311,-0.0207,0.9308,0.9562,normal,0
0.82,0.9562,0.0,0.0115,0.0,0.0312,-0.0169,0.9311,0.9562,normal,0
0.84,0.9562,0.0,0.0113,0.0,0.0312,-0.0179,0.931,0.9562,normal,0
0.86,0.9562,0.0,0.0114,0.0,0.0312,-0.0176,0.931,0.9562,normal,0
0.88,0.9562,0.0,0.0114,0.0,0.0312,-0.0177,0.931,0.9562,normal,0
0.9,0.9562,0.0,0.0114,0.0,0.0312,-0.0177,0.931,0.9562,normal,0
0.92,0.9562,0.0,0.0114,0.0,0.0312,-0.0177,0.931,0.9562,normal,0
0.94,0.9562,0.0,0.0114,0.0,0.0312,-0.0177,0.931,0.9562,normal,0
0.96,0.9562,0.0,0.0114,0.0,0.0312,-0.0177,0.931,0.9562,normal,0
0.98,0.9562,0.0,0.0114,0.0,0.0312,-0.0177,0.931,0.9562,normal,0
1.0,0.9562,0.0,0.0114,0.0,0.0312,-0.0177,0.931,0.9562,normal,0
1.02,0.9562,0.0,0.0114,0.0,0.0312,-0.0177,0.931,0.9562,normal,0
