t,Vp,Vn,iq,iq_ref,se_d,Vdc,v_load,gate,in_fault
0.0,0.9524,0.0,0.0156,0.0,0.0414,0.9254,0.9524,normal,0
0.02,0.953,0.0,0.0122,0.0,0.031,0.9349,0.953,normal,0
0.04,0.9528,0.0,0.0111,0.0,0.0315,0.9301,0.9528,normal,0
0.06,0.9528,0.0,0.0118,0.0,0.0316,0.9307,0.9528,normal,0
0.08,0.9529,0.0,0.0116,0.0,0.0315,0.9304,0.9529,normal,0
0.1,0.6943,0.0,0.0996,0.3,0.0362,0.9091,0.7113,normal,1
0.12,0.6997,0.0,0.2395,0.3,0.0877,0.764,0.7409,sym,1
0.14,0.7064,0.0,0.27,0.2904,-0.0366,0.8396,0.7064,sym,1
0.16,0.7076,0.0,0.27,0.2885,-0.0263,0.8612,0.7076,sym,1
0.18,0.7076,0.0,0.27,0.2885,-0.0268,0.8673,0.7076,sym,1
0.2,0.7076,0.0,0.27,0.2885,-0.0267,0.869,0.7076,sym,1
0.22,0.7076,0.0,0.27,0.2885,-0.0267,0.8695,0.7076,sym,1
0.24,0.7076,0.0,0.27,0.2885,-0.0266,0.8697,0.7076,sym,1
0.26,0.7076,0.0,0.27,0.2885,-0.0266,0.8697,0.7076,sym,1
0.28,0.7076,0.0,0.27,0.2885,-0.0266,0.8697,0.7076,sym,1
0.3,0.7076,0.0,0.27,0.2885,-0.0266,0.8697,0.7076,sym,1
0.32,0.7076,0.0,0.27,0.2885,-0.0266,0.8697,0.7076,sym,1
0.34,0.7076,0.0,0.27,0.2885,-0.0266,0.8697,0.7076,sym,1
0.36,0.7076,0.0,0.27,0.2885,-0.0266,0.8697,0.7076,sym,1
0.38,0.7076,0.0,0.27,0.2885,-0.0266,0.8697,0.7076,sym,1
0.4,0.7076,0.0,0.27,0.2885,-0.0266,0.8697,0.7076,sym,1
0.42,0.7076,0.0,0.27,0.2885,-0.0266,0.8697,0.7076,sym,1
0.44,0.7076,0.0,0.27,0.2885,-0.0266,0.8697,0.7076,sym,1
0.46,0.7076,0.0,0.27,0.2885,-0.0266,0.8697,0.7076,sym,1
0.48,0.7076,0.0,0.27,0.2885,-0.0266,0.8697,0.7076,sym,1
0.5,0.7076,0.0,0.27,0.2885,-0.0266,0.8697,0.7076,sym,1
0.52,0.7076,0.0,0.27,0.2885,-0.0266,0.8697,0.7076,sym,1
0.54,0.7076,0.0,0.27,0.2885,-0.0266,0.8697,0.7076,sym,1
0.56,0.7076,0.0,0.27,0.2885,-0.0266,0.8697,0.7076,sym,1
0.58,0.7076,0.0,0.27,0.2885,-0.0266,0.8697,0.7076,sym,1
0.6,0.7076,0.0,0.27,0.2885,-0.0266,0.8697,0.7076,sym,1
0.62,0.7076,0.0,0.27,0.2885,-0.0266,0.8697,0.7076,sym,1
0.64,0.7076,0.0,0.27,0.2885,-0.0266,0.8697,0.7076,sym,1
0.66,0.7076,0.0,0.27,0.2885,-0.0266,0.8697,0.7076,sym,1
0.68,0.7076,0.0,0.27,0.2885,-0.0266,0.8697,0.7076,sym,1
0.7,0.7076,0.0,0.27,0.2885,-0.0266,0.8697,0.7076,sym,1
0.72,0.7076,0.0,0.27,0.2885,-0.0266,0.8697,0.7076,sym,1
0.74,0.6114,0.0,0.2596,0.3,0.0726,0.7701,0.6455,sym,0
0.76,0.6339,0.0,0.2414,0.3,0.0576,0.7657,0.661,sym,0
0.78,0.6608,0.0,0.2325,0.3,0.0539,0.7706,0.6862,sym,0
0.8,0.6858,0.0,0.2245,0.3,0.0504,0.7782,0.7095,sym,0
0.82,0.7085,0.0,0.2131,0.2873,0.0474,0.786,0.7307,sym,0
0.84,0.7292,0.0,0.1945,0.2562,0.0466,0.7916,0.7511,sym,0
0.86,0.748,0.0,0.1718,0.228,0.0478,0.7945,0.7705,sym,0
0.88,0.7649,0.0,0.1478,0.2026,0.0529,0.7927,0.7898,sym,0
0.9,0.7803,0.0,0.1234,0.1796,0.0561,0.7952,0.8066,sym,0
0.92,0.7942,0.0,0.1012,0.1587,0.0527,0.811,0.8189,sym,0
0.94,0.8069,0.0,0.0834,0.1397,0.0551,0.8189,0.8328,sym,0
0.96,0.8185,0.0,0.0623,0.1222,0.0513,0.8405,0.8426,sym,0
0.98,0.8292,0.0,0.0509,0.1062,0.0519,0.8546,0.8536,sym,0
1.0,0.8391,0.0,0.0407,0.0914,0.0501,0.8699,0.8626,sym,0
1.02,0.8481,0.0,0.0376,0.0779,0.0485,0.8763,0.8709,sym,0
1.04,0.8565,0.0,0.0306,0.0653,0.0462,0.8852,0.8782,sym,0
1.06,0.8642,0.0,0.0267,0.0538,0.0443,0.8919,0.885,sym,0
1.08,0.8714,0.0,0.0227,0.0429,0.043,0.8987,0.8916,sym,0
1.1,0.8779,0.0,0.0199,0.0331,0.042,0.9033,0.8977,sym,0
1.12,0.8841,0.0,0.0188,0.0238,0.0406,0.9078,0.9032,sym,0
1.14,0.8896,0.0,0.018,0.0156,0.0405,0.9091,0.9086,sym,0
1.16,0.8948,0.0,0.017,0.0078,0.0394,0.9129,0.9133,sym,0
1.18,0.8995,0.0,0.0164,0.0007,0.0389,0.9142,0.9178,sym,0
1.2,0.9039,0.0,0.0158,0.0,0.0381,0.9171,0.9039,sym,0
1.22,0.9079,0.0,0.0156,0.0,0.0377,0.9182,0.9079,normal,0
1.24,0.9116,0.0,0.0152,0.0,0.0371,0.9196,0.9116,normal,0
1.26,0.915,0.0,0.015,0.0,0.0367,0.9206,0.915,normal,0
1.28,0.9181,0.0,0.0147,0.0,0.0362,0.9216,0.9181,normal,0
1.3,0.9209,0.0,0.0144,0.0,0.0357,0.9224,0.9209,normal,0
1.32,0.9236,0.0,0.0142,0.0,0.0353,0.9232,0.9236,normal,0
1.34,0.926,0.0,0.014,0.0,0.035,0.9239,0.926,normal,0
1.36,0.9282,0.0,0.0137,0.0,0.0347,0.9245,0.9282,normal,0
1.38,0.9302,0.0,0.0136,0.0,0.0344,0.9251,0.9302,normal,0
