t,Vp,Vn,iq,iq_ref,se_d,Vdc,v_load,gate,in_fault
0.0,0.9783,0.0,0.0126,0.0,0.0396,0.9272,0.9783,normal,0
0.02,0.9785,0.0,0.0104,0.0,0.0284,0.9387,0.9785,normal,0
0.04,0.9784,0.0,0.0094,0.0,0.029,0.9339,0.9784,normal,0
0.06,0.9784,0.0,0.0101,0.0,0.0291,0.9346,0.9784,normal,0
0.08,0.9784,0.0,0.0098,0.0,0.029,0.9344,0.9784,normal,0
0.1,0.9365,0.0426,0.0109,0.0,0.0338,0.922,0.9365,normal,1
0.12,0.9366,0.0431,0.0121,0.0,0.0302,0.9272,0.9366,normal,1
0.76,0.6539,0.0,0.2638,0.3,0.0335,0.8734,0.6697,normal,0
0.78,0.6795,0.0,0.2178,0.3,0.0595,0.7938,0.7074,sym,0
0.8,0.7063,0.0,0.2163,0.2906,0.044,0.7948,0.7269,sym,0
0.82,0.7289,0.0,0.1938,0.2566,0.0495,0.79,0.7522,sym,0
0.84,0.7497,0.0,0.169,0.2255,0.0471,0.7954,0.7718,sym,0
0.86,0.7687,0.0,0.1411,0.197,0.0546,0.7917,0.7943,sym,0
0.88,0.786,0.0,0.1143,0.1711,0.0558,0.7991,0.8122,sym,0
0.9,0.8018,0.0,0.0888,0.1473,0.0528,0.8168,0.8266,sym,0
0.92,0.8162,0.0,0.0677,0.1257,0.0536,0.8313,0.8414,sym,0
0.94,0.8295,0.0,0.0479,0.1058,0.0493,0.8599,0.8526,sym,0
0.96,0.8416,0.0,0.0416,0.0876,0.0514,0.8664,0.8657,sym,0
0.98,0.8527,0.0,0.0307,0.0709,0.046,0.8851,0.8743,sym,0
1.0,0.863,0.0,0.0289,0.0556,0.0455,0.8872,0.8843,sym,0
1.02,0.8724,0.0,0.0204,0.0415,0.0415,0.9034,0.8919,sym,0
1.04,0.881,0.0,0.0199,0.0285,0.0418,0.903,0.9006,sym,0
1.06,0.8889,0.0,0.0176,0.0166,0.0398,0.9116,0.9077,sym,0
1.08,0.8963,0.0,0.0171,0.0056,0.0396,0.9109,0.9149,sym,0
1.1,0.903,0.0,0.0157,0.0,0.038,0.9175,0.903,sym,0
1.12,0.9092,0.0,0.0155,0.0,0.0375,0.9181,0.9092,normal,0
1.14,0.9148,0.0,0.0149,0.0,0.0365,0.9207,0.9148,normal,0
1.16,0.9201,0.0,0.0145,0.0,0.0358,0.9221,0.9201,normal,0
1.18,0.9248,0.0,0.014,0.0,0.0351,0.9236,0.9248,normal,0
1.2,0.9292,0.0,0.0136,0.0,0.0344,0.9248,0.9292,normal,0
1.22,0.9333,0.0,0.0132,0.0,0.0338,0.926,0.9333,normal,0
1.24,0.937,0.0,0.0129,0.0,0.0333,0.927,0.937,normal,0
1.26,0.9404,0.0,0.0126,0.0,0.0328,0.928,0.9404,normal,0
1.28,0.9435,0.0,0.0123,0.0,0.0324,0.9288,0.9435,normal,0
1.3,0.9464,0.0,0.012,0.0,0.032,0.9295,0.9464,normal,0
1.32,0.949,0.0,0.0119,0.0,0.0318,0.9299,0.949,normal,0
1.34,0.9514,0.0,0.0117,0.0,0.0316,0.9303,0.9514,normal,0
1.36,0.9536,0.0,0.0115,0.0,0.0314,0.9306,0.9536,normal,0
1.38,0.9557,0.0,0.0114,0.0,0.0312,0.9309,0.9557,normal,0
1.4,0.9575,0.0,0.0113,0.0,0.031,0.9312,0.9575,normal,0
1.42,0.9593,0.0,0.0111,0.0,0.0308,0.9315,0.9593,normal,0
1.44,0.9597,0.0,0.0111,0.0,0.0308,0.9315,0.9597,normal,0
1.46,0.9597,0.0,0.0111,0.0,0.0308,0.9315,0.9597,normal,0
1.48,0.9597,0.0,0.0111,0.0,0.0308,0.9315,0.9597,normal,0
1.5,0.9597,0.0,0.0111,0.0,0.0308,0.9315,0.9597,normal,0
1.52,0.9597,0.0,0.0111,0.0,0.0308,0.9315,0.9597,normal,0
1.54,0.9597,0.0,0.0111,0.0,0.0308,0.9315,0.9597,normal,0
1.56,0.9597,0.0,0.0111,0.0,0.0308,0.9315,0.9597,normal,0
1.58,0.9597,0.0,0.0111,0.0,0.0308,0.9315,0.9597,normal,0
1.6,0.9597,0.0,0.0111,0.0,0.0308,0.9315,0.9597,normal,0
1.62,0.9597,0.0,0.0111,0.0,0.0308,0.9315,0.9597,normal,0
1.64,0.9597,0.0,0.0111,0.0,0.0308,0.9315,0.9597,normal,0
1.66,0.9597,0.0,0.0111,0.0,0.0308,0.9315,0.9597,normal,0
1.68,0.9597,0.0,0.0111,0.0,0.0308,0.9315,0.9597,normal,0
1.7,0.9597,0.0,0.0111,0.0,0.0308,0.9315,0.9597,normal,0
1.72,0.9597,0.0,0.0111,0.0,0.0308,0.9315,0.9597,normal,0
1.74,0.9597,0.0,0.0111,0.0,0.0308,0.9315,0.9597,normal,0
1.76,0.9597,0.0,0.0111,0.0,0.0308,0.9315,0.9597,normal,0
1.78,0.9597,0.0,0.0111,0.0,0.0308,0.9315,0.9597,normal,0
1.8,0.9597,0.0,0.0111,0.0,0.0308,0.9315,0.9597,normal,0
1.82,0.9597,0.0,0.0111,0.0,0.0308,0.9315,0.9597,normal,0
