t,Vp,Vn,iq,iq_ref,se_d,Vdc,v_load,gate,in_fault
0.0,0.9414,0.0,0.0171,0.0,0.0422,0.9228,0.9414,normal,0
0.02,0.9422,0.0,0.0128,0.0,0.0322,0.933,0.9422,normal,0
0.04,0.9419,0.0,0.0121,0.0,0.033,0.9272,0.9419,normal,0
0.06,0.9419,0.0,0.0126,0.0,0.0325,0.929,0.9419,normal,0
0.08,0.942,0.0,0.0124,0.0,0.0328,0.9282,0.942,normal,0
0.1,0.6077,0.3324,0.1871,0.3,0.0396,0.8883,0.6263,normal,1
0.12,0.6127,0.3367,0.24,0.3,-0.0599,0.9238,0.6127,asym,1
0.14,0.6151,0.338,0.24,0.3,-0.0534,0.933,0.6151,asym,1
0.16,0.6147,0.3378,0.24,0.3,-0.0524,0.9357,0.6147,asym,1
0.18,0.6148,0.3379,0.24,0.3,-0.0521,0.9365,0.6148,asym,1
0.2,0.6147,0.3378,0.24,0.3,-0.0521,0.9367,0.6147,asym,1
0.22,0.6148,0.3379,0.24,0.3,-0.052,0.9368,0.6148,asym,1
0.24,0.6147,0.3378,0.24,0.3,-0.052,0.9368,0.6147,asym,1
0.26,0.6147,0.3379,0.24,0.3,-0.052,0.9368,0.6147,asym,1
0.28,0.6147,0.3378,0.24,0.3,-0.052,0.9368,0.6147,asym,1
0.3,0.6147,0.3378,0.24,0.3,-0.052,0.9368,0.6147,asym,1
0.32,0.6147,0.3378,0.24,0.3,-0.052,0.9368,0.6147,asym,1
0.34,0.6147,0.3378,0.24,0.3,-0.052,0.9368,0.6147,asym,1
0.36,0.6147,0.3378,0.24,0.3,-0.052,0.9368,0.6147,asym,1
0.38,0.6147,0.3378,0.24,0.3,-0.052,0.9368,0.6147,asym,1
0.4,0.6147,0.3378,0.24,0.3,-0.052,0.9368,0.6147,asym,1
0.42,0.6147,0.3378,0.24,0.3,-0.052,0.9368,0.6147,asym,1
0.44,0.6147,0.3378,0.24,0.3,-0.052,0.9368,0.6147,asym,1
0.46,0.6147,0.3378,0.24,0.3,-0.052,0.9368,0.6147,asym,1
0.48,0.6147,0.3378,0.24,0.3,-0.052,0.9368,0.6147,asym,1
0.5,0.6147,0.3378,0.24,0.3,-0.052,0.9368,0.6147,asym,1
0.52,0.6147,0.3378,0.24,0.3,-0.052,0.9368,0.6147,asym,1
0.54,0.6147,0.3378,0.24,0.3,-0.052,0.9368,0.6147,asym,1
0.56,0.6147,0.3378,0.24,0.3,-0.052,0.9368,0.6147,asym,1
0.58,0.6147,0.3378,0.24,0.3,-0.052,0.9368,0.6147,asym,1
0.6,0.6147,0.3378,0.24,0.3,-0.052,0.9368,0.6147,asym,1
0.62,0.6147,0.3378,0.24,0.3,-0.052,0.9368,0.6147,asym,1
0.64,0.6147,0.3378,0.24,0.3,-0.052,0.9368,0.6147,asym,1
0.66,0.6147,0.3378,0.24,0.3,-0.052,0.9368,0.6147,asym,1
0.68,0.6147,0.3378,0.24,0.3,-0.052,0.9368,0.6147,asym,1
0.7,0.6147,0.3378,0.24,0.3,-0.052,0.9368,0.6147,asym,1
0.72,0.6147,0.3378,0.24,0.3,-0.052,0.9368,0.6147,asym,1
0.76,0.6005,0.0,0.136,0.3,0.0707,0.8722,0.6338,asym,0
