t,Vp,Vn,iq,iq_ref,se_d,Vdc,v_load,gate,in_fault
0.0,0.9752,0.0,0.0129,0.0,0.0399,0.9269,0.9752,normal,0
0.02,0.9754,0.0,0.0106,0.0,0.0287,0.9382,0.9754,normal,0
0.04,0.9753,0.0,0.0096,0.0,0.0293,0.9334,0.9753,normal,0
0.06,0.9753,0.0,0.0103,0.0,0.0294,0.9341,0.9753,normal,0
0.08,0.9753,0.0,0.01,0.0,0.0293,0.9339,0.9753,normal,0
0.1,0.7263,0.0,0.2286,0.2605,0.0795,0.7865,0.7637,sym,1
0.12,0.7296,0.0,0.27,0.2557,-0.0389,0.8467,0.7296,sym,1
0.14,0.73,0.0,0.27,0.255,-0.0333,0.864,0.73,sym,1
0.16,0.73,0.0,0.27,0.255,-0.0334,0.8688,0.73,sym,1
0.18,0.73,0.0,0.27,0.255,-0.0333,0.8702,0.73,sym,1
0.2,0.73,0.0,0.27,0.255,-0.0333,0.8706,0.73,sym,1
0.22,0.73,0.0,0.27,0.255,-0.0333,0.8707,0.73,sym,1
0.24,0.73,0.0,0.27,0.255,-0.0333,0.8708,0.73,sym,1
0.26,0.73,0.0,0.27,0.255,-0.0333,0.8708,0.73,sym,1
0.28,0.73,0.0,0.27,0.255,-0.0333,0.8708,0.73,sym,1
0.3,0.73,0.0,0.27,0.255,-0.0333,0.8708,0.73,sym,1
0.32,0.73,0.0,0.27,0.255,-0.0333,0.8708,0.73,sym,1
0.34,0.73,0.0,0.27,0.255,-0.0333,0.8708,0.73,sym,1
0.36,0.73,0.0,0.27,0.255,-0.0333,0.8708,0.73,sym,1
0.38,0.73,0.0,0.27,0.255,-0.0333,0.8708,0.73,sym,1
0.4,0.73,0.0,0.27,0.255,-0.0333,0.8708,0.73,sym,1
0.42,0.73,0.0,0.27,0.255,-0.0333,0.8708,0.73,sym,1
0.44,0.73,0.0,0.27,0.255,-0.0333,0.8708,0.73,sym,1
0.46,0.73,0.0,0.27,0.255,-0.0333,0.8708,0.73,sym,1
0.48,0.73,0.0,0.27,0.255,-0.0333,0.8708,0.73,sym,1
0.5,0.73,0.0,0.27,0.255,-0.0333,0.8708,0.73,sym,1
0.52,0.73,0.0,0.27,0.255,-0.0333,0.8708,0.73,sym,1
0.54,0.73,0.0,0.27,0.255,-0.0333,0.8708,0.73,sym,1
0.56,0.73,0.0,0.27,0.255,-0.0333,0.8708,0.73,sym,1
0.58,0.73,0.0,0.27,0.255,-0.0333,0.8708,0.73,sym,1
0.6,0.73,0.0,0.27,0.255,-0.0333,0.8708,0.73,sym,1
0.62,0.73,0.0,0.27,0.255,-0.0333,0.8708,0.73,sym,1
0.64,0.73,0.0,0.27,0.255,-0.0333,0.8708,0.73,sym,1
0.66,0.73,0.0,0.27,0.255,-0.0333,0.8708,0.73,sym,1
0.68,0.73,0.0,0.27,0.255,-0.0333,0.8708,0.73,sym,1
0.7,0.73,0.0,0.27,0.255,-0.0333,0.8708,0.73,sym,1
0.72,0.73,0.0,0.27,0.255,-0.0333,0.8708,0.73,sym,1
0.74,0.6323,0.0,0.2544,0.3,0.0718,0.7725,0.6661,sym,0
0.76,0.6594,0.0,0.231,0.3,0.0543,0.7725,0.6849,sym,0
0.78,0.6857,0.0,0.2245,0.3,0.0502,0.779,0.7093,sym,0
0.8,0.7099,0.0,0.2118,0.2851,0.0474,0.7863,0.7322,sym,0
0.82,0.732,0.0,0.1911,0.2519,0.047,0.7916,0.7541,sym,0
0.84,0.7522,0.0,0.1655,0.2216,0.0479,0.7952,0.7747,sym,0
0.86,0.7707,0.0,0.1378,0.194,0.0554,0.7916,0.7967,sym,0
0.88,0.7875,0.0,0.1121,0.1687,0.0551,0.8014,0.8134,sym,0
0.9,0.8029,0.0,0.0877,0.1456,0.0536,0.8165,0.8281,sym,0
0.92,0.817,0.0,0.0656,0.1245,0.0526,0.8345,0.8417,sym,0
0.94,0.8299,0.0,0.0483,0.1051,0.0501,0.859,0.8535,sym,0
0.96,0.8418,0.0,0.0406,0.0873,0.0507,0.8684,0.8656,sym,0
0.98,0.8527,0.0,0.0318,0.0709,0.0465,0.8834,0.8745,sym,0
1.0,0.8627,0.0,0.0282,0.0559,0.0451,0.8885,0.8839,sym,0
1.02,0.8719,0.0,0.0213,0.0421,0.0421,0.9014,0.8917,sym,0
1.04,0.8804,0.0,0.0198,0.0294,0.0417,0.9035,0.9,sym,0
1.06,0.8881,0.0,0.0179,0.0178,0.0401,0.9103,0.907,sym,0
1.08,0.8953,0.0,0.0172,0.0071,0.0396,0.9113,0.9139,sym,0
1.1,0.9019,0.0,0.0159,0.0,0.0382,0.9166,0.9019,normal,0
1.12,0.9079,0.0,0.0156,0.0,0.0376,0.9179,0.9079,normal,0
1.14,0.9134,0.0,0.0151,0.0,0.0368,0.9202,0.9134,normal,0
1.16,0.9185,0.0,0.0146,0.0,0.036,0.9217,0.9185,normal,0
1.18,0.9232,0.0,0.0142,0.0,0.0353,0.9231,0.9232,normal,0
1.2,0.9275,0.0,0.0138,0.0,0.0347,0.9243,0.9275,normal,0
1.22,0.9314,0.0,0.0134,0.0,0.0341,0.9254,0.9314,normal,0
1.24,0.935,0.0,0.0131,0.0,0.0336,0.9265,0.935,normal,0
1.26,0.9383,0.0,0.0127,0.0,0.0331,0.9274,0.9383,normal,0
1.28,0.9414,0.0,0.0125,0.0,0.0327,0.9282,0.9414,normal,0
1.3,0.9441,0.0,0.0122,0.0,0.0323,0.9289,0.9441,normal,0
1.32,0.9467,0.0,0.012,0.0,0.032,0.9295,0.9467,normal,0
1.34,0.9491,0.0,0.0119,0.0,0.0318,0.9299,0.9491,normal,0
1.36,0.9512,0.0,0.0117,0.0,0.0316,0.9302,0.9512,normal,0
1.38,0.9532,0.0,0.0116,0.0,0.0314,0.9305,0.9532,normal,0
1.4,0.955,0.0,0.0114,0.0,0.0312,0.9308,0.955,normal,0
1.42,0.9567,0.0,0.0113,0.0,0.0311,0.9311,0.9567,normal,0
1.44,0.9571,0.0,0.0113,0.0,0.0311,0.9311,0.9571,normal,0
1.46,0.9571,0.0,0.0113,0.0,0.0311,0.9311,0.9571,normal,0
1.48,0.9571,0.0,0.0113,0.0,0.0311,0.9311,0.9571,normal,0
1.5,0.9571,0.0,0.0113,0.0,0.0311,0.9311,0.9571,normal,0
1.52,0.9571,0.0,0.0113,0.0,0.0311,0.9311,0.9571,normal,0
1.54,0.9571,0.0,0.0113,0.0,0.0311,0.9311,0.9571,normal,0
1.56,0.9571,0.0,0.0113,0.0,0.0311,0.9311,0.9571,normal,0
1.58,0.9571,0.0,0.0113,0.0,0.0311,0.9311,0.9571,normal,0
1.6,0.9571,0.0,0.0113,0.0,0.0311,0.9311,0.9571,normal,0
1.62,0.9571,0.0,0.0113,0.0,0.0311,0.9311,0.9571,normal,0
1.64,0.9571,0.0,0.0113,0.0,0.0311,0.9311,0.9571,normal,0
1.66,0.9571,0.0,0.0113,0.0,0.0311,0.9311,0.9571,normal,0
1.68,0.9571,0.0,0.0113,0.0,0.0311,0.9311,0.9571,normal,0
1.7,0.9571,0.0,0.0113,0.0,0.0311,0.9311,0.9571,normal,0
1.72,0.9571,0.0,0.0113,0.0,0.0311,0.9311,0.9571,normal,0
1.74,0.9571,0.0,0.0113,0.0,0.0311,0.9311,0.9571,normal,0
1.76,0.9571,0.0,0.0113,0.0,0.0311,0.9311,0.9571,normal,0
1.78,0.9571,0.0,0.0113,0.0,0.0311,0.9311,0.9571,normal,0
1.8,0.9571,0.0,0.0113,0.0,0.0311,0.9311,0.9571,normal,0
1.82,0.9571,0.0,0.0113,0.0,0.0311,0.9311,0.9571,normal,0
