t,Vp,Vn,iq,iq_ref,se_d,Vdc,v_load,gate,in_fault
0.0,0.9173,0.0,0.021,0.0,0.0445,0.9133,0.9173,normal,0
0.02,0.9188,0.0,0.0142,0.0,0.0355,0.9247,0.9188,normal,0
0.04,0.9184,0.0,0.0147,0.0,0.0367,0.9186,0.9184,normal,0
0.06,0.9184,0.0,0.0148,0.0,0.036,0.9223,0.9184,normal,0
0.08,0.9184,0.0,0.0147,0.0,0.0364,0.9213,0.9184,normal,0
0.1,0.6346,0.2838,0.24,0.3,-0.0524,0.9446,0.6346,asym,1
0.76,0.5879,0.0,0.255,0.3,0.0588,0.8082,0.6155,sym,0
0.78,0.6144,0.0,0.2508,0.3,0.0625,0.768,0.6438,sym,0
0.8,0.6414,0.0,0.2396,0.3,0.057,0.766,0.6682,sym,0
0.82,0.6654,0.0,0.231,0.3,0.0533,0.7719,0.6905,sym,0
0.84,0.6876,0.0,0.224,0.3,0.0499,0.7792,0.711,sym,0
0.86,0.7077,0.0,0.2139,0.2885,0.0474,0.7862,0.73,sym,0
0.88,0.7255,0.0,0.1991,0.2617,0.0458,0.7922,0.747,sym,0
0.9,0.7413,0.0,0.1813,0.238,0.0474,0.794,0.7636,sym,0
0.92,0.7555,0.0,0.1631,0.2168,0.0486,0.7958,0.7783,sym,0
0.94,0.7683,0.0,0.1435,0.1976,0.0546,0.7921,0.7939,sym,0
0.96,0.7798,0.0,0.1243,0.1803,0.0539,0.7985,0.8051,sym,0
0.98,0.7904,0.0,0.1091,0.1644,0.0535,0.8077,0.8155,sym,0
1.0,0.8003,0.0,0.0935,0.1496,0.0549,0.8138,0.8261,sym,0
1.02,0.8092,0.0,0.0788,0.1362,0.0526,0.8275,0.8339,sym,0
1.04,0.8176,0.0,0.067,0.1236,0.0538,0.8348,0.8429,sym,0
1.06,0.8253,0.0,0.0535,0.1121,0.0508,0.8535,0.8491,sym,0
1.08,0.8325,0.0,0.0494,0.1012,0.0537,0.8552,0.8578,sym,0
1.1,0.8394,0.0,0.0388,0.091,0.0482,0.8768,0.862,sym,0
1.12,0.8456,0.0,0.0428,0.0816,0.0518,0.8657,0.87,sym,0
1.14,0.8516,0.0,0.0288,0.0725,0.0447,0.8916,0.8726,sym,0
1.16,0.8567,0.0,0.0357,0.0649,0.0487,0.8764,0.8796,sym,0
1.18,0.862,0.0,0.0224,0.0571,0.0418,0.9021,0.8816,sym,0
1.2,0.8662,0.0,0.0301,0.0507,0.0466,0.8849,0.8881,sym,0
1.22,0.8707,0.0,0.0197,0.0439,0.0399,0.9094,0.8895,sym,0
1.24,0.8743,0.0,0.026,0.0385,0.0445,0.8913,0.8953,sym,0
1.26,0.8782,0.0,0.0186,0.0327,0.0397,0.9125,0.8968,sym,0
1.28,0.8813,0.0,0.022,0.0281,0.0428,0.8978,0.9014,sym,0
1.3,0.8844,0.0,0.0179,0.0233,0.0398,0.9136,0.9031,sym,0
1.32,0.8871,0.0,0.0195,0.0193,0.0411,0.9041,0.9064,sym,0
1.34,0.8897,0.0,0.0175,0.0154,0.0398,0.9139,0.9085,sym,0
1.36,0.892,0.0,0.0183,0.0119,0.0404,0.9079,0.911,sym,0
1.38,0.8942,0.0,0.0169,0.0086,0.0394,0.9145,0.9128,sym,0
1.4,0.8962,0.0,0.0173,0.0057,0.0399,0.9104,0.9149,sym,0
1.42,0.898,0.0,0.0164,0.003,0.0389,0.9157,0.9163,sym,0
1.44,0.8984,0.0,0.0169,0.0024,0.0395,0.9121,0.917,sym,0
1.46,0.8984,0.0,0.0164,0.0023,0.0389,0.9156,0.9168,sym,0
1.48,0.8984,0.0,0.0169,0.0024,0.0394,0.9125,0.917,sym,0
1.5,0.8984,0.0,0.0165,0.0023,0.039,0.9154,0.9168,sym,0
1.52,0.8984,0.0,0.0168,0.0023,0.0394,0.9128,0.9169,sym,0
1.54,0.8984,0.0,0.0165,0.0023,0.039,0.9152,0.9168,sym,0
1.56,0.8984,0.0,0.0168,0.0023,0.0393,0.913,0.9169,sym,0
1.58,0.8984,0.0,0.0165,0.0023,0.039,0.9151,0.9168,sym,0
1.6,0.8984,0.0,0.0168,0.0023,0.0393,0.9131,0.9169,sym,0
1.62,0.8984,0.0,0.0165,0.0023,0.039,0.915,0.9168,sym,0
1.64,0.8984,0.0,0.0168,0.0023,0.0393,0.9133,0.9169,sym,0
1.66,0.8984,0.0,0.0166,0.0023,0.039,0.9148,0.9168,sym,0
1.68,0.8984,0.0,0.0167,0.0023,0.0393,0.9134,0.9169,sym,0
1.7,0.8984,0.0,0.0166,0.0023,0.0391,0.9147,0.9168,sym,0
1.72,0.8984,0.0,0.0167,0.0023,0.0392,0.9135,0.9169,sym,0
1.74,0.8984,0.0,0.0166,0.0023,0.0391,0.9147,0.9168,sym,0
1.76,0.8984,0.0,0.0167,0.0023,0.0392,0.9136,0.9169,sym,0
1.78,0.8984,0.0,0.0166,0.0023,0.0391,0.9146,0.9168,sym,0
1.8,0.8984,0.0,0.0167,0.0023,0.0392,0.9137,0.9169,sym,0
1.82,0.8984,0.0,0.0166,0.0023,0.0391,0.9145,0.9168,sym,0
