t,Vp,Vn,iq,iq_ref,se_d,Vdc,v_load,gate,in_fault
0.0,0.9524,0.0,0.0156,0.0,0.0414,0.9254,0.9524,normal,0
0.02,0.953,0.0,0.0122,0.0,0.031,0.9349,0.953,normal,0
0.04,0.9528,0.0,0.0111,0.0,0.0315,0.9301,0.9528,normal,0
0.06,0.9528,0.0,0.0118,0.0,0.0316,0.9307,0.9528,normal,0
0.08,0.9529,0.0,0.0116,0.0,0.0315,0.9304,0.9529,normal,0
0.1,0.7596,0.1883,0.24,0.2106,-0.0662,0.9501,0.7596,asym,1
0.12,0.7674,0.1917,0.1917,0.1988,-0.0544,0.949,0.7674,asym,1
0.14,0.7667,0.1915,0.2137,0.2,-0.0614,0.949,0.7667,asym,1
0.16,0.767,0.1916,0.2024,0.1995,-0.059,0.9484,0.767,asym,1
0.18,0.7668,0.1915,0.2077,0.1997,-0.0601,0.9486,0.7668,asym,1
0.2,0.7669,0.1915,0.2053,0.1996,-0.0597,0.9484,0.7669,asym,1
0.22,0.7669,0.1915,0.2064,0.1997,-0.0599,0.9485,0.7669,asym,1
0.24,0.7669,0.1915,0.2059,0.1997,-0.0598,0.9484,0.7669,asym,1
0.26,0.7669,0.1915,0.2061,0.1997,-0.0598,0.9484,0.7669,asym,1
0.28,0.7669,0.1915,0.206,0.1997,-0.0598,0.9484,0.7669,asym,1
0.3,0.7669,0.1915,0.206,0.1997,-0.0598,0.9484,0.7669,asym,1
0.32,0.7669,0.1915,0.206,0.1997,-0.0598,0.9484,0.7669,asym,1
0.34,0.7669,0.1915,0.206,0.1997,-0.0598,0.9484,0.7669,asym,1
0.36,0.7669,0.1915,0.206,0.1997,-0.0598,0.9484,0.7669,asym,1
0.38,0.7669,0.1915,0.206,0.1997,-0.0598,0.9484,0.7669,asym,1
0.4,0.7669,0.1915,0.206,0.1997,-0.0598,0.9484,0.7669,asym,1
0.42,0.7669,0.1915,0.206,0.1997,-0.0598,0.9484,0.7669,asym,1
0.44,0.7669,0.1915,0.206,0.1997,-0.0598,0.9484,0.7669,asym,1
0.46,0.7669,0.1915,0.206,0.1997,-0.0598,0.9484,0.7669,asym,1
0.48,0.7669,0.1915,0.206,0.1997,-0.0598,0.9484,0.7669,asym,1
0.5,0.7669,0.1915,0.206,0.1997,-0.0598,0.9484,0.7669,asym,1
0.52,0.7669,0.1915,0.206,0.1997,-0.0598,0.9484,0.7669,asym,1
0.54,0.7669,0.1915,0.206,0.1997,-0.0598,0.9484,0.7669,asym,1
0.56,0.7669,0.1915,0.206,0.1997,-0.0598,0.9484,0.7669,asym,1
0.58,0.7669,0.1915,0.206,0.1997,-0.0598,0.9484,0.7669,asym,1
0.6,0.7669,0.1915,0.206,0.1997,-0.0598,0.9484,0.7669,asym,1
0.62,0.7669,0.1915,0.206,0.1997,-0.0598,0.9484,0.7669,asym,1
0.64,0.7669,0.1915,0.206,0.1997,-0.0598,0.9484,0.7669,asym,1
0.66,0.7669,0.1915,0.206,0.1997,-0.0598,0.9484,0.7669,asym,1
0.68,0.7669,0.1915,0.206,0.1997,-0.0598,0.9484,0.7669,asym,1
0.7,0.7669,0.1915,0.206,0.1997,-0.0598,0.9484,0.7669,asym,1
0.72,0.7669,0.1915,0.206,0.1997,-0.0598,0.9484,0.7669,asym,1
0.76,0.6143,0.0,0.2475,0.3,0.0549,0.8163,0.6401,sym,0
0.78,0.6398,0.0,0.2417,0.3,0.0609,0.7738,0.6684,sym,0
0.8,0.6667,0.0,0.2298,0.3,0.0536,0.7737,0.6919,sym,0
0.82,0.6911,0.0,0.2226,0.3,0.0492,0.7809,0.7142,sym,0
0.84,0.7133,0.0,0.2091,0.28,0.047,0.7878,0.7354,sym,0
0.86,0.7336,0.0,0.1899,0.2496,0.0467,0.7925,0.7556,sym,0
0.88,0.752,0.0,0.1664,0.222,0.0476,0.7958,0.7744,sym,0
0.9,0.7685,0.0,0.1421,0.1972,0.0547,0.7919,0.7942,sym,0
0.92,0.7835,0.0,0.1183,0.1747,0.0551,0.7986,0.8094,sym,0
0.94,0.7972,0.0,0.0964,0.1543,0.0533,0.8128,0.8222,sym,0
0.96,0.8096,0.0,0.0789,0.1356,0.0543,0.8232,0.8351,sym,0
0.98,0.821,0.0,0.0589,0.1185,0.0517,0.8432,0.8453,sym,0
1.0,0.8315,0.0,0.0479,0.1027,0.0511,0.8599,0.8555,sym,0
1.02,0.8412,0.0,0.0409,0.0883,0.0506,0.8696,0.8649,sym,0
1.04,0.85,0.0,0.0349,0.0749,0.0476,0.8795,0.8724,sym,0
1.06,0.8583,0.0,0.0304,0.0626,0.0459,0.8859,0.8798,sym,0
1.08,0.8658,0.0,0.0253,0.0513,0.0438,0.8944,0.8864,sym,0
1.1,0.8729,0.0,0.0225,0.0406,0.043,0.8988,0.8931,sym,0
1.12,0.8793,0.0,0.0196,0.031,0.0414,0.9052,0.8988,sym,0
1.14,0.8854,0.0,0.0187,0.0219,0.0407,0.9075,0.9045,sym,0
1.16,0.8908,0.0,0.0177,0.0138,0.0402,0.9105,0.9097,sym,0
1.18,0.896,0.0,0.0169,0.0061,0.0393,0.9128,0.9144,sym,0
1.2,0.9005,0.0,0.0162,0.0,0.0386,0.9154,0.9005,normal,0
1.22,0.9049,0.0,0.0158,0.0,0.038,0.9171,0.9049,normal,0
1.24,0.9087,0.0,0.0154,0.0,0.0375,0.9187,0.9087,normal,0
1.26,0.9124,0.0,0.0152,0.0,0.037,0.9198,0.9124,normal,0
1.28,0.9157,0.0,0.0149,0.0,0.0366,0.9208,0.9157,normal,0
1.3,0.9187,0.0,0.0147,0.0,0.0361,0.9218,0.9187,normal,0
1.32,0.9215,0.0,0.0144,0.0,0.0357,0.9226,0.9215,normal,0
1.34,0.9241,0.0,0.0141,0.0,0.0353,0.9234,0.9241,normal,0
1.36,0.9265,0.0,0.0139,0.0,0.0349,0.924,0.9265,normal,0
1.38,0.9286,0.0,0.0137,0.0,0.0346,0.9246,0.9286,normal,0
