scheme,scn_id,fault_bus,fault_type,r_fault,load_lvl,pv_pen,hpt_bus,survive,iq,reactive,Vn,limit,kvar,gate,recover,frt_pass,v_load,vdc_min,vdc_max,se_d,connect,Vp,se_q,iq_ref
B4,0,3,sym3ph,30.0,1.0,0.6,7,True,0.0128,True,0.0,True,5.1013,normal,True,True,0.939,0.9358,1.0,0.0281,True,0.939,-0.0194,0.0
B4,0,3,sym3ph,30.0,1.0,0.6,14,True,0.0131,True,0.0,True,5.2341,normal,True,True,0.9132,0.931,1.0,0.0293,True,0.9132,-0.0243,0.0
B4,0,3,sym3ph,30.0,1.0,0.6,25,True,0.0126,True,0.0,True,5.0211,normal,True,True,0.9551,0.9406,1.0,0.0268,True,0.9551,-0.0149,0.0
B4,0,3,sym3ph,30.0,1.0,0.6,30,True,0.0129,True,0.0,True,5.1769,normal,True,True,0.9202,0.9317,1.0,0.0292,True,0.9202,-0.0233,0.0
B4,1,22,sym3ph,0.3,1.0,0.3,7,True,0.0129,True,0.0,True,5.1474,normal,True,True,0.9291,0.9334,1.0,0.0288,True,0.9291,-0.0216,0.0
B4,1,22,sym3ph,0.3,1.0,0.3,14,True,0.228,False,0.0,True,91.211,sym,True,False,0.9099,0.8437,1.0,0.0239,True,0.8987,-0.1813,0.0019
B4,1,22,sym3ph,0.3,1.0,0.3,25,True,0.0126,True,0.0,True,5.0441,normal,True,True,0.9486,0.9386,1.0,0.0273,True,0.9486,-0.0168,0.0
B4,1,22,sym3ph,0.3,1.0,0.3,30,True,0.0133,True,0.0,True,5.31,normal,True,True,0.9071,0.9308,1.0,0.0293,True,0.9071,-0.0246,0.0
B4,2,6,sym3ph,30.0,1.0,0.0,7,True,0.2379,False,0.0,True,95.1661,sym,True,False,0.889,0.8561,1.0,0.0155,True,0.8817,-0.1856,0.0274
B4,2,6,sym3ph,30.0,1.0,0.0,14,True,0.2591,False,0.0,True,103.6325,sym,True,False,0.8458,0.8788,1.0,-0.0046,True,0.8458,-0.1935,0.0812
B4,2,6,sym3ph,30.0,1.0,0.0,25,True,0.0126,True,0.0,True,5.0335,normal,True,True,0.9512,0.9394,1.0,0.0271,True,0.9512,-0.0161,0.0
B4,2,6,sym3ph,30.0,1.0,0.0,30,True,0.2535,False,0.0,True,101.4027,sym,True,False,0.8572,0.8771,1.0,0.0018,True,0.8564,-0.1917,0.0654
B4,3,6,sym3ph,30.0,0.7,0.0,7,True,0.2281,False,0.0,True,91.2284,sym,True,False,0.9099,0.8437,1.0,0.0239,True,0.8986,-0.1813,0.0021
