label,category,fault_type,dur,Vp_min,Iabc_peak_A,id_peak,iq_fault,iq_peak_measured,iq_le_035,ripple_2w,Vdc_min_sw,Vdc_max_sw,vdc_lt075,vdc_gt125,gate_classes,gate_switches,gate_chattering,connect_sw,reactive_sw,limit_sw,recover_sw,survive_sw,frt_pass_sw,L1_status
S1_superdeep_sym,"super-deep sym (Vp~0.03, worst-Vdc region)",sym3ph,0.15,0.044,57.9,0.23,0.263,0.31,1,0.001,0.874,1.16,0,0,asym|normal|sym,6,0,1,1,1,1,1,1,RUN_SWITCHING
S2_superdeep_sym,super-deep sym (Vp~0.07),sym3ph,0.15,0.076,56.4,0.222,0.264,0.308,1,0.001,0.882,1.146,0,0,asym|normal|sym,8,0,1,1,1,1,1,1,RUN_SWITCHING
S3_boundary_sym,near-boundary sym (Vp~0.33),sym3ph,0.3,0.329,54.1,0.189,0.264,0.324,1,0.0023,0.898,1.039,0,0,asym|normal|sym,6,0,1,1,1,1,1,1,RUN_SWITCHING
S4_superdeep_1phg,deep asym 1ph_g (asym-cap headroom),1ph_g,0.15,0.726,53.2,0.213,0.236,0.316,1,0.0189,0.918,1.063,0,0,asym|normal|sym,4,0,1,1,1,1,1,1,RUN_SWITCHING
S5_boundary_1phg,asym 1ph_g (gate-crossing on recovery),1ph_g,0.3,0.737,53.0,0.188,0.237,0.31,1,0.0144,0.924,1.067,0,0,asym|normal|sym,4,0,1,1,1,1,1,1,RUN_SWITCHING
S6_asym_2ph,asym 2ph,2ph,0.3,0.649,61.4,0.278,0.256,0.333,1,0.0259,0.869,1.181,0,0,asym|normal|sym,4,0,1,1,1,1,1,1,RUN_SWITCHING
S7_asym_2phg,asym 2ph_g,2ph_g,0.3,0.476,64.8,0.308,0.258,0.321,1,0.0154,0.825,1.2,0,0,asym|normal|sym,4,0,1,1,1,1,1,1,RUN_SWITCHING
S8_deep_sym_rec,deep sym + post-clear withdrawal (long window),sym3ph,0.15,0.054,58.0,0.237,0.264,0.31,1,0.0011,0.876,1.157,0,0,asym|normal|sym,6,0,1,1,1,1,1,1,RUN_SWITCHING
S9_deep_1phg_rec,deep asym + post-clear withdrawal + gate-crossing,1ph_g,0.3,0.726,53.6,0.201,0.24,0.314,1,0.0172,0.919,1.076,0,0,asym|normal|sym,4,0,1,1,1,1,1,1,RUN_SWITCHING
S10_mid_sym,"mid-depth sym (Vp~0.56, pass reference)",sym3ph,0.3,0.557,74.4,0.352,0.263,0.319,1,0.0031,0.934,1.2,0,0,asym|normal|sym,6,0,1,1,1,1,1,1,RUN_SWITCHING
