model,topology,grid_V,grid_pu,target_phase_rms,cmd_m_reg_d,cmd_m_reg_q,cmd_m_energy_d,cmd_m_energy_q,action_semantics,action_raw_available,action_projected_available,action_effective_available,action_raw_source,action_projected_source,action_effective_source,raw_m_reg_d,raw_m_reg_q,raw_m_energy_d,raw_m_energy_q,lv_rms_mean,lv_unbalance,lv_pu_mean,vdc_mean,vdc_min,vdc_max,energy_i_rms_mean,energy_i_unbalance,obs_dim,action_dim,action_max_abs,reg_d_mean,reg_q_mean,energy_d_mean,energy_q_mean,projected_m_reg_d_mean,projected_m_reg_q_mean,projected_m_energy_d_mean,projected_m_energy_q_mean,effective_m_reg_d_mean,effective_m_reg_q_mean,effective_m_energy_d_mean,effective_m_energy_q_mean
hpt_v2_1to1_switchlevel,topology1,9000,0.9,207,0,0,0,0,fixed_energy_command_through_controller_projection,1,1,1,hpt_sac_fixed_*,HPTSAC_action,HPTSAC_action,0,0,0,0,161.304599451772,0.194184749704135,0.779249272713872,0.0834296210518775,-0.5386842119239,800.042360363638,162.748140009138,13.8928128744685,24,4,0.95,0,0,0.753867595501558,0,0,0,0.753867595501558,0,0,0,0.753867595501558,0
hpt_v2_1to1_switchlevel,topology1,9000,0.9,207,0,0,0.2,0,fixed_energy_command_through_controller_projection,1,1,1,hpt_sac_fixed_*,HPTSAC_action,HPTSAC_action,0,0,0.2,0,161.333754662231,0.209279418290407,0.779390119141214,0.0887254688094271,-0.563204146040342,800.042360363638,169.251746395082,20.831238931336,24,4,0.95,0,0,0.760374793998826,0,0,0,0.760374793998826,0,0,0,0.760374793998826,0
hpt_v2_1to1_switchlevel,topology1,9000,0.9,207,0,0,-0.2,0,fixed_energy_command_through_controller_projection,1,1,1,hpt_sac_fixed_*,HPTSAC_action,HPTSAC_action,0,0,-0.2,0,161.274645262398,0.175445262950802,0.779104566485015,0.0754369445669495,-0.0911212645365477,800.042360363638,160.240324860867,9.76626383314303,24,4,0.95,0,0,0.751356056446158,0,0,0,0.751356056446158,0,0,0,0.751356056446158,0
hpt_v2_1to1_switchlevel,topology1,9000,0.9,207,0,0,0.4,0,fixed_energy_command_through_controller_projection,1,1,1,hpt_sac_fixed_*,HPTSAC_action,HPTSAC_action,0,0,0.4,0,161.32667779469,0.246081675660434,0.779355931375314,0.101314880957432,-0.323335765676637,800.045371694556,180.211459189582,32.0512528210937,24,4,0.95,0,0,0.767237062034831,0,0,0,0.767237062034831,0,0,0,0.767237062034831,0
hpt_v2_1to1_switchlevel,topology1,9000,0.9,207,0,0,-0.4,0,fixed_energy_command_through_controller_projection,1,1,1,hpt_sac_fixed_*,HPTSAC_action,HPTSAC_action,0,0,-0.4,0,161.268403537347,0.169136032476189,0.779074413223899,0.0744679811225925,-0.120750091974184,800.042360363638,159.85282501121,9.06436238861974,24,4,0.95,0,0,0.74998725996963,0,0,0,0.74998725996963,0,0,0,0.74998725996963,0
hpt_v2_1to1_switchlevel,topology1,9000,0.9,207,0,0,0,0.2,fixed_energy_command_through_controller_projection,1,1,1,hpt_sac_fixed_*,HPTSAC_action,HPTSAC_action,0,0,0,0.2,161.326803405938,0.23121830297805,0.779356538192936,0.139402307741923,-0.40781484561052,800.042360363638,164.923044906512,17.6898519149003,24,4,0.95,0,0,0.738102490045546,0.199999999999997,0,0,0.738102490045546,0.199999999999997,0,0,0.738102490045546,0.199999999999997
hpt_v2_1to1_switchlevel,topology1,9000,0.9,207,0,0,0,-0.2,fixed_energy_command_through_controller_projection,1,1,1,hpt_sac_fixed_*,HPTSAC_action,HPTSAC_action,0,0,0,-0.2,161.290657277754,0.127070116245932,0.779181919216205,0.0616248504059923,-0.294645339573468,800.042360363638,163.391808105544,11.3310695850622,24,4,0.95,0,0,0.77225657808407,-0.199999999999997,0,0,0.77225657808407,-0.199999999999997,0,0,0.77225657808407,-0.199999999999997
hpt_v2_1to1_switchlevel,topology1,10000,1,207,0,0,0,0,fixed_energy_command_through_controller_projection,1,1,1,hpt_sac_fixed_*,HPTSAC_action,HPTSAC_action,0,0,0,0,179.27526777215,0.244001018039739,0.866064095517634,0.114534508074296,-0.587961549866771,800.071240707732,188.223869255581,23.7533716041518,24,4,0.95,0,0,0.721379267095783,0,0,0,0.721379267095783,0,0,0,0.721379267095783,0
hpt_v2_1to1_switchlevel,topology1,10000,1,207,0,0,0.2,0,fixed_energy_command_through_controller_projection,1,1,1,hpt_sac_fixed_*,HPTSAC_action,HPTSAC_action,0,0,0.2,0,179.288809008655,0.320586207909912,0.866129512119107,0.12439835220335,-0.485115559517139,804.993344175541,200.739193500146,42.7798157643218,24,4,0.95,0,0,0.720200578309916,0,0,0,0.720200578309916,0,0,0,0.720200578309916,0
hpt_v2_1to1_switchlevel,topology1,10000,1,207,0,0,-0.2,0,fixed_energy_command_through_controller_projection,1,1,1,hpt_sac_fixed_*,HPTSAC_action,HPTSAC_action,0,0,-0.2,0,179.244923267069,0.208508662889358,0.865917503705647,0.0944333687195393,-0.305802324481607,800.071240707732,183.433604374058,17.8935969791294,24,4,0.95,0,0,0.723235027095869,0,0,0,0.723235027095869,0,0,0,0.723235027095869,0
hpt_v2_1to1_switchlevel,topology1,10000,1,207,0,0,0.4,0,fixed_energy_command_through_controller_projection,1,1,1,hpt_sac_fixed_*,HPTSAC_action,HPTSAC_action,0,0,0.4,0,179.192774279965,0.269543357521229,0.865665576231717,0.0927104191184325,-0.544163007928162,851.336394511805,203.804462754231,40.1591991062112,24,4,0.95,0,0,0.73385201570403,0,0,0,0.73385201570403,0,0,0,0.73385201570403,0
hpt_v2_1to1_switchlevel,topology1,10000,1,207,0,0,-0.4,0,fixed_energy_command_through_controller_projection,1,1,1,hpt_sac_fixed_*,HPTSAC_action,HPTSAC_action,0,0,-0.4,0,179.23766081634,0.200151326784862,0.865882419402608,0.0946380500709061,-0.3554764338122,800.071240707732,182.628682672337,16.6650739651077,24,4,0.95,0,0,0.722779810086432,0,0,0,0.722779810086432,0,0,0,0.722779810086432,0
hpt_v2_1to1_switchlevel,topology1,10000,1,207,0,0,0,0.2,fixed_energy_command_through_controller_projection,1,1,1,hpt_sac_fixed_*,HPTSAC_action,HPTSAC_action,0,0,0,0.2,179.129537404482,0.181253498700642,0.865360084079626,0.141729559420601,-0.178766928602389,809.913674361768,195.43416045308,24.4839994855233,24,4,0.95,0,0,0.647330873559662,0.199999999999997,0,0,0.647330873559662,0.199999999999997,0,0,0.647330873559662,0.199999999999997
hpt_v2_1to1_switchlevel,topology1,10000,1,207,0,0,0,-0.2,fixed_energy_command_through_controller_projection,1,1,1,hpt_sac_fixed_*,HPTSAC_action,HPTSAC_action,0,0,0,-0.2,179.229227526033,0.162718763188622,0.865841678869724,0.0792891680643763,-0.434927813951823,800.071240707732,182.918441478352,14.8199142684118,24,4,0.95,0,0,0.759217123948411,-0.199999999999997,0,0,0.759217123948411,-0.199999999999997,0,0,0.759217123948411,-0.199999999999997
