case_id,topology,fault_family,fault_phase_key,fault_pu,fault_phase_pu,duration_s,fault_start_s,fault_stop_margin_s,fault_settle_s,chopper_threshold,rchop_scale,actor_filter_tau,phase_override,model_path,promotion_level,split,notes,comparison_mode,base_model_path,dynamic_model_path
t1fam_lvrt_bal_rtselector_train_0850_040ms,topology1,LVRT,,0.850,,0.040,0.080,0.125,0.020,850.0,1.0,0.001,false,data/models/hpt_t1_lvrt_bal_family_sac_supportdataset_pilot_20260729.zip,family_runtime_selector_full,train,"Topology1 balanced LVRT family train point around center 0.90 pu / 60 ms. Runtime selector: base seed actor, dynamic deep LVRT actor.",sac_actor_depth_selector_raw,data/models/hpt_t1_l090_pre24_b60_down35_clk_dg3_dagger2.zip,data/models/hpt_t1_lvrt_bal_family_sac_supportdataset_pilot_20260729.zip
t1fam_lvrt_bal_rtselector_train_0850_060ms,topology1,LVRT,,0.850,,0.060,0.080,0.125,0.020,850.0,1.0,0.001,false,data/models/hpt_t1_lvrt_bal_family_sac_supportdataset_pilot_20260729.zip,family_runtime_selector_full,train,"Topology1 balanced LVRT family train point around center 0.90 pu / 60 ms. Runtime selector: base seed actor, dynamic deep LVRT actor.",sac_actor_depth_selector_raw,data/models/hpt_t1_l090_pre24_b60_down35_clk_dg3_dagger2.zip,data/models/hpt_t1_lvrt_bal_family_sac_supportdataset_pilot_20260729.zip
t1fam_lvrt_bal_rtselector_train_0850_080ms,topology1,LVRT,,0.850,,0.080,0.080,0.125,0.020,850.0,1.0,0.001,false,data/models/hpt_t1_lvrt_bal_family_sac_supportdataset_pilot_20260729.zip,family_runtime_selector_full,train,"Topology1 balanced LVRT family train point around center 0.90 pu / 60 ms. Runtime selector: base seed actor, dynamic deep LVRT actor.",sac_actor_depth_selector_raw,data/models/hpt_t1_l090_pre24_b60_down35_clk_dg3_dagger2.zip,data/models/hpt_t1_lvrt_bal_family_sac_supportdataset_pilot_20260729.zip
t1fam_lvrt_bal_rtselector_train_0900_040ms,topology1,LVRT,,0.900,,0.040,0.080,0.125,0.020,850.0,1.0,0.001,false,data/models/hpt_t1_lvrt_bal_family_sac_supportdataset_pilot_20260729.zip,family_runtime_selector_full,train,"Topology1 balanced LVRT family train point around center 0.90 pu / 60 ms. Runtime selector: base seed actor, dynamic deep LVRT actor.",sac_actor_depth_selector_raw,data/models/hpt_t1_l090_pre24_b60_down35_clk_dg3_dagger2.zip,data/models/hpt_t1_lvrt_bal_family_sac_supportdataset_pilot_20260729.zip
t1fam_lvrt_bal_rtselector_train_0900_060ms,topology1,LVRT,,0.900,,0.060,0.080,0.125,0.020,850.0,1.0,0.001,false,data/models/hpt_t1_lvrt_bal_family_sac_supportdataset_pilot_20260729.zip,family_runtime_selector_full,train,"Center case for topology1 balanced LVRT family. Runtime selector: base seed actor, dynamic deep LVRT actor.",sac_actor_depth_selector_raw,data/models/hpt_t1_l090_pre24_b60_down35_clk_dg3_dagger2.zip,data/models/hpt_t1_lvrt_bal_family_sac_supportdataset_pilot_20260729.zip
t1fam_lvrt_bal_rtselector_train_0900_080ms,topology1,LVRT,,0.900,,0.080,0.080,0.125,0.020,850.0,1.0,0.001,false,data/models/hpt_t1_lvrt_bal_family_sac_supportdataset_pilot_20260729.zip,family_runtime_selector_full,train,"Topology1 balanced LVRT family train point around center 0.90 pu / 60 ms. Runtime selector: base seed actor, dynamic deep LVRT actor.",sac_actor_depth_selector_raw,data/models/hpt_t1_l090_pre24_b60_down35_clk_dg3_dagger2.zip,data/models/hpt_t1_lvrt_bal_family_sac_supportdataset_pilot_20260729.zip
t1fam_lvrt_bal_rtselector_train_0950_040ms,topology1,LVRT,,0.950,,0.040,0.080,0.125,0.020,850.0,1.0,0.001,false,data/models/hpt_t1_lvrt_bal_family_sac_supportdataset_pilot_20260729.zip,family_runtime_selector_full,train,"Near-boundary mild undervoltage extension for topology1 balanced LVRT family. Runtime selector: base seed actor, dynamic deep LVRT actor.",sac_actor_depth_selector_raw,data/models/hpt_t1_l090_pre24_b60_down35_clk_dg3_dagger2.zip,data/models/hpt_t1_lvrt_bal_family_sac_supportdataset_pilot_20260729.zip
t1fam_lvrt_bal_rtselector_train_0950_060ms,topology1,LVRT,,0.950,,0.060,0.080,0.125,0.020,850.0,1.0,0.001,false,data/models/hpt_t1_lvrt_bal_family_sac_supportdataset_pilot_20260729.zip,family_runtime_selector_full,train,"Near-boundary mild undervoltage extension for topology1 balanced LVRT family. Runtime selector: base seed actor, dynamic deep LVRT actor.",sac_actor_depth_selector_raw,data/models/hpt_t1_l090_pre24_b60_down35_clk_dg3_dagger2.zip,data/models/hpt_t1_lvrt_bal_family_sac_supportdataset_pilot_20260729.zip
t1fam_lvrt_bal_rtselector_train_0950_080ms,topology1,LVRT,,0.950,,0.080,0.080,0.125,0.020,850.0,1.0,0.001,false,data/models/hpt_t1_lvrt_bal_family_sac_supportdataset_pilot_20260729.zip,family_runtime_selector_full,train,"Near-boundary mild undervoltage extension for topology1 balanced LVRT family. Runtime selector: base seed actor, dynamic deep LVRT actor.",sac_actor_depth_selector_raw,data/models/hpt_t1_l090_pre24_b60_down35_clk_dg3_dagger2.zip,data/models/hpt_t1_lvrt_bal_family_sac_supportdataset_pilot_20260729.zip
t1fam_lvrt_bal_rtselector_val_0875_100ms,topology1,LVRT,,0.875,,0.100,0.080,0.125,0.020,850.0,1.0,0.001,false,data/models/hpt_t1_lvrt_bal_family_sac_supportdataset_pilot_20260729.zip,family_runtime_selector_full,validation,"Interpolation-depth validation point with longer duration. Runtime selector: base seed actor, dynamic deep LVRT actor.",sac_actor_depth_selector_raw,data/models/hpt_t1_l090_pre24_b60_down35_clk_dg3_dagger2.zip,data/models/hpt_t1_lvrt_bal_family_sac_supportdataset_pilot_20260729.zip
t1fam_lvrt_bal_rtselector_val_0875_120ms,topology1,LVRT,,0.875,,0.120,0.080,0.125,0.020,850.0,1.0,0.001,false,data/models/hpt_t1_lvrt_bal_family_sac_supportdataset_pilot_20260729.zip,family_runtime_selector_full,validation,"Interpolation-depth validation point with longer duration. Runtime selector: base seed actor, dynamic deep LVRT actor.",sac_actor_depth_selector_raw,data/models/hpt_t1_l090_pre24_b60_down35_clk_dg3_dagger2.zip,data/models/hpt_t1_lvrt_bal_family_sac_supportdataset_pilot_20260729.zip
