case_id,topology,fault_family,fault_phase_key,fault_pu,fault_phase_pu,duration_s,fault_start_s,fault_stop_margin_s,fault_settle_s,chopper_threshold,rchop_scale,actor_filter_tau,phase_override,model_path,promotion_level,split,notes
t1fam_lvrt_bal_sacds_train_0850_040ms,topology1,LVRT,,0.850,,0.040,0.080,0.125,0.020,850.0,1.0,0.001,false,data/models/hpt_t1_lvrt_bal_family_sac_supportdataset_pilot_20260729.zip,family_sac_supportdataset_pilot_full,train,Topology1 balanced LVRT family support-dataset SAC full 19-case gate.
t1fam_lvrt_bal_sacds_train_0850_060ms,topology1,LVRT,,0.850,,0.060,0.080,0.125,0.020,850.0,1.0,0.001,false,data/models/hpt_t1_lvrt_bal_family_sac_supportdataset_pilot_20260729.zip,family_sac_supportdataset_pilot_full,train,Topology1 balanced LVRT family support-dataset SAC full 19-case gate.
t1fam_lvrt_bal_sacds_train_0850_080ms,topology1,LVRT,,0.850,,0.080,0.080,0.125,0.020,850.0,1.0,0.001,false,data/models/hpt_t1_lvrt_bal_family_sac_supportdataset_pilot_20260729.zip,family_sac_supportdataset_pilot_full,train,Topology1 balanced LVRT family support-dataset SAC full 19-case gate.
t1fam_lvrt_bal_sacds_train_0900_040ms,topology1,LVRT,,0.900,,0.040,0.080,0.125,0.020,850.0,1.0,0.001,false,data/models/hpt_t1_lvrt_bal_family_sac_supportdataset_pilot_20260729.zip,family_sac_supportdataset_pilot_full,train,Topology1 balanced LVRT family support-dataset SAC full 19-case gate.
t1fam_lvrt_bal_sacds_train_0900_060ms,topology1,LVRT,,0.900,,0.060,0.080,0.125,0.020,850.0,1.0,0.001,false,data/models/hpt_t1_lvrt_bal_family_sac_supportdataset_pilot_20260729.zip,family_sac_supportdataset_pilot_full,train,Topology1 balanced LVRT family support-dataset SAC full 19-case gate.
t1fam_lvrt_bal_sacds_train_0900_080ms,topology1,LVRT,,0.900,,0.080,0.080,0.125,0.020,850.0,1.0,0.001,false,data/models/hpt_t1_lvrt_bal_family_sac_supportdataset_pilot_20260729.zip,family_sac_supportdataset_pilot_full,train,Topology1 balanced LVRT family support-dataset SAC full 19-case gate.
t1fam_lvrt_bal_sacds_train_0950_040ms,topology1,LVRT,,0.950,,0.040,0.080,0.125,0.020,850.0,1.0,0.001,false,data/models/hpt_t1_lvrt_bal_family_sac_supportdataset_pilot_20260729.zip,family_sac_supportdataset_pilot_full,train,Topology1 balanced LVRT family support-dataset SAC full 19-case gate.
t1fam_lvrt_bal_sacds_train_0950_060ms,topology1,LVRT,,0.950,,0.060,0.080,0.125,0.020,850.0,1.0,0.001,false,data/models/hpt_t1_lvrt_bal_family_sac_supportdataset_pilot_20260729.zip,family_sac_supportdataset_pilot_full,train,Topology1 balanced LVRT family support-dataset SAC full 19-case gate.
t1fam_lvrt_bal_sacds_train_0950_080ms,topology1,LVRT,,0.950,,0.080,0.080,0.125,0.020,850.0,1.0,0.001,false,data/models/hpt_t1_lvrt_bal_family_sac_supportdataset_pilot_20260729.zip,family_sac_supportdataset_pilot_full,train,Topology1 balanced LVRT family support-dataset SAC full 19-case gate.
t1fam_lvrt_bal_sacds_val_0875_100ms,topology1,LVRT,,0.875,,0.100,0.080,0.125,0.020,850.0,1.0,0.001,false,data/models/hpt_t1_lvrt_bal_family_sac_supportdataset_pilot_20260729.zip,family_sac_supportdataset_pilot_full,validation,Topology1 balanced LVRT family support-dataset SAC full 19-case gate.
t1fam_lvrt_bal_sacds_val_0875_120ms,topology1,LVRT,,0.875,,0.120,0.080,0.125,0.020,850.0,1.0,0.001,false,data/models/hpt_t1_lvrt_bal_family_sac_supportdataset_pilot_20260729.zip,family_sac_supportdataset_pilot_full,validation,Topology1 balanced LVRT family support-dataset SAC full 19-case gate.
