family,topology,category,phase_key,child_run_id,case_pair,command,returncode,run_dir,csv,status,dq_voltage_survival_pass,dq_control_score,dq_vdc_min,dq_vdc_max,dq_grid_current_peak_pu,dq_envelope_violation_max_pu,dq_recovery_violation_max_pu,dq_fault_lv_band_violation_max_pu,dq_voltage_survival_reason,seed_voltage_survival_pass,seed_control_score,seed_vdc_min,seed_vdc_max,seed_grid_current_peak_pu,seed_envelope_violation_max_pu,seed_recovery_violation_max_pu,seed_fault_lv_band_violation_max_pu,seed_voltage_survival_reason,sac_voltage_survival_pass,sac_control_score,sac_vdc_min,sac_vdc_max,sac_grid_current_peak_pu,sac_envelope_violation_max_pu,sac_recovery_violation_max_pu,sac_fault_lv_band_violation_max_pu,sac_voltage_survival_reason
t1_bal_lvrt,topology1,LVRT,abc,hpt_dcsafe_12family_center_20260801_r1_t1_bal_lvrt,0.900:60,C:\Users\m1391\AppData\Local\Programs\Python\Python38\python.exe -m version_2.sac.campaigns.run_hpt_t2_balanced_lvrt_dq_seeded_boundary --run-id hpt_dcsafe_12family_center_20260801_r1_t1_bal_lvrt --topology topology1 --category LVRT --phase-key abc --case-pairs 0.900:60 --bc-epochs 180 --sac-steps 40 --fault-start-s 0.08 --anchor-min-time-s 0.02 --actor-filter-tau 0.001 --sac-learning-rate 5e-9 --sac-support-weight 80000 --sac-vdc-bounds-weight 120000 --sac-vdc-margin-weight 180000 --sac-vdc-margin-pu 0.06 --sac-proxy-vdc-downshift-pu 0.04 --sac-behavior-anchor-interval-steps 20,0,E:\research_space\Hybrid-power-transformer\lab\results\hpt_dcsafe_12family_center_20260801_r1_t1_bal_lvrt,E:\research_space\Hybrid-power-transformer\lab\results\hpt_dcsafe_12family_center_20260801_r1_t1_bal_lvrt\boundary_comparison_rows.csv,ok,1,101.773203430803,720.022310732596,863.066892699751,1.3078839473016,0,0,0,,0,103.283309389224,799.990922500236,864.231054133723,1.32290542790025,0.00261941919591158,0,0,timestep_voltage_envelope,0,103.289537056038,799.990922500236,864.641792498901,1.32185638956145,0.00499438515777917,0,0,timestep_voltage_envelope
t1_a_lvrt,topology1,LVRT,a,hpt_dcsafe_12family_center_20260801_r1_t1_a_lvrt,0.900:60,C:\Users\m1391\AppData\Local\Programs\Python\Python38\python.exe -m version_2.sac.campaigns.run_hpt_t2_balanced_lvrt_dq_seeded_boundary --run-id hpt_dcsafe_12family_center_20260801_r1_t1_a_lvrt --topology topology1 --category LVRT --phase-key a --case-pairs 0.900:60 --bc-epochs 180 --sac-steps 40 --fault-start-s 0.08 --anchor-min-time-s 0.02 --actor-filter-tau 0.001 --sac-learning-rate 5e-9 --sac-support-weight 80000 --sac-vdc-bounds-weight 120000 --sac-vdc-margin-weight 180000 --sac-vdc-margin-pu 0.06 --sac-proxy-vdc-downshift-pu 0.04 --sac-behavior-anchor-interval-steps 20,0,E:\research_space\Hybrid-power-transformer\lab\results\hpt_dcsafe_12family_center_20260801_r1_t1_a_lvrt,E:\research_space\Hybrid-power-transformer\lab\results\hpt_dcsafe_12family_center_20260801_r1_t1_a_lvrt\boundary_comparison_rows.csv,ok,1,101.286574293452,720.022310732596,863.902035885528,1.3078839473016,0,0,0,,1,101.541842801595,799.990922500236,865.202638087756,1.32868661392741,0,0,0,,1,101.497594981601,799.990922500236,865.940528433589,1.3289442952957,0,0,0,
t1_ab_lvrt,topology1,LVRT,ab,hpt_dcsafe_12family_center_20260801_r1_t1_ab_lvrt,0.900:60,C:\Users\m1391\AppData\Local\Programs\Python\Python38\python.exe -m version_2.sac.campaigns.run_hpt_t2_balanced_lvrt_dq_seeded_boundary --run-id hpt_dcsafe_12family_center_20260801_r1_t1_ab_lvrt --topology topology1 --category LVRT --phase-key ab --case-pairs 0.900:60 --bc-epochs 180 --sac-steps 40 --fault-start-s 0.08 --anchor-min-time-s 0.02 --actor-filter-tau 0.001 --sac-learning-rate 5e-9 --sac-support-weight 80000 --sac-vdc-bounds-weight 120000 --sac-vdc-margin-weight 180000 --sac-vdc-margin-pu 0.06 --sac-proxy-vdc-downshift-pu 0.04 --sac-behavior-anchor-interval-steps 20,0,E:\research_space\Hybrid-power-transformer\lab\results\hpt_dcsafe_12family_center_20260801_r1_t1_ab_lvrt,E:\research_space\Hybrid-power-transformer\lab\results\hpt_dcsafe_12family_center_20260801_r1_t1_ab_lvrt\boundary_comparison_rows.csv,ok,1,101.549689724085,720.022310732596,863.066892699751,1.31508661277541,0,0,0,,1,102.174042195447,799.990922500236,864.721568791044,1.32655983942621,0,0,0,,1,102.219592040771,799.990922500236,864.955963682766,1.32576401361721,0,0,0,
t1_bal_hvrt,topology1,HVRT,abc,hpt_dcsafe_12family_center_20260801_r1_t1_bal_hvrt,1.100:60,C:\Users\m1391\AppData\Local\Programs\Python\Python38\python.exe -m version_2.sac.campaigns.run_hpt_t2_balanced_lvrt_dq_seeded_boundary --run-id hpt_dcsafe_12family_center_20260801_r1_t1_bal_hvrt --topology topology1 --category HVRT --phase-key abc --case-pairs 1.100:60 --bc-epochs 180 --sac-steps 40 --fault-start-s 0.08 --anchor-min-time-s 0.02 --actor-filter-tau 0.001 --sac-learning-rate 5e-9 --sac-support-weight 80000 --sac-vdc-bounds-weight 120000 --sac-vdc-margin-weight 180000 --sac-vdc-margin-pu 0.06 --sac-proxy-vdc-downshift-pu 0.04 --sac-behavior-anchor-interval-steps 20,0,E:\research_space\Hybrid-power-transformer\lab\results\hpt_dcsafe_12family_center_20260801_r1_t1_bal_hvrt,E:\research_space\Hybrid-power-transformer\lab\results\hpt_dcsafe_12family_center_20260801_r1_t1_bal_hvrt\boundary_comparison_rows.csv,ok,1,100.791153475465,720.022310732596,907.639401752358,1.33758117110249,0,0,0,,1,102.10029079117,799.990922500236,876.911804978493,1.37906560701534,0,0,0,,1,102.163902341672,799.990922500236,877.291121063341,1.38086348500134,0,0,0,
t1_a_hvrt,topology1,HVRT,a,hpt_dcsafe_12family_center_20260801_r1_t1_a_hvrt,1.100:60,C:\Users\m1391\AppData\Local\Programs\Python\Python38\python.exe -m version_2.sac.campaigns.run_hpt_t2_balanced_lvrt_dq_seeded_boundary --run-id hpt_dcsafe_12family_center_20260801_r1_t1_a_hvrt --topology topology1 --category HVRT --phase-key a --case-pairs 1.100:60 --bc-epochs 180 --sac-steps 40 --fault-start-s 0.08 --anchor-min-time-s 0.02 --actor-filter-tau 0.001 --sac-learning-rate 5e-9 --sac-support-weight 80000 --sac-vdc-bounds-weight 120000 --sac-vdc-margin-weight 180000 --sac-vdc-margin-pu 0.06 --sac-proxy-vdc-downshift-pu 0.04 --sac-behavior-anchor-interval-steps 20,0,E:\research_space\Hybrid-power-transformer\lab\results\hpt_dcsafe_12family_center_20260801_r1_t1_a_hvrt,E:\research_space\Hybrid-power-transformer\lab\results\hpt_dcsafe_12family_center_20260801_r1_t1_a_hvrt\boundary_comparison_rows.csv,ok,1,101.060917144815,720.022310732596,869.142616165358,1.37576774587292,0,0,0,,1,101.722880529744,799.990922500236,866.718708145982,1.38881273272403,0,0,0,,1,101.806632779399,799.990922500236,866.484547084016,1.38942305824869,0,0,0,
t1_ab_hvrt,topology1,HVRT,ab,hpt_dcsafe_12family_center_20260801_r1_t1_ab_hvrt,1.100:60,C:\Users\m1391\AppData\Local\Programs\Python\Python38\python.exe -m version_2.sac.campaigns.run_hpt_t2_balanced_lvrt_dq_seeded_boundary --run-id hpt_dcsafe_12family_center_20260801_r1_t1_ab_hvrt --topology topology1 --category HVRT --phase-key ab --case-pairs 1.100:60 --bc-epochs 180 --sac-steps 40 --fault-start-s 0.08 --anchor-min-time-s 0.02 --actor-filter-tau 0.001 --sac-learning-rate 5e-9 --sac-support-weight 80000 --sac-vdc-bounds-weight 120000 --sac-vdc-margin-weight 180000 --sac-vdc-margin-pu 0.06 --sac-proxy-vdc-downshift-pu 0.04 --sac-behavior-anchor-interval-steps 20,0,E:\research_space\Hybrid-power-transformer\lab\results\hpt_dcsafe_12family_center_20260801_r1_t1_ab_hvrt,E:\research_space\Hybrid-power-transformer\lab\results\hpt_dcsafe_12family_center_20260801_r1_t1_ab_hvrt\boundary_comparison_rows.csv,ok,1,100.74803139505,720.022310732596,890.06565712338,1.35007080171154,0,0,0,,1,101.880514491479,799.990922500236,868.404322982275,1.38970469044887,0,0,0,,1,101.833351569791,799.990922500236,868.639227416152,1.39170549855929,0,0,0,
t2_bal_lvrt,topology2,LVRT,abc,hpt_dcsafe_12family_center_20260801_r1_t2_bal_lvrt,0.900:60,C:\Users\m1391\AppData\Local\Programs\Python\Python38\python.exe -m version_2.sac.campaigns.run_hpt_t2_balanced_lvrt_dq_seeded_boundary --run-id hpt_dcsafe_12family_center_20260801_r1_t2_bal_lvrt --topology topology2 --category LVRT --phase-key abc --case-pairs 0.900:60 --bc-epochs 180 --sac-steps 40 --fault-start-s 0.08 --anchor-min-time-s 0.02 --actor-filter-tau 0.001 --sac-learning-rate 5e-9 --sac-support-weight 80000 --sac-vdc-bounds-weight 120000 --sac-vdc-margin-weight 180000 --sac-vdc-margin-pu 0.06 --sac-proxy-vdc-downshift-pu 0.04 --sac-behavior-anchor-interval-steps 20,0,E:\research_space\Hybrid-power-transformer\lab\results\hpt_dcsafe_12family_center_20260801_r1_t2_bal_lvrt,E:\research_space\Hybrid-power-transformer\lab\results\hpt_dcsafe_12family_center_20260801_r1_t2_bal_lvrt\boundary_comparison_rows.csv,ok,0,108.824669942555,799.726215904551,977.392339129142,1.53996192050702,0,0,0,grid_current_limit,0,111.826119495121,799.99092235481,956.864490592087,1.4495707096368,0.00575600262788978,0,0,timestep_voltage_envelope,0,110.352880845233,799.99092235481,949.45513153136,1.44745976350546,0.00723805774421205,0,0,timestep_voltage_envelope
t2_a_lvrt,topology2,LVRT,a,hpt_dcsafe_12family_center_20260801_r1_t2_a_lvrt,0.900:60,C:\Users\m1391\AppData\Local\Programs\Python\Python38\python.exe -m version_2.sac.campaigns.run_hpt_t2_balanced_lvrt_dq_seeded_boundary --run-id hpt_dcsafe_12family_center_20260801_r1_t2_a_lvrt --topology topology2 --category LVRT --phase-key a --case-pairs 0.900:60 --bc-epochs 180 --sac-steps 40 --fault-start-s 0.08 --anchor-min-time-s 0.02 --actor-filter-tau 0.001 --sac-learning-rate 5e-9 --sac-support-weight 80000 --sac-vdc-bounds-weight 120000 --sac-vdc-margin-weight 180000 --sac-vdc-margin-pu 0.06 --sac-proxy-vdc-downshift-pu 0.04 --sac-behavior-anchor-interval-steps 20,0,E:\research_space\Hybrid-power-transformer\lab\results\hpt_dcsafe_12family_center_20260801_r1_t2_a_lvrt,E:\research_space\Hybrid-power-transformer\lab\results\hpt_dcsafe_12family_center_20260801_r1_t2_a_lvrt\boundary_comparison_rows.csv,ok,0,102.600689148561,799.726215904551,977.392339129142,1.53996192050702,0,0,0,grid_current_limit,1,101.23138331327,799.99092235481,931.533849184646,1.4280925350634,0,0,0,,1,101.042761802556,799.99092235481,932.446682562815,1.42849771170474,0,0,0,
t2_ab_lvrt,topology2,LVRT,ab,hpt_dcsafe_12family_center_20260801_r1_t2_ab_lvrt,0.900:60,C:\Users\m1391\AppData\Local\Programs\Python\Python38\python.exe -m version_2.sac.campaigns.run_hpt_t2_balanced_lvrt_dq_seeded_boundary --run-id hpt_dcsafe_12family_center_20260801_r1_t2_ab_lvrt --topology topology2 --category LVRT --phase-key ab --case-pairs 0.900:60 --bc-epochs 180 --sac-steps 40 --fault-start-s 0.08 --anchor-min-time-s 0.02 --actor-filter-tau 0.001 --sac-learning-rate 5e-9 --sac-support-weight 80000 --sac-vdc-bounds-weight 120000 --sac-vdc-margin-weight 180000 --sac-vdc-margin-pu 0.06 --sac-proxy-vdc-downshift-pu 0.04 --sac-behavior-anchor-interval-steps 20,0,E:\research_space\Hybrid-power-transformer\lab\results\hpt_dcsafe_12family_center_20260801_r1_t2_ab_lvrt,E:\research_space\Hybrid-power-transformer\lab\results\hpt_dcsafe_12family_center_20260801_r1_t2_ab_lvrt\boundary_comparison_rows.csv,ok,0,102.834630955732,799.726215904551,977.392339129142,1.53996192050702,0,0,0,grid_current_limit,1,109.481004426205,799.99092235481,938.682966254557,1.42384410260829,0,0,0,,1,108.773446308626,799.99092235481,941.542494159145,1.42572920560352,0,0,0,
t2_bal_hvrt,topology2,HVRT,abc,hpt_dcsafe_12family_center_20260801_r1_t2_bal_hvrt,1.100:60,C:\Users\m1391\AppData\Local\Programs\Python\Python38\python.exe -m version_2.sac.campaigns.run_hpt_t2_balanced_lvrt_dq_seeded_boundary --run-id hpt_dcsafe_12family_center_20260801_r1_t2_bal_hvrt --topology topology2 --category HVRT --phase-key abc --case-pairs 1.100:60 --bc-epochs 180 --sac-steps 40 --fault-start-s 0.08 --anchor-min-time-s 0.02 --actor-filter-tau 0.001 --sac-learning-rate 5e-9 --sac-support-weight 80000 --sac-vdc-bounds-weight 120000 --sac-vdc-margin-weight 180000 --sac-vdc-margin-pu 0.06 --sac-proxy-vdc-downshift-pu 0.04 --sac-behavior-anchor-interval-steps 20,0,E:\research_space\Hybrid-power-transformer\lab\results\hpt_dcsafe_12family_center_20260801_r1_t2_bal_hvrt,E:\research_space\Hybrid-power-transformer\lab\results\hpt_dcsafe_12family_center_20260801_r1_t2_bal_hvrt\boundary_comparison_rows.csv,ok,0,102.648494972964,799.726215904551,977.392339129142,1.53996192050702,0,0,0,grid_current_limit,1,101.49079265286,799.99092235481,997.905830501709,1.41085985235586,0,0,0,,1,101.36045591157,799.99092235481,987.831164560378,1.4150347495763,0,0,0,
