family,topology,category,phase_key,child_run_id,depths,durations_ms,command,returncode,run_dir,csv,status,n_cases,dq_pass_count,dq_score_mean,seed_pass_count,seed_score_mean,sac_pass_count,sac_score_mean,sac_pass_dq_fail_count,sac_score_beats_dq_count,sac_score_beats_seed_count
t1_bal_lvrt,topology1,LVRT,abc,hpt_dcsafe_12family_reduced2x2_20260801_r1_t1_bal_lvrt,"0.875,0.9","60,100","C:\Users\m1391\AppData\Local\Programs\Python\Python38\python.exe -m version_2.sac.campaigns.run_hpt_t2_balanced_lvrt_dq_seeded_boundary --run-id hpt_dcsafe_12family_reduced2x2_20260801_r1_t1_bal_lvrt --topology topology1 --category LVRT --phase-key abc --depths 0.875,0.9 --durations-ms 60,100 --bc-epochs 180 --sac-steps 40 --fault-start-s 0.08 --anchor-min-time-s 0.02 --actor-filter-tau 0.001 --sac-learning-rate 5e-9 --sac-support-weight 80000 --sac-vdc-bounds-weight 120000 --sac-vdc-margin-weight 180000 --sac-vdc-margin-pu 0.06 --sac-proxy-vdc-downshift-pu 0.04 --sac-behavior-anchor-interval-steps 20",0,E:\research_space\Hybrid-power-transformer\lab\results\hpt_dcsafe_12family_reduced2x2_20260801_r1_t1_bal_lvrt,E:\research_space\Hybrid-power-transformer\lab\results\hpt_dcsafe_12family_reduced2x2_20260801_r1_t1_bal_lvrt\boundary_comparison_rows.csv,ok,4,8,118.37663640162651,3,125.10453774906351,3,125.24273260362,0,0,1
t1_a_lvrt,topology1,LVRT,a,hpt_dcsafe_12family_reduced2x2_20260801_r1_t1_a_lvrt,"0.875,0.9","60,100","C:\Users\m1391\AppData\Local\Programs\Python\Python38\python.exe -m version_2.sac.campaigns.run_hpt_t2_balanced_lvrt_dq_seeded_boundary --run-id hpt_dcsafe_12family_reduced2x2_20260801_r1_t1_a_lvrt --topology topology1 --category LVRT --phase-key a --depths 0.875,0.9 --durations-ms 60,100 --bc-epochs 180 --sac-steps 40 --fault-start-s 0.08 --anchor-min-time-s 0.02 --actor-filter-tau 0.001 --sac-learning-rate 5e-9 --sac-support-weight 80000 --sac-vdc-bounds-weight 120000 --sac-vdc-margin-weight 180000 --sac-vdc-margin-pu 0.06 --sac-proxy-vdc-downshift-pu 0.04 --sac-behavior-anchor-interval-steps 20",0,E:\research_space\Hybrid-power-transformer\lab\results\hpt_dcsafe_12family_reduced2x2_20260801_r1_t1_a_lvrt,E:\research_space\Hybrid-power-transformer\lab\results\hpt_dcsafe_12family_reduced2x2_20260801_r1_t1_a_lvrt\boundary_comparison_rows.csv,ok,4,8,119.83017885371125,4,123.11190612378725,4,123.1812549776835,0,0,2
t1_ab_lvrt,topology1,LVRT,ab,hpt_dcsafe_12family_reduced2x2_20260801_r1_t1_ab_lvrt,"0.875,0.9","60,100","C:\Users\m1391\AppData\Local\Programs\Python\Python38\python.exe -m version_2.sac.campaigns.run_hpt_t2_balanced_lvrt_dq_seeded_boundary --run-id hpt_dcsafe_12family_reduced2x2_20260801_r1_t1_ab_lvrt --topology topology1 --category LVRT --phase-key ab --depths 0.875,0.9 --durations-ms 60,100 --bc-epochs 180 --sac-steps 40 --fault-start-s 0.08 --anchor-min-time-s 0.02 --actor-filter-tau 0.001 --sac-learning-rate 5e-9 --sac-support-weight 80000 --sac-vdc-bounds-weight 120000 --sac-vdc-margin-weight 180000 --sac-vdc-margin-pu 0.06 --sac-proxy-vdc-downshift-pu 0.04 --sac-behavior-anchor-interval-steps 20",0,E:\research_space\Hybrid-power-transformer\lab\results\hpt_dcsafe_12family_reduced2x2_20260801_r1_t1_ab_lvrt,E:\research_space\Hybrid-power-transformer\lab\results\hpt_dcsafe_12family_reduced2x2_20260801_r1_t1_ab_lvrt\boundary_comparison_rows.csv,ok,4,8,121.51984169213048,4,123.99552046366276,4,124.0041870469945,0,0,1
t1_bal_hvrt,topology1,HVRT,abc,hpt_dcsafe_12family_reduced2x2_20260801_r1_t1_bal_hvrt,"1.1,1.15","60,100","C:\Users\m1391\AppData\Local\Programs\Python\Python38\python.exe -m version_2.sac.campaigns.run_hpt_t2_balanced_lvrt_dq_seeded_boundary --run-id hpt_dcsafe_12family_reduced2x2_20260801_r1_t1_bal_hvrt --topology topology1 --category HVRT --phase-key abc --depths 1.1,1.15 --durations-ms 60,100 --bc-epochs 180 --sac-steps 40 --fault-start-s 0.08 --anchor-min-time-s 0.02 --actor-filter-tau 0.001 --sac-learning-rate 5e-9 --sac-support-weight 80000 --sac-vdc-bounds-weight 120000 --sac-vdc-margin-weight 180000 --sac-vdc-margin-pu 0.06 --sac-proxy-vdc-downshift-pu 0.04 --sac-behavior-anchor-interval-steps 20",0,E:\research_space\Hybrid-power-transformer\lab\results\hpt_dcsafe_12family_reduced2x2_20260801_r1_t1_bal_hvrt,E:\research_space\Hybrid-power-transformer\lab\results\hpt_dcsafe_12family_reduced2x2_20260801_r1_t1_bal_hvrt\boundary_comparison_rows.csv,ok,4,8,116.0712487415325,4,113.400109995234,4,113.39232696761675,0,2,1
t1_a_hvrt,topology1,HVRT,a,hpt_dcsafe_12family_reduced2x2_20260801_r1_t1_a_hvrt,"1.1,1.15","60,100","C:\Users\m1391\AppData\Local\Programs\Python\Python38\python.exe -m version_2.sac.campaigns.run_hpt_t2_balanced_lvrt_dq_seeded_boundary --run-id hpt_dcsafe_12family_reduced2x2_20260801_r1_t1_a_hvrt --topology topology1 --category HVRT --phase-key a --depths 1.1,1.15 --durations-ms 60,100 --bc-epochs 180 --sac-steps 40 --fault-start-s 0.08 --anchor-min-time-s 0.02 --actor-filter-tau 0.001 --sac-learning-rate 5e-9 --sac-support-weight 80000 --sac-vdc-bounds-weight 120000 --sac-vdc-margin-weight 180000 --sac-vdc-margin-pu 0.06 --sac-proxy-vdc-downshift-pu 0.04 --sac-behavior-anchor-interval-steps 20",0,E:\research_space\Hybrid-power-transformer\lab\results\hpt_dcsafe_12family_reduced2x2_20260801_r1_t1_a_hvrt,E:\research_space\Hybrid-power-transformer\lab\results\hpt_dcsafe_12family_reduced2x2_20260801_r1_t1_a_hvrt\boundary_comparison_rows.csv,ok,4,8,100.88476208988476,4,101.66665775601126,4,101.23395641310276,0,2,3
t1_ab_hvrt,topology1,HVRT,ab,hpt_dcsafe_12family_reduced2x2_20260801_r1_t1_ab_hvrt,"1.1,1.15","60,100","C:\Users\m1391\AppData\Local\Programs\Python\Python38\python.exe -m version_2.sac.campaigns.run_hpt_t2_balanced_lvrt_dq_seeded_boundary --run-id hpt_dcsafe_12family_reduced2x2_20260801_r1_t1_ab_hvrt --topology topology1 --category HVRT --phase-key ab --depths 1.1,1.15 --durations-ms 60,100 --bc-epochs 180 --sac-steps 40 --fault-start-s 0.08 --anchor-min-time-s 0.02 --actor-filter-tau 0.001 --sac-learning-rate 5e-9 --sac-support-weight 80000 --sac-vdc-bounds-weight 120000 --sac-vdc-margin-weight 180000 --sac-vdc-margin-pu 0.06 --sac-proxy-vdc-downshift-pu 0.04 --sac-behavior-anchor-interval-steps 20",0,E:\research_space\Hybrid-power-transformer\lab\results\hpt_dcsafe_12family_reduced2x2_20260801_r1_t1_ab_hvrt,E:\research_space\Hybrid-power-transformer\lab\results\hpt_dcsafe_12family_reduced2x2_20260801_r1_t1_ab_hvrt\boundary_comparison_rows.csv,ok,4,8,107.940015393275,4,107.27756872255,4,105.87163278443175,0,1,4
t2_bal_lvrt,topology2,LVRT,abc,hpt_dcsafe_12family_reduced2x2_20260801_r1_t2_bal_lvrt,"0.875,0.9","60,100","C:\Users\m1391\AppData\Local\Programs\Python\Python38\python.exe -m version_2.sac.campaigns.run_hpt_t2_balanced_lvrt_dq_seeded_boundary --run-id hpt_dcsafe_12family_reduced2x2_20260801_r1_t2_bal_lvrt --topology topology2 --category LVRT --phase-key abc --depths 0.875,0.9 --durations-ms 60,100 --bc-epochs 180 --sac-steps 40 --fault-start-s 0.08 --anchor-min-time-s 0.02 --actor-filter-tau 0.001 --sac-learning-rate 5e-9 --sac-support-weight 80000 --sac-vdc-bounds-weight 120000 --sac-vdc-margin-weight 180000 --sac-vdc-margin-pu 0.06 --sac-proxy-vdc-downshift-pu 0.04 --sac-behavior-anchor-interval-steps 20",0,E:\research_space\Hybrid-power-transformer\lab\results\hpt_dcsafe_12family_reduced2x2_20260801_r1_t2_bal_lvrt,E:\research_space\Hybrid-power-transformer\lab\results\hpt_dcsafe_12family_reduced2x2_20260801_r1_t2_bal_lvrt\boundary_comparison_rows.csv,ok,4,0,113.607926551693,1,115.63863971893025,1,114.70497778136975,1,0,3
t2_a_lvrt,topology2,LVRT,a,hpt_dcsafe_12family_reduced2x2_20260801_r1_t2_a_lvrt,"0.875,0.9","60,100","C:\Users\m1391\AppData\Local\Programs\Python\Python38\python.exe -m version_2.sac.campaigns.run_hpt_t2_balanced_lvrt_dq_seeded_boundary --run-id hpt_dcsafe_12family_reduced2x2_20260801_r1_t2_a_lvrt --topology topology2 --category LVRT --phase-key a --depths 0.875,0.9 --durations-ms 60,100 --bc-epochs 180 --sac-steps 40 --fault-start-s 0.08 --anchor-min-time-s 0.02 --actor-filter-tau 0.001 --sac-learning-rate 5e-9 --sac-support-weight 80000 --sac-vdc-bounds-weight 120000 --sac-vdc-margin-weight 180000 --sac-vdc-margin-pu 0.06 --sac-proxy-vdc-downshift-pu 0.04 --sac-behavior-anchor-interval-steps 20",0,E:\research_space\Hybrid-power-transformer\lab\results\hpt_dcsafe_12family_reduced2x2_20260801_r1_t2_a_lvrt,E:\research_space\Hybrid-power-transformer\lab\results\hpt_dcsafe_12family_reduced2x2_20260801_r1_t2_a_lvrt\boundary_comparison_rows.csv,ok,4,0,107.08046849602403,4,106.02209797434949,4,105.7179791013365,4,4,2
t2_ab_lvrt,topology2,LVRT,ab,hpt_dcsafe_12family_reduced2x2_20260801_r1_t2_ab_lvrt,"0.875,0.9","60,100","C:\Users\m1391\AppData\Local\Programs\Python\Python38\python.exe -m version_2.sac.campaigns.run_hpt_t2_balanced_lvrt_dq_seeded_boundary --run-id hpt_dcsafe_12family_reduced2x2_20260801_r1_t2_ab_lvrt --topology topology2 --category LVRT --phase-key ab --depths 0.875,0.9 --durations-ms 60,100 --bc-epochs 180 --sac-steps 40 --fault-start-s 0.08 --anchor-min-time-s 0.02 --actor-filter-tau 0.001 --sac-learning-rate 5e-9 --sac-support-weight 80000 --sac-vdc-bounds-weight 120000 --sac-vdc-margin-weight 180000 --sac-vdc-margin-pu 0.06 --sac-proxy-vdc-downshift-pu 0.04 --sac-behavior-anchor-interval-steps 20",0,E:\research_space\Hybrid-power-transformer\lab\results\hpt_dcsafe_12family_reduced2x2_20260801_r1_t2_ab_lvrt,E:\research_space\Hybrid-power-transformer\lab\results\hpt_dcsafe_12family_reduced2x2_20260801_r1_t2_ab_lvrt\boundary_comparison_rows.csv,ok,4,0,108.33895922690776,4,111.65940845824225,4,110.22121409845126,4,1,2
t2_bal_hvrt,topology2,HVRT,abc,hpt_dcsafe_12family_reduced2x2_20260801_r1_t2_bal_hvrt,"1.1,1.15","60,100","C:\Users\m1391\AppData\Local\Programs\Python\Python38\python.exe -m version_2.sac.campaigns.run_hpt_t2_balanced_lvrt_dq_seeded_boundary --run-id hpt_dcsafe_12family_reduced2x2_20260801_r1_t2_bal_hvrt --topology topology2 --category HVRT --phase-key abc --depths 1.1,1.15 --durations-ms 60,100 --bc-epochs 180 --sac-steps 40 --fault-start-s 0.08 --anchor-min-time-s 0.02 --actor-filter-tau 0.001 --sac-learning-rate 5e-9 --sac-support-weight 80000 --sac-vdc-bounds-weight 120000 --sac-vdc-margin-weight 180000 --sac-vdc-margin-pu 0.06 --sac-proxy-vdc-downshift-pu 0.04 --sac-behavior-anchor-interval-steps 20",0,E:\research_space\Hybrid-power-transformer\lab\results\hpt_dcsafe_12family_reduced2x2_20260801_r1_t2_bal_hvrt,E:\research_space\Hybrid-power-transformer\lab\results\hpt_dcsafe_12family_reduced2x2_20260801_r1_t2_bal_hvrt\boundary_comparison_rows.csv,ok,4,0,106.13764931494124,2,106.12017859589724,2,105.527258314318,2,3,3
t2_a_hvrt,topology2,HVRT,a,hpt_dcsafe_12family_reduced2x2_20260801_r1_t2_a_hvrt,"1.1,1.15","60,100","C:\Users\m1391\AppData\Local\Programs\Python\Python38\python.exe -m version_2.sac.campaigns.run_hpt_t2_balanced_lvrt_dq_seeded_boundary --run-id hpt_dcsafe_12family_reduced2x2_20260801_r1_t2_a_hvrt --topology topology2 --category HVRT --phase-key a --depths 1.1,1.15 --durations-ms 60,100 --bc-epochs 180 --sac-steps 40 --fault-start-s 0.08 --anchor-min-time-s 0.02 --actor-filter-tau 0.001 --sac-learning-rate 5e-9 --sac-support-weight 80000 --sac-vdc-bounds-weight 120000 --sac-vdc-margin-weight 180000 --sac-vdc-margin-pu 0.06 --sac-proxy-vdc-downshift-pu 0.04 --sac-behavior-anchor-interval-steps 20",0,E:\research_space\Hybrid-power-transformer\lab\results\hpt_dcsafe_12family_reduced2x2_20260801_r1_t2_a_hvrt,E:\research_space\Hybrid-power-transformer\lab\results\hpt_dcsafe_12family_reduced2x2_20260801_r1_t2_a_hvrt\boundary_comparison_rows.csv,ok,4,0,102.46717272422876,4,100.48442681412376,4,100.3459161333685,4,4,3
