case_id,case_name,topology,fault_family,fault_pu,duration_s,duration_ms,phase_mode,phase_rank,fault_phase_key,fault_phase_pu,fault_start_s,fault_stop_margin_s,fault_settle_s,chopper_threshold,rchop_scale,actor_filter_tau,phase_override,model_path,nearest_actor_case_id,nearest_actor_note,nearest_actor_exact,promotion_scope
promoted_topology1_balanced_lvrt090_60ms,balanced_lvrt090_60ms,topology1,LVRT,0.900,0.060,60,balanced,balanced,,,0.080,0.125,0.020,850.0,1.0,0.001,false,data/models/hpt_t1_l090_pre24_b60_down35_clk_dg3_dagger2.zip,topology1_lvrt090_60ms_gridobs_clock,stage2_unchanged,true,protected_sac_round1_recheck
promoted_topology1_balanced_hvrt110_60ms,balanced_hvrt110_60ms,topology1,HVRT,1.100,0.060,60,balanced,balanced,,,0.080,0.125,0.020,850.0,1.0,0.001,false,data/models/hpt_t1_hvrt110_const249_current_iface_actor_20260722_bc0.zip,topology1_hvrt110_60ms_current_iface_const249,stage2_unchanged,true,protected_sac_round1_recheck
promoted_topology2_balanced_lvrt090_60ms,balanced_lvrt090_60ms,topology2,LVRT,0.900,0.060,60,balanced,balanced,,,0.080,0.125,0.020,780.0,0.65,0.0,true,data/models/hpt_t2_lvrt090_fr052_rr016_re008_phase_nonoise_actor_20260722_bc0.zip,topology2_lvrt090_60ms_phase_nonoise_retrain,stage2_unchanged,true,protected_sac_round1_recheck
promoted_topology2_balanced_hvrt110_60ms,balanced_hvrt110_60ms,topology2,HVRT,1.100,0.060,60,balanced,balanced,,,0.080,0.125,0.020,780.0,0.65,0.001,false,data/models/hpt_trustregion_promotion_20260726_round1_04_topology2_hvrt110_60ms_balanced_retrain_chunk01.zip,topology2_hvrt110_60ms_balanced_retrain,protected_sac_improved,true,protected_sac_round1_recheck
promoted_topology1_a_lvrt090_60ms,a_lvrt090_60ms,topology1,LVRT,0.900,0.060,60,a,single,a,[0.900 1.000 1.000],0.035,0.125,0.020,850.0,1.0,0.0,false,data/models/hpt_trustregion_promotion_20260726_round1_05_topology1_a_lvrt090_60ms_unbalanced_chunk03.zip,topology1_a_lvrt090_60ms_unbalanced,protected_sac_improved,true,protected_sac_round1_recheck
promoted_topology1_ab_lvrt090_60ms,ab_lvrt090_60ms,topology1,LVRT,0.900,0.060,60,ab,double,ab,[0.900 0.900 1.000],0.035,0.125,0.020,850.0,1.0,0.0,false,data/models/hpt_unbalanced_t1_ab_lvrt090_trajteacher_tau0_bcstrong_20260721_bc0.zip,topology1_ab_lvrt090_60ms_unbalanced,stage2_unchanged,true,protected_sac_round1_recheck
promoted_topology2_a_lvrt090_60ms,a_lvrt090_60ms,topology2,LVRT,0.900,0.060,60,a,single,a,[0.900 1.000 1.000],0.035,0.125,0.020,780.0,0.65,0.0,false,data/models/hpt_trustregion_promotion_20260726_round1_07_topology2_a_lvrt090_60ms_unbalanced_chunk01.zip,topology2_a_lvrt090_60ms_unbalanced,protected_sac_improved,true,protected_sac_round1_recheck
promoted_topology2_ab_lvrt090_60ms,ab_lvrt090_60ms,topology2,LVRT,0.900,0.060,60,ab,double,ab,[0.900 0.900 1.000],0.035,0.125,0.020,780.0,0.65,0.0,true,data/models/hpt_t2_ab_lvrt090_warm_sac_reganchor_20260722.zip,topology2_ab_lvrt090_60ms_unbalanced,stage2_unchanged,true,protected_sac_round1_recheck
promoted_topology2_a_hvrt105_60ms,a_hvrt105_60ms,topology2,HVRT,1.050,0.060,60,a,single,a,[1.050 1.000 1.000],0.035,0.125,0.020,780.0,0.65,0.001,false,data/models/hpt_trustregion_sacft_t2_a_hvrt105_20260726_mediumanchor_chunk03.zip,topology2_a_hvrt105_60ms_trustregion,prior_protected_sac_improved,true,protected_sac_round1_recheck
promoted_topology2_a_hvrt110_60ms,a_hvrt110_60ms,topology2,HVRT,1.100,0.060,60,a,single,a,[1.100 1.000 1.000],0.035,0.125,0.020,780.0,0.65,0.001,false,data/models/hpt_exact_t2_a_hvrt105_60ms_strongpos_actor_daggertraj_20260725_dagger1.zip,topology2_a_hvrt110_60ms_exactprobe,stage2_probe_unchanged,true,protected_sac_round1_recheck
promoted_topology2_ab_hvrt105_60ms,ab_hvrt105_60ms,topology2,HVRT,1.050,0.060,60,ab,double,ab,[1.050 1.050 1.000],0.035,0.125,0.020,780.0,0.65,0.001,false,data/models/hpt_trustregion_promotion_20260726_round1_11_topology2_ab_hvrt105_60ms_new_chunk01.zip,topology2_ab_hvrt105_60ms_new,new_voltage_survival_candidate,true,protected_sac_round1_recheck
