case_id,topology,fault_family,fault_phase_key,fault_pu,fault_phase_pu,duration_s,fault_start_s,fault_stop_margin_s,fault_settle_s,chopper_threshold,rchop_scale,actor_filter_tau,phase_override,model_path,source_run,voltage_survival_pass,promotion_status,policy_score,previous_score,score_delta,notes
topology1_lvrt090_60ms_gridobs_clock,topology1,LVRT,balanced,0.900,,0.060,0.080,0.125,0.020,850.0,1.0,0.001,false,data/models/hpt_t1_l090_pre24_b60_down35_clk_dg3_dagger2.zip,hpt_trustregion_promotion_20260726_round1,true,unchanged,104.012339705228,104.012339705228,0.0,"Protected SAC round 1 found no score improvement; keep Stage-2 accepted actor."
topology1_hvrt110_60ms_current_iface_const249,topology1,HVRT,balanced,1.100,,0.060,0.080,0.125,0.020,850.0,1.0,0.001,false,data/models/hpt_t1_hvrt110_const249_current_iface_actor_20260722_bc0.zip,hpt_trustregion_promotion_20260726_round1,true,unchanged,105.383177829792,105.383177829792,0.0,"Protected SAC round 1 found no score improvement; keep Stage-2 accepted actor."
topology2_lvrt090_60ms_phase_nonoise_retrain,topology2,LVRT,balanced,0.900,,0.060,0.080,0.125,0.020,780.0,0.65,0.0,true,data/models/hpt_t2_lvrt090_fr052_rr016_re008_phase_nonoise_actor_20260722_bc0.zip,hpt_trustregion_promotion_20260726_round1,true,unchanged,113.664808049493,113.664808049493,0.0,"Protected SAC round 1 found no score improvement; keep Stage-2 accepted actor."
topology2_hvrt110_60ms_balanced_retrain,topology2,HVRT,balanced,1.100,,0.060,0.080,0.125,0.020,780.0,0.65,0.001,false,data/models/hpt_trustregion_promotion_20260726_round1_04_topology2_hvrt110_60ms_balanced_retrain_chunk01.zip,hpt_trustregion_promotion_20260726_round1,true,protected_sac_improved,114.067011689805,114.075781714011,0.008770024206000926,"Protected SAC improved score while preserving switch-level voltage-survival."
topology1_a_lvrt090_60ms_unbalanced,topology1,LVRT,a,0.900,"[0.900 1.000 1.000]",0.060,0.035,0.125,0.020,850.0,1.0,0.0,false,data/models/hpt_trustregion_promotion_20260726_round1_05_topology1_a_lvrt090_60ms_unbalanced_chunk03.zip,hpt_trustregion_promotion_20260726_round1,true,protected_sac_improved,105.126612795124,106.027966140736,0.9013533456119944,"Protected SAC improved score; still requires conventional-beat recheck on boundary matrix."
topology1_ab_lvrt090_60ms_unbalanced,topology1,LVRT,ab,0.900,"[0.900 0.900 1.000]",0.060,0.035,0.125,0.020,850.0,1.0,0.0,false,data/models/hpt_unbalanced_t1_ab_lvrt090_trajteacher_tau0_bcstrong_20260721_bc0.zip,hpt_trustregion_promotion_20260726_round1,true,unchanged,106.015360281519,106.015360281519,0.0,"Protected SAC round 1 found no score improvement; needs score-aware trajectory search."
topology2_a_lvrt090_60ms_unbalanced,topology2,LVRT,a,0.900,"[0.900 1.000 1.000]",0.060,0.035,0.125,0.020,780.0,0.65,0.0,false,data/models/hpt_trustregion_promotion_20260726_round1_07_topology2_a_lvrt090_60ms_unbalanced_chunk01.zip,hpt_trustregion_promotion_20260726_round1,true,protected_sac_improved,126.261797445833,126.577723426817,0.31592598098400515,"Protected SAC improved score while preserving switch-level voltage-survival."
topology2_ab_lvrt090_60ms_unbalanced,topology2,LVRT,ab,0.900,"[0.900 0.900 1.000]",0.060,0.035,0.125,0.020,780.0,0.65,0.0,true,data/models/hpt_t2_ab_lvrt090_warm_sac_reganchor_20260722.zip,hpt_trustregion_promotion_20260726_round1,true,unchanged,132.148198218001,132.148198218001,0.0,"Protected SAC round 1 found no score improvement; needs score-aware trajectory search."
topology2_a_hvrt105_60ms_trustregion,topology2,HVRT,a,1.050,"[1.050 1.000 1.000]",0.060,0.035,0.125,0.020,780.0,0.65,0.001,false,data/models/hpt_trustregion_sacft_t2_a_hvrt105_20260726_mediumanchor_chunk03.zip,hpt_trustregion_promotion_20260726_round1,true,unchanged_after_prior_improvement,125.808359717994,125.808359717994,0.0,"Earlier protected SAC medium-anchor run remains best for this case."
topology2_a_hvrt110_60ms_exactprobe,topology2,HVRT,a,1.100,"[1.100 1.000 1.000]",0.060,0.035,0.125,0.020,780.0,0.65,0.001,false,data/models/hpt_exact_t2_a_hvrt105_60ms_strongpos_actor_daggertraj_20260725_dagger1.zip,hpt_trustregion_promotion_20260726_round1,true,unchanged_probe,127.411843522884,127.411843522884,0.0,"Protected SAC round 1 found no score improvement over the exact A-HVRT actor extension."
topology2_ab_hvrt105_60ms_new,topology2,HVRT,ab,1.050,"[1.050 1.050 1.000]",0.060,0.035,0.125,0.020,780.0,0.65,0.001,false,data/models/hpt_trustregion_promotion_20260726_round1_11_topology2_ab_hvrt105_60ms_new_chunk01.zip,hpt_trustregion_promotion_20260726_round1,true,new_voltage_survival_candidate,125.283136901034,,,"New AB-HVRT 1.05 candidate passed switch-level voltage-survival; later chunks failed recovery envelope, so treat as cautious candidate pending recheck."
