scenario_id,stage,topology,fault_family,balance_type,fault_pu_a,fault_pu_b,fault_pu_c,fault_pu_pos,fault_duration_s,fault_start_s,fault_stop_margin_s,fault_settle_s,priority,simulink_support,notes
topology1_lvrt090_bal_060ms,stage1_voltage_survival,topology1,LVRT,balanced,0.90,0.90,0.90,0.90,0.060,0.080,0.125,0.020,accepted_seed,supported,current accepted specialist seed; rerun with timestep-only gate
topology1_hvrt110_bal_060ms,stage1_voltage_survival,topology1,HVRT,balanced,1.10,1.10,1.10,1.10,0.060,0.080,0.125,0.020,accepted_seed,supported,current accepted specialist seed; rerun with timestep-only gate
topology2_lvrt090_bal_060ms,stage1_voltage_survival,topology2,LVRT,balanced,0.90,0.90,0.90,0.90,0.060,0.080,0.125,0.020,accepted_seed,supported,current accepted specialist seed; rerun with timestep-only gate
topology2_hvrt110_bal_060ms,stage1_voltage_survival,topology2,HVRT,balanced,1.10,1.10,1.10,1.10,0.060,0.080,0.125,0.020,accepted_seed,supported,current accepted specialist seed; rerun with timestep-only gate
topology1_lvrt085_bal_060ms,stage1_voltage_survival,topology1,LVRT,balanced,0.85,0.85,0.85,0.85,0.060,0.080,0.125,0.020,near_boundary,supported,moderate balanced sag extension
topology1_lvrt075_bal_060ms,stage1_voltage_survival,topology1,LVRT,balanced,0.75,0.75,0.75,0.75,0.060,0.080,0.125,0.020,boundary_scan,supported,deeper balanced sag extension
topology1_hvrt120_bal_060ms,stage1_voltage_survival,topology1,HVRT,balanced,1.20,1.20,1.20,1.20,0.060,0.080,0.125,0.020,boundary_scan,supported,stronger balanced swell extension
topology2_lvrt085_bal_060ms,stage1_voltage_survival,topology2,LVRT,balanced,0.85,0.85,0.85,0.85,0.060,0.080,0.125,0.020,near_boundary,supported,moderate balanced sag extension
topology2_lvrt075_bal_060ms,stage1_voltage_survival,topology2,LVRT,balanced,0.75,0.75,0.75,0.75,0.060,0.080,0.125,0.020,boundary_scan,supported,deeper balanced sag extension
topology2_hvrt120_bal_060ms,stage1_voltage_survival,topology2,HVRT,balanced,1.20,1.20,1.20,1.20,0.060,0.080,0.125,0.020,boundary_scan,supported,stronger balanced swell extension
