"case_id","case_name","topology","fault_family","fault_pu","duration_s","duration_ms","phase_mode","phase_rank","fault_phase_key","fault_phase_pu","fault_start_s","fault_stop_margin_s","fault_settle_s","chopper_threshold","rchop_scale","actor_filter_tau","phase_override","model_path","nearest_actor_case_id","nearest_actor_note","nearest_actor_exact","promotion_scope"
"topology1_balanced_lvrt_060ms_0p900pu","balanced_lvrt_060ms_0p900pu","topology1","LVRT","0.900","0.060","60","balanced","balanced","","","0.080","0.125","0.020","850","1","0.001","false","data/models/hpt_t1_l090_pre24_b60_down35_clk_dg3_dagger2.zip","promoted_topology1_balanced_lvrt090_60ms","exact_case","true","voltage_survival_boundary_probe"
"topology1_a_lvrt_060ms_0p900pu","a_lvrt_060ms_0p900pu","topology1","LVRT","0.900","0.060","60","a","single","a","[0.900 1.000 1.000]","0.035","0.125","0.020","850","1","0","false","data/models/hpt_trustregion_promotion_20260726_round1_05_topology1_a_lvrt090_60ms_unbalanced_chunk03.zip","promoted_topology1_a_lvrt090_60ms","exact_case","true","voltage_survival_boundary_probe"
"topology1_ab_lvrt_060ms_0p900pu","ab_lvrt_060ms_0p900pu","topology1","LVRT","0.900","0.060","60","ab","double","ab","[0.900 0.900 1.000]","0.035","0.125","0.020","850","1","0","false","data/models/hpt_unbalanced_t1_ab_lvrt090_trajteacher_tau0_bcstrong_20260721_bc0.zip","promoted_topology1_ab_lvrt090_60ms","exact_case","true","voltage_survival_boundary_probe"
"topology1_balanced_hvrt_060ms_1p100pu","balanced_hvrt_060ms_1p100pu","topology1","HVRT","1.100","0.060","60","balanced","balanced","","","0.080","0.125","0.020","850","1","0.001","false","data/models/hpt_t1_hvrt110_const249_current_iface_actor_20260722_bc0.zip","promoted_topology1_balanced_hvrt110_60ms","exact_case","true","voltage_survival_boundary_probe"
"topology1_a_hvrt_060ms_1p100pu","a_hvrt_060ms_1p100pu","topology1","HVRT","1.100","0.060","60","a","single","a","[1.100 1.000 1.000]","0.035","0.125","0.020","850","1","0.001","false","data/models/hpt_t1_hvrt110_const249_current_iface_actor_20260722_bc0.zip","promoted_topology1_balanced_hvrt110_60ms","fallback_balanced_hvrt_no_unbalanced_specialist","false","voltage_survival_boundary_probe"
"topology1_ab_hvrt_060ms_1p100pu","ab_hvrt_060ms_1p100pu","topology1","HVRT","1.100","0.060","60","ab","double","ab","[1.100 1.100 1.000]","0.035","0.125","0.020","850","1","0.001","false","data/models/hpt_t1_hvrt110_const249_current_iface_actor_20260722_bc0.zip","promoted_topology1_balanced_hvrt110_60ms","fallback_balanced_hvrt_no_unbalanced_specialist","false","voltage_survival_boundary_probe"
"topology2_balanced_lvrt_060ms_0p900pu","balanced_lvrt_060ms_0p900pu","topology2","LVRT","0.900","0.060","60","balanced","balanced","","","0.080","0.125","0.020","780","0.65","0","true","data/models/hpt_t2_lvrt090_fr052_rr016_re008_phase_nonoise_actor_20260722_bc0.zip","promoted_topology2_balanced_lvrt090_60ms","exact_case","true","voltage_survival_boundary_probe"
"topology2_a_lvrt_060ms_0p900pu","a_lvrt_060ms_0p900pu","topology2","LVRT","0.900","0.060","60","a","single","a","[0.900 1.000 1.000]","0.035","0.125","0.020","780","0.65","0","false","data/models/hpt_trustregion_promotion_20260726_round1_07_topology2_a_lvrt090_60ms_unbalanced_chunk01.zip","promoted_topology2_a_lvrt090_60ms","exact_case","true","voltage_survival_boundary_probe"
"topology2_ab_lvrt_060ms_0p900pu","ab_lvrt_060ms_0p900pu","topology2","LVRT","0.900","0.060","60","ab","double","ab","[0.900 0.900 1.000]","0.035","0.125","0.020","780","0.65","0","true","data/models/hpt_t2_ab_lvrt090_warm_sac_reganchor_20260722.zip","promoted_topology2_ab_lvrt090_60ms","exact_case","true","voltage_survival_boundary_probe"
"topology2_balanced_hvrt_060ms_1p100pu","balanced_hvrt_060ms_1p100pu","topology2","HVRT","1.100","0.060","60","balanced","balanced","","","0.080","0.125","0.020","780","0.65","0.001","false","data/models/hpt_trustregion_promotion_20260726_round1_04_topology2_hvrt110_60ms_balanced_retrain_chunk01.zip","promoted_topology2_balanced_hvrt110_60ms","exact_case","true","voltage_survival_boundary_probe"
"topology2_a_hvrt_060ms_1p100pu","a_hvrt_060ms_1p100pu","topology2","HVRT","1.100","0.060","60","a","single","a","[1.100 1.000 1.000]","0.035","0.125","0.020","780","0.65","0.001","false","data/models/hpt_exact_t2_a_hvrt105_60ms_strongpos_actor_daggertraj_20260725_dagger1.zip","promoted_topology2_a_hvrt110_60ms","exact_case","true","voltage_survival_boundary_probe"
"topology2_ab_hvrt_060ms_1p100pu","ab_hvrt_060ms_1p100pu","topology2","HVRT","1.100","0.060","60","ab","double","ab","[1.100 1.100 1.000]","0.035","0.125","0.020","780","0.65","0.001","false","data/models/hpt_trustregion_promotion_20260726_round1_04_topology2_hvrt110_60ms_balanced_retrain_chunk01.zip","promoted_topology2_balanced_hvrt110_60ms","fallback_balanced_hvrt_no_unbalanced_specialist","false","voltage_survival_boundary_probe"
