"case_id","case_name","topology","fault_family","fault_pu","duration_s","duration_ms","phase_mode","phase_rank","fault_phase_key","fault_phase_pu","fault_start_s","fault_stop_margin_s","fault_settle_s","chopper_threshold","rchop_scale","actor_filter_tau","phase_override","model_path","nearest_actor_case_id","nearest_actor_note","nearest_actor_exact","promotion_scope"
"topology1_a_lvrt_060ms_0p850pu","a_lvrt_060ms_0p850pu","topology1","LVRT","0.850","0.060","60","a","single","a","[0.850 1.000 1.000]","0.035","0.125","0.020","850","1","0","false","data/models/hpt_trustregion_promotion_20260726_round1_05_topology1_a_lvrt090_60ms_unbalanced_chunk03.zip","promoted_topology1_a_lvrt090_60ms","nearest_unbalanced_a_same_family","false","voltage_survival_boundary_probe"
"topology1_ab_lvrt_060ms_0p850pu","ab_lvrt_060ms_0p850pu","topology1","LVRT","0.850","0.060","60","ab","double","ab","[0.850 0.850 1.000]","0.035","0.125","0.020","850","1","0","false","data/models/hpt_unbalanced_t1_ab_lvrt090_trajteacher_tau0_bcstrong_20260721_bc0.zip","promoted_topology1_ab_lvrt090_60ms","nearest_unbalanced_ab_same_family","false","voltage_survival_boundary_probe"
"topology1_a_lvrt_060ms_0p900pu","a_lvrt_060ms_0p900pu","topology1","LVRT","0.900","0.060","60","a","single","a","[0.900 1.000 1.000]","0.035","0.125","0.020","850","1","0","false","data/models/hpt_trustregion_promotion_20260726_round1_05_topology1_a_lvrt090_60ms_unbalanced_chunk03.zip","promoted_topology1_a_lvrt090_60ms","exact_case","true","voltage_survival_boundary_probe"
"topology1_ab_lvrt_060ms_0p900pu","ab_lvrt_060ms_0p900pu","topology1","LVRT","0.900","0.060","60","ab","double","ab","[0.900 0.900 1.000]","0.035","0.125","0.020","850","1","0","false","data/models/hpt_unbalanced_t1_ab_lvrt090_trajteacher_tau0_bcstrong_20260721_bc0.zip","promoted_topology1_ab_lvrt090_60ms","exact_case","true","voltage_survival_boundary_probe"
"topology1_a_lvrt_060ms_0p950pu","a_lvrt_060ms_0p950pu","topology1","LVRT","0.950","0.060","60","a","single","a","[0.950 1.000 1.000]","0.035","0.125","0.020","850","1","0","false","data/models/hpt_trustregion_promotion_20260726_round1_05_topology1_a_lvrt090_60ms_unbalanced_chunk03.zip","promoted_topology1_a_lvrt090_60ms","nearest_unbalanced_a_same_family","false","voltage_survival_boundary_probe"
"topology1_ab_lvrt_060ms_0p950pu","ab_lvrt_060ms_0p950pu","topology1","LVRT","0.950","0.060","60","ab","double","ab","[0.950 0.950 1.000]","0.035","0.125","0.020","850","1","0","false","data/models/hpt_unbalanced_t1_ab_lvrt090_trajteacher_tau0_bcstrong_20260721_bc0.zip","promoted_topology1_ab_lvrt090_60ms","nearest_unbalanced_ab_same_family","false","voltage_survival_boundary_probe"
"topology1_a_lvrt_080ms_0p850pu","a_lvrt_080ms_0p850pu","topology1","LVRT","0.850","0.080","80","a","single","a","[0.850 1.000 1.000]","0.035","0.125","0.020","850","1","0","false","data/models/hpt_trustregion_promotion_20260726_round1_05_topology1_a_lvrt090_60ms_unbalanced_chunk03.zip","promoted_topology1_a_lvrt090_60ms","nearest_unbalanced_a_same_family","false","voltage_survival_boundary_probe"
"topology1_ab_lvrt_080ms_0p850pu","ab_lvrt_080ms_0p850pu","topology1","LVRT","0.850","0.080","80","ab","double","ab","[0.850 0.850 1.000]","0.035","0.125","0.020","850","1","0","false","data/models/hpt_unbalanced_t1_ab_lvrt090_trajteacher_tau0_bcstrong_20260721_bc0.zip","promoted_topology1_ab_lvrt090_60ms","nearest_unbalanced_ab_same_family","false","voltage_survival_boundary_probe"
"topology1_a_lvrt_080ms_0p900pu","a_lvrt_080ms_0p900pu","topology1","LVRT","0.900","0.080","80","a","single","a","[0.900 1.000 1.000]","0.035","0.125","0.020","850","1","0","false","data/models/hpt_trustregion_promotion_20260726_round1_05_topology1_a_lvrt090_60ms_unbalanced_chunk03.zip","promoted_topology1_a_lvrt090_60ms","nearest_unbalanced_a_same_family","false","voltage_survival_boundary_probe"
"topology1_ab_lvrt_080ms_0p900pu","ab_lvrt_080ms_0p900pu","topology1","LVRT","0.900","0.080","80","ab","double","ab","[0.900 0.900 1.000]","0.035","0.125","0.020","850","1","0","false","data/models/hpt_unbalanced_t1_ab_lvrt090_trajteacher_tau0_bcstrong_20260721_bc0.zip","promoted_topology1_ab_lvrt090_60ms","nearest_unbalanced_ab_same_family","false","voltage_survival_boundary_probe"
