"case_id","case_name","topology","fault_family","fault_pu","duration_s","duration_ms","phase_mode","phase_rank","fault_phase_key","fault_phase_pu","fault_start_s","fault_stop_margin_s","fault_settle_s","chopper_threshold","rchop_scale","actor_filter_tau","phase_override","model_path","nearest_actor_case_id","nearest_actor_note","nearest_actor_exact","promotion_scope"
"promoted_topology2_a_hvrt115_80ms_stage5","a_hvrt115_80ms","topology2","HVRT","1.150","0.080","80","a","single","a","[1.150 1.000 1.000]","0.035","0.125","0.020","780.0","0.65","0.001","false","data/models/hpt_stage5_t2_hvrt115_80_120_20260727_03_topology2_a_hvrt1p150_80ms_stage5_chunk01.zip","hpt_stage5_t2_hvrt115_80_120_20260727_03_topology2_a_hvrt1p150_80ms_stage5_chunk01","stage5_hvrt115_rechecked_exact","true","stage5_t2_hvrt115_phase_expansion"
"promoted_topology2_a_hvrt115_120ms_stage5","a_hvrt115_120ms","topology2","HVRT","1.150","0.120","120","a","single","a","[1.150 1.000 1.000]","0.035","0.125","0.020","780.0","0.65","0.001","false","data/models/hpt_stage5_t2_hvrt115_80_120_20260727_04_topology2_a_hvrt1p150_120ms_stage5_chunk01.zip","hpt_stage5_t2_hvrt115_80_120_20260727_04_topology2_a_hvrt1p150_120ms_stage5_chunk01","stage5_hvrt115_rechecked_exact","true","stage5_t2_hvrt115_phase_expansion"
"promoted_topology2_ab_hvrt115_120ms_stage5","ab_hvrt115_120ms","topology2","HVRT","1.150","0.120","120","ab","double","ab","[1.150 1.150 1.000]","0.035","0.125","0.020","780.0","0.65","0.001","false","data/models/hpt_stage5_t2_hvrt115_80_120_20260727_06_topology2_ab_hvrt1p150_120ms_stage5_chunk01.zip","hpt_stage5_t2_hvrt115_80_120_20260727_06_topology2_ab_hvrt1p150_120ms_stage5_chunk01","stage5_hvrt115_rechecked_exact","true","stage5_t2_hvrt115_phase_expansion"
"promoted_topology2_balanced_hvrt115_80ms_stage5_const060","balanced_hvrt115_80ms","topology2","HVRT","1.150","0.080","80","balanced","balanced","","","0.035","0.125","0.020","760.0","0.55","0.001","false","data/models/hpt_stage5_t2_bal_hvrt115_80ms_const060_actor_retry_20260727_dagger1.zip","hpt_stage5_t2_bal_hvrt115_80ms_const060_actor_retry_20260727_dagger1","stage5_balanced_hvrt115_const060_exact","true","stage5_t2_hvrt115_balanced_const060"
"promoted_topology2_balanced_hvrt115_120ms_stage5_const060","balanced_hvrt115_120ms","topology2","HVRT","1.150","0.120","120","balanced","balanced","","","0.035","0.125","0.020","760.0","0.55","0.001","false","data/models/hpt_stage5_t2_bal_hvrt115_120ms_const060_actor_20260727_dagger1.zip","hpt_stage5_t2_bal_hvrt115_120ms_const060_actor_20260727_dagger1","stage5_balanced_hvrt115_const060_exact","true","stage5_t2_hvrt115_balanced_const060"
"promoted_topology2_ab_hvrt115_80ms_stage5_reg045_energy026","ab_hvrt115_80ms","topology2","HVRT","1.150","0.080","80","ab","double","ab","[1.150 1.150 1.000]","0.035","0.125","0.020","780.0","0.65","0.001","false","data/models/hpt_stage5_t2_ab_hvrt115_80ms_reg045_energy026_actor_20260727_dagger1.zip","hpt_stage5_t2_ab_hvrt115_80ms_reg045_energy026_actor_20260727_dagger1","stage5_ab_hvrt115_80ms_reg045_energy026_exact","true","stage5_t2_ab_hvrt115_80ms_reg045_energy026"
"promoted_topology2_balanced_hvrt120_80ms_stage5","balanced_hvrt120_80ms","topology2","HVRT","1.200","0.080","80","balanced","balanced","","","0.035","0.125","0.020","760.0","0.55","0.001","false","data/models/hpt_stage5_t2_hvrt120_80_120_20260727_01_topology2_balanced_hvrt1p200_80ms_stage5_chunk04.zip","hpt_stage5_t2_hvrt120_80_120_20260727_01_topology2_balanced_hvrt1p200_80ms_stage5_chunk04","stage5_hvrt120_rechecked_exact","true","stage5_t2_hvrt120_expansion"
"promoted_topology2_a_hvrt120_80ms_stage5","a_hvrt120_80ms","topology2","HVRT","1.200","0.080","80","a","single","a","[1.200 1.000 1.000]","0.035","0.125","0.020","780.0","0.65","0.001","false","data/models/hpt_stage5_t2_hvrt120_80_120_20260727_03_topology2_a_hvrt1p200_80ms_stage5_chunk01.zip","hpt_stage5_t2_hvrt120_80_120_20260727_03_topology2_a_hvrt1p200_80ms_stage5_chunk01","stage5_hvrt120_rechecked_exact","true","stage5_t2_hvrt120_expansion"
"promoted_topology2_a_hvrt120_120ms_stage5","a_hvrt120_120ms","topology2","HVRT","1.200","0.120","120","a","single","a","[1.200 1.000 1.000]","0.035","0.125","0.020","780.0","0.65","0.001","false","data/models/hpt_stage5_t2_hvrt120_80_120_20260727_04_topology2_a_hvrt1p200_120ms_stage5_chunk01.zip","hpt_stage5_t2_hvrt120_80_120_20260727_04_topology2_a_hvrt1p200_120ms_stage5_chunk01","stage5_hvrt120_rechecked_exact","true","stage5_t2_hvrt120_expansion"
"promoted_topology2_ab_hvrt120_80ms_stage5","ab_hvrt120_80ms","topology2","HVRT","1.200","0.080","80","ab","double","ab","[1.200 1.200 1.000]","0.035","0.125","0.020","780.0","0.65","0.001","false","data/models/hpt_stage5_t2_hvrt120_80_120_20260727_05_topology2_ab_hvrt1p200_80ms_stage5_chunk01.zip","hpt_stage5_t2_hvrt120_80_120_20260727_05_topology2_ab_hvrt1p200_80ms_stage5_chunk01","stage5_hvrt120_rechecked_exact","true","stage5_t2_hvrt120_expansion"
