"case_id","case_name","topology","fault_family","fault_pu","duration_s","duration_ms","phase_mode","phase_rank","fault_phase_key","fault_phase_pu","fault_start_s","fault_stop_margin_s","fault_settle_s","chopper_threshold","rchop_scale","actor_filter_tau","phase_override","model_path","nearest_actor_case_id","nearest_actor_note","nearest_actor_exact","promotion_scope"
"t2_bal_hvrt115_80ms_chop760_r040","balanced_hvrt1p150_80ms","topology2","HVRT","1.150","0.080","80","balanced","balanced","","","0.035","0.125","0.020","760.0","0.40","0.001","false","data/models/hpt_trustregion_promotion_20260726_round1_04_topology2_hvrt110_60ms_balanced_retrain_chunk01.zip","topology2_hvrt110_60ms_balanced_retrain","stage5_dc_link_chopper_sweep","true","stage5_t2_hvrt115_dc_shape"
"t2_bal_hvrt115_120ms_chop760_r040","balanced_hvrt1p150_120ms","topology2","HVRT","1.150","0.120","120","balanced","balanced","","","0.035","0.125","0.020","760.0","0.40","0.001","false","data/models/hpt_trustregion_promotion_20260726_round1_04_topology2_hvrt110_60ms_balanced_retrain_chunk01.zip","topology2_hvrt110_60ms_balanced_retrain","stage5_dc_link_chopper_sweep","true","stage5_t2_hvrt115_dc_shape"
"t2_bal_hvrt115_80ms_chop760_r055","balanced_hvrt1p150_80ms","topology2","HVRT","1.150","0.080","80","balanced","balanced","","","0.035","0.125","0.020","760.0","0.55","0.001","false","data/models/hpt_trustregion_promotion_20260726_round1_04_topology2_hvrt110_60ms_balanced_retrain_chunk01.zip","topology2_hvrt110_60ms_balanced_retrain","stage5_dc_link_chopper_sweep","true","stage5_t2_hvrt115_dc_shape"
"t2_bal_hvrt115_120ms_chop760_r055","balanced_hvrt1p150_120ms","topology2","HVRT","1.150","0.120","120","balanced","balanced","","","0.035","0.125","0.020","760.0","0.55","0.001","false","data/models/hpt_trustregion_promotion_20260726_round1_04_topology2_hvrt110_60ms_balanced_retrain_chunk01.zip","topology2_hvrt110_60ms_balanced_retrain","stage5_dc_link_chopper_sweep","true","stage5_t2_hvrt115_dc_shape"
"t2_bal_hvrt115_80ms_chop780_r040","balanced_hvrt1p150_80ms","topology2","HVRT","1.150","0.080","80","balanced","balanced","","","0.035","0.125","0.020","780.0","0.40","0.001","false","data/models/hpt_trustregion_promotion_20260726_round1_04_topology2_hvrt110_60ms_balanced_retrain_chunk01.zip","topology2_hvrt110_60ms_balanced_retrain","stage5_dc_link_chopper_sweep","true","stage5_t2_hvrt115_dc_shape"
"t2_bal_hvrt115_120ms_chop780_r040","balanced_hvrt1p150_120ms","topology2","HVRT","1.150","0.120","120","balanced","balanced","","","0.035","0.125","0.020","780.0","0.40","0.001","false","data/models/hpt_trustregion_promotion_20260726_round1_04_topology2_hvrt110_60ms_balanced_retrain_chunk01.zip","topology2_hvrt110_60ms_balanced_retrain","stage5_dc_link_chopper_sweep","true","stage5_t2_hvrt115_dc_shape"
"t2_bal_hvrt115_80ms_chop780_r055","balanced_hvrt1p150_80ms","topology2","HVRT","1.150","0.080","80","balanced","balanced","","","0.035","0.125","0.020","780.0","0.55","0.001","false","data/models/hpt_trustregion_promotion_20260726_round1_04_topology2_hvrt110_60ms_balanced_retrain_chunk01.zip","topology2_hvrt110_60ms_balanced_retrain","stage5_dc_link_chopper_sweep","true","stage5_t2_hvrt115_dc_shape"
"t2_bal_hvrt115_120ms_chop780_r055","balanced_hvrt1p150_120ms","topology2","HVRT","1.150","0.120","120","balanced","balanced","","","0.035","0.125","0.020","780.0","0.55","0.001","false","data/models/hpt_trustregion_promotion_20260726_round1_04_topology2_hvrt110_60ms_balanced_retrain_chunk01.zip","topology2_hvrt110_60ms_balanced_retrain","stage5_dc_link_chopper_sweep","true","stage5_t2_hvrt115_dc_shape"
"t2_bal_hvrt115_80ms_chop800_r040","balanced_hvrt1p150_80ms","topology2","HVRT","1.150","0.080","80","balanced","balanced","","","0.035","0.125","0.020","800.0","0.40","0.001","false","data/models/hpt_trustregion_promotion_20260726_round1_04_topology2_hvrt110_60ms_balanced_retrain_chunk01.zip","topology2_hvrt110_60ms_balanced_retrain","stage5_dc_link_chopper_sweep","true","stage5_t2_hvrt115_dc_shape"
"t2_bal_hvrt115_120ms_chop800_r040","balanced_hvrt1p150_120ms","topology2","HVRT","1.150","0.120","120","balanced","balanced","","","0.035","0.125","0.020","800.0","0.40","0.001","false","data/models/hpt_trustregion_promotion_20260726_round1_04_topology2_hvrt110_60ms_balanced_retrain_chunk01.zip","topology2_hvrt110_60ms_balanced_retrain","stage5_dc_link_chopper_sweep","true","stage5_t2_hvrt115_dc_shape"
