"case_id","curriculum","eval_topology","eval_case_name","fault_family","fault_phase_key","eval_fault_pu","eval_fault_phase_pu","eval_duration_s","fault_start_s","fault_stop_margin_s","fault_settle_s","chopper_threshold","rchop_scale","actor_filter_tau","phase_override","init_model","baseline_score","conventional_score","score_gap","priority","notes"
"scoreopt_topology1_a_hvrt_040ms_1p050pu","scoreopt_topology1_hvrt_a","topology1","a_hvrt_040ms_1p050pu","HVRT","a","1.050","1.050 1.000 1.000","0.040","0.035","0.125","0.020","850","1","0.001","false","data/models/hpt_t1_hvrt110_const249_current_iface_actor_20260722_bc0.zip","104.823898467433","103.485023239334","1.338875228098999","stage5_score_near_miss","Stage-5 topology1 unbalanced score optimization: already voltage-survival, target is beat conventional without breaking timestep envelope."
"scoreopt_topology1_a_hvrt_060ms_1p050pu","scoreopt_topology1_hvrt_a","topology1","a_hvrt_060ms_1p050pu","HVRT","a","1.050","1.050 1.000 1.000","0.060","0.035","0.125","0.020","850","1","0.001","false","data/models/hpt_t1_hvrt110_const249_current_iface_actor_20260722_bc0.zip","104.707094303263","103.459135515568","1.247958787695012","stage5_score_near_miss","Stage-5 topology1 unbalanced score optimization: already voltage-survival, target is beat conventional without breaking timestep envelope."
"scoreopt_topology1_a_hvrt_080ms_1p050pu","scoreopt_topology1_hvrt_a","topology1","a_hvrt_080ms_1p050pu","HVRT","a","1.050","1.050 1.000 1.000","0.080","0.035","0.125","0.020","850","1","0.001","false","data/models/hpt_t1_hvrt110_const249_current_iface_actor_20260722_bc0.zip","143.943991719853","141.3935187501","2.5504729697530024","stage5_score_optimize","Stage-5 topology1 unbalanced score optimization: already voltage-survival, target is beat conventional without breaking timestep envelope."
"scoreopt_topology1_a_hvrt_040ms_1p100pu","scoreopt_topology1_hvrt_a","topology1","a_hvrt_040ms_1p100pu","HVRT","a","1.100","1.100 1.000 1.000","0.040","0.035","0.125","0.020","850","1","0.001","false","data/models/hpt_t1_hvrt110_const249_current_iface_actor_20260722_bc0.zip","106.474594720774","105.282712303869","1.1918824169049884","stage5_score_near_miss","Stage-5 topology1 unbalanced score optimization: already voltage-survival, target is beat conventional without breaking timestep envelope."
"scoreopt_topology1_a_hvrt_060ms_1p100pu","scoreopt_topology1_hvrt_a","topology1","a_hvrt_060ms_1p100pu","HVRT","a","1.100","1.100 1.000 1.000","0.060","0.035","0.125","0.020","850","1","0.001","false","data/models/hpt_t1_hvrt110_const249_current_iface_actor_20260722_bc0.zip","106.3472201202","105.228856415172","1.1183637050280026","stage5_score_near_miss","Stage-5 topology1 unbalanced score optimization: already voltage-survival, target is beat conventional without breaking timestep envelope."
"scoreopt_topology1_a_hvrt_080ms_1p100pu","scoreopt_topology1_hvrt_a","topology1","a_hvrt_080ms_1p100pu","HVRT","a","1.100","1.100 1.000 1.000","0.080","0.035","0.125","0.020","850","1","0.001","false","data/models/hpt_t1_hvrt110_const249_current_iface_actor_20260722_bc0.zip","145.156033028485","144.246560713462","0.9094723150230095","stage5_score_near_miss","Stage-5 topology1 unbalanced score optimization: already voltage-survival, target is beat conventional without breaking timestep envelope."
"scoreopt_topology1_a_hvrt_040ms_1p150pu","scoreopt_topology1_hvrt_a","topology1","a_hvrt_040ms_1p150pu","HVRT","a","1.150","1.150 1.000 1.000","0.040","0.035","0.125","0.020","850","1","0.001","false","data/models/hpt_t1_hvrt110_const249_current_iface_actor_20260722_bc0.zip","108.284500176506","107.105883784235","1.178616392270996","stage5_score_near_miss","Stage-5 topology1 unbalanced score optimization: already voltage-survival, target is beat conventional without breaking timestep envelope."
"scoreopt_topology1_a_hvrt_060ms_1p150pu","scoreopt_topology1_hvrt_a","topology1","a_hvrt_060ms_1p150pu","HVRT","a","1.150","1.150 1.000 1.000","0.060","0.035","0.125","0.020","850","1","0.001","false","data/models/hpt_t1_hvrt110_const249_current_iface_actor_20260722_bc0.zip","108.133704671825","107.116110855333","1.0175938164919955","stage5_score_near_miss","Stage-5 topology1 unbalanced score optimization: already voltage-survival, target is beat conventional without breaking timestep envelope."
"scoreopt_topology1_a_hvrt_080ms_1p150pu","scoreopt_topology1_hvrt_a","topology1","a_hvrt_080ms_1p150pu","HVRT","a","1.150","1.150 1.000 1.000","0.080","0.035","0.125","0.020","850","1","0.001","false","data/models/hpt_t1_hvrt110_const249_current_iface_actor_20260722_bc0.zip","146.746527172241","146.703939082447","0.042588089794008965","stage5_score_near_miss","Stage-5 topology1 unbalanced score optimization: already voltage-survival, target is beat conventional without breaking timestep envelope."
"scoreopt_topology1_ab_hvrt_040ms_1p050pu","scoreopt_topology1_hvrt_ab","topology1","ab_hvrt_040ms_1p050pu","HVRT","ab","1.050","1.050 1.050 1.000","0.040","0.035","0.125","0.020","850","1","0.001","false","data/models/hpt_t1_hvrt110_const249_current_iface_actor_20260722_bc0.zip","104.562342597705","103.323951125265","1.23839147244","stage5_score_near_miss","Stage-5 topology1 unbalanced score optimization: already voltage-survival, target is beat conventional without breaking timestep envelope."
"scoreopt_topology1_ab_hvrt_060ms_1p050pu","scoreopt_topology1_hvrt_ab","topology1","ab_hvrt_060ms_1p050pu","HVRT","ab","1.050","1.050 1.050 1.000","0.060","0.035","0.125","0.020","850","1","0.001","false","data/models/hpt_t1_hvrt110_const249_current_iface_actor_20260722_bc0.zip","104.436473405476","103.300413579521","1.1360598259549874","stage5_score_near_miss","Stage-5 topology1 unbalanced score optimization: already voltage-survival, target is beat conventional without breaking timestep envelope."
"scoreopt_topology1_ab_hvrt_080ms_1p050pu","scoreopt_topology1_hvrt_ab","topology1","ab_hvrt_080ms_1p050pu","HVRT","ab","1.050","1.050 1.050 1.000","0.080","0.035","0.125","0.020","850","1","0.001","false","data/models/hpt_t1_hvrt110_const249_current_iface_actor_20260722_bc0.zip","143.13587715055","141.150294718317","1.9855824322329738","stage5_score_near_miss","Stage-5 topology1 unbalanced score optimization: already voltage-survival, target is beat conventional without breaking timestep envelope."
"scoreopt_topology1_ab_hvrt_040ms_1p100pu","scoreopt_topology1_hvrt_ab","topology1","ab_hvrt_040ms_1p100pu","HVRT","ab","1.100","1.100 1.100 1.000","0.040","0.035","0.125","0.020","850","1","0.001","false","data/models/hpt_t1_hvrt110_const249_current_iface_actor_20260722_bc0.zip","106.201466475531","104.980745209484","1.2207212660470077","stage5_score_near_miss","Stage-5 topology1 unbalanced score optimization: already voltage-survival, target is beat conventional without breaking timestep envelope."
"scoreopt_topology1_ab_hvrt_060ms_1p100pu","scoreopt_topology1_hvrt_ab","topology1","ab_hvrt_060ms_1p100pu","HVRT","ab","1.100","1.100 1.100 1.000","0.060","0.035","0.125","0.020","850","1","0.001","false","data/models/hpt_t1_hvrt110_const249_current_iface_actor_20260722_bc0.zip","106.038313653575","104.983263612647","1.055050040928009","stage5_score_near_miss","Stage-5 topology1 unbalanced score optimization: already voltage-survival, target is beat conventional without breaking timestep envelope."
"scoreopt_topology1_ab_hvrt_080ms_1p100pu","scoreopt_topology1_hvrt_ab","topology1","ab_hvrt_080ms_1p100pu","HVRT","ab","1.100","1.100 1.100 1.000","0.080","0.035","0.125","0.020","850","1","0.001","false","data/models/hpt_t1_hvrt110_const249_current_iface_actor_20260722_bc0.zip","144.03157802702","141.997861826844","2.033716200176002","stage5_score_optimize","Stage-5 topology1 unbalanced score optimization: already voltage-survival, target is beat conventional without breaking timestep envelope."
