"case_id","curriculum","eval_topology","eval_case_name","fault_family","fault_phase_key","eval_fault_pu","eval_fault_phase_pu","eval_duration_s","fault_start_s","fault_stop_margin_s","fault_settle_s","chopper_threshold","rchop_scale","actor_filter_tau","phase_override","init_model","baseline_score","conventional_score","r3_sac_pass","r3_sac_score","priority","notes"
"topology2_balanced_hvrt1p100_80ms_stage5","topology2_hvrt110_60ms_balanced","topology2","balanced_hvrt1p100_80ms","HVRT","","1.100","","0.080","0.035","0.125","0.020","780.0","0.65","0.001","false","data/models/hpt_trustregion_promotion_20260726_round1_04_topology2_hvrt110_60ms_balanced_retrain_chunk01.zip","113.631968914177","273.798290769371","True","113.631968914177","stage5_hvrt_pass_extend_quality","Stage-5 topology2 HVRT expansion target from r3 boundary. Train/recheck switch-level voltage-survival first; score improvement second."
"topology2_balanced_hvrt1p100_120ms_stage5","topology2_hvrt110_60ms_balanced","topology2","balanced_hvrt1p100_120ms","HVRT","","1.100","","0.120","0.035","0.125","0.020","780.0","0.65","0.001","false","data/models/hpt_trustregion_promotion_20260726_round1_04_topology2_hvrt110_60ms_balanced_retrain_chunk01.zip","112.761613101319","274.275769436547","True","112.761613101319","stage5_hvrt_pass_extend_quality","Stage-5 topology2 HVRT expansion target from r3 boundary. Train/recheck switch-level voltage-survival first; score improvement second."
"topology2_balanced_hvrt1p150_80ms_stage5","topology2_hvrt110_60ms_balanced","topology2","balanced_hvrt1p150_80ms","HVRT","","1.150","","0.080","0.035","0.125","0.020","780.0","0.65","0.001","false","data/models/hpt_trustregion_promotion_20260726_round1_04_topology2_hvrt110_60ms_balanced_retrain_chunk01.zip","121.051222744946","275.259068872148","False","121.051222744946","stage5_hvrt_survival_expansion","Stage-5 topology2 HVRT expansion target from r3 boundary. Train/recheck switch-level voltage-survival first; score improvement second."
"topology2_balanced_hvrt1p150_120ms_stage5","topology2_hvrt110_60ms_balanced","topology2","balanced_hvrt1p150_120ms","HVRT","","1.150","","0.120","0.035","0.125","0.020","780.0","0.65","0.001","false","data/models/hpt_trustregion_promotion_20260726_round1_04_topology2_hvrt110_60ms_balanced_retrain_chunk01.zip","122.353393185706","275.445087295167","False","122.353393185706","stage5_hvrt_survival_expansion","Stage-5 topology2 HVRT expansion target from r3 boundary. Train/recheck switch-level voltage-survival first; score improvement second."
"topology2_balanced_hvrt1p200_80ms_stage5","topology2_hvrt110_60ms_balanced","topology2","balanced_hvrt1p200_80ms","HVRT","","1.200","","0.080","0.035","0.125","0.020","780.0","0.65","0.001","false","data/models/hpt_trustregion_promotion_20260726_round1_04_topology2_hvrt110_60ms_balanced_retrain_chunk01.zip","","","","","stage5_hvrt_probe_hard","Stage-5 topology2 HVRT expansion target from r3 boundary. Train/recheck switch-level voltage-survival first; score improvement second."
"topology2_balanced_hvrt1p200_120ms_stage5","topology2_hvrt110_60ms_balanced","topology2","balanced_hvrt1p200_120ms","HVRT","","1.200","","0.120","0.035","0.125","0.020","780.0","0.65","0.001","false","data/models/hpt_trustregion_promotion_20260726_round1_04_topology2_hvrt110_60ms_balanced_retrain_chunk01.zip","","","","","stage5_hvrt_probe_hard","Stage-5 topology2 HVRT expansion target from r3 boundary. Train/recheck switch-level voltage-survival first; score improvement second."
"topology2_a_hvrt1p100_80ms_stage5","topology2_a_hvrt105_60ms","topology2","a_hvrt1p100_80ms","HVRT","a","1.100","1.100 1.000 1.000","0.080","0.035","0.125","0.020","780.0","0.65","0.001","false","data/models/hpt_trustregion_sacft_t2_a_hvrt105_20260726_mediumanchor_chunk03.zip","139.17883470977","229.408937565669","False","139.17883470977","stage5_hvrt_survival_expansion","Stage-5 topology2 HVRT expansion target from r3 boundary. Train/recheck switch-level voltage-survival first; score improvement second."
"topology2_a_hvrt1p100_120ms_stage5","topology2_a_hvrt105_60ms","topology2","a_hvrt1p100_120ms","HVRT","a","1.100","1.100 1.000 1.000","0.120","0.035","0.125","0.020","780.0","0.65","0.001","false","data/models/hpt_trustregion_sacft_t2_a_hvrt105_20260726_mediumanchor_chunk03.zip","135.202598641085","229.289148924826","False","135.202598641085","stage5_hvrt_survival_expansion","Stage-5 topology2 HVRT expansion target from r3 boundary. Train/recheck switch-level voltage-survival first; score improvement second."
"topology2_a_hvrt1p150_80ms_stage5","topology2_a_hvrt105_60ms","topology2","a_hvrt1p150_80ms","HVRT","a","1.150","1.150 1.000 1.000","0.080","0.035","0.125","0.020","780.0","0.65","0.001","false","data/models/hpt_trustregion_sacft_t2_a_hvrt105_20260726_mediumanchor_chunk03.zip","137.697885578784","232.107631405675","False","137.697885578784","stage5_hvrt_survival_expansion","Stage-5 topology2 HVRT expansion target from r3 boundary. Train/recheck switch-level voltage-survival first; score improvement second."
"topology2_a_hvrt1p150_120ms_stage5","topology2_a_hvrt105_60ms","topology2","a_hvrt1p150_120ms","HVRT","a","1.150","1.150 1.000 1.000","0.120","0.035","0.125","0.020","780.0","0.65","0.001","false","data/models/hpt_trustregion_sacft_t2_a_hvrt105_20260726_mediumanchor_chunk03.zip","134.565484927586","231.675283586319","False","134.565484927586","stage5_hvrt_survival_expansion","Stage-5 topology2 HVRT expansion target from r3 boundary. Train/recheck switch-level voltage-survival first; score improvement second."
"topology2_a_hvrt1p200_80ms_stage5","topology2_a_hvrt105_60ms","topology2","a_hvrt1p200_80ms","HVRT","a","1.200","1.200 1.000 1.000","0.080","0.035","0.125","0.020","780.0","0.65","0.001","false","data/models/hpt_trustregion_sacft_t2_a_hvrt105_20260726_mediumanchor_chunk03.zip","","","","","stage5_hvrt_probe_hard","Stage-5 topology2 HVRT expansion target from r3 boundary. Train/recheck switch-level voltage-survival first; score improvement second."
"topology2_a_hvrt1p200_120ms_stage5","topology2_a_hvrt105_60ms","topology2","a_hvrt1p200_120ms","HVRT","a","1.200","1.200 1.000 1.000","0.120","0.035","0.125","0.020","780.0","0.65","0.001","false","data/models/hpt_trustregion_sacft_t2_a_hvrt105_20260726_mediumanchor_chunk03.zip","","","","","stage5_hvrt_probe_hard","Stage-5 topology2 HVRT expansion target from r3 boundary. Train/recheck switch-level voltage-survival first; score improvement second."
"topology2_ab_hvrt1p100_80ms_stage5","topology2_ab_hvrt110_60ms","topology2","ab_hvrt1p100_80ms","HVRT","ab","1.100","1.100 1.100 1.000","0.080","0.035","0.125","0.020","780.0","0.65","0.001","false","data/models/hpt_stage4_t2_ab_hvrt110_repair_20260726_01_topology2_ab_hvrt110_60ms_stage4_chunk03.zip","133.820730906877","228.986969335496","False","133.820730906877","stage5_hvrt_survival_expansion","Stage-5 topology2 HVRT expansion target from r3 boundary. Train/recheck switch-level voltage-survival first; score improvement second."
