matrix_case_id,stage,status,topology,fault_family,phase_mode,fault_phase_key,fault_pu,fault_phase_pu,duration_s,fault_start_s,fault_stop_margin_s,fault_settle_s,chopper_threshold,rchop_scale,actor_filter_tau,phase_override,model_path,current_evidence_status,training_source,stage6_action,stage6_priority,train_fault_pu_set,train_duration_ms_set,holdout_fault_pu_set,holdout_duration_ms_set,acceptance_gate,notes
t1_balanced_lvrt,stage6a_representative,needs_stage6_recheck,topology1,LVRT,balanced,,0.900,,0.060,0.080,0.125,0.020,850.0,1.0,0.001,false,data/models/hpt_t1_l090_pre24_b60_down35_clk_dg3_dagger2.zip,stage2_pass_beats_conventional,trajectory_bc_dagger,recheck_then_family_pilot,1,0.85|0.90|0.95,40|60|80|120,0.875|0.925,100|160,center_voltage_survival_then_family_holdout,Representative balanced LVRT exists but must be frozen under the Stage-6 validator.
t1_balanced_hvrt,stage6a_representative,needs_stage6_recheck,topology1,HVRT,balanced,,1.100,,0.060,0.080,0.125,0.020,850.0,1.0,0.001,false,data/models/hpt_t1_hvrt110_const249_current_iface_actor_20260722_bc0.zip,stage2_pass_beats_conventional,constant_trace_bc,recheck_then_sac_contribution,3,1.05|1.10|1.15,40|60|80|120,1.075|1.125,100|160,center_voltage_survival_then_family_holdout,Representative balanced HVRT exists; protected SAC previously found no clear gain.
t1_a_lvrt,stage6a_representative,needs_stage6_recheck,topology1,LVRT,a,a,0.900,[0.900 1.000 1.000],0.060,0.035,0.125,0.020,850.0,1.0,0.0,false,data/models/hpt_trustregion_promotion_20260726_round1_05_topology1_a_lvrt090_60ms_unbalanced_chunk03.zip,stage4_protected_sac_improved_but_score_boundary_unclear,trajectory_bc_dagger_protected_sac,recheck_score_opt_family,2,0.85|0.90|0.95,40|60|80|120,0.875|0.925,100|160,center_voltage_survival_then_family_holdout,Topology1 A-LVRT passes voltage survival but needs clean score comparison and recovery-overboost optimization.
t1_ab_lvrt,stage6a_representative,needs_stage6_recheck,topology1,LVRT,ab,ab,0.900,[0.900 0.900 1.000],0.060,0.035,0.125,0.020,850.0,1.0,0.0,false,data/models/hpt_unbalanced_t1_ab_lvrt090_trajteacher_tau0_bcstrong_20260721_bc0.zip,stage2_pass_not_beating_conventional,trajectory_bc_dagger,recheck_score_opt_family,2,0.85|0.90|0.95,40|60|80|120,0.875|0.925,100|160,center_voltage_survival_then_family_holdout,Topology1 AB-LVRT passes voltage survival but does not yet beat conventional.
t1_a_hvrt,stage6a_representative,fallback_voltage_survival_no_beat,topology1,HVRT,a,a,1.100,[1.100 1.000 1.000],0.060,0.035,0.125,0.020,850.0,1.0,0.001,false,data/models/hpt_t1_hvrt110_const249_current_iface_actor_20260722_bc0.zip,stage6_fallback_probe_pass_no_beat,fallback_balanced_hvrt_actor,train_score_improving_specialist,1,1.05|1.10|1.15,40|60|80|120,1.075|1.125,100|160,center_voltage_survival_then_family_holdout,The balanced topology1 HVRT actor survives A-HVRT but does not beat conventional; still needs a real specialist.
t1_ab_hvrt,stage6a_representative,fallback_voltage_survival_no_beat,topology1,HVRT,ab,ab,1.100,[1.100 1.100 1.000],0.060,0.035,0.125,0.020,850.0,1.0,0.001,false,data/models/hpt_t1_hvrt110_const249_current_iface_actor_20260722_bc0.zip,stage6_fallback_probe_pass_no_beat,fallback_balanced_hvrt_actor,train_score_improving_specialist,1,1.05|1.10|1.15,40|60|80|120,1.075|1.125,100|160,center_voltage_survival_then_family_holdout,The balanced topology1 HVRT actor survives AB-HVRT but does not beat conventional; still needs a real specialist.
t2_balanced_lvrt,stage6a_representative,needs_stage6_recheck,topology2,LVRT,balanced,,0.900,,0.060,0.080,0.125,0.020,780.0,0.65,0.0,true,data/models/hpt_t2_lvrt090_fr052_rr016_re008_phase_nonoise_actor_20260722_bc0.zip,stage2_pass_beats_conventional,phase_grid_teacher_bc,recheck_then_family,2,0.85|0.90|0.95,40|60|80|120,0.875|0.925,100|160,center_voltage_survival_then_family_holdout,Representative topology2 balanced LVRT exists and beats conventional.
t2_balanced_hvrt,stage6a_representative,needs_stage6_recheck,topology2,HVRT,balanced,,1.100,,0.060,0.080,0.125,0.020,780.0,0.65,0.001,false,data/models/hpt_trustregion_promotion_20260726_round1_04_topology2_hvrt110_60ms_balanced_retrain_chunk01.zip,stage4_protected_sac_improved,trajectory_bc_dagger_protected_sac,recheck_sac_contribution_family,1,1.05|1.10|1.15,40|60|80|120,1.075|1.125,100|160,center_voltage_survival_then_family_holdout,Use the protected-SAC-improved actor as current best for Stage-6 recheck.
t2_a_lvrt,stage6a_representative,needs_stage6_recheck,topology2,LVRT,a,a,0.900,[0.900 1.000 1.000],0.060,0.035,0.125,0.020,780.0,0.65,0.0,false,data/models/hpt_trustregion_promotion_20260726_round1_07_topology2_a_lvrt090_60ms_unbalanced_chunk01.zip,stage4_protected_sac_improved,trajectory_bc_dagger_protected_sac,recheck_family,2,0.85|0.90|0.95,40|60|80|120,0.875|0.925,100|160,center_voltage_survival_then_family_holdout,Topology2 A-LVRT is one of the current strongest warm/protected-SAC cases.
t2_ab_lvrt,stage6a_representative,needs_stage6_recheck,topology2,LVRT,ab,ab,0.900,[0.900 0.900 1.000],0.060,0.035,0.125,0.020,780.0,0.65,0.0,true,data/models/hpt_t2_ab_lvrt090_warm_sac_reganchor_20260722.zip,stage2_warm_sac_pass_beats_conventional,warm_sac_reganchor,recheck_family,2,0.85|0.90|0.95,40|60|80|120,0.875|0.925,100|160,center_voltage_survival_then_family_holdout,Topology2 AB-LVRT is a current warm-SAC voltage-survival pass.
t2_a_hvrt,stage6a_representative,needs_stage6_recheck,topology2,HVRT,a,a,1.100,[1.100 1.000 1.000],0.060,0.035,0.125,0.020,780.0,0.65,0.001,false,data/models/hpt_exact_t2_a_hvrt105_60ms_strongpos_actor_daggertraj_20260725_dagger1.zip,stage4_exact_probe_pass_needs_main_recheck,trajectory_bc_dagger,recheck_center_then_family,1,1.05|1.10|1.15,40|60|80|120,1.075|1.125,100|160,center_voltage_survival_then_family_holdout,Existing A-HVRT actor transferred from 1.05/60 to 1.10/60; must be frozen in the 12-case manifest.
t2_ab_hvrt,stage6a_representative,needs_stage6_recheck,topology2,HVRT,ab,ab,1.100,[1.100 1.100 1.000],0.060,0.035,0.125,0.020,780.0,0.65,0.001,false,data/models/hpt_stage4_t2_ab_hvrt110_repair_20260726_01_topology2_ab_hvrt110_60ms_stage4_chunk03.zip,stage4_repaired_exact_needs_main_recheck,trajectory_bc_dagger,recheck_center_then_family,1,1.05|1.10|1.15,40|60|80|120,1.075|1.125,100|160,center_voltage_survival_then_family_holdout,Existing AB-HVRT 1.10/60 actor should be included in the Stage-6 representative recheck.
