case_id,topology,fault_family,fault_phase_key,fault_pu,fault_phase_pu,duration_s,fault_start_s,fault_stop_margin_s,fault_settle_s,chopper_threshold,rchop_scale,actor_filter_tau,phase_override,model_path,promotion_level,notes
t1_balanced_lvrt,topology1,LVRT,,0.900,,0.060,0.080,0.125,0.020,850.0,1.0,0.001,false,data/models/hpt_t1_l090_pre24_b60_down35_clk_dg3_dagger2.zip,representative_pass_needs_stage6_recheck,Stage2 topology1 balanced LVRT.
t1_balanced_hvrt,topology1,HVRT,,1.100,,0.060,0.080,0.125,0.020,850.0,1.0,0.001,false,data/models/hpt_t1_hvrt110_const249_current_iface_actor_20260722_bc0.zip,representative_pass_needs_stage6_recheck,Stage2 topology1 balanced HVRT.
t1_a_lvrt,topology1,LVRT,a,0.900,[0.900 1.000 1.000],0.060,0.035,0.125,0.020,850.0,1.0,0.0,false,data/models/hpt_trustregion_promotion_20260726_round1_05_topology1_a_lvrt090_60ms_unbalanced_chunk03.zip,representative_pass_needs_stage6_recheck,Stage4 protected-SAC-improved topology1 A-LVRT candidate.
t1_ab_lvrt,topology1,LVRT,ab,0.900,[0.900 0.900 1.000],0.060,0.035,0.125,0.020,850.0,1.0,0.0,false,data/models/hpt_unbalanced_t1_ab_lvrt090_trajteacher_tau0_bcstrong_20260721_bc0.zip,representative_pass_needs_stage6_recheck,Stage2 topology1 AB-LVRT.
t2_balanced_lvrt,topology2,LVRT,,0.900,,0.060,0.080,0.125,0.020,780.0,0.65,0.0,true,data/models/hpt_t2_lvrt090_fr052_rr016_re008_phase_nonoise_actor_20260722_bc0.zip,representative_pass_needs_stage6_recheck,Stage2 topology2 balanced LVRT.
t2_balanced_hvrt,topology2,HVRT,,1.100,,0.060,0.080,0.125,0.020,780.0,0.65,0.001,false,data/models/hpt_trustregion_promotion_20260726_round1_04_topology2_hvrt110_60ms_balanced_retrain_chunk01.zip,representative_pass_needs_stage6_recheck,Stage4 protected-SAC-improved topology2 balanced HVRT.
t2_a_lvrt,topology2,LVRT,a,0.900,[0.900 1.000 1.000],0.060,0.035,0.125,0.020,780.0,0.65,0.0,false,data/models/hpt_trustregion_promotion_20260726_round1_07_topology2_a_lvrt090_60ms_unbalanced_chunk01.zip,representative_pass_needs_stage6_recheck,Stage4 protected-SAC-improved topology2 A-LVRT.
t2_ab_lvrt,topology2,LVRT,ab,0.900,[0.900 0.900 1.000],0.060,0.035,0.125,0.020,780.0,0.65,0.0,true,data/models/hpt_t2_ab_lvrt090_warm_sac_reganchor_20260722.zip,representative_pass_needs_stage6_recheck,Stage2 topology2 AB-LVRT warm-SAC.
t2_a_hvrt,topology2,HVRT,a,1.100,[1.100 1.000 1.000],0.060,0.035,0.125,0.020,780.0,0.65,0.001,false,data/models/hpt_exact_t2_a_hvrt105_60ms_strongpos_actor_daggertraj_20260725_dagger1.zip,representative_pass_needs_stage6_recheck,Stage4 exact-probe topology2 A-HVRT at 1.10/60.
t2_ab_hvrt,topology2,HVRT,ab,1.100,[1.100 1.100 1.000],0.060,0.035,0.125,0.020,780.0,0.65,0.001,false,data/models/hpt_stage4_t2_ab_hvrt110_repair_20260726_01_topology2_ab_hvrt110_60ms_stage4_chunk03.zip,representative_pass_needs_stage6_recheck,Stage4 repaired topology2 AB-HVRT at 1.10/60.
