case_id,topology,fault_family,fault_phase_key,fault_pu,fault_phase_pu,duration_s,fault_start_s,fault_stop_margin_s,fault_settle_s,chopper_threshold,rchop_scale,actor_filter_tau,phase_override,model_path,promotion_level,notes
t1_balanced_lvrt,topology1,LVRT,,0.900,,0.060,0.080,0.125,0.020,850.0,1.0,0.001,false,data/models/hpt_t1_l090_pre24_b60_down35_clk_dg3_dagger2.zip,representative_pass_stage6_rechecked,Stage6 detector-fixed current12 recheck passed voltage survival and beat conventional.
t1_balanced_hvrt,topology1,HVRT,,1.100,,0.060,0.080,0.125,0.020,850.0,1.0,0.001,false,data/models/hpt_t1_hvrt110_const249_current_iface_actor_20260722_bc0.zip,representative_pass_stage6_rechecked,Stage6 detector-fixed current12 recheck passed voltage survival and beat conventional.
t1_a_lvrt,topology1,LVRT,a,0.900,[0.900 1.000 1.000],0.060,0.035,0.125,0.020,850.0,1.0,0.0,false,data/models/hpt_trustregion_promotion_20260726_round1_05_topology1_a_lvrt090_60ms_unbalanced_chunk03.zip,representative_pass_stage6_rechecked,Stage6 detector-fixed current12 recheck passed voltage survival and beat conventional.
t1_ab_lvrt,topology1,LVRT,ab,0.900,[0.900 0.900 1.000],0.060,0.035,0.125,0.020,850.0,1.0,0.0,false,data/models/hpt_stage6_repair_t1_ab_lvrt090_const036_sacft_micro_20260728_chunk01.zip,representative_sac_recovery_repair_pass_beat,Recovery-aware protected SAC micro chunk01 passed voltage survival and beat conventional.
t1_a_hvrt,topology1,HVRT,a,1.100,[1.100 1.000 1.000],0.060,0.035,0.125,0.020,850.0,1.0,0.001,false,data/models/hpt_stage6_t1_a_hvrt110_detectorfix_sacft_20260728_chunk03.zip,representative_sac_detectorfix_pass_beat,Detector-fixed protected SAC chunk03 passed voltage survival and beat conventional.
t1_ab_hvrt,topology1,HVRT,ab,1.100,[1.100 1.100 1.000],0.060,0.035,0.125,0.020,850.0,1.0,0.001,false,data/models/hpt_stage6_t1_ab_hvrt110_detectorfix_sacft_20260728_chunk01.zip,representative_sac_detectorfix_pass_beat,Detector-fixed protected SAC chunk01 passed voltage survival and beat conventional.
t2_balanced_lvrt,topology2,LVRT,,0.900,,0.060,0.080,0.125,0.020,780.0,0.65,0.0,true,data/models/hpt_t2_lvrt090_fr052_rr016_re008_phase_nonoise_actor_20260722_bc0.zip,representative_pass_stage6_rechecked,Stage6 detector-fixed current12 recheck passed voltage survival and beat conventional.
t2_balanced_hvrt,topology2,HVRT,,1.100,,0.060,0.080,0.125,0.020,760.0,0.65,0.001,false,data/models/hpt_stage6_t2_balanced_hvrt110_chop760_sacft_micro_20260728_chunk01.zip,representative_sac_chopper_repair_pass_beat,Chopper-threshold recovery repair with protected SAC micro chunk01 passed voltage survival and beat conventional.
t2_a_lvrt,topology2,LVRT,a,0.900,[0.900 1.000 1.000],0.060,0.035,0.125,0.020,780.0,0.65,0.0,false,data/models/hpt_stage6_t2_a_lvrt090_reganchor_sacft_micro_20260728_chunk02.zip,representative_sac_recovery_repair_pass_beat,Protected SAC micro chunk02 passed voltage survival and beat conventional.
t2_ab_lvrt,topology2,LVRT,ab,0.900,[0.900 0.900 1.000],0.060,0.035,0.125,0.020,780.0,0.65,0.0,true,data/models/hpt_stage6_t2_ab_lvrt090_faultrec080035_sacft_micro_20260728_chunk04.zip,representative_sac_recovery_repair_pass_beat,Fault-recovery trajectory warm start followed by protected SAC micro chunk04 passed voltage survival and beat conventional.
t2_a_hvrt,topology2,HVRT,a,1.100,[1.100 1.000 1.000],0.060,0.035,0.125,0.020,780.0,0.65,0.001,false,data/models/hpt_exact_t2_a_hvrt105_60ms_strongpos_actor_daggertraj_20260725_dagger1.zip,representative_pass_stage6_rechecked,Stage6 detector-fixed current12 recheck passed voltage survival and beat conventional.
t2_ab_hvrt,topology2,HVRT,ab,1.100,[1.100 1.100 1.000],0.060,0.035,0.125,0.020,780.0,0.65,0.001,false,data/models/hpt_stage4_t2_ab_hvrt110_repair_20260726_01_topology2_ab_hvrt110_60ms_stage4_chunk03.zip,representative_pass_stage6_rechecked,Stage6 detector-fixed current12 recheck passed voltage survival and beat conventional.
