case_id,curriculum,eval_topology,eval_case_name,fault_family,fault_phase_key,eval_fault_pu,eval_fault_phase_pu,eval_duration_s,fault_start_s,fault_stop_margin_s,fault_settle_s,chopper_threshold,rchop_scale,actor_filter_tau,phase_override,init_model,baseline_score,priority,notes
topology1_lvrt090_60ms_gridobs_clock,topology1_lvrt090_60ms,topology1,balanced_lvrt090_60ms,LVRT,balanced,0.900,,0.060,0.080,0.125,0.020,850.0,1.0,0.001,false,data/models/hpt_t1_l090_pre24_b60_down35_clk_dg3_dagger2.zip,104.012339705228,stage2_balanced,"Stage-2 accepted topology1 balanced LVRT specialist; protected SAC attempts score improvement without losing voltage-survival."
topology1_hvrt110_60ms_current_iface_const249,topology1_hvrt110_60ms,topology1,balanced_hvrt110_60ms,HVRT,balanced,1.100,,0.060,0.080,0.125,0.020,850.0,1.0,0.001,false,data/models/hpt_t1_hvrt110_const249_current_iface_actor_20260722_bc0.zip,105.383177829792,stage2_balanced,"Stage-2 accepted topology1 balanced HVRT specialist; protected SAC attempts score improvement without losing voltage-survival."
topology2_lvrt090_60ms_phase_nonoise_retrain,topology2_lvrt090_60ms,topology2,balanced_lvrt090_60ms,LVRT,balanced,0.900,,0.060,0.080,0.125,0.020,780.0,0.65,0.0,true,data/models/hpt_t2_lvrt090_fr052_rr016_re008_phase_nonoise_actor_20260722_bc0.zip,113.664808049493,stage2_balanced,"Stage-2 accepted topology2 balanced LVRT specialist; phase override kept to match original validation."
topology2_hvrt110_60ms_balanced_retrain,topology2_hvrt110_60ms,topology2,balanced_hvrt110_60ms,HVRT,balanced,1.100,,0.060,0.080,0.125,0.020,780.0,0.65,0.001,false,data/models/hpt_t2_h110_bal_retrain_gate_20260721_bc0.zip,114.075781714011,stage2_balanced,"Stage-2 accepted topology2 balanced HVRT specialist; DC-link upper margin remains important."
topology1_a_lvrt090_60ms_unbalanced,topology1_a_lvrt090_60ms,topology1,a_lvrt090_60ms,LVRT,a,0.900,"0.900 1.000 1.000",0.060,0.035,0.125,0.020,850.0,1.0,0.0,false,data/models/hpt_unbalanced_t1_a_lvrt090_trajteacher_smoke_20260721_bc0.zip,106.027966140736,stage2_unbalanced,"Stage-2 accepted topology1 A-phase LVRT voltage-survival specialist; target is score improvement versus conventional."
topology1_ab_lvrt090_60ms_unbalanced,topology1_ab_lvrt090_60ms,topology1,ab_lvrt090_60ms,LVRT,ab,0.900,"0.900 0.900 1.000",0.060,0.035,0.125,0.020,850.0,1.0,0.0,false,data/models/hpt_unbalanced_t1_ab_lvrt090_trajteacher_tau0_bcstrong_20260721_bc0.zip,106.015360281519,stage2_unbalanced,"Stage-2 accepted topology1 AB LVRT voltage-survival specialist; target is score improvement versus conventional."
topology2_a_lvrt090_60ms_unbalanced,topology2_a_lvrt090_60ms,topology2,a_lvrt090_60ms,LVRT,a,0.900,"0.900 1.000 1.000",0.060,0.035,0.125,0.020,780.0,0.65,0.0,false,data/models/hpt_t2_a_lvrt090_warm_sac_reganchor_20260722.zip,126.577723426817,stage2_unbalanced,"Stage-2 accepted topology2 A-phase LVRT warm-start SAC specialist."
topology2_ab_lvrt090_60ms_unbalanced,topology2_ab_lvrt090_60ms,topology2,ab_lvrt090_60ms,LVRT,ab,0.900,"0.900 0.900 1.000",0.060,0.035,0.125,0.020,780.0,0.65,0.0,true,data/models/hpt_t2_ab_lvrt090_warm_sac_reganchor_20260722.zip,132.148198218001,stage2_unbalanced,"Stage-2 accepted topology2 AB LVRT warm-start SAC specialist; phase override kept to match original validation."
topology2_a_hvrt105_60ms_trustregion,topology2_a_hvrt105_60ms,topology2,a_hvrt105_60ms,HVRT,a,1.050,"1.050 1.000 1.000",0.060,0.035,0.125,0.020,780.0,0.65,0.001,false,data/models/hpt_trustregion_sacft_t2_a_hvrt105_20260726_mediumanchor_chunk03.zip,125.808359717994,trustregion_confirmed,"Protected SAC fine-tune candidate already improved the 20260725 BC+DAgger score; included for recheck/further local improvement."
topology2_a_hvrt110_60ms_exactprobe,topology2_a_hvrt110_60ms,topology2,a_hvrt110_60ms,HVRT,a,1.100,"1.100 1.000 1.000",0.060,0.035,0.125,0.020,780.0,0.65,0.001,false,data/models/hpt_exact_t2_a_hvrt105_60ms_strongpos_actor_daggertraj_20260725_dagger1.zip,127.411843522884,exact_probe,"The topology2 A-HVRT 1.05 exact actor previously survived at 1.10; protected SAC attempts a dedicated 1.10 improvement."
topology2_ab_hvrt105_60ms_new,topology2_ab_hvrt105_60ms,topology2,ab_hvrt105_60ms,HVRT,ab,1.050,"1.050 1.050 1.000",0.060,0.035,0.125,0.020,780.0,0.65,0.001,false,data/models/hpt_exact_t2_a_hvrt105_60ms_strongpos_actor_daggertraj_20260725_dagger1.zip,nan,new_specialist,"New topology2 AB-HVRT specialist target; no honest same-case switch-level baseline yet, so the first passing candidate establishes the local baseline."
